phase,caseId,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,N_transmitted,frameStart,frameEndExclusive,framesProcessed,frameSequenceDigest,payloadBitErrors,payloadErrorFrames,BER,FER,payloadSuccessRate,avgEncodeTime_us,maxEncodeTime_us,avgDecodeTime_us,p95DecodeTime_us,maxDecodeTime_us,rawDecodeThroughput_Mbps,successfulDecodeThroughput_Mbps,normalizedGoodput,stopReason,berCiLow,berCiHigh,ferCiLow,ferCiHigh,berZeroErrorUpper95,ferZeroErrorUpper95,gridLayer,sourceRun,sourceCommit,runDate,minFrames,targetFrameErrors,maxFrames,checkpointIntervalFrames,payloadSeed,noiseSeed,frameIndex,sourceNoiseId,rowId,mergedRowId,sourceLayer
formal,CC-B-R12-H,1.6000000000000001,1.6000000000000001,4.6963016742589883,0.49019607843137253,0.34591548545946826,612,0,5000,5000,8320246021676229635,1858,332,0.0012386666666666666,0.066400000000000001,0.93359999999999999,6.8434200000000205,816.10000000000002,407.00581999999946,790.89999999999998,4365.5,0.73709019689202582,0.68814740781839534,0.45764705882352941,TARGET_ERRORS_REACHED,0.001183642241715731,0.0012962457132397593,0.05982625206670292,0.07363949906005063,,,dense_verified_legacy,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-1200,dense-008,merged-020,dense_verified_legacy
formal,CC-B-R12-H,1.8,1.8,4.8963016742589875,0.49019607843137253,0.330346724003798,612,0,5000,5000,8320246021676229635,1189,225,0.00079266666666666667,0.044999999999999998,0.95499999999999996,6.708379999999984,823.60000000000002,404.95504000000062,760.60000000000002,4010.3000000000002,0.74082298123761969,0.7074859470819268,0.46813725490196073,TARGET_ERRORS_REACHED,0.0007488894018472702,0.0008390008374898817,0.03959482746331551,0.05110378130668648,,,dense_verified_legacy,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-1200,dense-009,merged-021,dense_verified_legacy
formal,CC-B-R12-H,2,2,5.0963016742589877,0.49019607843137253,0.31547867224009662,612,0,6726,6726,11847767299192062772,1038,200,0.00051442164733868573,0.029735355337496282,0.97026464466250373,6.495985727029459,963.60000000000002,381.66752899197172,676,3696.0999999999999,0.78602442495523484,0.76265170937523974,0.47561992385416846,TARGET_ERRORS_REACHED,0.00048407164601031835,0.0005466734720666806,0.02593677577942439,0.034070798142155245,,,dense_verified_legacy,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-6725,STAGE09-1200,dense-010,merged-022,dense_verified_legacy
formal,CC-B-R12-H,2.5,2.5,5.5963016742589877,0.49019607843137253,0.28117066259517454,612,0,20407,20407,285154959306620326,923,200,0.00015076526028650299,0.0098005586318420154,0.99019944136815796,5.9092909295829985,1024.9000000000001,357.97323957465591,573.29999999999995,17647.700000000001,0.83805147098833488,0.82983809841041223,0.48539188302360681,TARGET_ERRORS_REACHED,0.00014134826345036928,0.000160809541566525,0.00853820836971295,0.011247426614295567,,,coarse_20260729,runtime/revision_20260729_coarse/unit_015.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-20406,STAGE09-1200,coarse-030,merged-023,
formal,CC-B-R12-H,3,3,6.0963016742589877,0.49019607843137253,0.25059361681363618,612,0,50000,50000,2314585527903299907,580,137,3.8666666666666667e-05,0.0027399999999999998,0.99726000000000004,5.6442499999998441,3304.8000000000002,343.41724399999737,505,23261.299999999999,0.87357290654863651,0.87117931678469329,0.4888529411764706,MAX_FRAMES_REACHED,3.564535055834541e-05,4.194406015926579e-05,0.0023184421392784833,0.003237960143324202,,,coarse_20260729,runtime/revision_20260729_coarse/unit_016.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-49999,STAGE09-1200,coarse-032,merged-024,
formal,CC-B-R12-H,3.5,3.5,6.5963016742589877,0.49019607843137253,0.22334179607548157,612,0,50000,50000,2314585527903299907,142,38,9.4666666666666669e-06,0.00076000000000000004,0.99924000000000002,5.6393199999997989,1058.4000000000001,339.17960800000111,501.30000000000001,35807.400000000001,0.88448713579502403,0.88381492557181984,0.48982352941176471,MAX_FRAMES_REACHED,8.032419780284335e-06,1.1157005893402704e-05,0.0005537877445791427,0.0010429187581891574,,,coarse_20260729,runtime/revision_20260729_coarse/unit_017.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-49999,STAGE09-1200,coarse-034,merged-025,
formal,CC-B-R12-H,4,4,7.0963016742589877,0.49019607843137253,0.19905358527674863,612,0,50000,50000,2314585527903299907,39,8,2.6000000000000001e-06,0.00016000000000000001,0.99983999999999995,5.6536179999998453,3120.1999999999998,335.31345600000037,490.5,20457.5,0.89468524042769004,0.89454209078922153,0.49011764705882349,MAX_FRAMES_REACHED,1.9020653425985923e-06,3.5540305148231785e-06,8.107813281404951e-05,0.0003157205578832246,,,coarse_20260729,runtime/revision_20260729_coarse/unit_018.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-49999,STAGE09-1200,coarse-036,merged-026,
formal,CC-B-R12-H,4.5,4.5,7.5963016742589877,0.49019607843137253,0.17740669461678774,612,0,50000,50000,2314585527903299907,4,1,2.6666666666666667e-07,2.0000000000000002e-05,0.99997999999999998,5.612109999999948,5379.8000000000002,326.21016799999865,470.19999999999999,18240,0.91965251064767928,0.91963411759746627,0.4901862745098039,MAX_FRAMES_REACHED,1.0370146364631062e-07,6.857289222290097e-07,3.530499822832098e-06,0.00011328970139120264,,,coarse_20260729,runtime/revision_20260729_coarse/unit_019.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-49999,STAGE09-1200,coarse-038,merged-027,
formal,CC-B-R12-H,5,5,8.0963016742589886,0.49019607843137253,0.15811388300841897,612,0,50000,50000,2314585527903299907,0,0,0,0,1,5.4877159999999199,1116.5,322.76229399999977,454.39999999999998,13983.799999999999,0.92947660112987118,0.92947660112987118,0.49019607843137253,MAX_FRAMES_REACHED,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,2.5609718912715457e-07,7.682327414500052e-05,coarse_20260729,runtime/revision_20260729_coarse/unit_020.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-49999,STAGE09-1200,coarse-040,merged-028,
formal,CC-B-R12-H,5.5,5.5,8.5963016742589886,0.49019607843137253,0.14091914656322269,612,0,50000,50000,2314585527903299907,0,0,0,0,1,5.5351179999999349,1770,317.49322400000057,447.5,16267.1,0.94490205561048279,0.94490205561048279,0.49019607843137253,MAX_FRAMES_REACHED,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,2.5609718912715457e-07,7.682327414500052e-05,coarse_20260729,runtime/revision_20260729_coarse/unit_021.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-49999,STAGE09-1200,coarse-042,merged-029,
formal,CC-B-R12-H,6,6,9.0963016742589886,0.49019607843137253,0.12559432157547901,612,0,50000,50000,2314585527903299907,0,0,0,0,1,5.5982539999998968,3748.0999999999999,315.72690600000027,445.19999999999999,4182,0.95018826175048809,0.95018826175048809,0.49019607843137253,MAX_FRAMES_REACHED,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,2.5609718912715457e-07,7.682327414500052e-05,coarse_20260729,runtime/revision_20260729_coarse/unit_022.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-49999,STAGE09-1200,coarse-044,merged-030,
formal,CC-B-R12-H,6.5,6.5,9.5963016742589886,0.49019607843137253,0.11193605692841696,612,0,50000,50000,2314585527903299907,0,0,0,0,1,5.5252539999998662,737.79999999999995,312.93533200000257,441.69999999999999,5614.6999999999998,0.95866452050226636,0.95866452050226636,0.49019607843137253,MAX_FRAMES_REACHED,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,2.5609718912715457e-07,7.682327414500052e-05,coarse_20260729,runtime/revision_20260729_coarse/unit_023.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-49999,STAGE09-1200,coarse-046,merged-031,
formal,CC-B-R12-H,7,7,10.096301674258989,0.49019607843137253,0.099763115748444001,612,0,50000,50000,2314585527903299907,0,0,0,0,1,5.5122699999998837,994.89999999999998,310.33531200000016,438.80000000000001,11300.299999999999,0.96669630686436303,0.96669630686436303,0.49019607843137253,MAX_FRAMES_REACHED,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,2.5609718912715457e-07,7.682327414500052e-05,coarse_20260729,runtime/revision_20260729_coarse/unit_024.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-49999,STAGE09-1200,coarse-048,merged-032,
formal,CC-B-R12-H,7.5,7.5,10.596301674258989,0.49019607843137253,0.088913970501946132,612,0,50000,50000,2314585527903299907,0,0,0,0,1,5.5086819999998156,1122.5,311.63464000000056,437.10000000000002,14395.700000000001,0.96266576783633384,0.96266576783633384,0.49019607843137253,MAX_FRAMES_REACHED,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,2.5609718912715457e-07,7.682327414500052e-05,coarse_20260729,runtime/revision_20260729_coarse/unit_025.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-49999,STAGE09-1200,coarse-050,merged-033,
formal,CC-B-R12-H,8,8,11.096301674258989,0.49019607843137253,0.079244659623055658,612,0,50000,50000,2314585527903299907,0,0,0,0,1,5.6803059999998622,7366.5,309.71337799999998,435.30000000000001,19089.299999999999,0.96863752524116031,0.96863752524116031,0.49019607843137253,MAX_FRAMES_REACHED,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,2.5609718912715457e-07,7.682327414500052e-05,coarse_20260729,runtime/revision_20260729_coarse/unit_026.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-49999,STAGE09-1200,coarse-052,merged-034,
