phase,caseId,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,N_transmitted,frameStart,frameEndExclusive,framesProcessed,frameSequenceDigest,payloadBitErrors,payloadErrorFrames,BER,FER,payloadSuccessRate,avgEncodeTime_us,maxEncodeTime_us,avgDecodeTime_us,p95DecodeTime_us,maxDecodeTime_us,rawDecodeThroughput_Mbps,successfulDecodeThroughput_Mbps,normalizedGoodput,stopReason,berCiLow,berCiHigh,ferCiLow,ferCiHigh,gridLayer,sourceLayer,berZeroErrorUpper95,ferZeroErrorUpper95,sourceRun,sourceCommit,runDate,minFrames,targetFrameErrors,maxFrames,checkpointIntervalFrames,payloadSeed,noiseSeed,frameIndex,sourceNoiseId,rowId,mergedRowId
formal,CC-B-R23-S,2,2,3.8469143081759878,0.65359477124183007,0.31547867224009662,459,0,27433,27433,17068221236337576401,1366,200,0.00016598014556677481,0.0072904895563737108,0.99270951044362632,6.1442532716071367,1070.9000000000001,465.36524988153133,791.20000000000005,12947.4,0.64465492444133166,0.63995507444722721,0.6488297453879911,TARGET_ERRORS_REACHED,0.0001574091433780134,0.0001750177611793238,0.006350481894504602,0.008368466692445911,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-27432,STAGE09-2300,dense-078,merged-167
formal,CC-B-R34-H,2,2,3.3353890837021747,0.73529411764705888,0.31547867224009662,408,0,5000,5000,8320246021676229635,122376,3941,0.081584000000000004,0.78820000000000001,0.21179999999999999,6.6734799999999961,1435.8,384.41174000000063,677.89999999999998,6311.1000000000004,0.78041321006481101,0.16529151789172697,0.15573529411764706,TARGET_ERRORS_REACHED,0.08114701979618126,0.08202312330210891,0.776655776142076,0.7993017204567932,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-3400,dense-079,merged-198
formal,CC-B-R34-H,2.1000000000000001,2.1000000000000001,3.4353890837021748,0.73529411764705888,0.3082975009307411,408,0,5000,5000,8320246021676229635,107461,3722,0.071640666666666672,0.74439999999999995,0.25560000000000005,6.6692800000000059,573.89999999999998,378.34698000000014,670.89999999999998,3178.3000000000002,0.79292294073551184,0.20267110365199686,0.18794117647058828,TARGET_ERRORS_REACHED,0.07122905718605088,0.07205447017464958,0.7321249914358698,0.7562997558533862,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-3400,dense-080,merged-199
formal,CC-B-R34-H,2.2000000000000002,2.2000000000000002,3.5353890837021749,0.73529411764705888,0.30127979303717889,408,0,5000,5000,8320246021676229635,93855,3506,0.062570000000000001,0.70120000000000005,0.29879999999999995,6.3807200000000028,1003.9,357.67998000000028,583.70000000000005,5176.6999999999998,0.8387385841388153,0.25061508894067797,0.21970588235294117,TARGET_ERRORS_REACHED,0.062183544828167465,0.0629586956585373,0.688362018966173,0.7137290577711362,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-3400,dense-081,merged-200
formal,CC-B-R34-H,2.2999999999999998,2.2999999999999998,3.6353890837021745,0.73529411764705888,0.29442182767779446,408,0,5000,5000,8320246021676229635,82649,3273,0.055099333333333333,0.65459999999999996,0.34540000000000004,6.1677599999999906,481.60000000000002,375.07849999999985,651,11782.5,0.79983256838235228,0.27626216911926449,0.25397058823529417,TARGET_ERRORS_REACHED,0.05473532357950787,0.05546562183811004,0.6413059345074777,0.6676566920511106,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-3400,dense-082,merged-201
formal,CC-B-R34-H,2.3999999999999999,2.3999999999999999,3.7353890837021746,0.73529411764705888,0.28771996866857846,408,0,5000,5000,8320246021676229635,71373,3045,0.047581999999999999,0.60899999999999999,0.39100000000000001,6.7816000000000045,1802.3,370.9685000000004,644,5866.6000000000004,0.80869399962530419,0.31619935385349396,0.28750000000000003,TARGET_ERRORS_REACHED,0.047242484179245745,0.04792383307497548,0.5953955430800218,0.6224370978959556,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-3400,dense-083,merged-202
formal,CC-B-R34-H,2.5,2.5,3.8353890837021747,0.73529411764705888,0.28117066259517454,408,0,5000,5000,8320246021676229635,62008,2818,0.041338666666666669,0.56359999999999999,0.43640000000000001,6.5563600000000122,745.10000000000002,381.11100000000027,687.29999999999995,7590.3999999999996,0.78717224115808726,0.34352196604138929,0.32088235294117651,TARGET_ERRORS_REACHED,0.041021263345999204,0.041658419219484,0.5498099025059843,0.5772924458066045,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-3400,dense-084,merged-203
formal,CC-B-R34-H,2.6000000000000001,2.6000000000000001,3.9353890837021748,0.73529411764705888,0.27477043692881226,408,0,5000,5000,8320246021676229635,52733,2568,0.03515533333333333,0.51359999999999995,0.48640000000000005,5.9419199999999925,494.60000000000002,364.63903999999991,609.70000000000005,2686.0999999999999,0.8227314332551996,0.40017656913532912,0.35764705882352948,TARGET_ERRORS_REACHED,0.03486179011036966,0.035451257459059596,0.49974096361638204,0.5274381548907123,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-3400,dense-085,merged-204
formal,CC-B-R34-H,2.7000000000000002,2.7000000000000002,4.0353890837021744,0.73529411764705888,0.26851589818512633,408,0,5000,5000,8320246021676229635,45015,2318,0.030009999999999998,0.46360000000000001,0.53639999999999999,6.0602199999999788,317.60000000000002,377.20815999999934,651.29999999999995,6429.8000000000002,0.7953168351395169,0.42660795036883686,0.39441176470588235,TARGET_ERRORS_REACHED,0.02973816584381683,0.030284241412993105,0.449810958688873,0.47744493001272725,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-3400,dense-086,merged-205
formal,CC-B-R34-H,2.7999999999999998,2.7999999999999998,4.1353890837021741,0.73529411764705888,0.26240373012488633,408,0,5000,5000,8320246021676229635,38306,2083,0.025537333333333332,0.41660000000000003,0.58339999999999992,6.3683199999999944,611.79999999999995,374.82637999999986,659.89999999999998,15356.6,0.80037056089808867,0.46693618522794489,0.4289705882352941,TARGET_ERRORS_REACHED,0.025286097290620195,0.025790999541550827,0.4030042390563258,0.43032381362810984,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-3400,dense-087,merged-206
formal,CC-B-R34-H,2.8999999999999999,2.8999999999999999,4.2353890837021746,0.73529411764705888,0.25643069199568247,408,0,5000,5000,8320246021676229635,32491,1854,0.021660666666666668,0.37080000000000002,0.62919999999999998,6.1722999999999981,436.10000000000002,354.32847999999899,599.5,2783.8000000000002,0.84667199204534971,0.53272601739493397,0.46264705882352941,TARGET_ERRORS_REACHED,0.021428927805172023,0.021894855549688636,0.35751560191590004,0.3842827722667028,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-3400,dense-088,merged-207
formal,CC-B-R34-H,3,3,4.3353890837021751,0.73529411764705888,0.25059361681363618,408,0,5000,5000,8320246021676229635,26475,1622,0.017649999999999999,0.32440000000000002,0.67559999999999998,5.994799999999989,200.80000000000001,352.75598000000059,580.79999999999995,3473.8000000000002,0.85044624899058974,0.57456148581804245,0.49676470588235294,TARGET_ERRORS_REACHED,0.017440510871653568,0.0178619596922356,0.3115628659032052,0.33750675101989897,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-3400,dense-089,merged-208
formal,CC-B-R34-H,3.1000000000000001,3.1000000000000001,4.4353890837021748,0.73529411764705888,0.24488940968422312,408,0,5000,5000,8320246021676229635,21460,1397,0.014306666666666667,0.27939999999999998,0.72060000000000002,6.161919999999971,750.5,344.50809999999933,553.20000000000005,11467.700000000001,0.87080681121866388,0.62750338816416917,0.52985294117647064,TARGET_ERRORS_REACHED,0.014117867743083419,0.014497953278464993,0.2671357536572877,0.2920029564408715,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-3400,dense-090,merged-209
formal,CC-B-R34-H,3.2000000000000002,3.2000000000000002,4.5353890837021744,0.73529411764705888,0.23931504616131916,408,0,5000,5000,8320246021676229635,17992,1227,0.011994666666666667,0.24540000000000001,0.75459999999999994,5.922919999999996,573.29999999999995,335.2101799999989,539.29999999999995,2056.5,0.89496088692772091,0.67533748527565818,0.55485294117647055,TARGET_ERRORS_REACHED,0.01182170092174447,0.012170131941710675,0.23367067771150613,0.25752023611891706,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-3400,dense-091,merged-210
