caseName,gridIndex,sourcePayloadEbN0Db,snrDb,stepDb
BCH-B300-426,4,6.8,5.277116556169434,0.2
BCH-B300-426,5,7.0,5.477116556169435,0.2
BCH-B300-426,6,7.2,5.677116556169435,0.2
BCH-B300-426,7,7.4,5.877116556169435,0.2
BCH-B300-426,8,7.6,6.077116556169434,0.2
BCH-B300-426,9,7.8,6.277116556169434,0.2
BCH-B300-426,10,8.0,6.477116556169435,0.2
BCH-B300-426,11,8.2,6.677116556169434,0.2
BCH-B300-426,12,8.4,6.877116556169435,0.2
BCH-B300-426,13,8.6,7.077116556169434,0.2
BCH-B300-426,14,8.8,7.277116556169435,0.2
BCH-B300-426,15,9.0,7.477116556169435,0.2
