stage,mode,caseName,payloadLength,encodedLength,organization,correctionCapabilityT,burstLength,relativeStartInSubblock,interleaverMode,payloadCount,legalStartCountPerPayload,totalPatterns,processedFrames,processedBits,bitErrors,frameErrors,BER,FER,trueSuccessRate,reportedSuccessRate,decoderFailureRate,miscorrectionRate,explicitFailureWithWrongPayloadPatterns,averageTouchedSubblocks,averageMaximumSubblockErrorWeight,fractionAllSubblocksWithinGuaranteedRegion,averageSubblocksWithOneError,averageSubblocksWithMoreThanOneError,minimumFailingStart,maximumSuccessfulStart,allStartsGuaranteedCorrect,theoreticalGuaranteedRegion,ferWilson95Low,ferWilson95High,masterSeed,caseSeed,lengthSeed,randomStartSeed,stopReason,runtimeSeconds,configHash,permutationHash,inversePermutationHash,errorWeightConserved,pairedFrameCount
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,10,,NONE,5000,276,5000,5000,1000000,36114,4927,0.036114,0.98540000000000005,0.0146,1,0,0.98540000000000005,0,1.5944,8.3778000000000006,0,0.1326,1.4618,0,275,false,false,0.98168315839357534,0.98837155655816333,2026072607,4017947825915577414,6418771243946054147,6418771243946054147,PAIRED_TARGET_FRAME_ERRORS,0.051434250000000001,73306189f9405f07,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,10,,FIXED_RANDOM,5000,276,5000,5000,1000000,17729,4765,0.017729000000000002,0.95299999999999996,0.047,1,0,0.95299999999999996,0,8.1617999999999995,2.0962000000000001,0.047,6.4668000000000001,1.6950000000000001,3,227,false,false,0.94677795820557198,0.95852650383220617,2026072607,4017947825915577414,6418771243946054147,6418771243946054147,PAIRED_TARGET_FRAME_ERRORS,0.051434250000000001,73306189f9405f07,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,11,,NONE,5000,275,5000,5000,1000000,38604,4947,0.038603999999999999,0.98939999999999995,0.0106,1,0,0.98939999999999995,0,1.6616,9.0185999999999993,0,0.13439999999999999,1.5271999999999999,0,274,false,false,0.98616202495139815,0.99188654838477996,2026072607,4017947825915577414,14600472746167648424,14600472746167648424,PAIRED_TARGET_FRAME_ERRORS,0.05303915,2bfcfc33f637bb0c,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,11,,FIXED_RANDOM,5000,275,5000,5000,1000000,21567,4887,0.021566999999999999,0.97740000000000005,0.022599999999999999,1,0,0.97740000000000005,0,8.7100000000000009,2.2149999999999999,0.022599999999999999,6.6646000000000001,2.0453999999999999,2,226,false,false,0.97289921857012784,0.98116777961273172,2026072607,4017947825915577414,14600472746167648424,14600472746167648424,PAIRED_TARGET_FRAME_ERRORS,0.05303915,2bfcfc33f637bb0c,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,12,,NONE,5000,274,5000,5000,1000000,41783,4965,0.041783000000000001,0.99299999999999999,0.0070000000000000001,1,0,0.99299999999999999,0,1.7121999999999999,9.6864000000000008,0,0.13139999999999999,1.5808,0,273,false,false,0.99028068097627686,0.99496236490589685,2026072607,4017947825915577414,11557029430521675905,11557029430521675905,PAIRED_TARGET_FRAME_ERRORS,0.051989550000000002,f2b80feacd60ede6,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,12,,FIXED_RANDOM,5000,274,5000,5000,1000000,25445,4942,0.025444999999999999,0.98839999999999995,0.011599999999999999,1,0,0.98839999999999995,0,9.2658000000000005,2.3029999999999999,0.011599999999999999,6.8625999999999996,2.4032,1,225,false,false,0.98503463219007914,0.99101547654998901,2026072607,4017947825915577414,11557029430521675905,11557029430521675905,PAIRED_TARGET_FRAME_ERRORS,0.051989550000000002,f2b80feacd60ede6,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,13,,NONE,5000,273,5000,5000,1000000,46013,4979,0.046012999999999998,0.99580000000000002,0.0041999999999999997,1,0,0.99580000000000002,0,1.7898000000000001,10.2714,0,0.129,1.6608000000000001,0,272,false,false,0.9935875211615961,0.99725122558968549,2026072607,4017947825915577414,9040976471269520663,9040976471269520663,PAIRED_TARGET_FRAME_ERRORS,0.052518000000000002,3775debd6a375b8d,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,13,,FIXED_RANDOM,5000,273,5000,5000,1000000,29340,5000,0.029340000000000001,1,0,1,0,1,0,9.7690000000000001,2.4325999999999999,0,7.0023999999999997,2.7665999999999999,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,9040976471269520663,9040976471269520663,PAIRED_TARGET_FRAME_ERRORS,0.052518000000000002,3775debd6a375b8d,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,14,,NONE,5000,272,5000,5000,1000000,49848,5000,0.049848000000000003,1,0,1,0,1,0,1.8593999999999999,10.777200000000001,0,0.13600000000000001,1.7234,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,6497595084431888241,6497595084431888241,PAIRED_TARGET_FRAME_ERRORS,0.055568600000000003,c88a402039d26ebf,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,14,,FIXED_RANDOM,5000,272,5000,5000,1000000,33901,5000,0.033901000000000001,1,0,1,0,1,0,10.2424,2.5489999999999999,0,7.0907999999999998,3.1516000000000002,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,6497595084431888241,6497595084431888241,PAIRED_TARGET_FRAME_ERRORS,0.055568600000000003,c88a402039d26ebf,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,15,,NONE,5000,271,5000,5000,1000000,53537,5000,0.053537000000000001,1,0,1,0,1,0,1.9268000000000001,11.3072,0,0.1338,1.7929999999999999,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,2459639486198168758,2459639486198168758,PAIRED_TARGET_FRAME_ERRORS,0.051344099999999997,c363f2dfe657e60a,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,15,,FIXED_RANDOM,5000,271,5000,5000,1000000,37795,5000,0.037795000000000002,1,0,1,0,1,0,10.742000000000001,2.6480000000000001,0,7.2131999999999996,3.5287999999999999,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,2459639486198168758,2459639486198168758,PAIRED_TARGET_FRAME_ERRORS,0.051344099999999997,c363f2dfe657e60a,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,16,,NONE,5000,270,5000,5000,1000000,57302,5000,0.057301999999999999,1,0,1,0,1,0,2,11.7508,0,0.1394,1.8606,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,13444753107843355724,13444753107843355724,PAIRED_TARGET_FRAME_ERRORS,0.051085400000000003,df218e2f35914430,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,16,,FIXED_RANDOM,5000,270,5000,5000,1000000,42625,5000,0.042625000000000003,1,0,1,0,1,0,11.140000000000001,2.7833999999999999,0,7.2130000000000001,3.927,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,13444753107843355724,13444753107843355724,PAIRED_TARGET_FRAME_ERRORS,0.051085400000000003,df218e2f35914430,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,17,,NONE,5000,269,5000,5000,1000000,60987,5000,0.060987,1,0,1,0,1,0,2.0619999999999998,12.1396,0,0.124,1.9379999999999999,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,14648268934729853250,14648268934729853250,PAIRED_TARGET_FRAME_ERRORS,0.053623549999999999,34c4dcbced1d724c,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,17,,FIXED_RANDOM,5000,269,5000,5000,1000000,46658,5000,0.046657999999999998,1,0,1,0,1,0,11.6442,2.8574000000000002,0,7.3601999999999999,4.2839999999999998,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,14648268934729853250,14648268934729853250,PAIRED_TARGET_FRAME_ERRORS,0.053623549999999999,34c4dcbced1d724c,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,18,,NONE,5000,268,5000,5000,1000000,64649,5000,0.064648999999999998,1,0,1,0,1,0,2.1280000000000001,12.6004,0,0.128,2,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,1128042961755240235,1128042961755240235,PAIRED_TARGET_FRAME_ERRORS,0.054770149999999997,99318c1a107cda1f,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,18,,FIXED_RANDOM,5000,268,5000,5000,1000000,51570,5000,0.051569999999999998,1,0,1,0,1,0,12.016999999999999,2.9813999999999998,0,7.3048000000000002,4.7122000000000002,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,1128042961755240235,1128042961755240235,PAIRED_TARGET_FRAME_ERRORS,0.054770149999999997,99318c1a107cda1f,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,19,,NONE,5000,267,5000,5000,1000000,68429,5000,0.068429000000000004,1,0,1,0,1,0,2.1863999999999999,12.9572,0,0.12379999999999999,2.0626000000000002,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,16847999186951001930,16847999186951001930,PAIRED_TARGET_FRAME_ERRORS,0.057267449999999998,b4b4cc51630e4ec7,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,19,,FIXED_RANDOM,5000,267,5000,5000,1000000,56507,5000,0.056507000000000002,1,0,1,0,1,0,12.421200000000001,3.0891999999999999,0,7.3136000000000001,5.1075999999999997,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,16847999186951001930,16847999186951001930,PAIRED_TARGET_FRAME_ERRORS,0.057267449999999998,b4b4cc51630e4ec7,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,20,,NONE,5000,266,5000,5000,1000000,71695,5000,0.071694999999999995,1,0,1,0,1,0,2.2423999999999999,13.297599999999999,0,0.12,2.1223999999999998,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,4505438467468810773,4505438467468810773,PAIRED_TARGET_FRAME_ERRORS,0.053128149999999999,b06607f9a9f0404e,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,20,,FIXED_RANDOM,5000,266,5000,5000,1000000,60926,5000,0.060926000000000001,1,0,1,0,1,0,12.8072,3.2012,0,7.3352000000000004,5.4720000000000004,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,4505438467468810773,4505438467468810773,PAIRED_TARGET_FRAME_ERRORS,0.053128149999999999,b06607f9a9f0404e,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,21,,NONE,5000,265,5000,5000,1000000,75394,5000,0.075394000000000003,1,0,1,0,1,0,2.3201999999999998,13.657,0,0.13400000000000001,2.1861999999999999,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,16685222875482826997,16685222875482826997,PAIRED_TARGET_FRAME_ERRORS,0.052231050000000001,c6c4ff50e29fded7,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,21,,FIXED_RANDOM,5000,265,5000,5000,1000000,65487,5000,0.065487000000000004,1,0,1,0,1,0,13.2216,3.2604000000000002,0,7.3802000000000003,5.8414000000000001,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,16685222875482826997,16685222875482826997,PAIRED_TARGET_FRAME_ERRORS,0.052231050000000001,c6c4ff50e29fded7,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,22,,NONE,5000,264,5000,5000,1000000,79180,5000,0.07918,1,0,1,0,1,0,2.3866000000000001,13.919,0,0.13159999999999999,2.2549999999999999,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,12788309044484753256,12788309044484753256,PAIRED_TARGET_FRAME_ERRORS,0.05281665,2be90e66446f5564,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,22,,FIXED_RANDOM,5000,264,5000,5000,1000000,69986,5000,0.069986000000000007,1,0,1,0,1,0,13.541,3.4041999999999999,0,7.3292000000000002,6.2118000000000002,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,12788309044484753256,12788309044484753256,PAIRED_TARGET_FRAME_ERRORS,0.05281665,2be90e66446f5564,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,23,,NONE,5000,263,5000,5000,1000000,83015,5000,0.083015000000000005,1,0,1,0,1,0,2.4554,14.1816,0,0.12520000000000001,2.3302,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,13740447012808603300,13740447012808603300,PAIRED_TARGET_FRAME_ERRORS,0.053234450000000003,ec01134e055bb335,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,23,,FIXED_RANDOM,5000,263,5000,5000,1000000,75412,5000,0.075412000000000007,1,0,1,0,1,0,13.844200000000001,3.484,0,7.2233999999999998,6.6208,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,13740447012808603300,13740447012808603300,PAIRED_TARGET_FRAME_ERRORS,0.053234450000000003,ec01134e055bb335,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,24,,NONE,5000,262,5000,5000,1000000,86617,5000,0.086617,1,0,1,0,1,0,2.5102000000000002,14.3454,0,0.12920000000000001,2.3809999999999998,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,13570371751912539011,13570371751912539011,PAIRED_TARGET_FRAME_ERRORS,0.054622499999999997,7bd595607fbbc23b,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,24,,FIXED_RANDOM,5000,262,5000,5000,1000000,80016,5000,0.080016000000000004,1,0,1,0,1,0,14.1752,3.5446,0,7.1551999999999998,7.0199999999999996,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,13570371751912539011,13570371751912539011,PAIRED_TARGET_FRAME_ERRORS,0.054622499999999997,7bd595607fbbc23b,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,25,,NONE,5000,261,5000,5000,1000000,90190,5000,0.090190000000000006,1,0,1,0,1,0,2.5817999999999999,14.579800000000001,0,0.1202,2.4615999999999998,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,6210781106370100180,6210781106370100180,PAIRED_TARGET_FRAME_ERRORS,0.054611350000000003,022f9f961e69d706,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,25,,FIXED_RANDOM,5000,261,5000,5000,1000000,84715,5000,0.084714999999999999,1,0,1,0,1,0,14.463800000000001,3.6442000000000001,0,7.0990000000000002,7.3647999999999998,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,6210781106370100180,6210781106370100180,PAIRED_TARGET_FRAME_ERRORS,0.054611350000000003,022f9f961e69d706,086532f4a013163c,273ca9cc3e6ed03c,true,5000
