caseName,burstMode,sourcePayloadEbN0Db,burstLength,burstStartPolicy,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,aggregation
BCH-S300,PURE,0,32,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,110000,5000,0.07333333333333333,1.0,RAW_COUNTS
BCH-S300,PURE,0,32,ON_SEGMENT_BOUNDARY,5000,1500000,120000,5000,0.08,1.0,RAW_COUNTS
BCH-S300,PURE,0,48,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,175000,5000,0.11666666666666667,1.0,RAW_COUNTS
BCH-S300,PURE,0,48,ON_SEGMENT_BOUNDARY,5000,1500000,185000,5000,0.12333333333333334,1.0,RAW_COUNTS
BCH-S300,PURE,0,64,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,240000,5000,0.16,1.0,RAW_COUNTS
BCH-S300,PURE,0,64,ON_SEGMENT_BOUNDARY,5000,1500000,245000,5000,0.16333333333333333,1.0,RAW_COUNTS
BCH-B300,PURE,0,1,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,1,ON_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,2,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,2,ON_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,3,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,3,ON_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,4,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,4,ON_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,5,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,5,ON_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,6,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,6,ON_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,7,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,7,ON_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,8,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,8,ON_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,10,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,10,ON_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-B300,PURE,0,12,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,60000,5000,0.04,1.0,RAW_COUNTS
BCH-B300,PURE,0,12,ON_SEGMENT_BOUNDARY,5000,1500000,60000,5000,0.04,1.0,RAW_COUNTS
BCH-B300,PURE,0,14,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,70000,5000,0.04666666666666667,1.0,RAW_COUNTS
BCH-B300,PURE,0,14,ON_SEGMENT_BOUNDARY,5000,1500000,70000,5000,0.04666666666666667,1.0,RAW_COUNTS
BCH-B300,PURE,0,15,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,75000,5000,0.05,1.0,RAW_COUNTS
BCH-B300,PURE,0,15,ON_SEGMENT_BOUNDARY,5000,1500000,75000,5000,0.05,1.0,RAW_COUNTS
BCH-B300,PURE,0,16,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,80000,5000,0.05333333333333334,1.0,RAW_COUNTS
BCH-B300,PURE,0,16,ON_SEGMENT_BOUNDARY,5000,1500000,80000,5000,0.05333333333333334,1.0,RAW_COUNTS
BCH-B300,PURE,0,20,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,100000,5000,0.06666666666666667,1.0,RAW_COUNTS
BCH-B300,PURE,0,20,ON_SEGMENT_BOUNDARY,5000,1500000,100000,5000,0.06666666666666667,1.0,RAW_COUNTS
BCH-B300,PURE,0,24,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,120000,5000,0.08,1.0,RAW_COUNTS
BCH-B300,PURE,0,24,ON_SEGMENT_BOUNDARY,5000,1500000,120000,5000,0.08,1.0,RAW_COUNTS
