rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,tracebackMode,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,mismatchVsBlockBits,mismatchVsBlockFrames,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,tracebackOperations,ACSCount,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,fullFrameLastDecisionSymbol,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,timingBatchCount,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId
R12,1,1,4.0963016742589877,0.49019607843137253,0.39716411736214075,CONTINUOUS_TRUNCATED_D84,84,50000,177,41,1.1800000000000001e-05,0.00081999999999999998,1.018497160935685e-05,1.3671119535876642e-05,0.00060454941588236784,0.0011121478680930347,0,0,16128,1536,17664,936600000,1958400000,166,145.97999999999999,166,611,486.91114400000299,489.60000000000002,600.5,5082.1999999999998,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-1,STAGE13-REFERENCE
R12,1,1,4.0963016742589877,0.49019607843137253,0.39716411736214075,CONTINUOUS_TRUNCATED_D112,112,50000,177,41,1.1800000000000001e-05,0.00081999999999999998,1.018497160935685e-05,1.3671119535876642e-05,0.00060454941588236784,0.0011121478680930347,0,0,21504,1536,23040,1092000000,1958400000,222,184.90000000000001,222,611,498.07032199999577,499.89999999999998,614.39999999999998,3752.8000000000002,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-1,STAGE13-REFERENCE
R12,3,3,6.0963016742589877,0.49019607843137253,0.25059361681363618,BLOCK_FULL_TRACEBACK,306,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,58752,1536,60288,15300000,1958400000,610,311,580,611,355.01497199999943,379.10000000000002,442.60000000000002,2947.5999999999999,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-3,STAGE13-REFERENCE
R12,3,3,6.0963016742589877,0.49019607843137253,0.25059361681363618,CONTINUOUS_TRUNCATED_D84,84,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,16128,1536,17664,936600000,1958400000,166,145.97999999999999,166,611,432.49602000000186,450.80000000000001,528.70000000000005,2497.1999999999998,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-3,STAGE13-REFERENCE
R12,3,3,6.0963016742589877,0.49019607843137253,0.25059361681363618,CONTINUOUS_TRUNCATED_D112,112,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,21504,1536,23040,1092000000,1958400000,222,184.90000000000001,222,611,443.68582600000099,460,544.20000000000005,2190.0999999999999,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-3,STAGE13-REFERENCE
R12,5,5,8.0963016742589886,0.49019607843137253,0.15811388300841897,BLOCK_FULL_TRACEBACK,306,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,58752,1536,60288,15300000,1958400000,610,311,580,611,347.10677400000185,373.10000000000002,431.80000000000001,2745.6999999999998,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-5,STAGE13-REFERENCE
R12,5,5,8.0963016742589886,0.49019607843137253,0.15811388300841897,CONTINUOUS_TRUNCATED_D84,84,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,16128,1536,17664,936600000,1958400000,166,145.97999999999999,166,611,422.21392800000007,445.60000000000002,513.79999999999995,2661.5,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-5,STAGE13-REFERENCE
R12,5,5,8.0963016742589886,0.49019607843137253,0.15811388300841897,CONTINUOUS_TRUNCATED_D112,112,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,21504,1536,23040,1092000000,1958400000,222,184.90000000000001,222,611,432.86570200000142,455,528.70000000000005,2843.6999999999998,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-5,STAGE13-REFERENCE
R12,7,7,10.096301674258989,0.49019607843137253,0.099763115748444001,BLOCK_FULL_TRACEBACK,306,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,58752,1536,60288,15300000,1958400000,610,311,580,611,339.41215799999719,362.69999999999999,424.60000000000002,1728.9000000000001,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-7,STAGE13-REFERENCE
R12,7,7,10.096301674258989,0.49019607843137253,0.099763115748444001,CONTINUOUS_TRUNCATED_D84,84,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,16128,1536,17664,936600000,1958400000,166,145.97999999999999,166,611,412.488235999994,434.10000000000002,504.80000000000001,1776.4000000000001,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-7,STAGE13-REFERENCE
