channelType,profileId,caseName,payloadGroup,payloadLength,encodedLength,frameRate,sourcePayloadEbN0Db,snrDb,processedFrames,decodedBitErrors,decodedFrameErrors,BER,FER,trueSuccessRate,miscorrectionRate,decoderFailureRate,channelHardBER,avgDecodeTimeUs,avgPreprocessingTimeUs,medianPreprocessingTimeUs,p95PreprocessingTimeUs,p99PreprocessingTimeUs,avgTotalReceiverTimeUs,medianReceiverTimeUs,p95ReceiverTimeUs,p99ReceiverTimeUs,timingSemantics,xSemantic,bandwidthConvention,seriesKey,plotted
BLOCKAGE_H,BLOCKAGE_H,BCH-B200,200,200,248,0.80645161290322576,5.3,4.365783148377649,5000,63865,4914,0.063865000000000005,0.98280000000000001,0.0172,0.00059999999999999995,0.99760000000000004,0.060880645161290325,34.865959999999916,21.397280000000016,19.700000000000003,24.499999999999993,41.209000000000188,56.263240000000074,50.799999999999997,72.010000000000034,122.90200000000004,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|BLOCKAGE_H,true
BLOCKAGE_H,BLOCKAGE_H,BCH-B200,200,200,248,0.80645161290322576,5.5,4.565783148377649,5000,62386,4906,0.062385999999999997,0.98119999999999996,0.018800000000000001,0.00059999999999999995,0.99639999999999995,0.059461290322580643,34.865959999999916,21.397280000000016,19.700000000000003,24.499999999999993,41.209000000000188,56.263240000000074,50.799999999999997,72.010000000000034,122.90200000000004,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|BLOCKAGE_H,true
BLOCKAGE_H,BLOCKAGE_H,BCH-B200,200,200,248,0.80645161290322576,5.7,4.76578314837765,5000,61437,4885,0.061436999999999999,0.97699999999999998,0.023,0.00059999999999999995,0.99580000000000002,0.05844274193548387,34.865959999999916,21.397280000000016,19.700000000000003,24.499999999999993,41.209000000000188,56.263240000000074,50.799999999999997,72.010000000000034,122.90200000000004,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|BLOCKAGE_H,true
BLOCKAGE_H,BLOCKAGE_H,BCH-B200,200,200,248,0.80645161290322576,5.9,4.96578314837765,5000,60128,4850,0.060128000000000001,0.96999999999999997,0.029999999999999999,0.00080000000000000004,0.99560000000000004,0.057085483870967742,34.865959999999916,21.397280000000016,19.700000000000003,24.499999999999993,41.209000000000188,56.263240000000074,50.799999999999997,72.010000000000034,122.90200000000004,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|BLOCKAGE_H,true
BLOCKAGE_H,BLOCKAGE_H,BCH-B200,200,200,248,0.80645161290322576,6.1,5.165783148377649,5000,59067,4818,0.059067000000000001,0.96360000000000001,0.036400000000000002,0.00080000000000000004,0.99399999999999999,0.056053225806451612,34.865959999999916,21.397280000000016,19.700000000000003,24.499999999999993,41.209000000000188,56.263240000000074,50.799999999999997,72.010000000000034,122.90200000000004,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|BLOCKAGE_H,true
BLOCKAGE_H,BLOCKAGE_H,BCH-B200,200,200,248,0.80645161290322576,6.3,5.365783148377649,5000,57580,4792,0.057579999999999999,0.95840000000000003,0.041599999999999998,0.00080000000000000004,0.99360000000000004,0.054695161290322578,34.865959999999916,21.397280000000016,19.700000000000003,24.499999999999993,41.209000000000188,56.263240000000074,50.799999999999997,72.010000000000034,122.90200000000004,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B200|BLOCKAGE_H,true
AWGN,AWGN,BCH-B300-426,300,300,426,0.70422535211267601,4.0,2.4771165561694346,5000,17729,1486,0.011819333333333333,0.29720000000000002,0.70279999999999998,0,0.29720000000000002,,114.74284000000004,0.0,0.0,0.0,0.0,114.74284000000004,104.59999999999999,168.5,316.45800000000128,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B300-426|AWGN,true
AWGN,AWGN,BCH-B300-426,300,300,426,0.70422535211267601,4.2,2.677116556169435,5000,11096,938,0.007397333333333333,0.18759999999999999,0.81240000000000001,0,0.18759999999999999,,114.74284000000004,0.0,0.0,0.0,0.0,114.74284000000004,104.59999999999999,168.5,316.45800000000128,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B300-426|AWGN,true
AWGN,AWGN,BCH-B300-426,300,300,426,0.70422535211267601,4.4,2.877116556169435,5000,6395,565,0.0042633333333333334,0.113,0.88700000000000001,0,0.113,,114.74284000000004,0.0,0.0,0.0,0.0,114.74284000000004,104.59999999999999,168.5,316.45800000000128,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B300-426|AWGN,true
AWGN,AWGN,BCH-B300-426,300,300,426,0.70422535211267601,4.6,3.0771165561694342,5000,2819,251,0.0018793333333333333,0.050200000000000002,0.94979999999999998,0,0.050200000000000002,,114.74284000000004,0.0,0.0,0.0,0.0,114.74284000000004,104.59999999999999,168.5,316.45800000000128,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B300-426|AWGN,true
