schemaVersion,stage,channelType,caseName,organization,decoderType,payloadLength,encodedLength,frameRate,sourcePayloadEbN0Db,snrDb,noisePolicyVersion,initialPhaseDeg,frameRotationDeg,compensationMode,attenuationDb,completeBlockage,blockageLength,blockageStartPolicy,burstMode,burstLength,burstStartPolicy,burstInjectionDomain,backgroundAwgnEnabled,processedFrames,processedPayloadBits,channelHardBitErrors,channelHardFrameErrors,channelHardBER,decodedBitErrors,decodedFrameErrors,BER,FER,trueSuccessFrames,trueSuccessRate,reportedSuccessFrames,reportedSuccessRate,miscorrectedFrames,miscorrectionRate,decoderFailureFrames,decoderFailureRate,avgDecodeTimeUs,p50DecodeTimeUs,p95DecodeTimeUs,p99DecodeTimeUs,maxDecodeTimeUs,avgTotalReceiverTimeUs,medianReceiverTimeUs,p95ReceiverTimeUs,p99ReceiverTimeUs,maxReceiverTimeUs,minFrames,targetFrameErrors,maxFrames,stopReason,checkpointCount,resumeCount,shardIndex,shardCount,configHash,gitCommit,seriesKey,plotted
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,0,-1.1394335230683674,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,8,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,40000,5000,0.020512820512820513,0,0,0,0,5000,1,5000,1,0,0,0,0,85.155099999999749,76.650000000000006,111.20500000000003,201.30600000000013,974.79999999999995,86.975239999999985,78.200000000000003,114.7,202.90800000000019,976.39999999999998,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,f4cb2a04c35282c6f23ade01385e80d40e588b285a94bbb85bde69b7e6997a0e,WORKTREE,BCH-B300,true
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,0,-1.1394335230683674,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,9,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,45000,5000,0.023076923076923078,0,0,0,0,5000,1,5000,1,0,0,0,0,87.532180000000253,80.400000000000006,115.2,175.81900000000041,573,89.229840000000152,81.900000000000006,117.7,177.81700000000038,575.5,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,3b7d5d5dc6e1e6db6662127ec85ddf3def2be8f791e871711b954e5225835278,WORKTREE,BCH-B300,true
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,0,-1.1394335230683674,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,10,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,50000,5000,0.02564102564102564,0,0,0,0,5000,1,5000,1,0,0,0,0,93.703240000000093,86.599999999999994,115.80500000000001,203.00300000000007,936.5,95.40820000000015,88.099999999999994,118.80500000000001,205.09999999999999,938.10000000000002,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,175ffd3a42305e924b4a2c3a68f537e8f2f9e8ae55ef1404628d88b4187836c2,WORKTREE,BCH-B300,true
bch.s2.impairment.result.v1,S2_07,BURST,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,0,-1.1394335230683674,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,12,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,60000,5000,0.030769230769230771,46543,3951,0.031028666666666666,0.79020000000000001,1049,0.20979999999999999,0,0,0,0,5000,1,106.10980000000009,101.2,141.31500000000008,243.25700000000123,3117.0999999999999,108.35550000000013,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,a4989d79aac93be98bfc9f3ea59a25ddd81292623e08d9d65d22f8a274f70824,WORKTREE,BCH-B300,true
bch.s2.impairment.result.v1,S2_07,BURST,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,0,-1.1394335230683674,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,14,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,70000,5000,0.035897435897435895,54428,3969,0.036285333333333336,0.79379999999999995,1031,0.20619999999999999,0,0,0,0,5000,1,110.45729999999982,103.09999999999999,148.31000000000006,312.11000000000024,8949.6000000000004,112.95719999999993,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,154131eaf32ff53e2dcd34f1af9aec3af998a9f3bf531e77d4cc70fb8469e60e,WORKTREE,BCH-B300,true
bch.s2.impairment.result.v1,S2_07,BURST,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,0,-1.1394335230683674,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,15,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,75000,5000,0.038461538461538464,58293,3982,0.038862000000000001,0.7964,1018,0.2036,0,0,0,0,5000,1,101.55805999999997,92.25,135.90500000000003,233.81200000000027,941.20000000000005,103.69499999999978,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,dd04bd68cb00dbb2e1c16fd9a18574aecba66081700f247dcec4b9cb4d946e1e,WORKTREE,BCH-B300,true
bch.s2.impairment.result.v1,S2_07,BURST,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,0,-1.1394335230683674,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,16,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,80000,5000,0.041025641025641026,62289,3995,0.041526,0.79900000000000004,1005,0.20100000000000001,0,0,0,0,5000,1,100.83376000000008,95.299999999999997,127.70500000000003,209.22600000000057,837.29999999999995,102.90490000000037,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,7a7670947bd8655954a6666994b4508457642ba07eb11bceb9fd9df5d61be85d,WORKTREE,BCH-B300,true
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B300-426,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,426,0.70422535211267601,0,-1.5228834438305652,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,5000,5000,0.0023474178403755869,0,0,0,0,5000,1,5000,1,0,0,0,0,87.484360000000137,70.799999999999997,117.3,286.51700000000039,21236.200000000001,89.600999999999971,72.5,120.51500000000006,293.10500000000013,21239.099999999999,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,3538cdfb0c4d0c4acb22f4f161e455769eb6e91cc7110a5bb8828a38b377c274,WORKTREE,BCH-B300-426,true
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B300-426,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,426,0.70422535211267601,0,-1.5228834438305652,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,2,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,10000,5000,0.0046948356807511738,0,0,0,0,5000,1,5000,1,0,0,0,0,74.595060000000061,69.299999999999997,93.805000000000007,144.10800000000015,551.5,76.321719999999928,70.900000000000006,96.305000000000007,146.01100000000025,553.10000000000002,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,6ded8c40500b30d275cc2f6123359814756983c43305c7cbc7a2e1c615ced18c,WORKTREE,BCH-B300-426,true
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B300-426,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,426,0.70422535211267601,0,-1.5228834438305652,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,3,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,15000,5000,0.0070422535211267607,0,0,0,0,5000,1,5000,1,0,0,0,0,79.574320000000071,73,102.105,173.64500000000098,1008.4,81.422140000000113,74.599999999999994,105.3,180.81200000000027,1011.5,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,e7d98e0fbf69c3b0567310a30438741b44bbb6219880217817a36598eaf8433d,WORKTREE,BCH-B300-426,true
