figureName,caseId,seriesLabel,payloadGroup,codeType,configuration,configurationId,snrIndex,snr,derivedEbN0Db,actualRate,ber,fer,payloadErrorBits,payloadBitsProcessed,payloadErrorFrames,framesProcessed,sourceBer,sourceFer
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,22,11,12.53814864344529,0.70175438596491224,0.030970000000000001,0.98599999999999999,6194,200000,986,1000,0.030970000000000001,0.98599999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,23,11.5,13.03814864344529,0.70175438596491224,0.030964999999999999,0.98599999999999999,6193,200000,986,1000,0.030964999999999999,0.98599999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,24,12,13.53814864344529,0.70175438596491224,0.03024,0.98599999999999999,6048,200000,986,1000,0.03024,0.98599999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,25,12.5,14.03814864344529,0.70175438596491224,0.03048,0.98299999999999998,6096,200000,983,1000,0.03048,0.98299999999999998
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,26,13,14.53814864344529,0.70175438596491224,0.030595000000000001,0.98699999999999999,6119,200000,987,1000,0.030595000000000001,0.98699999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,27,13.5,15.03814864344529,0.70175438596491224,0.030235000000000001,0.97799999999999998,6047,200000,978,1000,0.030235000000000001,0.97799999999999998
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,28,14,15.53814864344529,0.70175438596491224,0.030755000000000001,0.98599999999999999,6151,200000,986,1000,0.030755000000000001,0.98599999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,29,14.5,16.03814864344529,0.70175438596491224,0.031040000000000002,0.98899999999999999,6208,200000,989,1000,0.031040000000000002,0.98899999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,30,15,16.53814864344529,0.70175438596491224,0.030974999999999999,0.99099999999999999,6195,200000,991,1000,0.030974999999999999,0.99099999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,31,15.5,17.03814864344529,0.70175438596491224,0.03107,0.98799999999999999,6214,200000,988,1000,0.03107,0.98799999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,32,16,17.53814864344529,0.70175438596491224,0.030925000000000001,0.98299999999999998,6185,200000,983,1000,0.030925000000000001,0.98299999999999998
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,33,16.5,18.03814864344529,0.70175438596491224,0.030550000000000001,0.97799999999999998,6110,200000,978,1000,0.030550000000000001,0.97799999999999998
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,34,17,18.53814864344529,0.70175438596491224,0.030855,0.98599999999999999,6171,200000,986,1000,0.030855,0.98599999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,35,17.5,19.03814864344529,0.70175438596491224,0.030714999999999999,0.98099999999999998,6143,200000,981,1000,0.030714999999999999,0.98099999999999998
