figureId,sourceCsv,sourceRowId,sourceRowSha256,caseId,payloadLength,legendLabel,styleId,snrIndex,snrDb,snrLinear,ebn0Db,actualRate,encodedLength,metric,rawNumerator,rawDenominator,rawY,plotY,isZeroObserved,plotSurrogateUsed,plotSurrogateFormula,totalFrames,stopReason
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,210,847b351ea2ed7e5409a7c8a00317ab0dc21c6ac04c3e6fc7f05f9e76b67a9f39,K300_M255K207,300,255双块300,STYLE_2,24,12,15.848931924611133,10.195439355418687,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,211,c49753805ed4028600f0f71b17d6565d038ab80431dd0d06cfd4f1d77d2c2f5d,K300_M255K207,300,255双块300,STYLE_2,25,12.5,17.782794100389228,10.695439355418687,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,212,d569bd7a4619228ec275c91d5a22cdedcfe4d080c159148efabd31fa67f29b81,K300_M255K207,300,255双块300,STYLE_2,26,13,19.952623149688797,11.195439355418687,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,213,de5b837030768edf9bc24c8a4eed6020d0286d6265ba3417b33b3b2891e90038,K300_M255K207,300,255双块300,STYLE_2,27,13.5,22.387211385683401,11.695439355418687,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,214,da9438470275f3e920fa20ef011b0172d23cb513c9b9da48267ea6bc208e8273,K300_M255K207,300,255双块300,STYLE_2,28,14,25.118864315095795,12.195439355418687,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,215,944e31bca5e0d0c510defa24061c1dc862425593ece2820affdb064ce4c99442,K300_M255K207,300,255双块300,STYLE_2,29,14.5,28.183829312644534,12.695439355418687,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,216,087b3635af570afb4c0a44bd62c238bdba885b5c3944537fcb1883bdbf78902a,K300_M255K207,300,255双块300,STYLE_2,30,15,31.622776601683793,13.195439355418687,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,217,3490c1646bd69d7483f3090a4221b8048e3337f1b65801da3c8ab70d2013e04e,K300_M255K207,300,255双块300,STYLE_2,31,15.5,35.481338923357548,13.695439355418687,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,218,eb36cf76297a55c55dd0a18d0adee2b7b2a299ea14d2e947a1a5a336e6f9cbc5,K300_M255K207,300,255双块300,STYLE_2,32,16,39.810717055349734,14.195439355418687,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,219,3633558f0da70c7614c756fe80c5ff36e98538888a25a23a0152109aaa13fab8,K300_M255K207,300,255双块300,STYLE_2,33,16.5,44.668359215096302,14.695439355418687,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
