caseId,payloadLength,snrIndex,snrDb,metric,rawNumerator,rawDenominator,rawRate,zeroObservedStatus,oneSided95UpperBound,upperBoundFormula,stopReason,totalFrames
K200_S15,200,7,3.5,ber,11494,200000,0.05747,OBSERVED_ERROR_RATE,0.05747,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,7,3.5,fer,997,1000,0.997,OBSERVED_ERROR_RATE,0.997,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,8,4,ber,8821,200000,0.044104999999999998,OBSERVED_ERROR_RATE,0.044104999999999998,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,8,4,fer,981,1000,0.98099999999999998,OBSERVED_ERROR_RATE,0.98099999999999998,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,9,4.5,ber,6586,200000,0.032930000000000001,OBSERVED_ERROR_RATE,0.032930000000000001,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,9,4.5,fer,955,1000,0.95499999999999996,OBSERVED_ERROR_RATE,0.95499999999999996,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,10,5,ber,4463,200000,0.022315000000000002,OBSERVED_ERROR_RATE,0.022315000000000002,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,10,5,fer,860,1000,0.85999999999999999,OBSERVED_ERROR_RATE,0.85999999999999999,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,11,5.5,ber,3047,200000,0.015235,OBSERVED_ERROR_RATE,0.015235,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,11,5.5,fer,746,1000,0.746,OBSERVED_ERROR_RATE,0.746,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,12,6,ber,1838,200000,0.0091900000000000003,OBSERVED_ERROR_RATE,0.0091900000000000003,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,12,6,fer,586,1000,0.58599999999999997,OBSERVED_ERROR_RATE,0.58599999999999997,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,13,6.5,ber,1094,200000,0.00547,OBSERVED_ERROR_RATE,0.00547,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,13,6.5,fer,398,1000,0.39800000000000002,OBSERVED_ERROR_RATE,0.39800000000000002,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,14,7,ber,581,200000,0.002905,OBSERVED_ERROR_RATE,0.002905,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,14,7,fer,237,1000,0.23699999999999999,OBSERVED_ERROR_RATE,0.23699999999999999,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,15,7.5,ber,479,307800,0.0015562053281351527,OBSERVED_ERROR_RATE,0.0015562053281351527,not_censored,TARGET_FRAME_ERRORS_REACHED,1539
K200_S15,200,15,7.5,fer,200,1539,0.12995451591942819,OBSERVED_ERROR_RATE,0.12995451591942819,not_censored,TARGET_FRAME_ERRORS_REACHED,1539
K200_S15,200,16,8,ber,449,644800,0.00069633995037220848,OBSERVED_ERROR_RATE,0.00069633995037220848,not_censored,TARGET_FRAME_ERRORS_REACHED,3224
K200_S15,200,16,8,fer,200,3224,0.062034739454094295,OBSERVED_ERROR_RATE,0.062034739454094295,not_censored,TARGET_FRAME_ERRORS_REACHED,3224
K200_S15,200,17,8.5,ber,442,1417800,0.00031175059952038371,OBSERVED_ERROR_RATE,0.00031175059952038371,not_censored,TARGET_FRAME_ERRORS_REACHED,7089
K200_S15,200,17,8.5,fer,200,7089,0.028212723938496262,OBSERVED_ERROR_RATE,0.028212723938496262,not_censored,TARGET_FRAME_ERRORS_REACHED,7089
K200_S15,200,18,9,ber,436,4100200,0.00010633627627920589,OBSERVED_ERROR_RATE,0.00010633627627920589,not_censored,TARGET_FRAME_ERRORS_REACHED,20501
K200_S15,200,18,9,fer,200,20501,0.0097556216769913665,OBSERVED_ERROR_RATE,0.0097556216769913665,not_censored,TARGET_FRAME_ERRORS_REACHED,20501
K200_S15,200,19,9.5,ber,382,10000000,3.82e-05,OBSERVED_ERROR_RATE,3.82e-05,not_censored,MAX_FRAMES_REACHED,50000
K200_S15,200,19,9.5,fer,172,50000,0.0034399999999999999,OBSERVED_ERROR_RATE,0.0034399999999999999,not_censored,MAX_FRAMES_REACHED,50000
K200_S15,200,20,10,ber,125,10000000,1.2500000000000001e-05,OBSERVED_ERROR_RATE,1.2500000000000001e-05,not_censored,MAX_FRAMES_REACHED,50000
K200_S15,200,20,10,fer,57,50000,0.00114,OBSERVED_ERROR_RATE,0.00114,not_censored,MAX_FRAMES_REACHED,50000
K200_S15,200,21,10.5,ber,34,10000000,3.4000000000000001e-06,OBSERVED_ERROR_RATE,3.4000000000000001e-06,not_censored,MAX_FRAMES_REACHED,50000
K200_S15,200,21,10.5,fer,17,50000,0.00034000000000000002,OBSERVED_ERROR_RATE,0.00034000000000000002,not_censored,MAX_FRAMES_REACHED,50000
K200_S15,200,22,11,ber,9,10000000,8.9999999999999996e-07,OBSERVED_ERROR_RATE,8.9999999999999996e-07,not_censored,MAX_FRAMES_REACHED,50000
K200_S15,200,22,11,fer,4,50000,8.0000000000000007e-05,OBSERVED_ERROR_RATE,8.0000000000000007e-05,not_censored,MAX_FRAMES_REACHED,50000
K200_S15,200,23,11.5,ber,2,10000000,1.9999999999999999e-07,OBSERVED_ERROR_RATE,1.9999999999999999e-07,not_censored,MAX_FRAMES_REACHED,50000
K200_S15,200,23,11.5,fer,1,50000,2.0000000000000002e-05,OBSERVED_ERROR_RATE,2.0000000000000002e-05,not_censored,MAX_FRAMES_REACHED,50000
K200_S15,200,24,12,ber,3,10000000,2.9999999999999999e-07,OBSERVED_ERROR_RATE,2.9999999999999999e-07,not_censored,MAX_FRAMES_REACHED,50000
K200_S15,200,24,12,fer,1,50000,2.0000000000000002e-05,OBSERVED_ERROR_RATE,2.0000000000000002e-05,not_censored,MAX_FRAMES_REACHED,50000
K200_S15,200,25,12.5,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,25,12.5,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,26,13,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,26,13,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,27,13.5,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,27,13.5,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,28,14,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,28,14,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,29,14.5,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,29,14.5,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,30,15,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,30,15,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,31,15.5,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,31,15.5,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,32,16,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,32,16,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,33,16.5,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,33,16.5,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,34,17,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,34,17,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,35,17.5,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,35,17.5,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,36,18,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_S15,200,36,18,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,0,0,ber,31397,200000,0.15698500000000001,OBSERVED_ERROR_RATE,0.15698500000000001,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,0,0,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,1,0.5,ber,29001,200000,0.145005,OBSERVED_ERROR_RATE,0.145005,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,1,0.5,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,2,1,ber,26062,200000,0.13031000000000001,OBSERVED_ERROR_RATE,0.13031000000000001,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,2,1,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,3,1.5,ber,23585,200000,0.117925,OBSERVED_ERROR_RATE,0.117925,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,3,1.5,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,4,2,ber,20679,200000,0.103395,OBSERVED_ERROR_RATE,0.103395,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,4,2,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,5,2.5,ber,18315,200000,0.091575000000000004,OBSERVED_ERROR_RATE,0.091575000000000004,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,5,2.5,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,6,3,ber,15650,200000,0.07825,OBSERVED_ERROR_RATE,0.07825,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,6,3,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,7,3.5,ber,13491,200000,0.067455000000000001,OBSERVED_ERROR_RATE,0.067455000000000001,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,7,3.5,fer,997,1000,0.997,OBSERVED_ERROR_RATE,0.997,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,8,4,ber,11297,200000,0.056485,OBSERVED_ERROR_RATE,0.056485,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,8,4,fer,993,1000,0.99299999999999999,OBSERVED_ERROR_RATE,0.99299999999999999,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,9,4.5,ber,9259,200000,0.046295000000000003,OBSERVED_ERROR_RATE,0.046295000000000003,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,9,4.5,fer,962,1000,0.96199999999999997,OBSERVED_ERROR_RATE,0.96199999999999997,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,10,5,ber,6811,200000,0.034055000000000002,OBSERVED_ERROR_RATE,0.034055000000000002,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,10,5,fer,829,1000,0.82899999999999996,OBSERVED_ERROR_RATE,0.82899999999999996,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,11,5.5,ber,4294,200000,0.02147,OBSERVED_ERROR_RATE,0.02147,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,11,5.5,fer,580,1000,0.57999999999999996,OBSERVED_ERROR_RATE,0.57999999999999996,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,12,6,ber,2507,200000,0.012534999999999999,OBSERVED_ERROR_RATE,0.012534999999999999,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,12,6,fer,367,1000,0.36699999999999999,OBSERVED_ERROR_RATE,0.36699999999999999,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M255K207,200,13,6.5,ber,1242,292800,0.0042418032786885242,OBSERVED_ERROR_RATE,0.0042418032786885242,not_censored,TARGET_FRAME_ERRORS_REACHED,1464
K200_M255K207,200,13,6.5,fer,200,1464,0.13661202185792351,OBSERVED_ERROR_RATE,0.13661202185792351,not_censored,TARGET_FRAME_ERRORS_REACHED,1464
K200_M255K207,200,14,7,ber,1210,1008200,0.0012001586986708987,OBSERVED_ERROR_RATE,0.0012001586986708987,not_censored,TARGET_FRAME_ERRORS_REACHED,5041
K200_M255K207,200,14,7,fer,200,5041,0.039674667724657803,OBSERVED_ERROR_RATE,0.039674667724657803,not_censored,TARGET_FRAME_ERRORS_REACHED,5041
K200_M255K207,200,15,7.5,ber,1161,5717000,0.00020307853769459508,OBSERVED_ERROR_RATE,0.00020307853769459508,not_censored,TARGET_FRAME_ERRORS_REACHED,28585
K200_M255K207,200,15,7.5,fer,200,28585,0.0069966765786251533,OBSERVED_ERROR_RATE,0.0069966765786251533,not_censored,TARGET_FRAME_ERRORS_REACHED,28585
K200_M255K207,200,16,8,ber,358,10000000,3.5800000000000003e-05,OBSERVED_ERROR_RATE,3.5800000000000003e-05,not_censored,MAX_FRAMES_REACHED,50000
K200_M255K207,200,16,8,fer,60,50000,0.0011999999999999999,OBSERVED_ERROR_RATE,0.0011999999999999999,not_censored,MAX_FRAMES_REACHED,50000
K200_M255K207,200,17,8.5,ber,17,10000000,1.7e-06,OBSERVED_ERROR_RATE,1.7e-06,not_censored,MAX_FRAMES_REACHED,50000
K200_M255K207,200,17,8.5,fer,3,50000,6.0000000000000002e-05,OBSERVED_ERROR_RATE,6.0000000000000002e-05,not_censored,MAX_FRAMES_REACHED,50000
K200_M255K207,200,18,9,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,18,9,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,19,9.5,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,19,9.5,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,20,10,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,20,10,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,21,10.5,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,21,10.5,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,22,11,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,22,11,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,23,11.5,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,23,11.5,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,24,12,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,24,12,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,25,12.5,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,25,12.5,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,26,13,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,26,13,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,27,13.5,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,27,13.5,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,28,14,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,28,14,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,29,14.5,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,29,14.5,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,30,15,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,30,15,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,31,15.5,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,31,15.5,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,32,16,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,32,16,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,33,16.5,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,33,16.5,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,34,17,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,34,17,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,35,17.5,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,35,17.5,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,36,18,ber,0,10000000,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M255K207,200,36,18,fer,0,50000,0,ZERO_OBSERVED_CENSORED,6.0000000000000002e-05,3/rawDenominator,MAX_FRAMES_REACHED,50000
K200_M511K421,200,0,0,ber,31602,200000,0.15801000000000001,OBSERVED_ERROR_RATE,0.15801000000000001,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,0,0,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,1,0.5,ber,28963,200000,0.144815,OBSERVED_ERROR_RATE,0.144815,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,1,0.5,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,2,1,ber,26163,200000,0.13081499999999999,OBSERVED_ERROR_RATE,0.13081499999999999,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,2,1,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,3,1.5,ber,23198,200000,0.11599,OBSERVED_ERROR_RATE,0.11599,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,3,1.5,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,4,2,ber,20951,200000,0.104755,OBSERVED_ERROR_RATE,0.104755,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,4,2,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,5,2.5,ber,18390,200000,0.091950000000000004,OBSERVED_ERROR_RATE,0.091950000000000004,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,5,2.5,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,6,3,ber,15947,200000,0.079735,OBSERVED_ERROR_RATE,0.079735,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,6,3,fer,997,1000,0.997,OBSERVED_ERROR_RATE,0.997,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,7,3.5,ber,13435,200000,0.067174999999999999,OBSERVED_ERROR_RATE,0.067174999999999999,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,7,3.5,fer,986,1000,0.98599999999999999,OBSERVED_ERROR_RATE,0.98599999999999999,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,8,4,ber,11050,200000,0.05525,OBSERVED_ERROR_RATE,0.05525,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,8,4,fer,950,1000,0.94999999999999996,OBSERVED_ERROR_RATE,0.94999999999999996,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,9,4.5,ber,8138,200000,0.040689999999999997,OBSERVED_ERROR_RATE,0.040689999999999997,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,9,4.5,fer,813,1000,0.81299999999999994,OBSERVED_ERROR_RATE,0.81299999999999994,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_M511K421,200,10,5,ber,5175,200000,0.025874999999999999,OBSERVED_ERROR_RATE,0.025874999999999999,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
