caseId,targetLength,actualLength,actualRate,Zc,fillerLength,rankHp,algorithm,alpha,snrDb,esN0Db,ebN0Db,sigmaSquared,frames,bitErrors,frameErrors,BER,FER,avgIterations,medianIterations,p95Iterations,maxUsedIterations,earlyStopRate,maxIterationRate,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,avgFinalSyndromeWeight,validCodewordRate,nanInfCount,edgeCount,checkNodeUpdates,variableNodeUpdates,messageUpdates,tanhOperations,atanhOperations,absOperations,comparisonOperations,min1Min2Updates,signOperations,alphaMultiplications,decoderMemoryBytes,payloadSeed,noiseSeed,noiseGroupId,frameStart,frameEnd,runId,alphaCalibrationFrameRange,smokeEvaluationFrameRange,stopReason,correctValidFrames,wrongValidFrames,correctInvalidFrames,wrongInvalidFrames,sameDecodedPayloadRateVsBP,sameDecodedCodewordRateVsBP,avgNormalizedComplexity,status,series,avg_check_node_updates,avg_variable_node_updates,avg_edge_message_updates,avg_normalized_complexity,berCiLow,berCiHigh,ferCiLow,ferCiHigh,isPrimary
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_SPA_BP,0,2.5,2.5,5.2106677228653799,0.28117066259517454,500,1393,426,0.009286666666666667,0.85199999999999998,14.912000000000001,2.5,32,32,0.56799999999999995,0.432,611.99539999999979,123.65000000000001,1690.0999999999995,2552.0999999999999,0.62,0.56799999999999995,0,784,835072,5845504,5845504,11691008,5845504,0,0,0,0,0,11312,2026072001,2027381665,560,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,63,221,11,205,1,1,11691.008,PASS,N560 BP,1670.144,11691.008,11691.008,11691.008,0.00881366954796413,0.009784797209212657,0.8181938697042727,0.8804385946107945,True
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_NMS,0.90000000000000002,2.5,2.5,5.2106677228653799,0.28117066259517454,500,1392,435,0.0092800000000000001,0.87,15.244,3,32,32,0.55600000000000005,0.44400000000000001,144.98579999999993,32.5,397.61999999999989,713.5,0.65400000000000003,0.55600000000000005,0,784,853664,5975648,5975648,0,0,5975648,11951296,3626671,5975648,5975648,11312,2026072001,2027381665,560,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,59,219,6,216,0.74199999999999999,0.61199999999999999,11951.296,PASS,N560 NMS (α=0.90),1707.328,11951.296,11951.296,11951.296,0.008807175617168771,0.009777958148128943,0.8376786384230859,0.8966793496353656,True
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_SPA_BP,0,3,3,5.7106677228653799,0.25059361681363618,500,794,336,0.0052933333333333331,0.67200000000000004,8.3059999999999992,2,32,32,0.78200000000000003,0.218,334.05999999999989,76.400000000000006,1341.2149999999983,2300.5,0.26000000000000001,0.78200000000000003,0,784,465136,3255952,3255952,6511904,3255952,0,0,0,0,0,11312,2026072001,2027381665,560,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,152,239,12,97,1,1,6511.9040000000005,PASS,N560 BP,930.272,6511.904,6511.904,6511.904,0.004938578448350406,0.005673426173262493,0.6296734167218158,0.7117038101594103,True
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_NMS,0.90000000000000002,3,3,5.7106677228653799,0.25059361681363618,500,802,337,0.0053466666666666662,0.67400000000000004,10.513999999999999,2,32,32,0.70799999999999996,0.29199999999999998,97.172999999999888,21.300000000000001,319.6049999999999,614.89999999999998,0.38600000000000001,0.70799999999999996,0,784,588784,4121488,4121488,0,0,4121488,8242976,2508234,4121488,4121488,11312,2026072001,2027381665,560,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,149,205,14,132,0.87,0.78200000000000003,8242.9760000000006,PASS,N560 NMS (α=0.90),1177.568,8242.976,8242.976,8242.976,0.004990076177733826,0.005728592378911645,0.6317220455546273,0.7136246839647526,True
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_SPA_BP,0,3.5,3.5,6.2106677228653799,0.22334179607548157,500,412,225,0.0027466666666666668,0.45000000000000001,4.0220000000000002,2,32,32,0.91800000000000004,0.082000000000000003,161.11020000000005,73.549999999999997,1111.5999999999999,2239.5999999999999,0.094,0.91800000000000004,0,784,225232,1576624,1576624,3153248,1576624,0,0,0,0,0,11312,2026072001,2027381665,560,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,265,194,10,31,1,1,3153.248,PASS,N560 BP,450.464,3153.248,3153.248,3153.248,0.0024942432893708907,0.00302455843443666,0.4069396517813318,0.4938227822648235,True
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_NMS,0.90000000000000002,3.5,3.5,6.2106677228653799,0.22334179607548157,500,413,236,0.0027533333333333333,0.47199999999999998,7.6100000000000003,2,32,32,0.80000000000000004,0.20000000000000001,72.627800000000008,20.600000000000001,288.9849999999999,759.60000000000002,0.23000000000000001,0.80000000000000004,0,784,426160,2983120,2983120,0,0,2983120,5966240,1821714,2983120,2983120,11312,2026072001,2027381665,560,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,241,159,23,77,0.90600000000000003,0.81000000000000005,5966.2399999999998,PASS,N560 NMS (α=0.90),852.32,5966.24,5966.24,5966.24,0.0025005898219668016,0.0030315448937198197,0.42862273473006285,0.5158042283357841,True
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_SPA_BP,0,4,4,6.7106677228653799,0.19905358527674863,500,205,129,0.0013666666666666666,0.25800000000000001,2.444,1,2,32,0.96399999999999997,0.035999999999999997,96.108000000000004,43.5,134.87999999999982,1655,0.035999999999999997,0.96399999999999997,0,784,136864,958048,958048,1916096,958048,0,0,0,0,0,11312,2026072001,2027381665,560,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,362,120,9,9,1,1,1916.096,PASS,N560 BP,273.728,1916.096,1916.096,1916.096,0.001192048126972347,0.001566824277867382,0.2215962002228131,0.29809398056057823,True
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_NMS,0.90000000000000002,4,4,6.7106677228653799,0.19905358527674863,500,205,136,0.0013666666666666666,0.27200000000000002,5.6280000000000001,1,32,32,0.85999999999999999,0.14000000000000001,52.689799999999991,14.949999999999999,267.20499999999981,537.70000000000005,0.152,0.85999999999999999,0,784,315168,2206176,2206176,0,0,2206176,4412352,1347916,2206176,2206176,11312,2026072001,2027381665,560,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,343,87,21,49,0.93999999999999995,0.88,4412.3519999999999,PASS,N560 NMS (α=0.90),630.336,4412.352,4412.352,4412.352,0.001192048126972347,0.001566824277867382,0.2348440922052204,0.31263260704524753,True
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_SPA_BP,0,4.5,4.5,7.2106677228653799,0.17740669461678774,500,93,61,0.00062,0.122,1.5640000000000001,1,2,32,0.98799999999999999,0.012,63.171600000000069,37.399999999999999,102.73999999999997,1484.7,0.012,0.98799999999999999,0,784,87584,613088,613088,1226176,613088,0,0,0,0,0,11312,2026072001,2027381665,560,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,435,59,4,2,1,1,1226.1759999999999,PASS,N560 BP,175.168,1226.176,1226.176,1226.176,0.0005061737734023224,0.0007594035409813876,0.0961592783150937,0.15360472307383977,True
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_NMS,0.90000000000000002,4.5,4.5,7.2106677228653799,0.17740669461678774,500,96,65,0.00064000000000000005,0.13,2.6779999999999999,1,2,32,0.95199999999999996,0.048000000000000001,28.076999999999995,10.9,44.044999999999959,953.79999999999995,0.050000000000000003,0.95199999999999996,0,784,149968,1049776,1049776,0,0,1049776,2099552,644953,1049776,1049776,11312,2026072001,2027381665,560,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,425,51,10,14,0.98199999999999998,0.96399999999999997,2099.5520000000001,PASS,N560 NMS (α=0.90),299.936,2099.552,2099.552,2099.552,0.0005241691272054698,0.0007814071628154552,0.10332065036463456,0.16232136157691412,True
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_SPA_BP,0,-2.5,-2.5,0.79058719264224742,0.88913970501946138,500,13024,443,0.086826666666666663,0.88600000000000001,29.937999999999999,32,32,32,0.112,0.88800000000000001,4289.4935999999989,4214.7000000000007,6260.0999999999967,9306.1000000000004,40.578000000000003,0.114,0,2240,4790080,33530560,33530560,67061120,33530560,0,0,0,0,0,23680,2026072001,2027381665,640,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,57,0,0,443,1,1,67061.119999999995,PASS,N640 BP,9580.16,67061.12,67061.12,67061.12,0.08541225689285108,0.08826223840980747,0.8551509101576845,0.9109630990059973,True
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_NMS,0.80000000000000004,-2.5,-2.5,0.79058719264224742,0.88913970501946138,500,15970,461,0.10646666666666667,0.92200000000000004,30.609999999999999,32,32,32,0.078,0.92200000000000004,1120.0867999999994,1052,1557.6849999999999,2658.6999999999998,53.945999999999998,0.078,0,2240,4897600,34283200,34283200,0,0,34283200,68566400,21071013,34283200,34283200,23680,2026072001,2027381665,640,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,39,0,0,461,0.068000000000000005,0.068000000000000005,68566.399999999994,PASS,N640 NMS (α=0.80),9795.2,68566.4,68566.4,68566.4,0.10491586955889413,0.10803761981950934,0.8951464501266115,0.9424186065238385,True
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_SPA_BP,0,-2,-2,1.2905871926422474,0.79244659623055669,500,6780,292,0.045199999999999997,0.58399999999999996,22.942,32,32,32,0.41599999999999998,0.58399999999999996,3179.0868,3744.25,5674.0599999999995,6982.5,19.734000000000002,0.41599999999999998,0,2240,3670720,25695040,25695040,51390080,25695040,0,0,0,0,0,23680,2026072001,2027381665,640,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,208,0,0,292,1,1,51390.080000000002,PASS,N640 BP,7341.44,51390.08,51390.08,51390.08,0.044160292998653025,0.04626300101108245,0.5403165775956056,0.6264025332068537,True
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_NMS,0.80000000000000004,-2,-2,1.2905871926422474,0.79244659623055669,500,8849,327,0.058993333333333335,0.65400000000000003,24.896000000000001,32,32,32,0.34399999999999997,0.65600000000000003,887.85959999999989,970.54999999999995,1497.1949999999997,2340.5999999999999,30.359999999999999,0.34599999999999997,0,2240,3983360,27883520,27883520,0,0,27883520,55767040,17316023,27883520,27883520,23680,2026072001,2027381665,640,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,173,0,0,327,0.33800000000000002,0.33800000000000002,55767.040000000001,PASS,N640 NMS (α=0.80),7966.72,55767.04,55767.04,55767.04,0.05781224842919541,0.06019700577833921,0.6112729349259212,0.6943787682119209,True
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_SPA_BP,0,-1.5,-1.5,1.7905871926422474,0.70626877231137719,500,2110,100,0.014066666666666667,0.20000000000000001,12.592000000000001,7,32,32,0.80000000000000004,0.20000000000000001,1679.5459999999987,1019.55,4362.0049999999992,7145.1000000000004,5.968,0.80000000000000004,0,2240,2014720,14103040,14103040,28206080,14103040,0,0,0,0,0,23680,2026072001,2027381665,640,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,400,0,0,100,1,1,28206.080000000002,PASS,N640 BP,4029.44,28206.08,28206.08,28206.08,0.013483022205654017,0.014675199728817106,0.16728549897175743,0.23728910530517394,True
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_NMS,0.80000000000000004,-1.5,-1.5,1.7905871926422474,0.70626877231137719,500,2670,119,0.0178,0.23799999999999999,14.465999999999999,9,32,32,0.76000000000000001,0.23999999999999999,493.58899999999983,313.14999999999998,1180.3799999999983,2218,9.4420000000000002,0.76200000000000001,0,2240,2314560,16201920,16201920,0,0,16201920,32403840,10136619,16201920,16201920,23680,2026072001,2027381665,640,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,381,0,0,119,0.75,0.75,32403.84,PASS,N640 NMS (α=0.80),4629.12,32403.84,32403.84,32403.84,0.01714311035614334,0.018481587030607878,0.2027590191807921,0.2772361352210613,True
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_SPA_BP,0,-1,-1,2.2905871926422474,0.62946270589708364,500,416,20,0.0027733333333333334,0.040000000000000001,6.7779999999999996,5,19,32,0.95999999999999996,0.040000000000000001,938.69320000000005,683.79999999999995,2946.6300000000001,7587,1.1719999999999999,0.95999999999999996,0,2240,1084480,7591360,7591360,15182720,7591360,0,0,0,0,0,23680,2026072001,2027381665,640,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,480,0,0,20,1,1,15182.719999999999,PASS,N640 BP,2168.96,15182.72,15182.72,15182.72,0.0025196317508492496,0.003052501940474587,0.026040797389777257,0.060973595834850805,True
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_NMS,0.80000000000000004,-1,-1,2.2905871926422474,0.62946270589708364,500,419,23,0.0027933333333333334,0.045999999999999999,7.4539999999999997,6,28.049999999999955,32,0.95399999999999996,0.045999999999999999,259.04900000000009,183.90000000000001,849.05499999999972,1601.8,1.3160000000000001,0.95399999999999996,0,2240,1192640,8348480,8348480,0,0,8348480,16696960,5241324,8348480,8348480,23680,2026072001,2027381665,640,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,477,0,0,23,0.95199999999999996,0.95199999999999996,16696.959999999999,PASS,N640 NMS (α=0.80),2385.28,16696.96,16696.96,16696.96,0.002538677147173604,0.003073455519787447,0.030845108370816204,0.06807779276827323,True
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_SPA_BP,0,-0.5,-0.5,2.7905871926422474,0.56100922715098167,500,54,3,0.00036000000000000002,0.0060000000000000001,4.3760000000000003,4,7,32,0.99399999999999999,0.0060000000000000001,631.04540000000077,528.04999999999995,1209.1599999999996,5602.1999999999998,0.14999999999999999,0.99399999999999999,0,2240,700160,4901120,4901120,9802240,4901120,0,0,0,0,0,23680,2026072001,2027381665,640,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,497,0,0,3,1,1,9802.2399999999998,PASS,N640 BP,1400.32,9802.24,9802.24,9802.24,0.0002759466385769746,0.0004696439925229431,0.0020425962719602363,0.01749025210405338,True
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_NMS,0.80000000000000004,-0.5,-0.5,2.7905871926422474,0.56100922715098167,500,62,4,0.00041333333333333332,0.0080000000000000002,4.5999999999999996,4,7,32,0.99199999999999999,0.0080000000000000002,169.97099999999983,142.75,298.12499999999989,1586.5,0.28999999999999998,0.99199999999999999,0,2240,736000,5152000,5152000,0,0,5152000,10304000,3235901,5152000,5152000,23680,2026072001,2027381665,640,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,496,0,0,4,0.99199999999999999,0.99199999999999999,10304,PASS,N640 NMS (α=0.80),1472.0,10304.0,10304.0,10304.0,0.00032247212354078234,0.0005297824425917081,0.00311531518006224,0.020387035834105168,True
