channelType,profileId,caseName,snrDb,miscorrectionRate,decoderFailureRate
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,8.66185135655471,0.15440000000000001,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,8.861851356554709,0.14099999999999999,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,9.061851356554708,0.12559999999999999,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,9.261851356554711,0.1072,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,9.46185135655471,0.091399999999999995,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,9.66185135655471,0.076799999999999993,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,9.861851356554709,0.062,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,10.061851356554708,0.056800000000000003,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,10.261851356554711,0.050000000000000003,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,10.46185135655471,0.045400000000000003,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,10.66185135655471,0.033014196104324857,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,10.861851356554709,0.030184123151222458,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,11.061851356554708,0.025268477574226154,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,11.261851356554711,0.020727536532283139,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,11.46185135655471,0.019866891824774014,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,11.66185135655471,0.015273004963726614,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,11.861851356554709,0.012398487384539086,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,12.061851356554708,0.0093751464866638542,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,12.261851356554711,0.0081997458078799552,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,12.46185135655471,0.0067211076385388308,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,12.66185135655471,0.0054533060668029995,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,12.861851356554709,0.0040838829559144835,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,13.061851356554708,0.0032599999999999999,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,13.261851356554711,0.0028,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,13.46185135655471,0.0020400000000000001,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,13.66185135655471,0.0017600000000000001,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,13.861851356554709,0.0013600000000000001,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,14.061851356554708,0.00089999999999999998,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,14.261851356554711,0.00064000000000000005,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,14.46185135655471,0.00073999999999999999,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,5.065783148377649,0.00059999999999999995,0.55920000000000003
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,5.26578314837765,0.00020000000000000001,0.47860000000000003
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,5.46578314837765,0.00020000000000000001,0.40400000000000003
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,5.665783148377649,0.00020000000000000001,0.33200000000000002
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,5.865783148377649,0.00059999999999999995,0.27660000000000001
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,6.065783148377649,0.00040000000000000002,0.221
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,6.26578314837765,0.00040000000000000002,0.182
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,6.46578314837765,0.00040000000000000002,0.13400000000000001
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,6.665783148377649,0,0.10639999999999999
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,6.865783148377649,0,0.075200000000000003
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,7.065783148377649,0.00020000000000000001,0.057000000000000002
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,7.265783148377649,0,0.047
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,7.46578314837765,0.00015073861923424781,0.029996985227615316
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,7.665783148377649,0,0.021663778162911613
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,7.86578314837765,0,0.01494433236195173
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,8.06578314837765,0,0.012558284115635686
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,8.265783148377649,0,0.0076074553062000757
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,8.46578314837765,3.1778314478200079e-05,0.006355662895640015
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,8.665783148377649,2.3400570973931763e-05,0.0046567136238124208
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,8.86578314837765,2.0000000000000002e-05,0.0033400000000000001
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,9.06578314837765,0,0.0019
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,9.265783148377649,0,0.0015200000000000001
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,9.46578314837765,0,0.0013799999999999999
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B200,9.665783148377649,0,0.00058
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,6.53871964321762,0.65000000000000002,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,6.738719643217619,0.60419999999999996,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,6.93871964321762,0.55179999999999996,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,7.13871964321762,0.51200000000000001,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,7.338719643217621,0.4652,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,7.53871964321762,0.43319999999999997,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,7.738719643217619,0.38979999999999998,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,7.93871964321762,0.34799999999999998,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,8.13871964321762,0.31780000000000003,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,8.33871964321762,0.29160000000000003,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,8.53871964321762,0.2492,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,8.73871964321762,0.218,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,8.93871964321762,0.18579999999999999,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,9.13871964321762,0.1706,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,9.33871964321762,0.14779999999999999,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,9.53871964321762,0.12820000000000001,0
