channel,group,scheme,targetFer,awgnLeftEsN0,awgnRightEsN0,awgnLeftFer,awgnRightFer,channelLeftEsN0,channelRightEsN0,channelLeftFer,channelRightFer,awgnInterpolatedEsN0,channelInterpolatedEsN0,channelLossDb,coveredByData,reasonIfUnavailable
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,0.1,0.5,1.0,0.246,0.08254230293025175,4.0,4.5,0.11890606420927467,0.07097232079488999,0.9121540109667321,4.167779945796264,3.2556259348295318,True,
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,0.01,1.5,2.0,0.02670583522499666,0.006741042839327244,6.5,7.0,0.013513513513513514,0.008423535357789664,1.8567662599206183,6.8185214848259905,4.961755224905373,True,
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,0.1,4.5,5.0,0.12816,0.06208,7.5,8.0,0.11024226150078197,0.06673383034454967,4.671143945624201,7.597127783051905,2.9259838374277036,True,
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,0.01,6.0,6.5,0.01064,0.00338,9.5,10.0,0.0104,0.00534,6.027048473340943,9.529419352621328,3.5023708792803854,True,
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,0.1,-1.0,-0.5,0.17641743844590016,0.06298238255033557,,,,,-0.7244252720960742,,,False,No adjacent nonzero measured points bracket target; no extrapolation.
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,0.01,0.0,0.5,0.01926,0.00502,,,,,0.24373236760663416,,,False,No adjacent nonzero measured points bracket target; no extrapolation.
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,0.1,-1.5,-1.0,0.235,0.0451773209848656,-1.0,-0.5,0.17985611510791366,0.03648969166210546,-1.2409277278773017,-0.8160062338329568,0.42492149404434487,True,
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,0.01,-1.0,-0.5,0.0451773209848656,0.0041946308724832215,-0.5,0.0,0.03648969166210546,0.0036,-0.6827632641260875,-0.22055460295518714,0.4622086611709003,True,
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,0.1,0.5,1.0,0.246,0.08254230293025175,,,,,0.9121540109667321,,,False,No adjacent nonzero measured points bracket target; no extrapolation.
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,0.01,1.5,2.0,0.02670583522499666,0.006741042839327244,,,,,1.8567662599206183,,,False,No adjacent nonzero measured points bracket target; no extrapolation.
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,0.1,4.5,5.0,0.12816,0.06208,6.0,6.5,0.12658227848101267,0.08861320336730173,4.671143945624201,6.330502849520709,1.659358903896508,True,
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,0.01,6.0,6.5,0.01064,0.00338,,,,,6.027048473340943,,,False,No adjacent nonzero measured points bracket target; no extrapolation.
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,0.1,-1.0,-0.5,0.17641743844590016,0.06298238255033557,0.0,0.5,0.12819243013795542,0.04568,-0.7244252720960742,0.12034551101845362,0.8447707831145278,True,
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,0.01,0.0,0.5,0.01926,0.00502,1.0,1.5,0.0134,0.00344,0.24373236760663416,1.1076162752660361,0.8638839076594019,True,
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,0.1,-1.5,-1.0,0.235,0.0451773209848656,-1.0,-0.5,0.396,0.09950248756218906,-1.2409277278773017,-0.5018054689854343,0.7391222588918673,True,
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,0.01,-1.0,-0.5,0.0451773209848656,0.0041946308724832215,0.0,0.5,0.014149274849663955,0.0014,-0.6827632641260875,0.07502153120630127,0.7577847953323887,True,
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,0.1,0.5,1.0,0.246,0.08254230293025175,1.5,2.0,0.18674136321195145,0.06731740154830024,0.9121540109667321,1.8060623521029746,0.8939083411362425,True,
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,0.01,1.5,2.0,0.02670583522499666,0.006741042839327244,2.5,3.0,0.018353675323483528,0.005515871921453984,1.8567662599206183,2.75255560590981,0.8957893459891917,True,
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,0.1,4.5,5.0,0.12816,0.06208,5.5,6.0,0.10436,0.04978,4.671143945624201,5.528826237727925,0.8576822921037239,True,
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,0.01,6.0,6.5,0.01064,0.00338,6.5,7.0,0.02204,0.0083,6.027048473340943,6.904603258121592,0.8775547847806493,True,
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,0.1,-1.0,-0.5,0.17641743844590016,0.06298238255033557,,,,,-0.7244252720960742,,,False,No adjacent nonzero measured points bracket target; no extrapolation.
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,0.01,0.0,0.5,0.01926,0.00502,,,,,0.24373236760663416,,,False,No adjacent nonzero measured points bracket target; no extrapolation.
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,0.1,-1.5,-1.0,0.235,0.0451773209848656,3.5,4.0,0.10922992900054615,0.09615384615384616,-1.2409277278773017,3.8462000706868142,5.087127798564116,True,
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,0.01,-1.0,-0.5,0.0451773209848656,0.0041946308724832215,,,,,-0.6827632641260875,,,False,No adjacent nonzero measured points bracket target; no extrapolation.
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,0.1,0.5,1.0,0.246,0.08254230293025175,,,,,0.9121540109667321,,,False,No adjacent nonzero measured points bracket target; no extrapolation.
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,0.01,1.5,2.0,0.02670583522499666,0.006741042839327244,,,,,1.8567662599206183,,,False,No adjacent nonzero measured points bracket target; no extrapolation.
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,0.1,4.5,5.0,0.12816,0.06208,,,,,4.671143945624201,,,False,No adjacent nonzero measured points bracket target; no extrapolation.
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,0.01,6.0,6.5,0.01064,0.00338,,,,,6.027048473340943,,,False,No adjacent nonzero measured points bracket target; no extrapolation.
