metric,algorithm,targetPointIndex,targetErrorRate,referenceLength,candidateLength,referenceRequiredEbN0Db,candidateRequiredEbN0Db,relativeCodingGainDb,gainDirection,confidenceLevel,interpretation
BER,NMS,15,0.00010079937736159818,480,640,7.621236139632229,2.9030473674596626,4.718188772172566,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,15,0.00010079937736159818,560,640,8.115391787225407,2.9030473674596626,5.212344419765745,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,16,6.037420454076528e-05,480,560,7.875230864714477,8.388180710780503,-0.512949846066026,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
BER,NMS,16,6.037420454076528e-05,480,640,7.875230864714477,3.0034296955509925,4.871801169163485,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,16,6.037420454076528e-05,560,640,8.388180710780503,3.0034296955509925,5.384751015229511,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,17,3.6161379855098454e-05,480,560,8.127689031575935,8.69697723467129,-0.5692882030953559,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
BER,NMS,17,3.6161379855098454e-05,480,640,8.127689031575935,3.1038120236423223,5.023877007933613,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,17,3.6161379855098454e-05,560,640,8.69697723467129,3.1038120236423223,5.5931652110289685,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,18,2.165900822994338e-05,480,560,8.377250081010185,8.939715080102884,-0.5624649990926986,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
BER,NMS,18,2.165900822994338e-05,480,640,8.377250081010185,3.204194351733652,5.173055729276533,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,18,2.165900822994338e-05,560,640,8.939715080102884,3.204194351733652,5.735520728369232,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,19,1.2972752682130106e-05,480,560,8.62474916093522,9.179388347219678,-0.554639186284458,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
BER,NMS,19,1.2972752682130106e-05,480,640,8.62474916093522,3.304145495225096,5.320603665710124,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,19,1.2972752682130106e-05,560,640,9.179388347219678,3.304145495225096,5.875242851994582,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
