plotId,caseId,configurationId,legendLabel,xRaw,xDisplay,derivedEbN0Db,actualRate,yRaw,yPlot,yIsZero,framesProcessed,payloadBitsProcessed,plotSurrogateUsed
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,2,2,3.5381486434452905,0.70175438596491224,0.062869999999999995,0.062869999999999995,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,2.5,2.5,4.0381486434452905,0.70175438596491224,0.055219999999999998,0.055219999999999998,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,3,3,4.5381486434452905,0.70175438596491224,0.050955,0.050955,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,3.5,3.5,5.0381486434452905,0.70175438596491224,0.04727,0.04727,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,4,4,5.5381486434452905,0.70175438596491224,0.044760000000000001,0.044760000000000001,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,4.5,4.5,6.0381486434452905,0.70175438596491224,0.043139999999999998,0.043139999999999998,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,5,5,6.5381486434452905,0.70175438596491224,0.043104999999999997,0.043104999999999997,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,5.5,5.5,7.0381486434452905,0.70175438596491224,0.04231,0.04231,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,6,6,7.5381486434452905,0.70175438596491224,0.042325000000000002,0.042325000000000002,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,6.5,6.5,8.0381486434452896,0.70175438596491224,0.04197,0.04197,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,7,7,8.5381486434452896,0.70175438596491224,0.041564999999999998,0.041564999999999998,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,7.5,7.5,9.0381486434452896,0.70175438596491224,0.041739999999999999,0.041739999999999999,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,8,8,9.5381486434452896,0.70175438596491224,0.042235000000000002,0.042235000000000002,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,8.5,8.5,10.03814864344529,0.70175438596491224,0.041775,0.041775,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,9,9,10.53814864344529,0.70175438596491224,0.041954999999999999,0.041954999999999999,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,9.5,9.5,11.03814864344529,0.70175438596491224,0.042195000000000003,0.042195000000000003,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,10,10,11.53814864344529,0.70175438596491224,0.042095,0.042095,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,10.5,10.5,12.03814864344529,0.70175438596491224,0.042215000000000003,0.042215000000000003,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,11,11,12.53814864344529,0.70175438596491224,0.041895000000000002,0.041895000000000002,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,11.5,11.5,13.03814864344529,0.70175438596491224,0.042634999999999999,0.042634999999999999,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,12,12,13.53814864344529,0.70175438596491224,0.042174999999999997,0.042174999999999997,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,12.5,12.5,14.03814864344529,0.70175438596491224,0.041869999999999997,0.041869999999999997,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,13,13,14.53814864344529,0.70175438596491224,0.042009999999999999,0.042009999999999999,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,13.5,13.5,15.03814864344529,0.70175438596491224,0.04172,0.04172,false,1000,200000,false
