scheme,configurationId,comparisonRole,channelCondition,interleaver,payloadBits,encodedBits,actualRate,baseGraph,liftingSize,algorithm,alpha,maxIterations,EsN0Db,frames,bitErrors,frameErrors,BER,FER,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,avgIterations,edgeCount,avgEdgeMessageUpdates,avgTheoreticalOperationCount,decoderMemoryBytes,sourceCsvAbsolutePath,sourceRowNumber,sourceConfigurationId,sourceStage,sourceSha256,interpolated,synthetic
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,5.0,50000,0,0,0.0,0.0,54.520176,54.4,70.7,3554.0,1.00454,2240,2250.1696,14965.46924,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,166,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,5.5,50000,0,0,0.0,0.0,54.69897,54.2,70.2,3041.8,1.00114,2240,2242.5536,14921.0549,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,168,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,6.0,50000,0,0,0.0,0.0,55.67862,54.1,70.8,7157.0,1.00018,2240,2240.4032,14912.3223,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,170,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,6.5,50000,0,0,0.0,0.0,55.275204,53.9,71.1,10905.9,1.00006,2240,2240.1344,14915.5263,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,172,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,7.0,50000,0,0,0.0,0.0,54.891816,53.6,70.2,3661.0,1.00002,2240,2240.0448,14919.38566,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,174,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,7.5,50000,0,0,0.0,0.0,53.206362,52.7,68.5,4989.3,1.0,2240,2240.0,14923.00158,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,176,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,8.0,50000,0,0,0.0,0.0,52.974442,52.3,68.3,3557.0,1.0,2240,2240.0,14926.4086,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,178,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,8.5,50000,0,0,0.0,0.0,49.23689400000001,49.4,66.2,1752.1,1.0,2240,2240.0,14929.22378,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,180,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,9.0,50000,0,0,0.0,0.0,48.708614000000004,48.4,66.1,1553.1,1.0,2240,2240.0,14931.5319,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,182,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,9.5,50000,0,0,0.0,0.0,48.543085999999995,48.4,65.3,2573.1,1.0,2240,2240.0,14933.31034,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,184,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,10.0,50000,0,0,0.0,0.0,48.07338,47.6,64.9,1590.5,1.0,2240,2240.0,14934.57902,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,186,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
