messageIndex,errorPosition,receivedBits,syndromeBefore,syndromeAfter,lookupHit,correctedPosition,status,correctedCodeword,decodedMessage
3,8,000000001110101,1100,0000,true,8,CORRECTED_SINGLE_ERROR,000000000110101,00000000011
3,9,000000000010101,0110,0000,true,9,CORRECTED_SINGLE_ERROR,000000000110101,00000000011
3,10,000000000100101,0011,0000,true,10,CORRECTED_SINGLE_ERROR,000000000110101,00000000011
3,11,000000000111101,1000,0000,true,11,CORRECTED_SINGLE_ERROR,000000000110101,00000000011
3,12,000000000110001,0100,0000,true,12,CORRECTED_SINGLE_ERROR,000000000110101,00000000011
3,13,000000000110111,0010,0000,true,13,CORRECTED_SINGLE_ERROR,000000000110101,00000000011
3,14,000000000110100,0001,0000,true,14,CORRECTED_SINGLE_ERROR,000000000110101,00000000011
4,0,100000001001100,1001,0000,true,0,CORRECTED_SINGLE_ERROR,000000001001100,00000000100
4,1,010000001001100,1101,0000,true,1,CORRECTED_SINGLE_ERROR,000000001001100,00000000100
4,2,001000001001100,1111,0000,true,2,CORRECTED_SINGLE_ERROR,000000001001100,00000000100
4,3,000100001001100,1110,0000,true,3,CORRECTED_SINGLE_ERROR,000000001001100,00000000100
4,4,000010001001100,0111,0000,true,4,CORRECTED_SINGLE_ERROR,000000001001100,00000000100
4,5,000001001001100,1010,0000,true,5,CORRECTED_SINGLE_ERROR,000000001001100,00000000100
4,6,000000101001100,0101,0000,true,6,CORRECTED_SINGLE_ERROR,000000001001100,00000000100
4,7,000000011001100,1011,0000,true,7,CORRECTED_SINGLE_ERROR,000000001001100,00000000100
4,8,000000000001100,1100,0000,true,8,CORRECTED_SINGLE_ERROR,000000001001100,00000000100
4,9,000000001101100,0110,0000,true,9,CORRECTED_SINGLE_ERROR,000000001001100,00000000100
4,10,000000001011100,0011,0000,true,10,CORRECTED_SINGLE_ERROR,000000001001100,00000000100
4,11,000000001000100,1000,0000,true,11,CORRECTED_SINGLE_ERROR,000000001001100,00000000100
4,12,000000001001000,0100,0000,true,12,CORRECTED_SINGLE_ERROR,000000001001100,00000000100
4,13,000000001001110,0010,0000,true,13,CORRECTED_SINGLE_ERROR,000000001001100,00000000100
4,14,000000001001101,0001,0000,true,14,CORRECTED_SINGLE_ERROR,000000001001100,00000000100
5,0,100000001011111,1001,0000,true,0,CORRECTED_SINGLE_ERROR,000000001011111,00000000101
5,1,010000001011111,1101,0000,true,1,CORRECTED_SINGLE_ERROR,000000001011111,00000000101
5,2,001000001011111,1111,0000,true,2,CORRECTED_SINGLE_ERROR,000000001011111,00000000101
5,3,000100001011111,1110,0000,true,3,CORRECTED_SINGLE_ERROR,000000001011111,00000000101
5,4,000010001011111,0111,0000,true,4,CORRECTED_SINGLE_ERROR,000000001011111,00000000101
5,5,000001001011111,1010,0000,true,5,CORRECTED_SINGLE_ERROR,000000001011111,00000000101
5,6,000000101011111,0101,0000,true,6,CORRECTED_SINGLE_ERROR,000000001011111,00000000101
5,7,000000011011111,1011,0000,true,7,CORRECTED_SINGLE_ERROR,000000001011111,00000000101
5,8,000000000011111,1100,0000,true,8,CORRECTED_SINGLE_ERROR,000000001011111,00000000101
5,9,000000001111111,0110,0000,true,9,CORRECTED_SINGLE_ERROR,000000001011111,00000000101
5,10,000000001001111,0011,0000,true,10,CORRECTED_SINGLE_ERROR,000000001011111,00000000101
5,11,000000001010111,1000,0000,true,11,CORRECTED_SINGLE_ERROR,000000001011111,00000000101
5,12,000000001011011,0100,0000,true,12,CORRECTED_SINGLE_ERROR,000000001011111,00000000101
5,13,000000001011101,0010,0000,true,13,CORRECTED_SINGLE_ERROR,000000001011111,00000000101
5,14,000000001011110,0001,0000,true,14,CORRECTED_SINGLE_ERROR,000000001011111,00000000101
6,0,100000001101010,1001,0000,true,0,CORRECTED_SINGLE_ERROR,000000001101010,00000000110
6,1,010000001101010,1101,0000,true,1,CORRECTED_SINGLE_ERROR,000000001101010,00000000110
6,2,001000001101010,1111,0000,true,2,CORRECTED_SINGLE_ERROR,000000001101010,00000000110
6,3,000100001101010,1110,0000,true,3,CORRECTED_SINGLE_ERROR,000000001101010,00000000110
6,4,000010001101010,0111,0000,true,4,CORRECTED_SINGLE_ERROR,000000001101010,00000000110
