messageIndex,messageBits,receivedBits,syndromeBefore,syndromeAfter,lookupHit,correctedPosition,status,correctedCodeword,decodedMessage
56,00000111000,000001110000100,0000,0000,false,-1,NO_ERROR,000001110000100,00000111000
57,00000111001,000001110010111,0000,0000,false,-1,NO_ERROR,000001110010111,00000111001
58,00000111010,000001110100010,0000,0000,false,-1,NO_ERROR,000001110100010,00000111010
59,00000111011,000001110110001,0000,0000,false,-1,NO_ERROR,000001110110001,00000111011
60,00000111100,000001111001000,0000,0000,false,-1,NO_ERROR,000001111001000,00000111100
61,00000111101,000001111011011,0000,0000,false,-1,NO_ERROR,000001111011011,00000111101
62,00000111110,000001111101110,0000,0000,false,-1,NO_ERROR,000001111101110,00000111110
63,00000111111,000001111111101,0000,0000,false,-1,NO_ERROR,000001111111101,00000111111
64,00001000000,000010000000111,0000,0000,false,-1,NO_ERROR,000010000000111,00001000000
65,00001000001,000010000010100,0000,0000,false,-1,NO_ERROR,000010000010100,00001000001
66,00001000010,000010000100001,0000,0000,false,-1,NO_ERROR,000010000100001,00001000010
67,00001000011,000010000110010,0000,0000,false,-1,NO_ERROR,000010000110010,00001000011
68,00001000100,000010001001011,0000,0000,false,-1,NO_ERROR,000010001001011,00001000100
69,00001000101,000010001011000,0000,0000,false,-1,NO_ERROR,000010001011000,00001000101
70,00001000110,000010001101101,0000,0000,false,-1,NO_ERROR,000010001101101,00001000110
71,00001000111,000010001111110,0000,0000,false,-1,NO_ERROR,000010001111110,00001000111
72,00001001000,000010010001100,0000,0000,false,-1,NO_ERROR,000010010001100,00001001000
73,00001001001,000010010011111,0000,0000,false,-1,NO_ERROR,000010010011111,00001001001
74,00001001010,000010010101010,0000,0000,false,-1,NO_ERROR,000010010101010,00001001010
75,00001001011,000010010111001,0000,0000,false,-1,NO_ERROR,000010010111001,00001001011
76,00001001100,000010011000000,0000,0000,false,-1,NO_ERROR,000010011000000,00001001100
77,00001001101,000010011010011,0000,0000,false,-1,NO_ERROR,000010011010011,00001001101
78,00001001110,000010011100110,0000,0000,false,-1,NO_ERROR,000010011100110,00001001110
79,00001001111,000010011110101,0000,0000,false,-1,NO_ERROR,000010011110101,00001001111
80,00001010000,000010100000010,0000,0000,false,-1,NO_ERROR,000010100000010,00001010000
81,00001010001,000010100010001,0000,0000,false,-1,NO_ERROR,000010100010001,00001010001
82,00001010010,000010100100100,0000,0000,false,-1,NO_ERROR,000010100100100,00001010010
83,00001010011,000010100110111,0000,0000,false,-1,NO_ERROR,000010100110111,00001010011
84,00001010100,000010101001110,0000,0000,false,-1,NO_ERROR,000010101001110,00001010100
85,00001010101,000010101011101,0000,0000,false,-1,NO_ERROR,000010101011101,00001010101
86,00001010110,000010101101000,0000,0000,false,-1,NO_ERROR,000010101101000,00001010110
87,00001010111,000010101111011,0000,0000,false,-1,NO_ERROR,000010101111011,00001010111
88,00001011000,000010110001001,0000,0000,false,-1,NO_ERROR,000010110001001,00001011000
89,00001011001,000010110011010,0000,0000,false,-1,NO_ERROR,000010110011010,00001011001
90,00001011010,000010110101111,0000,0000,false,-1,NO_ERROR,000010110101111,00001011010
91,00001011011,000010110111100,0000,0000,false,-1,NO_ERROR,000010110111100,00001011011
92,00001011100,000010111000101,0000,0000,false,-1,NO_ERROR,000010111000101,00001011100
93,00001011101,000010111010110,0000,0000,false,-1,NO_ERROR,000010111010110,00001011101
94,00001011110,000010111100011,0000,0000,false,-1,NO_ERROR,000010111100011,00001011110
95,00001011111,000010111110000,0000,0000,false,-1,NO_ERROR,000010111110000,00001011111
96,00001100000,000011000001101,0000,0000,false,-1,NO_ERROR,000011000001101,00001100000
97,00001100001,000011000011110,0000,0000,false,-1,NO_ERROR,000011000011110,00001100001
98,00001100010,000011000101011,0000,0000,false,-1,NO_ERROR,000011000101011,00001100010
99,00001100011,000011000111000,0000,0000,false,-1,NO_ERROR,000011000111000,00001100011
100,00001100100,000011001000001,0000,0000,false,-1,NO_ERROR,000011001000001,00001100100
101,00001100101,000011001010010,0000,0000,false,-1,NO_ERROR,000011001010010,00001100101
102,00001100110,000011001100111,0000,0000,false,-1,NO_ERROR,000011001100111,00001100110
103,00001100111,000011001110100,0000,0000,false,-1,NO_ERROR,000011001110100,00001100111
104,00001101000,000011010000110,0000,0000,false,-1,NO_ERROR,000011010000110,00001101000
105,00001101001,000011010010101,0000,0000,false,-1,NO_ERROR,000011010010101,00001101001
106,00001101010,000011010100000,0000,0000,false,-1,NO_ERROR,000011010100000,00001101010
107,00001101011,000011010110011,0000,0000,false,-1,NO_ERROR,000011010110011,00001101011
108,00001101100,000011011001010,0000,0000,false,-1,NO_ERROR,000011011001010,00001101100
109,00001101101,000011011011001,0000,0000,false,-1,NO_ERROR,000011011011001,00001101101
110,00001101110,000011011101100,0000,0000,false,-1,NO_ERROR,000011011101100,00001101110
111,00001101111,000011011111111,0000,0000,false,-1,NO_ERROR,000011011111111,00001101111
112,00001110000,000011100001000,0000,0000,false,-1,NO_ERROR,000011100001000,00001110000
113,00001110001,000011100011011,0000,0000,false,-1,NO_ERROR,000011100011011,00001110001
114,00001110010,000011100101110,0000,0000,false,-1,NO_ERROR,000011100101110,00001110010
115,00001110011,000011100111101,0000,0000,false,-1,NO_ERROR,000011100111101,00001110011
116,00001110100,000011101000100,0000,0000,false,-1,NO_ERROR,000011101000100,00001110100
117,00001110101,000011101010111,0000,0000,false,-1,NO_ERROR,000011101010111,00001110101
118,00001110110,000011101100010,0000,0000,false,-1,NO_ERROR,000011101100010,00001110110
119,00001110111,000011101110001,0000,0000,false,-1,NO_ERROR,000011101110001,00001110111
120,00001111000,000011110000011,0000,0000,false,-1,NO_ERROR,000011110000011,00001111000
121,00001111001,000011110010000,0000,0000,false,-1,NO_ERROR,000011110010000,00001111001
122,00001111010,000011110100101,0000,0000,false,-1,NO_ERROR,000011110100101,00001111010
123,00001111011,000011110110110,0000,0000,false,-1,NO_ERROR,000011110110110,00001111011
124,00001111100,000011111001111,0000,0000,false,-1,NO_ERROR,000011111001111,00001111100
125,00001111101,000011111011100,0000,0000,false,-1,NO_ERROR,000011111011100,00001111101
126,00001111110,000011111101001,0000,0000,false,-1,NO_ERROR,000011111101001,00001111110
127,00001111111,000011111111010,0000,0000,false,-1,NO_ERROR,000011111111010,00001111111
128,00010000000,000100000001110,0000,0000,false,-1,NO_ERROR,000100000001110,00010000000
129,00010000001,000100000011101,0000,0000,false,-1,NO_ERROR,000100000011101,00010000001
130,00010000010,000100000101000,0000,0000,false,-1,NO_ERROR,000100000101000,00010000010
131,00010000011,000100000111011,0000,0000,false,-1,NO_ERROR,000100000111011,00010000011
132,00010000100,000100001000010,0000,0000,false,-1,NO_ERROR,000100001000010,00010000100
133,00010000101,000100001010001,0000,0000,false,-1,NO_ERROR,000100001010001,00010000101
134,00010000110,000100001100100,0000,0000,false,-1,NO_ERROR,000100001100100,00010000110
135,00010000111,000100001110111,0000,0000,false,-1,NO_ERROR,000100001110111,00010000111
136,00010001000,000100010000101,0000,0000,false,-1,NO_ERROR,000100010000101,00010001000
137,00010001001,000100010010110,0000,0000,false,-1,NO_ERROR,000100010010110,00010001001
138,00010001010,000100010100011,0000,0000,false,-1,NO_ERROR,000100010100011,00010001010
139,00010001011,000100010110000,0000,0000,false,-1,NO_ERROR,000100010110000,00010001011
140,00010001100,000100011001001,0000,0000,false,-1,NO_ERROR,000100011001001,00010001100
141,00010001101,000100011011010,0000,0000,false,-1,NO_ERROR,000100011011010,00010001101
142,00010001110,000100011101111,0000,0000,false,-1,NO_ERROR,000100011101111,00010001110
143,00010001111,000100011111100,0000,0000,false,-1,NO_ERROR,000100011111100,00010001111
144,00010010000,000100100001011,0000,0000,false,-1,NO_ERROR,000100100001011,00010010000
145,00010010001,000100100011000,0000,0000,false,-1,NO_ERROR,000100100011000,00010010001
146,00010010010,000100100101101,0000,0000,false,-1,NO_ERROR,000100100101101,00010010010
147,00010010011,000100100111110,0000,0000,false,-1,NO_ERROR,000100100111110,00010010011
148,00010010100,000100101000111,0000,0000,false,-1,NO_ERROR,000100101000111,00010010100
149,00010010101,000100101010100,0000,0000,false,-1,NO_ERROR,000100101010100,00010010101
150,00010010110,000100101100001,0000,0000,false,-1,NO_ERROR,000100101100001,00010010110
151,00010010111,000100101110010,0000,0000,false,-1,NO_ERROR,000100101110010,00010010111
152,00010011000,000100110000000,0000,0000,false,-1,NO_ERROR,000100110000000,00010011000
153,00010011001,000100110010011,0000,0000,false,-1,NO_ERROR,000100110010011,00010011001
154,00010011010,000100110100110,0000,0000,false,-1,NO_ERROR,000100110100110,00010011010
155,00010011011,000100110110101,0000,0000,false,-1,NO_ERROR,000100110110101,00010011011
156,00010011100,000100111001100,0000,0000,false,-1,NO_ERROR,000100111001100,00010011100
157,00010011101,000100111011111,0000,0000,false,-1,NO_ERROR,000100111011111,00010011101
158,00010011110,000100111101010,0000,0000,false,-1,NO_ERROR,000100111101010,00010011110
159,00010011111,000100111111001,0000,0000,false,-1,NO_ERROR,000100111111001,00010011111
160,00010100000,000101000000100,0000,0000,false,-1,NO_ERROR,000101000000100,00010100000
161,00010100001,000101000010111,0000,0000,false,-1,NO_ERROR,000101000010111,00010100001
162,00010100010,000101000100010,0000,0000,false,-1,NO_ERROR,000101000100010,00010100010
163,00010100011,000101000110001,0000,0000,false,-1,NO_ERROR,000101000110001,00010100011
164,00010100100,000101001001000,0000,0000,false,-1,NO_ERROR,000101001001000,00010100100
165,00010100101,000101001011011,0000,0000,false,-1,NO_ERROR,000101001011011,00010100101
166,00010100110,000101001101110,0000,0000,false,-1,NO_ERROR,000101001101110,00010100110
167,00010100111,000101001111101,0000,0000,false,-1,NO_ERROR,000101001111101,00010100111
168,00010101000,000101010001111,0000,0000,false,-1,NO_ERROR,000101010001111,00010101000
169,00010101001,000101010011100,0000,0000,false,-1,NO_ERROR,000101010011100,00010101001
170,00010101010,000101010101001,0000,0000,false,-1,NO_ERROR,000101010101001,00010101010
171,00010101011,000101010111010,0000,0000,false,-1,NO_ERROR,000101010111010,00010101011
172,00010101100,000101011000011,0000,0000,false,-1,NO_ERROR,000101011000011,00010101100
173,00010101101,000101011010000,0000,0000,false,-1,NO_ERROR,000101011010000,00010101101
174,00010101110,000101011100101,0000,0000,false,-1,NO_ERROR,000101011100101,00010101110
175,00010101111,000101011110110,0000,0000,false,-1,NO_ERROR,000101011110110,00010101111
176,00010110000,000101100000001,0000,0000,false,-1,NO_ERROR,000101100000001,00010110000
177,00010110001,000101100010010,0000,0000,false,-1,NO_ERROR,000101100010010,00010110001
178,00010110010,000101100100111,0000,0000,false,-1,NO_ERROR,000101100100111,00010110010
179,00010110011,000101100110100,0000,0000,false,-1,NO_ERROR,000101100110100,00010110011
180,00010110100,000101101001101,0000,0000,false,-1,NO_ERROR,000101101001101,00010110100
181,00010110101,000101101011110,0000,0000,false,-1,NO_ERROR,000101101011110,00010110101
182,00010110110,000101101101011,0000,0000,false,-1,NO_ERROR,000101101101011,00010110110
183,00010110111,000101101111000,0000,0000,false,-1,NO_ERROR,000101101111000,00010110111
184,00010111000,000101110001010,0000,0000,false,-1,NO_ERROR,000101110001010,00010111000
185,00010111001,000101110011001,0000,0000,false,-1,NO_ERROR,000101110011001,00010111001
186,00010111010,000101110101100,0000,0000,false,-1,NO_ERROR,000101110101100,00010111010
187,00010111011,000101110111111,0000,0000,false,-1,NO_ERROR,000101110111111,00010111011
188,00010111100,000101111000110,0000,0000,false,-1,NO_ERROR,000101111000110,00010111100
189,00010111101,000101111010101,0000,0000,false,-1,NO_ERROR,000101111010101,00010111101
190,00010111110,000101111100000,0000,0000,false,-1,NO_ERROR,000101111100000,00010111110
191,00010111111,000101111110011,0000,0000,false,-1,NO_ERROR,000101111110011,00010111111
192,00011000000,000110000001001,0000,0000,false,-1,NO_ERROR,000110000001001,00011000000
193,00011000001,000110000011010,0000,0000,false,-1,NO_ERROR,000110000011010,00011000001
194,00011000010,000110000101111,0000,0000,false,-1,NO_ERROR,000110000101111,00011000010
195,00011000011,000110000111100,0000,0000,false,-1,NO_ERROR,000110000111100,00011000011
196,00011000100,000110001000101,0000,0000,false,-1,NO_ERROR,000110001000101,00011000100
197,00011000101,000110001010110,0000,0000,false,-1,NO_ERROR,000110001010110,00011000101
198,00011000110,000110001100011,0000,0000,false,-1,NO_ERROR,000110001100011,00011000110
199,00011000111,000110001110000,0000,0000,false,-1,NO_ERROR,000110001110000,00011000111
200,00011001000,000110010000010,0000,0000,false,-1,NO_ERROR,000110010000010,00011001000
201,00011001001,000110010010001,0000,0000,false,-1,NO_ERROR,000110010010001,00011001001
202,00011001010,000110010100100,0000,0000,false,-1,NO_ERROR,000110010100100,00011001010
203,00011001011,000110010110111,0000,0000,false,-1,NO_ERROR,000110010110111,00011001011
204,00011001100,000110011001110,0000,0000,false,-1,NO_ERROR,000110011001110,00011001100
205,00011001101,000110011011101,0000,0000,false,-1,NO_ERROR,000110011011101,00011001101
206,00011001110,000110011101000,0000,0000,false,-1,NO_ERROR,000110011101000,00011001110
207,00011001111,000110011111011,0000,0000,false,-1,NO_ERROR,000110011111011,00011001111
208,00011010000,000110100001100,0000,0000,false,-1,NO_ERROR,000110100001100,00011010000
209,00011010001,000110100011111,0000,0000,false,-1,NO_ERROR,000110100011111,00011010001
210,00011010010,000110100101010,0000,0000,false,-1,NO_ERROR,000110100101010,00011010010
211,00011010011,000110100111001,0000,0000,false,-1,NO_ERROR,000110100111001,00011010011
212,00011010100,000110101000000,0000,0000,false,-1,NO_ERROR,000110101000000,00011010100
213,00011010101,000110101010011,0000,0000,false,-1,NO_ERROR,000110101010011,00011010101
214,00011010110,000110101100110,0000,0000,false,-1,NO_ERROR,000110101100110,00011010110
215,00011010111,000110101110101,0000,0000,false,-1,NO_ERROR,000110101110101,00011010111
216,00011011000,000110110000111,0000,0000,false,-1,NO_ERROR,000110110000111,00011011000
217,00011011001,000110110010100,0000,0000,false,-1,NO_ERROR,000110110010100,00011011001
218,00011011010,000110110100001,0000,0000,false,-1,NO_ERROR,000110110100001,00011011010
219,00011011011,000110110110010,0000,0000,false,-1,NO_ERROR,000110110110010,00011011011
220,00011011100,000110111001011,0000,0000,false,-1,NO_ERROR,000110111001011,00011011100
221,00011011101,000110111011000,0000,0000,false,-1,NO_ERROR,000110111011000,00011011101
222,00011011110,000110111101101,0000,0000,false,-1,NO_ERROR,000110111101101,00011011110
223,00011011111,000110111111110,0000,0000,false,-1,NO_ERROR,000110111111110,00011011111
224,00011100000,000111000000011,0000,0000,false,-1,NO_ERROR,000111000000011,00011100000
225,00011100001,000111000010000,0000,0000,false,-1,NO_ERROR,000111000010000,00011100001
226,00011100010,000111000100101,0000,0000,false,-1,NO_ERROR,000111000100101,00011100010
227,00011100011,000111000110110,0000,0000,false,-1,NO_ERROR,000111000110110,00011100011
228,00011100100,000111001001111,0000,0000,false,-1,NO_ERROR,000111001001111,00011100100
229,00011100101,000111001011100,0000,0000,false,-1,NO_ERROR,000111001011100,00011100101
230,00011100110,000111001101001,0000,0000,false,-1,NO_ERROR,000111001101001,00011100110
231,00011100111,000111001111010,0000,0000,false,-1,NO_ERROR,000111001111010,00011100111
232,00011101000,000111010001000,0000,0000,false,-1,NO_ERROR,000111010001000,00011101000
233,00011101001,000111010011011,0000,0000,false,-1,NO_ERROR,000111010011011,00011101001
234,00011101010,000111010101110,0000,0000,false,-1,NO_ERROR,000111010101110,00011101010
235,00011101011,000111010111101,0000,0000,false,-1,NO_ERROR,000111010111101,00011101011
236,00011101100,000111011000100,0000,0000,false,-1,NO_ERROR,000111011000100,00011101100
237,00011101101,000111011010111,0000,0000,false,-1,NO_ERROR,000111011010111,00011101101
238,00011101110,000111011100010,0000,0000,false,-1,NO_ERROR,000111011100010,00011101110
239,00011101111,000111011110001,0000,0000,false,-1,NO_ERROR,000111011110001,00011101111
240,00011110000,000111100000110,0000,0000,false,-1,NO_ERROR,000111100000110,00011110000
241,00011110001,000111100010101,0000,0000,false,-1,NO_ERROR,000111100010101,00011110001
242,00011110010,000111100100000,0000,0000,false,-1,NO_ERROR,000111100100000,00011110010
243,00011110011,000111100110011,0000,0000,false,-1,NO_ERROR,000111100110011,00011110011
244,00011110100,000111101001010,0000,0000,false,-1,NO_ERROR,000111101001010,00011110100
245,00011110101,000111101011001,0000,0000,false,-1,NO_ERROR,000111101011001,00011110101
246,00011110110,000111101101100,0000,0000,false,-1,NO_ERROR,000111101101100,00011110110
247,00011110111,000111101111111,0000,0000,false,-1,NO_ERROR,000111101111111,00011110111
248,00011111000,000111110001101,0000,0000,false,-1,NO_ERROR,000111110001101,00011111000
249,00011111001,000111110011110,0000,0000,false,-1,NO_ERROR,000111110011110,00011111001
250,00011111010,000111110101011,0000,0000,false,-1,NO_ERROR,000111110101011,00011111010
251,00011111011,000111110111000,0000,0000,false,-1,NO_ERROR,000111110111000,00011111011
252,00011111100,000111111000001,0000,0000,false,-1,NO_ERROR,000111111000001,00011111100
253,00011111101,000111111010010,0000,0000,false,-1,NO_ERROR,000111111010010,00011111101
254,00011111110,000111111100111,0000,0000,false,-1,NO_ERROR,000111111100111,00011111110
255,00011111111,000111111110100,0000,0000,false,-1,NO_ERROR,000111111110100,00011111111
256,00100000000,001000000001111,0000,0000,false,-1,NO_ERROR,001000000001111,00100000000
257,00100000001,001000000011100,0000,0000,false,-1,NO_ERROR,001000000011100,00100000001
258,00100000010,001000000101001,0000,0000,false,-1,NO_ERROR,001000000101001,00100000010
259,00100000011,001000000111010,0000,0000,false,-1,NO_ERROR,001000000111010,00100000011
260,00100000100,001000001000011,0000,0000,false,-1,NO_ERROR,001000001000011,00100000100
261,00100000101,001000001010000,0000,0000,false,-1,NO_ERROR,001000001010000,00100000101
262,00100000110,001000001100101,0000,0000,false,-1,NO_ERROR,001000001100101,00100000110
263,00100000111,001000001110110,0000,0000,false,-1,NO_ERROR,001000001110110,00100000111
264,00100001000,001000010000100,0000,0000,false,-1,NO_ERROR,001000010000100,00100001000
265,00100001001,001000010010111,0000,0000,false,-1,NO_ERROR,001000010010111,00100001001
266,00100001010,001000010100010,0000,0000,false,-1,NO_ERROR,001000010100010,00100001010
267,00100001011,001000010110001,0000,0000,false,-1,NO_ERROR,001000010110001,00100001011
268,00100001100,001000011001000,0000,0000,false,-1,NO_ERROR,001000011001000,00100001100
269,00100001101,001000011011011,0000,0000,false,-1,NO_ERROR,001000011011011,00100001101
270,00100001110,001000011101110,0000,0000,false,-1,NO_ERROR,001000011101110,00100001110
271,00100001111,001000011111101,0000,0000,false,-1,NO_ERROR,001000011111101,00100001111
272,00100010000,001000100001010,0000,0000,false,-1,NO_ERROR,001000100001010,00100010000
273,00100010001,001000100011001,0000,0000,false,-1,NO_ERROR,001000100011001,00100010001
274,00100010010,001000100101100,0000,0000,false,-1,NO_ERROR,001000100101100,00100010010
275,00100010011,001000100111111,0000,0000,false,-1,NO_ERROR,001000100111111,00100010011
276,00100010100,001000101000110,0000,0000,false,-1,NO_ERROR,001000101000110,00100010100
277,00100010101,001000101010101,0000,0000,false,-1,NO_ERROR,001000101010101,00100010101
278,00100010110,001000101100000,0000,0000,false,-1,NO_ERROR,001000101100000,00100010110
279,00100010111,001000101110011,0000,0000,false,-1,NO_ERROR,001000101110011,00100010111
280,00100011000,001000110000001,0000,0000,false,-1,NO_ERROR,001000110000001,00100011000
281,00100011001,001000110010010,0000,0000,false,-1,NO_ERROR,001000110010010,00100011001
282,00100011010,001000110100111,0000,0000,false,-1,NO_ERROR,001000110100111,00100011010
283,00100011011,001000110110100,0000,0000,false,-1,NO_ERROR,001000110110100,00100011011
284,00100011100,001000111001101,0000,0000,false,-1,NO_ERROR,001000111001101,00100011100
285,00100011101,001000111011110,0000,0000,false,-1,NO_ERROR,001000111011110,00100011101
286,00100011110,001000111101011,0000,0000,false,-1,NO_ERROR,001000111101011,00100011110
287,00100011111,001000111111000,0000,0000,false,-1,NO_ERROR,001000111111000,00100011111
288,00100100000,001001000000101,0000,0000,false,-1,NO_ERROR,001001000000101,00100100000
289,00100100001,001001000010110,0000,0000,false,-1,NO_ERROR,001001000010110,00100100001
290,00100100010,001001000100011,0000,0000,false,-1,NO_ERROR,001001000100011,00100100010
291,00100100011,001001000110000,0000,0000,false,-1,NO_ERROR,001001000110000,00100100011
292,00100100100,001001001001001,0000,0000,false,-1,NO_ERROR,001001001001001,00100100100
293,00100100101,001001001011010,0000,0000,false,-1,NO_ERROR,001001001011010,00100100101
294,00100100110,001001001101111,0000,0000,false,-1,NO_ERROR,001001001101111,00100100110
295,00100100111,001001001111100,0000,0000,false,-1,NO_ERROR,001001001111100,00100100111
296,00100101000,001001010001110,0000,0000,false,-1,NO_ERROR,001001010001110,00100101000
297,00100101001,001001010011101,0000,0000,false,-1,NO_ERROR,001001010011101,00100101001
298,00100101010,001001010101000,0000,0000,false,-1,NO_ERROR,001001010101000,00100101010
299,00100101011,001001010111011,0000,0000,false,-1,NO_ERROR,001001010111011,00100101011
300,00100101100,001001011000010,0000,0000,false,-1,NO_ERROR,001001011000010,00100101100
301,00100101101,001001011010001,0000,0000,false,-1,NO_ERROR,001001011010001,00100101101
302,00100101110,001001011100100,0000,0000,false,-1,NO_ERROR,001001011100100,00100101110
303,00100101111,001001011110111,0000,0000,false,-1,NO_ERROR,001001011110111,00100101111
304,00100110000,001001100000000,0000,0000,false,-1,NO_ERROR,001001100000000,00100110000
305,00100110001,001001100010011,0000,0000,false,-1,NO_ERROR,001001100010011,00100110001
306,00100110010,001001100100110,0000,0000,false,-1,NO_ERROR,001001100100110,00100110010
307,00100110011,001001100110101,0000,0000,false,-1,NO_ERROR,001001100110101,00100110011
308,00100110100,001001101001100,0000,0000,false,-1,NO_ERROR,001001101001100,00100110100
309,00100110101,001001101011111,0000,0000,false,-1,NO_ERROR,001001101011111,00100110101
310,00100110110,001001101101010,0000,0000,false,-1,NO_ERROR,001001101101010,00100110110
311,00100110111,001001101111001,0000,0000,false,-1,NO_ERROR,001001101111001,00100110111
312,00100111000,001001110001011,0000,0000,false,-1,NO_ERROR,001001110001011,00100111000
313,00100111001,001001110011000,0000,0000,false,-1,NO_ERROR,001001110011000,00100111001
314,00100111010,001001110101101,0000,0000,false,-1,NO_ERROR,001001110101101,00100111010
315,00100111011,001001110111110,0000,0000,false,-1,NO_ERROR,001001110111110,00100111011
316,00100111100,001001111000111,0000,0000,false,-1,NO_ERROR,001001111000111,00100111100
317,00100111101,001001111010100,0000,0000,false,-1,NO_ERROR,001001111010100,00100111101
318,00100111110,001001111100001,0000,0000,false,-1,NO_ERROR,001001111100001,00100111110
319,00100111111,001001111110010,0000,0000,false,-1,NO_ERROR,001001111110010,00100111111
320,00101000000,001010000001000,0000,0000,false,-1,NO_ERROR,001010000001000,00101000000
321,00101000001,001010000011011,0000,0000,false,-1,NO_ERROR,001010000011011,00101000001
