caseId,legendLabel,styleId,waveformSnrIndex,waveformSnrDb,actualRate,derivedEbn0Db,sigma2,rawY,plotY,isZeroObserved,plotSurrogateUsed,plotSurrogateFormula,plotRenderRule,stopReason,sourceCsv,sourceRowId
K200_S15,分块200,STYLE_1,20,10,0.70175438596491224,8.5278486868054788,0.10000000000000001,0.0063899999999999998,0.0063899999999999998,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:20
K200_S15,分块200,STYLE_1,21,10.5,0.70175438596491224,9.0278486868054788,0.089125093813374537,0.0041250000000000002,0.0041250000000000002,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:21
K200_S15,分块200,STYLE_1,22,11,0.70175438596491224,9.5278486868054788,0.079432823472428138,0.0031250000000000002,0.0031250000000000002,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:22
K200_S15,分块200,STYLE_1,23,11.5,0.70175438596491224,10.027848686805479,0.070794578438413802,0.0024483082706766917,0.0024483082706766917,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:23
K200_S15,分块200,STYLE_1,24,12,0.70175438596491224,10.527848686805479,0.063095734448019331,0.0016644385026737968,0.0016644385026737968,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:24
K200_S15,分块200,STYLE_1,25,12.5,0.70175438596491224,11.027848686805479,0.056234132519034905,0.0013333333333333333,0.0013333333333333333,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:25
K200_S15,分块200,STYLE_1,26,13,0.70175438596491224,11.527848686805479,0.050118723362727227,0.00083851948902718639,0.00083851948902718639,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:26
K200_S15,分块200,STYLE_1,27,13.5,0.70175438596491224,12.027848686805479,0.0446683592150963,0.00050201207243460761,0.00050201207243460761,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:27
K200_S15,分块200,STYLE_1,28,14,0.70175438596491224,12.527848686805479,0.039810717055349734,0.00032306487403733195,0.00032306487403733195,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:28
K200_S15,分块200,STYLE_1,29,14.5,0.70175438596491224,13.027848686805479,0.035481338923357551,0.0002086399445935417,0.0002086399445935417,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:29
K200_S15,分块200,STYLE_1,30,15,0.70175438596491224,13.527848686805479,0.031622776601683791,0.00013421329931784151,0.00013421329931784151,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:30
K200_S15,分块200,STYLE_1,31,15.5,0.70175438596491224,14.027848686805479,0.028183829312644536,7.759186351706037e-05,7.759186351706037e-05,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:31
K200_S15,分块200,STYLE_1,32,16,0.70175438596491224,14.527848686805479,0.025118864315095794,4.0399999999999999e-05,4.0399999999999999e-05,false,false,NONE,OMIT_MAX_FRAMES_CENSORED_FROM_LOG_CURVE,MAX_FRAMES_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:32
K200_S15,分块200,STYLE_1,33,16.5,0.70175438596491224,15.027848686805479,0.022387211385683402,2.5599999999999999e-05,2.5599999999999999e-05,false,false,NONE,OMIT_MAX_FRAMES_CENSORED_FROM_LOG_CURVE,MAX_FRAMES_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:33
