metric,algorithm,targetPointIndex,comparison,confidenceLevel,referenceConfidence,candidateConfidence,valid
BER,BP,23,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,BP,23,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,BP,23,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
BER,BP,24,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,BP,24,N640 relative to N480,LOW,MEDIUM,LOW,true
BER,BP,24,N640 relative to N560,LOW,MEDIUM,LOW,true
FER,BP,0,N560 relative to N480,LOW,LOW,LOW,true
FER,BP,0,N640 relative to N480,LOW,LOW,LOW,true
FER,BP,0,N640 relative to N560,LOW,LOW,LOW,true
FER,BP,1,N560 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,1,N640 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,1,N640 relative to N560,HIGH,HIGH,HIGH,true
FER,BP,2,N560 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,2,N640 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,2,N640 relative to N560,HIGH,HIGH,HIGH,true
FER,BP,3,N560 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,3,N640 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,3,N640 relative to N560,HIGH,HIGH,HIGH,true
FER,BP,4,N560 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,4,N640 relative to N480,MEDIUM,HIGH,MEDIUM,true
FER,BP,4,N640 relative to N560,MEDIUM,HIGH,MEDIUM,true
FER,BP,5,N560 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,5,N640 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,5,N640 relative to N560,HIGH,HIGH,HIGH,true
FER,BP,6,N560 relative to N480,LOW,HIGH,LOW,true
FER,BP,6,N640 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,6,N640 relative to N560,LOW,LOW,HIGH,true
FER,BP,7,N560 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,7,N640 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,7,N640 relative to N560,HIGH,HIGH,HIGH,true
FER,BP,8,N560 relative to N480,MEDIUM,HIGH,MEDIUM,true
FER,BP,8,N640 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,8,N640 relative to N560,MEDIUM,MEDIUM,HIGH,true
FER,BP,9,N560 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,9,N640 relative to N480,MEDIUM,HIGH,MEDIUM,true
FER,BP,9,N640 relative to N560,MEDIUM,HIGH,MEDIUM,true
FER,BP,10,N560 relative to N480,MEDIUM,MEDIUM,HIGH,true
FER,BP,10,N640 relative to N480,MEDIUM,MEDIUM,HIGH,true
FER,BP,10,N640 relative to N560,HIGH,HIGH,HIGH,true
FER,BP,11,N560 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,11,N640 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,11,N640 relative to N560,HIGH,HIGH,HIGH,true
FER,BP,12,N560 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,12,N640 relative to N480,HIGH,HIGH,HIGH,true
FER,BP,12,N640 relative to N560,HIGH,HIGH,HIGH,true
FER,BP,13,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,13,N640 relative to N480,MEDIUM,MEDIUM,HIGH,true
FER,BP,13,N640 relative to N560,MEDIUM,MEDIUM,HIGH,true
FER,BP,14,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,14,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,14,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,15,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,15,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,15,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,16,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,16,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,16,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,17,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,17,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,17,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,18,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,18,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,18,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,19,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,19,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,19,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,20,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,20,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,20,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,21,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,21,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,21,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,22,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,22,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,22,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,23,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,23,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,23,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,24,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,BP,24,N640 relative to N480,LOW,MEDIUM,LOW,true
FER,BP,24,N640 relative to N560,LOW,MEDIUM,LOW,true
BER,NMS,0,N560 relative to N480,LOW,LOW,MEDIUM,true
BER,NMS,0,N640 relative to N480,LOW,LOW,HIGH,true
BER,NMS,0,N640 relative to N560,MEDIUM,MEDIUM,HIGH,true
BER,NMS,1,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,1,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,1,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,NMS,2,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,2,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,2,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,NMS,3,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,NMS,3,N640 relative to N480,MEDIUM,MEDIUM,HIGH,true
BER,NMS,3,N640 relative to N560,MEDIUM,MEDIUM,HIGH,true
BER,NMS,4,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,4,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,4,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,NMS,5,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,5,N640 relative to N480,MEDIUM,HIGH,MEDIUM,true
BER,NMS,5,N640 relative to N560,MEDIUM,HIGH,MEDIUM,true
BER,NMS,6,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,6,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,6,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,NMS,7,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,7,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,7,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,NMS,8,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,8,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,8,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,NMS,9,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,9,N640 relative to N480,MEDIUM,HIGH,MEDIUM,true
BER,NMS,9,N640 relative to N560,MEDIUM,HIGH,MEDIUM,true
BER,NMS,10,N560 relative to N480,LOW,HIGH,LOW,true
BER,NMS,10,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,10,N640 relative to N560,LOW,LOW,HIGH,true
BER,NMS,11,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,11,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,11,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,NMS,12,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,12,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,12,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,NMS,13,N560 relative to N480,MEDIUM,MEDIUM,HIGH,true
BER,NMS,13,N640 relative to N480,MEDIUM,MEDIUM,HIGH,true
BER,NMS,13,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,NMS,14,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,14,N640 relative to N480,MEDIUM,HIGH,MEDIUM,true
BER,NMS,14,N640 relative to N560,MEDIUM,HIGH,MEDIUM,true
BER,NMS,15,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,15,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,15,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,NMS,16,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,16,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,16,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,NMS,17,N560 relative to N480,MEDIUM,HIGH,MEDIUM,true
BER,NMS,17,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,17,N640 relative to N560,MEDIUM,MEDIUM,HIGH,true
BER,NMS,18,N560 relative to N480,MEDIUM,HIGH,MEDIUM,true
BER,NMS,18,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,NMS,18,N640 relative to N560,MEDIUM,MEDIUM,HIGH,true
BER,NMS,19,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,NMS,19,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,NMS,19,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
BER,NMS,20,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,NMS,20,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,NMS,20,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
BER,NMS,21,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,NMS,21,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,NMS,21,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
BER,NMS,22,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,NMS,22,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,NMS,22,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
BER,NMS,23,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,NMS,23,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,NMS,23,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
BER,NMS,24,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,NMS,24,N640 relative to N480,LOW,MEDIUM,LOW,true
BER,NMS,24,N640 relative to N560,LOW,MEDIUM,LOW,true
FER,NMS,0,N560 relative to N480,LOW,LOW,LOW,true
FER,NMS,0,N640 relative to N480,LOW,LOW,LOW,true
FER,NMS,0,N640 relative to N560,LOW,LOW,LOW,true
FER,NMS,1,N560 relative to N480,HIGH,HIGH,HIGH,true
FER,NMS,1,N640 relative to N480,MEDIUM,HIGH,MEDIUM,true
FER,NMS,1,N640 relative to N560,MEDIUM,HIGH,MEDIUM,true
FER,NMS,2,N560 relative to N480,HIGH,HIGH,HIGH,true
FER,NMS,2,N640 relative to N480,HIGH,HIGH,HIGH,true
FER,NMS,2,N640 relative to N560,HIGH,HIGH,HIGH,true
FER,NMS,3,N560 relative to N480,HIGH,HIGH,HIGH,true
FER,NMS,3,N640 relative to N480,HIGH,HIGH,HIGH,true
FER,NMS,3,N640 relative to N560,HIGH,HIGH,HIGH,true
FER,NMS,4,N560 relative to N480,HIGH,HIGH,HIGH,true
FER,NMS,4,N640 relative to N480,HIGH,HIGH,HIGH,true
FER,NMS,4,N640 relative to N560,HIGH,HIGH,HIGH,true
FER,NMS,5,N560 relative to N480,MEDIUM,MEDIUM,HIGH,true
FER,NMS,5,N640 relative to N480,MEDIUM,MEDIUM,HIGH,true
FER,NMS,5,N640 relative to N560,HIGH,HIGH,HIGH,true
FER,NMS,6,N560 relative to N480,HIGH,HIGH,HIGH,true
FER,NMS,6,N640 relative to N480,HIGH,HIGH,HIGH,true
FER,NMS,6,N640 relative to N560,HIGH,HIGH,HIGH,true
FER,NMS,7,N560 relative to N480,MEDIUM,MEDIUM,HIGH,true
FER,NMS,7,N640 relative to N480,MEDIUM,MEDIUM,HIGH,true
FER,NMS,7,N640 relative to N560,HIGH,HIGH,HIGH,true
FER,NMS,8,N560 relative to N480,HIGH,HIGH,HIGH,true
FER,NMS,8,N640 relative to N480,MEDIUM,HIGH,MEDIUM,true
FER,NMS,8,N640 relative to N560,MEDIUM,HIGH,MEDIUM,true
FER,NMS,9,N560 relative to N480,MEDIUM,MEDIUM,HIGH,true
FER,NMS,9,N640 relative to N480,MEDIUM,MEDIUM,HIGH,true
FER,NMS,9,N640 relative to N560,HIGH,HIGH,HIGH,true
FER,NMS,10,N560 relative to N480,HIGH,HIGH,HIGH,true
FER,NMS,10,N640 relative to N480,HIGH,HIGH,HIGH,true
FER,NMS,10,N640 relative to N560,HIGH,HIGH,HIGH,true
FER,NMS,11,N560 relative to N480,HIGH,HIGH,HIGH,true
FER,NMS,11,N640 relative to N480,HIGH,HIGH,HIGH,true
FER,NMS,11,N640 relative to N560,HIGH,HIGH,HIGH,true
FER,NMS,12,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,12,N640 relative to N480,MEDIUM,MEDIUM,HIGH,true
FER,NMS,12,N640 relative to N560,MEDIUM,MEDIUM,HIGH,true
FER,NMS,13,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,13,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,13,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,14,N560 relative to N480,LOW,LOW,MEDIUM,true
FER,NMS,14,N640 relative to N480,LOW,LOW,MEDIUM,true
FER,NMS,14,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,15,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,15,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,15,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,16,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,16,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,16,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,17,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,17,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,17,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,18,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,18,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,18,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,19,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,19,N640 relative to N480,LOW,MEDIUM,LOW,true
FER,NMS,19,N640 relative to N560,LOW,MEDIUM,LOW,true
FER,NMS,20,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,20,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,20,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,21,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,21,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,21,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,22,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,22,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,22,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,23,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,23,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,23,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,24,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
FER,NMS,24,N640 relative to N480,LOW,MEDIUM,LOW,true
FER,NMS,24,N640 relative to N560,LOW,MEDIUM,LOW,true
