rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,quantMode,quantBits,clipMax,quantStep,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,inputMemoryBytes,pathMetricMemoryBytes,survivorMemoryBytes,totalDecoderMemoryBytes,trueClipCount,trueClipRatePercent,edgeBinCount,edgeBinRatePercent,integerOverflowCount,pathMetricSaturationCount,relativeBerIncreaseVsFloat,relativeFerIncreaseVsFloat,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,gridLayer,stopReason,timingBatchCount
R12,-1.8,-1.8,1.2963016742589877,0.49019607843137253,0.7567806242181041,Float,0,0,0,1000,8129,556,0.027096666666666668,0.55600000000000005,0.026521688716276297,0.027683755386521423,0.52504916250990774,0.58652224053971025,380.51249999999999,414.89999999999998,495.60000000000002,1037.5999999999999,4896,1024,58752,64672,0,0,0,0,0,0,0,0,2026072001,2026072902,0-999,CC-B-R12-S-Float,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.8,-1.8,1.2963016742589877,0.49019607843137253,0.7567806242181041,Q5,5,1.5,0.10000000000000001,1000,9042,587,0.03014,0.58699999999999997,0.029534184920216103,0.030757847911315077,0.55620667596283824,0.6171274680606752,374.24100000000033,403,468.5,1550.9000000000001,383,512,58752,59647,173626,28.370261437908496,186024,30.396078431372548,0,0,0.11231393775372119,0.055755395683453085,2026072001,2026072902,0-999,CC-B-R12-S-Q5,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.8,-1.8,1.2963016742589877,0.49019607843137253,0.7567806242181041,Q6,6,1.5,0.048387096774193547,1000,8922,595,0.029739999999999999,0.59499999999999997,0.0291381377829362,0.030353905292353999,0.56426730766133681,0.62500560822640761,367.42839999999995,397.60000000000002,466.10000000000002,866,459,512,58752,59723,173626,28.370261437908496,179597,29.345915032679738,0,0,0.097551974412596776,0.070143884892086186,2026072001,2026072902,0-999,CC-B-R12-S-Q6,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.8,-1.8,1.2963016742589877,0.49019607843137253,0.7567806242181041,Q7,7,2,0.031746031746031744,1000,8241,563,0.027470000000000001,0.56299999999999994,0.026891140997709718,0.028060960210912918,0.53207407529917738,0.59344375313164266,368.82570000000084,399.30000000000001,455.80000000000001,2199.0999999999999,536,512,58752,59800,76855,12.558006535947712,79127,12.929248366013072,0,0,0.013777832451716071,0.012589928057553768,2026072001,2026072902,0-999,CC-B-R12-S-Q7,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.8,-1.8,1.2963016742589877,0.49019607843137253,0.7567806242181041,Q8,8,2,0.015748031496062992,1000,8212,562,0.027373333333333333,0.56200000000000006,0.026795476484178068,0.027963293866686324,0.53107013838604444,0.59245534356174689,363.62260000000003,396.19999999999999,455.30000000000001,833.29999999999995,612,512,58752,59876,76855,12.558006535947712,77979,12.741666666666667,0,0,0.010210357977610947,0.010791366906474829,2026072001,2026072902,0-999,CC-B-R12-S-Q8,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.7,-1.7,1.3963016742589878,0.49019607843137253,0.73955419408410372,Float,0,0,0,1000,6789,497,0.022630000000000001,0.497,0.022103900032959384,0.023168325125147372,0.4660816352651897,0.52794132528572357,381.82359999999989,416,490.19999999999999,1351.0999999999999,4896,1024,58752,64672,0,0,0,0,0,0,0,0,2026072001,2026072902,0-999,CC-B-R12-S-Float,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.7,-1.7,1.3963016742589878,0.49019607843137253,0.73955419408410372,Q5,5,1.5,0.10000000000000001,1000,7622,541,0.025406666666666668,0.54100000000000004,0.024849630712290915,0.025975856670388656,0.51001646738872664,0.57166973841545787,373.36609999999962,399.60000000000002,457.5,873.89999999999998,383,512,58752,59647,172066,28.115359477124183,184559,30.15669934640523,0,0,0.12269848283988806,0.088531187122736499,2026072001,2026072902,0-999,CC-B-R12-S-Q5,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.7,-1.7,1.3963016742589878,0.49019607843137253,0.73955419408410372,Q6,6,1.5,0.048387096774193547,1000,7516,541,0.025053333333333334,0.54100000000000004,0.024500129398150054,0.025618700366516648,0.51001646738872664,0.57166973841545787,367.20940000000041,396.30000000000001,450.80000000000001,1087.5,459,512,58752,59723,172066,28.115359477124183,178125,29.105392156862745,0,0,0.10708499042568859,0.088531187122736499,2026072001,2026072902,0-999,CC-B-R12-S-Q6,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.7,-1.7,1.3963016742589878,0.49019607843137253,0.73955419408410372,Q7,7,2,0.031746031746031744,1000,6862,504,0.022873333333333332,0.504,0.022344443556922552,0.0234144420362308,0.4730552793350446,0.53491410659707084,366.77529999999973,396.10000000000002,448.89999999999998,1703,536,512,58752,59800,75217,12.290359477124182,77460,12.656862745098039,0,0,0.01075268817204293,0.014084507042253534,2026072001,2026072902,0-999,CC-B-R12-S-Q7,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.7,-1.7,1.3963016742589878,0.49019607843137253,0.73955419408410372,Q8,8,2,0.015748031496062992,1000,6891,503,0.022970000000000001,0.503,0.022440006355893202,0.023512210095018388,0.47205867471427643,0.53391836473481036,369.49319999999977,396.19999999999999,456.5,3491.8000000000002,612,512,58752,59876,75217,12.290359477124182,76351,12.475653594771241,0,0,0.015024304021210782,0.012072434607645887,2026072001,2026072902,0-999,CC-B-R12-S-Q8,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.6000000000000001,-1.6000000000000001,1.4963016742589876,0.49019607843137253,0.72271988537296372,Float,0,0,0,1000,5603,444,0.018676666666666668,0.44400000000000001,0.018198350179110662,0.0191673095548144,0.41347775946028981,0.47495083749009243,418.15220000000005,428.10000000000002,492.5,1454.8,4896,1024,58752,64672,0,0,0,0,0,0,0,0,2026072001,2026072902,0-999,CC-B-R12-S-Float,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.6000000000000001,-1.6000000000000001,1.4963016742589876,0.49019607843137253,0.72271988537296372,Q5,5,1.5,0.10000000000000001,1000,6252,480,0.020840000000000001,0.47999999999999998,0.020334934546409122,0.021357336452519245,0.44917079499694124,0.51098227534248097,408.12209999999988,413.80000000000001,498.10000000000002,1221,383,512,58752,59647,170583,27.873039215686273,183194,29.933660130718955,0,0,0.11583080492593252,0.08108108108108103,2026072001,2026072902,0-999,CC-B-R12-S-Q5,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.6000000000000001,-1.6000000000000001,1.4963016742589876,0.49019607843137253,0.72271988537296372,Q6,6,1.5,0.048387096774193547,1000,6269,479,0.020896666666666668,0.47899999999999998,0.020390920867555753,0.021414682013506752,0.44817715046181089,0.50998357339458233,401.03350000000029,410.10000000000002,473.80000000000001,950.10000000000002,459,512,58752,59723,170583,27.873039215686273,176602,28.85653594771242,0,0,0.11886489380688915,0.078828828828828773,2026072001,2026072902,0-999,CC-B-R12-S-Q6,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.6000000000000001,-1.6000000000000001,1.4963016742589876,0.49019607843137253,0.72271988537296372,Q7,7,2,0.031746031746031744,1000,5628,450,0.018759999999999999,0.45000000000000001,0.018280623601381517,0.019251700665093741,0.41941538407429679,0.48096729177425879,399.6898000000001,408,465.69999999999999,1540,536,512,58752,59800,73563,12.020098039215686,75861,12.395588235294118,0,0,0.0044618954131713951,0.013513513513513525,2026072001,2026072902,0-999,CC-B-R12-S-Q7,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.6000000000000001,-1.6000000000000001,1.4963016742589876,0.49019607843137253,0.72271988537296372,Q8,8,2,0.015748031496062992,1000,5663,449,0.018876666666666667,0.44900000000000001,0.018395810566771618,0.019369844045273931,0.41842546673459929,0.47996486263092736,398.42879999999968,407,469.30000000000001,1124.8,612,512,58752,59876,73563,12.020098039215686,74722,12.209477124183007,0,0,0.010708548991611571,0.011261261261261271,2026072001,2026072902,0-999,CC-B-R12-S-Q8,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.5,-1.5,1.5963016742589877,0.49019607843137253,0.70626877231137719,Float,0,0,0,1000,4633,393,0.015443333333333333,0.39300000000000002,0.01500825361436911,0.015890822256608018,0.36319283324054991,0.42362609307535887,408.60920000000021,426,520.29999999999995,1037.4000000000001,4896,1024,58752,64672,0,0,0,0,0,0,0,0,2026072001,2026072902,0-999,CC-B-R12-S-Float,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.5,-1.5,1.5963016742589877,0.49019607843137253,0.70626877231137719,Q5,5,1.5,0.10000000000000001,1000,5024,419,0.016746666666666667,0.41899999999999998,0.016293634345491706,0.017212074814570613,0.38878656102884962,0.44983337384581029,398.54260000000005,410.89999999999998,490.69999999999999,1977,383,512,58752,59647,169144,27.637908496732027,181722,29.693137254901959,0,0,0.084394560759766896,0.066157760814249275,2026072001,2026072902,0-999,CC-B-R12-S-Q5,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.5,-1.5,1.5963016742589877,0.49019607843137253,0.70626877231137719,Q6,6,1.5,0.048387096774193547,1000,4988,413,0.016626666666666668,0.41299999999999998,0.016175255898900644,0.017090456334289388,0.3828725319393248,0.44379332403716176,392.54869999999937,407.69999999999999,479.39999999999998,952.89999999999998,459,512,58752,59723,169144,27.637908496732027,175092,28.609803921568627,0,0,0.076624217569609424,0.05089058524173018,2026072001,2026072902,0-999,CC-B-R12-S-Q6,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.5,-1.5,1.5963016742589877,0.49019607843137253,0.70626877231137719,Q7,7,2,0.031746031746031744,1000,4697,400,0.015656666666666666,0.40000000000000002,0.015218595499101923,0.016107141575203723,0.37007478121137727,0.43069057048573378,392.14940000000013,406.5,482.80000000000001,1848.3,536,512,58752,59800,71805,11.732843137254902,74189,12.122385620915033,0,0,0.013813943449168966,0.017811704834605611,2026072001,2026072902,0-999,CC-B-R12-S-Q7,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.5,-1.5,1.5963016742589877,0.49019607843137253,0.70626877231137719,Q8,8,2,0.015748031496062992,1000,4725,401,0.01575,0.40100000000000002,0.015310626788731118,0.016201774562030754,0.37105844196706284,0.43169925621307714,387.22089999999974,402.89999999999998,473.10000000000002,1136.8,612,512,58752,59876,71805,11.732843137254902,72991,11.926633986928104,0,0,0.019857543708180461,0.020356234096692131,2026072001,2026072902,0-999,CC-B-R12-S-Q8,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.3999999999999999,-1.3999999999999999,1.6963016742589878,0.49019607843137253,0.69019213230144238,Float,0,0,0,1000,3850,346,0.012833333333333334,0.34599999999999997,0.012436759963457113,0.013242382748047612,0.31715666010206423,0.37602198151148669,427.52379999999999,431.80000000000001,521.39999999999998,2537.5999999999999,4896,1024,58752,64672,0,0,0,0,0,0,0,0,2026072001,2026072902,0-999,CC-B-R12-S-Float,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.3999999999999999,-1.3999999999999999,1.6963016742589878,0.49019607843137253,0.69019213230144238,Q5,5,1.5,0.10000000000000001,1000,4174,370,0.013913333333333333,0.37,0.01350037255742619,0.014338742495929183,0.3406266753339855,0.40036828187225881,411.82609999999994,415.80000000000001,497.19999999999999,1491.5,383,512,58752,59647,167600,27.385620915032678,180343,29.46781045751634,0,0,0.084155844155844109,0.069364161849711045,2026072001,2026072902,0-999,CC-B-R12-S-Q5,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.3999999999999999,-1.3999999999999999,1.6963016742589878,0.49019607843137253,0.69019213230144238,Q6,6,1.5,0.048387096774193547,1000,4133,359,0.013776666666666666,0.35899999999999999,0.013365742107701828,0.01420004311227121,0.32985959695418837,0.38921954893873817,402.02909999999974,410.69999999999999,481.30000000000001,972.60000000000002,459,512,58752,59723,167600,27.385620915032678,173636,28.371895424836602,0,0,0.073506493506493437,0.037572254335260152,2026072001,2026072902,0-999,CC-B-R12-S-Q6,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.3999999999999999,-1.3999999999999999,1.6963016742589878,0.49019607843137253,0.69019213230144238,Q7,7,2,0.031746031746031744,1000,3888,348,0.012959999999999999,0.34799999999999998,0.012561468453267966,0.013371004347713067,0.31910940015314609,0.37805393442646257,402.66200000000015,408.80000000000001,487.89999999999998,1212.0999999999999,536,512,58752,59800,70105,11.455065359477125,72473,11.841993464052287,0,0,0.0098701298701297825,0.0057803468208092543,2026072001,2026072902,0-999,CC-B-R12-S-Q7,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.3999999999999999,-1.3999999999999999,1.6963016742589878,0.49019607843137253,0.69019213230144238,Q8,8,2,0.015748031496062992,1000,3836,344,0.012786666666666667,0.34399999999999997,0.012390817259078764,0.013194993314197847,0.31520449220284491,0.37398945644464826,399.88040000000041,407.89999999999998,476.19999999999999,1609.0999999999999,612,512,58752,59876,70105,11.455065359477125,71270,11.645424836601308,0,0,-0.0036363636363636685,-0.0057803468208092543,2026072001,2026072902,0-999,CC-B-R12-S-Q8,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.2999999999999998,-1.2999999999999998,1.7963016742589879,0.49019607843137253,0.67448144129582677,Float,0,0,0,1000,3108,301,0.010359999999999999,0.30099999999999999,0.010003886380260512,0.010728653005154144,0.27337621044619009,0.33014683943106082,424.24509999999975,431.30000000000001,528.39999999999998,1228.7,4896,1024,58752,64672,0,0,0,0,0,0,0,0,2026072001,2026072902,0-999,CC-B-R12-S-Float,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.2999999999999998,-1.2999999999999998,1.7963016742589879,0.49019607843137253,0.67448144129582677,Q5,5,1.5,0.10000000000000001,1000,3306,310,0.01102,0.31,0.010652641145938601,0.011399881337273677,0.28210764506522773,0.33934652315928321,405.5757000000005,412.69999999999999,485.5,1363.9000000000001,383,512,58752,59647,166087,27.138398692810458,178896,29.231372549019607,0,0,0.063706563706563787,0.029900332225913647,2026072001,2026072902,0-999,CC-B-R12-S-Q5,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.2999999999999998,-1.2999999999999998,1.7963016742589879,0.49019607843137253,0.67448144129582677,Q6,6,1.5,0.048387096774193547,1000,3294,309,0.01098,0.309,0.0106133126118394,0.011359210895748777,0.28113685771666347,0.33832496402481854,403.44940000000008,410.39999999999998,505.69999999999999,980.39999999999998,459,512,58752,59723,166087,27.138398692810458,172151,28.129248366013073,0,0,0.05984555984555992,0.026578073089701022,2026072001,2026072902,0-999,CC-B-R12-S-Q6,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.2999999999999998,-1.2999999999999998,1.7963016742589879,0.49019607843137253,0.67448144129582677,Q7,7,2,0.031746031746031744,1000,3125,299,0.010416666666666666,0.29899999999999999,0.010059573307579088,0.010786297959969706,0.27143763442230356,0.32810072248888961,403.43400000000025,409.19999999999999,482.5,1568.5,536,512,58752,59800,68480,11.18954248366013,70741,11.558986928104575,0,0,0.0054697554697554704,-0.0066445182724252554,2026072001,2026072902,0-999,CC-B-R12-S-Q7,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.2999999999999998,-1.2999999999999998,1.7963016742589879,0.49019607843137253,0.67448144129582677,Q8,8,2,0.015748031496062992,1000,3094,299,0.010313333333333334,0.29899999999999999,0.0099580286335454425,0.010681178613641099,0.27143763442230356,0.32810072248888961,399.5886999999999,407.5,479.60000000000002,2520.5,612,512,58752,59876,68480,11.18954248366013,69589,11.370751633986927,0,0,-0.004504504504504377,-0.0066445182724252554,2026072001,2026072902,0-999,CC-B-R12-S-Q8,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.2,-1.2,1.8963016742589878,0.49019607843137253,0.65912836927820351,Float,0,0,0,1000,2489,257,0.0082966666666666675,0.25700000000000001,0.0079783175099191802,0.0086276080495524144,0.23088201740604794,0.28497778721793177,450.87600000000094,430.60000000000002,583.79999999999995,4376.8000000000002,4896,1024,58752,64672,0,0,0,0,0,0,0,0,2026072001,2026072902,0-999,CC-B-R12-S-Float,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.2,-1.2,1.8963016742589878,0.49019607843137253,0.65912836927820351,Q5,5,1.5,0.10000000000000001,1000,2688,265,0.0089599999999999992,0.26500000000000001,0.0086290315541667599,0.0093035436844044611,0.23858325625975632,0.29321532022845459,419.83350000000064,411.69999999999999,523.39999999999998,1385.5,383,512,58752,59647,164558,26.888562091503267,177436,28.992810457516338,0,0,0.079951787866612903,0.031128404669260729,2026072001,2026072902,0-999,CC-B-R12-S-Q5,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.2,-1.2,1.8963016742589878,0.49019607843137253,0.65912836927820351,Q6,6,1.5,0.048387096774193547,1000,2551,259,0.0085033333333333332,0.25900000000000001,0.0081809987970346484,0.0088382548031614508,0.23280623499082614,0.28703826259921145,419.7293999999996,408.39999999999998,527.79999999999995,2606.9000000000001,459,512,58752,59723,164558,26.888562091503267,170690,27.890522875816995,0,0,0.024909602249899448,0.0077821011673151821,2026072001,2026072902,0-999,CC-B-R12-S-Q6,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.2,-1.2,1.8963016742589878,0.49019607843137253,0.65912836927820351,Q7,7,2,0.031746031746031744,1000,2434,259,0.0081133333333333335,0.25900000000000001,0.0077985623690264684,0.0084407012188346779,0.23280623499082614,0.28703826259921145,425.30319999999966,408.10000000000002,540.10000000000002,1975.0999999999999,536,512,58752,59800,66830,10.919934640522875,69130,11.295751633986928,0,0,-0.022097227802330328,0.0077821011673151821,2026072001,2026072902,0-999,CC-B-R12-S-Q7,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.2,-1.2,1.8963016742589878,0.49019607843137253,0.65912836927820351,Q8,8,2,0.015748031496062992,1000,2475,258,0.0082500000000000004,0.25800000000000001,0.0079325577824193912,0.0085800356388240889,0.23184403439388107,0.28600811671312759,425.93630000000024,406.69999999999999,542.29999999999995,3283.5,612,512,58752,59876,66830,10.919934640522875,67960,11.104575163398692,0,0,-0.0056247488951386591,0.0038910505836575911,2026072001,2026072902,0-999,CC-B-R12-S-Q8,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.1000000000000001,-1.1000000000000001,1.9963016742589876,0.49019607843137253,0.64412477584656702,Float,0,0,0,1000,1975,215,0.0065833333333333334,0.215,0.0063001992149191149,0.0068791035553202734,0.19065343629137976,0.2415278160453867,460.64329999999916,435.10000000000002,574.89999999999998,4446.6000000000004,4896,1024,58752,64672,0,0,0,0,0,0,0,0,2026072001,2026072902,0-999,CC-B-R12-S-Float,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.1000000000000001,-1.1000000000000001,1.9963016742589876,0.49019607843137253,0.64412477584656702,Q5,5,1.5,0.10000000000000001,1000,2155,231,0.0071833333333333332,0.23100000000000001,0.0068873863380162388,0.007491901066584622,0.20593646391387108,0.2581223321513576,439.76789999999988,413.80000000000001,562.60000000000002,6285.1999999999998,383,512,58752,59647,163072,26.645751633986929,175959,28.751470588235293,0,0,0.091139240506329086,0.074418604651162859,2026072001,2026072902,0-999,CC-B-R12-S-Q5,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.1000000000000001,-1.1000000000000001,1.9963016742589876,0.49019607843137253,0.64412477584656702,Q6,6,1.5,0.048387096774193547,1000,2191,223,0.0073033333333333336,0.223,0.0070048901369685014,0.0076143941945046546,0.19828813022889644,0.24983189397210112,432.14389999999952,408.89999999999998,524.60000000000002,5678.1000000000004,459,512,58752,59723,163072,26.645751633986929,169284,27.66078431372549,0,0,0.10936708860759496,0.03720930232558143,2026072001,2026072902,0-999,CC-B-R12-S-Q6,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.1000000000000001,-1.1000000000000001,1.9963016742589876,0.49019607843137253,0.64412477584656702,Q7,7,2,0.031746031746031744,1000,1998,213,0.0066600000000000001,0.21299999999999999,0.0063751964093567131,0.006957437730828863,0.18874695684098677,0.23944960252972189,428.01710000000003,409,519.70000000000005,5296.6999999999998,536,512,58752,59800,65164,10.647712418300653,67465,11.023692810457517,0,0,0.011645569620253173,-0.0093023255813953574,2026072001,2026072902,0-999,CC-B-R12-S-Q7,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.1000000000000001,-1.1000000000000001,1.9963016742589876,0.49019607843137253,0.64412477584656702,Q8,8,2,0.015748031496062992,1000,2004,214,0.0066800000000000002,0.214,0.0063947625076444404,0.0069778711203531858,0.18970008521445181,0.24048882063928573,433.50859999999989,407.19999999999999,528.89999999999998,4462.3000000000002,612,512,58752,59876,65164,10.647712418300653,66296,10.832679738562092,0,0,0.014683544303797485,-0.0046511627906976787,2026072001,2026072902,0-999,CC-B-R12-S-Q8,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1,-1,2.0963016742589877,0.49019607843137253,0.62946270589708364,Float,0,0,0,1123,1809,200,0.0053695458593054322,0.17809439002671415,0.0051283499489941202,0.0056220215609828223,0.15682640688699773,0.20155715777465211,453.46331255565451,434.30000000000001,563.60000000000002,3277.3000000000002,4896,1024,58752,64672,0,0,0,0,0,0,0,0,2026072001,2026072902,0-1122,CC-B-R12-S-Float,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
