rateCase,quantMode,targetFer,leftSnr,leftFer,rightSnr,rightFer,interpolatedSnr,interpolationMethod,coveredByData,snrLossVsFloat
R12,Float,0.01,0.0,0.019646365422396856,0.5,0.005232999293545096,0.25523595873458177,linear_in_log10_FER,YES,0.0
R23,Q3,0.1,1.0,0.1616871704745167,1.5,0.06165084002921841,1.2491728447656234,linear_in_log10_FER,YES,0.31027499314906215
R23,Q4,0.1,1.0,0.10456942003514938,1.5,0.03360116873630387,1.0196782140809995,linear_in_log10_FER,YES,0.0807803624644382
R23,Q5,0.1,0.9000000000000001,0.11454940282301845,1.0,0.08919156414762741,0.9542866895825568,linear_in_log10_FER,YES,0.01538883796599555
R23,Q6,0.1,0.9000000000000001,0.11346362649294245,1.0,0.08875219683655536,0.9514228729548732,linear_in_log10_FER,YES,0.012525021338311904
R23,Q7,0.1,0.9000000000000001,0.10912052117263844,1.0,0.08875219683655536,0.9422462541274093,linear_in_log10_FER,YES,0.003348402510848003
R23,Q8,0.1,0.9000000000000001,0.11020629750271443,1.0,0.08963093145869948,0.947027427697917,linear_in_log10_FER,YES,0.008129576081355783
R23,Float,0.1,0.9000000000000001,0.10857763300760044,1.0,0.08787346221441125,0.9388978516165613,linear_in_log10_FER,YES,0.0
R23,Q3,0.01,2.0,0.01768867924528302,2.5,0.00514,2.2307439038300982,linear_in_log10_FER,YES,0.302214743467464
R23,Q4,0.01,1.5,0.03360116873630387,2.0,0.009966524650030431,1.9986204761087427,linear_in_log10_FER,YES,0.0700913157461085
R23,Q5,0.01,1.9000000000000004,0.011645071346563883,2.0,0.008368837492391966,1.9460994758420922,linear_in_log10_FER,YES,0.017570315479457976
R23,Q6,0.01,1.9000000000000004,0.010934339292548247,2.0,0.007950395617772367,1.928028525422035,linear_in_log10_FER,YES,-0.0005006349405991539
R23,Q7,0.01,1.9000000000000004,0.01098901098901099,2.0,0.007798234936092514,1.9274959568174121,linear_in_log10_FER,YES,-0.0010332035452220723
R23,Q8,0.01,1.9000000000000004,0.01098901098901099,2.0,0.007722154595252587,1.926731873585854,linear_in_log10_FER,YES,-0.0017972867767801493
R23,Float,0.01,1.9000000000000004,0.011153026078399212,2.0,0.007608034083992696,1.9285291603626342,linear_in_log10_FER,YES,0.0
R34,Q3,0.1,2.0,0.17357310398749023,2.5,0.06211967545638945,2.2683256973085246,linear_in_log10_FER,YES,0.37394798579268884
R34,Q4,0.1,1.5,0.251,2.0,0.09147771696637999,1.9558755092172837,linear_in_log10_FER,YES,0.06149779770144792
R34,Q5,0.1,1.9000000000000001,0.10177865612648221,2.0,0.08209538702111024,1.9082032137808025,linear_in_log10_FER,YES,0.013825502264966705
R34,Q6,0.1,1.8,0.1233611442193087,1.9000000000000001,0.09881422924901186,1.8946237322916144,linear_in_log10_FER,YES,0.00024602077577862147
R34,Q7,0.1,1.8,0.12157330154946365,1.9000000000000001,0.09980237154150198,1.8989974734054171,linear_in_log10_FER,YES,0.004619761889581353
R34,Q8,0.1,1.8,0.11918951132300358,1.9000000000000001,0.09881422924901186,1.8936371841586495,linear_in_log10_FER,YES,-0.0007405273571863269
R34,Float,0.1,1.8,0.12216924910607867,1.9000000000000001,0.09881422924901186,1.8943777115158358,linear_in_log10_FER,YES,0.0
R34,Q3,0.01,3.0,0.020397579948141745,3.5,0.0062,3.299290847644847,linear_in_log10_FER,YES,0.44155515105551313
R34,Q4,0.01,2.5,0.028524340770791076,3.0,0.00857389801210026,2.935999126483236,linear_in_log10_FER,YES,0.07826342989390245
R34,Q5,0.01,2.8000000000000003,0.012014054176583928,2.9000000000000004,0.009397810218978103,2.874711614321167,linear_in_log10_FER,YES,0.016975917731833157
R34,Q6,0.01,2.8000000000000003,0.01144735350787714,2.9000000000000004,0.009124087591240875,2.8595896137598817,linear_in_log10_FER,YES,0.0018539171705480584
R34,Q7,0.01,2.8000000000000003,0.011560693641618497,2.9000000000000004,0.009352189781021899,2.8684082707543643,linear_in_log10_FER,YES,0.010672574165030646
R34,Q8,0.01,2.8000000000000003,0.011560693641618497,2.9000000000000004,0.009124087591240875,2.861271687885133,linear_in_log10_FER,YES,0.003535991295799512
R34,Float,0.01,2.8000000000000003,0.011334013374135782,2.9000000000000004,0.009124087591240875,2.8577356965893337,linear_in_log10_FER,YES,0.0
