scheme,rateCase,snrDb,relativeOffset,bitErrors,bits,BER
D_CONT_150x2,R12,0,-4,1,1000,0.001
D_CONT_150x2,R12,0,-3,0,1000,0
D_CONT_150x2,R12,0,-2,0,1000,0
D_CONT_150x2,R12,0,-1,1,1000,0.001
D_CONT_150x2,R12,0,0,1,1000,0.001
D_CONT_150x2,R12,0,1,1,1000,0.001
D_CONT_150x2,R12,0,2,0,1000,0
D_CONT_150x2,R12,0,3,0,1000,0
D_CONT_150x2,R12,0,4,1,1000,0.001
D_CONT_150x2,R12,0,5,1,1000,0.001
D_CONT_150x2,R12,0,6,1,1000,0.001
D_CONT_150x2,R12,0,7,1,1000,0.001
D_CONT_150x2,R12,0,8,1,1000,0.001
D_CONT_150x2,R12,0,9,0,1000,0
B_CONT_50x6,R23,1,-10,19,5000,0.0038
B_CONT_50x6,R23,1,-9,25,5000,0.005
B_CONT_50x6,R23,1,-8,19,5000,0.0038
B_CONT_50x6,R23,1,-7,25,5000,0.005
B_CONT_50x6,R23,1,-6,18,5000,0.0036
B_CONT_50x6,R23,1,-5,23,5000,0.0046
B_CONT_50x6,R23,1,-4,24,5000,0.0048
B_CONT_50x6,R23,1,-3,24,5000,0.0048
B_CONT_50x6,R23,1,-2,26,5000,0.0052
B_CONT_50x6,R23,1,-1,27,5000,0.0054
B_CONT_50x6,R23,1,0,19,5000,0.0038
B_CONT_50x6,R23,1,1,16,5000,0.0032
B_CONT_50x6,R23,1,2,23,5000,0.0046
B_CONT_50x6,R23,1,3,24,5000,0.0048
B_CONT_50x6,R23,1,4,15,5000,0.003
B_CONT_50x6,R23,1,5,11,5000,0.0022
B_CONT_50x6,R23,1,6,22,5000,0.0044
B_CONT_50x6,R23,1,7,21,5000,0.0042
B_CONT_50x6,R23,1,8,17,5000,0.0034
B_CONT_50x6,R23,1,9,17,5000,0.0034
C_CONT_100x3,R23,1,-10,8,2000,0.004
C_CONT_100x3,R23,1,-9,10,2000,0.005
C_CONT_100x3,R23,1,-8,9,2000,0.0045
C_CONT_100x3,R23,1,-7,9,2000,0.0045
C_CONT_100x3,R23,1,-6,8,2000,0.004
C_CONT_100x3,R23,1,-5,10,2000,0.005
C_CONT_100x3,R23,1,-4,10,2000,0.005
C_CONT_100x3,R23,1,-3,11,2000,0.0055
C_CONT_100x3,R23,1,-2,11,2000,0.0055
C_CONT_100x3,R23,1,-1,10,2000,0.005
C_CONT_100x3,R23,1,0,8,2000,0.004
C_CONT_100x3,R23,1,1,7,2000,0.0035
C_CONT_100x3,R23,1,2,10,2000,0.005
C_CONT_100x3,R23,1,3,7,2000,0.0035
C_CONT_100x3,R23,1,4,5,2000,0.0025
C_CONT_100x3,R23,1,5,4,2000,0.002
C_CONT_100x3,R23,1,6,8,2000,0.004
C_CONT_100x3,R23,1,7,7,2000,0.0035
C_CONT_100x3,R23,1,8,5,2000,0.0025
C_CONT_100x3,R23,1,9,4,2000,0.002
D_CONT_150x2,R23,1,-10,4,1000,0.004
D_CONT_150x2,R23,1,-9,7,1000,0.007
D_CONT_150x2,R23,1,-8,3,1000,0.003
D_CONT_150x2,R23,1,-7,7,1000,0.007
D_CONT_150x2,R23,1,-6,3,1000,0.003
D_CONT_150x2,R23,1,-5,4,1000,0.004
D_CONT_150x2,R23,1,-4,3,1000,0.003
D_CONT_150x2,R23,1,-3,6,1000,0.006
D_CONT_150x2,R23,1,-2,4,1000,0.004
D_CONT_150x2,R23,1,-1,5,1000,0.005
D_CONT_150x2,R23,1,0,6,1000,0.006
D_CONT_150x2,R23,1,1,2,1000,0.002
D_CONT_150x2,R23,1,2,3,1000,0.003
D_CONT_150x2,R23,1,3,5,1000,0.005
D_CONT_150x2,R23,1,4,2,1000,0.002
D_CONT_150x2,R23,1,5,1,1000,0.001
D_CONT_150x2,R23,1,6,3,1000,0.003
D_CONT_150x2,R23,1,7,3,1000,0.003
D_CONT_150x2,R23,1,8,4,1000,0.004
D_CONT_150x2,R23,1,9,5,1000,0.005
