phase,caseId,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,N_transmitted,frameStart,frameEndExclusive,framesProcessed,frameSequenceDigest,payloadBitErrors,payloadErrorFrames,BER,FER,payloadSuccessRate,avgEncodeTime_us,maxEncodeTime_us,avgDecodeTime_us,p95DecodeTime_us,maxDecodeTime_us,rawDecodeThroughput_Mbps,successfulDecodeThroughput_Mbps,normalizedGoodput,stopReason,berCiLow,berCiHigh,ferCiLow,ferCiHigh,berZeroErrorUpper95,ferZeroErrorUpper95,gridLayer,sourceRun,sourceCommit,runDate,minFrames,targetFrameErrors,maxFrames,checkpointIntervalFrames,payloadSeed,noiseSeed,frameIndex,sourceNoiseId,rowId,mergedRowId
formal,CC-B-R12-S,0.5,0.5,3.5963016742589877,0.49019607843137253,0.44562546906687278,612,0,40863,40863,11693019513175807726,894,200,7.2926608423267997e-05,0.0048944032498837581,0.99510559675011623,5.4493894231944244,1035.4000000000001,423.7379634388048,680.29999999999995,8559,0.70798471197949497,0.70451954930431449,0.48779686115201776,TARGET_ERRORS_REACHED,6.830046247250655e-05,7.786606938010514e-05,0.004262720822075837,0.00561916494165815,,,coarse_20260729,runtime/revision_20260729_coarse/unit_011.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-40862,STAGE09-1200,coarse-023,merged-058
formal,CC-B-R12-H,1,1,4.0963016742589877,0.49019607843137253,0.39716411736214075,612,0,1143,1143,827218212619808358,1458,200,0.0042519685039370076,0.17497812773403323,0.82502187226596679,4.963254593175856,284.89999999999998,279.80131233595841,431,973.20000000000005,1.0721893957373185,0.88457970269491815,0.40442248640488565,TARGET_ERRORS_REACHED,0.004039664579085452,0.004475379890520869,0.15405010056417962,0.19808354067684014,,,coarse_20260729,runtime/revision_20260729_coarse/unit_012.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-1142,STAGE09-1200,coarse-024,
formal,CC-B-R12-S,1,1,4.0963016742589877,0.49019607843137253,0.39716411736214075,612,0,50000,50000,2314585527903299907,190,45,1.2666666666666667e-05,0.00089999999999999998,0.99909999999999999,5.7487159999998498,3941.1999999999998,435.6753279999993,699.89999999999998,18117.099999999999,0.68858615744245333,0.68796642990075507,0.48975490196078431,MAX_FRAMES_REACHED,1.09890951555925e-05,1.4600328879072532e-05,0.0006727321294463088,0.0012039528628052306,,,coarse_20260729,runtime/revision_20260729_coarse/unit_012.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-49999,STAGE09-1200,coarse-025,merged-059
formal,CC-B-R12-H,1.5,1.5,4.5963016742589877,0.49019607843137253,0.35397289219206896,612,0,2572,2572,16994727865935114711,1179,200,0.0015279937791601867,0.077760497667185069,0.92223950233281493,4.8813374805598961,240.40000000000001,303.14012441679603,430.5,2167.1999999999998,0.9896413435112319,0.91268634012777683,0.45207818741804651,TARGET_ERRORS_REACHED,0.0014432876574237874,0.0016176632242557486,0.06802939571471846,0.08875100605953755,,,coarse_20260729,runtime/revision_20260729_coarse/unit_013.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-2571,STAGE09-1200,coarse-026,merged-019
formal,CC-B-R12-S,1.5,1.5,4.5963016742589877,0.49019607843137253,0.35397289219206896,612,0,50000,50000,2314585527903299907,8,4,5.3333333333333334e-07,8.0000000000000007e-05,0.99992000000000003,5.7137499999999335,1958.0999999999999,438.82933199999781,702.10000000000002,17191.900000000001,0.68363707282903663,0.6835823818632103,0.49015686274509801,MAX_FRAMES_REACHED,2.7025329288736554e-07,1.0525102897361208e-06,3.111086355358979e-05,0.00020570011886754752,,,coarse_20260729,runtime/revision_20260729_coarse/unit_013.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-49999,STAGE09-1200,coarse-027,merged-060
formal,CC-B-R12-H,2,2,5.0963016742589877,0.49019607843137253,0.31547867224009662,612,0,6726,6726,11847767299192062772,1038,200,0.00051442164733868573,0.029735355337496282,0.97026464466250373,5.3177966101695144,557,327.90089206065977,503.5,4248.6999999999998,0.91491059421851695,0.8877054025973895,0.47561992385416846,TARGET_ERRORS_REACHED,0.00048407164601031835,0.0005466734720666806,0.02593677577942439,0.034070798142155245,,,coarse_20260729,runtime/revision_20260729_coarse/unit_014.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-6725,STAGE09-1200,coarse-028,
formal,CC-B-R12-S,2,2,5.0963016742589877,0.49019607843137253,0.31547867224009662,612,0,50000,50000,2314585527903299907,0,0,0,0,1,5.84141399999982,1567.0999999999999,448.27408800000109,734.70000000000005,11681.799999999999,0.66923341774775813,0.66923341774775813,0.49019607843137253,MAX_FRAMES_REACHED,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,2.5609718912715457e-07,7.682327414500052e-05,coarse_20260729,runtime/revision_20260729_coarse/unit_014.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-49999,STAGE09-1200,coarse-029,merged-061
formal,CC-B-R12-H,2.5,2.5,5.5963016742589877,0.49019607843137253,0.28117066259517454,612,0,20407,20407,285154959306620326,923,200,0.00015076526028650299,0.0098005586318420154,0.99019944136815796,5.9092909295829985,1024.9000000000001,357.97323957465591,573.29999999999995,17647.700000000001,0.83805147098833488,0.82983809841041223,0.48539188302360681,TARGET_ERRORS_REACHED,0.00014134826345036928,0.000160809541566525,0.00853820836971295,0.011247426614295567,,,coarse_20260729,runtime/revision_20260729_coarse/unit_015.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-20406,STAGE09-1200,coarse-030,merged-023
formal,CC-B-R12-S,2.5,2.5,5.5963016742589877,0.49019607843137253,0.28117066259517454,612,0,50000,50000,2314585527903299907,0,0,0,0,1,5.7748939999997999,1924.5999999999999,440.32649600000491,652.5,64885.599999999999,0.6813126230768467,0.6813126230768467,0.49019607843137253,MAX_FRAMES_REACHED,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,2.5609718912715457e-07,7.682327414500052e-05,coarse_20260729,runtime/revision_20260729_coarse/unit_015.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-49999,STAGE09-1200,coarse-031,merged-062
formal,CC-B-R12-H,3,3,6.0963016742589877,0.49019607843137253,0.25059361681363618,612,0,50000,50000,2314585527903299907,580,137,3.8666666666666667e-05,0.0027399999999999998,0.99726000000000004,5.6442499999998441,3304.8000000000002,343.41724399999737,505,23261.299999999999,0.87357290654863651,0.87117931678469329,0.4888529411764706,MAX_FRAMES_REACHED,3.564535055834541e-05,4.194406015926579e-05,0.0023184421392784833,0.003237960143324202,,,coarse_20260729,runtime/revision_20260729_coarse/unit_016.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-49999,STAGE09-1200,coarse-032,merged-024
