caseId,vectorId,interleaverMode,interleaverDepth,encodedMismatch,interleavedBitMismatch,burstPositionMismatch,deinterleavedBitMismatch,decodedPayloadMismatch,statusMismatch,matlabRecoveredBits,matlabStatus,passed
K300_M255K207,V0,PSEUDORANDOM,8,0,0,0,0,0,0,111001101110111101011100011001101110001000111010100001100101001111001101110100110100100001100101011101000010010010101001110101100111000010101000000101000000010110010111110011010000000100101110101001000000101001010111110011110010110110010110111110001111000010000001110110110000010000010101001000000011,TRUE_SUCCESS,1
K300_M255K207,V1,PSEUDORANDOM,8,0,0,0,0,0,0,110111000111001000100101010011011000111011010111100101100100000110101111110001100110000010110011010101110000101111011000110111001000000110010101110110111011101100010001000000001100000100110011100111011101000010010000100111100111001110000001010110101000000011000000011100101100010010100000001111001000,TRUE_SUCCESS,1
K300_M255K207,V2,PSEUDORANDOM,8,0,0,0,0,0,0,001110101110011000100110000000010011010101101110111001011000010110100001001111100000001011110101110111100100110111110010101011110001010110100110110011000000010010000011011011111110101000000100110100101000001110011101000111101111110011010101111001011011111100011111000000001011111101000001101100000001,TRUE_SUCCESS,1
K300_M511K421,V0,NONE,1,0,0,0,0,0,0,110010100101110100010110010110100011100101000000110011111110111010100011011111100010001011010011100010101100111011001110001011000101111110111100000111010100000001011001010101111001000100111111010010001101110011111000110000011100110110100001011000111110011001011101010111110101011110111111110110110001,TRUE_SUCCESS,1
K300_M511K421,V1,NONE,1,0,0,0,0,0,0,000000000000000110001100000100101110000111101000110101001001110110010001001101110100000000110000001000010011110001111101100100011001001110001100100010000100000001110010110101011001011110001000110100110100010111101100110101101111011111110011000111010111101100100110100011001000011011101111111100100001,TRUE_SUCCESS,1
K300_M511K421,V2,NONE,1,0,0,0,0,0,0,001011101110001001101001111001010010110101110001111010010101001011101000010100100010100000001100100101010010011111100101000010010000000111010010011010110100111101001000101100000010111000000100001111011110111100110110100111010010010010110111011011010011010110000011011111000101101000111111001011000111,DECODER_FAILURE,1
K300_M511K421,V0,BLOCK,8,0,0,0,0,0,0,110010100101110100010110010110100011100101000000110011111110111010100011011111100010001011010011100010101100111011001110001011000101111110111100000111010100000001011001010101111001000100111111010010001101110011111000110000011100110110100001011000111110011001011101010111110101011110111111110110110001,TRUE_SUCCESS,1
K300_M511K421,V1,BLOCK,8,0,0,0,0,0,0,000000000000000110001100000100101110000111101000110101001001110110010001001101110100000000110000001000010011110001111101100100011001001110001100100010000100000001110010110101011001011110001000110100110100010111101100110101101111011111110011000111010111101100100110100011001000011011101111111100100001,TRUE_SUCCESS,1
K300_M511K421,V2,BLOCK,8,0,0,0,0,0,0,001011101110001111101001111001010010110101110001111010010101001001101000010100100010100000001100100101010010011100101010111101101000000111010010011010110100111100101000101100000010111000000100001111011110111100000110100111010010010010110111011011010011010110011011011111000101101000111111001011000111,DECODER_FAILURE,1
K300_M511K421,V0,ROW_COLUMN,8,0,0,0,0,0,0,110010100101110100010110010110100011100101000000110011111110111010100011011111100010001011010011100010101100111011001110001011000101111110111100000111010100000001011001010101111001000100111111010010001101110011111000110000011100110110100001011000111110011001011101010111110101011110111111110110110001,TRUE_SUCCESS,1
K300_M511K421,V1,ROW_COLUMN,8,0,0,0,0,0,0,000000000000000110001100000100101110000111101000110101001001110110010001001101110100000000110000001000010011110001111101100100011001001110001100100010000100000001110010110101011001011110001000110100110100010111101100110101101111011111110011000111010111101100100110100011001000011011101111111100100001,TRUE_SUCCESS,1
K300_M511K421,V2,ROW_COLUMN,8,0,0,0,0,0,0,001011101110001111101001111001010010110101110001111010010101001001101000010100100010100000001100100101010010011110101010111101101000000111010010011010110100111101101000101100000010111000000100001111011110111100000110100111010010010010110111011011010011010110011011011111000101101000111111001011000111,DECODER_FAILURE,1
K300_M511K421,V0,PSEUDORANDOM,8,0,0,0,0,0,0,110010100101110100010110010110100011100101000000110011111110111010100011011111100010001011010011100010101100111011001110001011000101111110111100000111010100000001011001010101111001000100111111010010001101110011111000110000011100110110100001011000111110011001011101010111110101011110111111110110110001,TRUE_SUCCESS,1
K300_M511K421,V1,PSEUDORANDOM,8,0,0,0,0,0,0,000000000000000110001100000100101110000111101000110101001001110110010001001101110100000000110000001000010011110001111101100100011001001110001100100010000100000001110010110101011001011110001000110100110100010111101100110101101111011111110011000111010111101100100110100011001000011011101111111100100001,TRUE_SUCCESS,1
K300_M511K421,V2,PSEUDORANDOM,8,0,0,0,0,0,0,101011100110101001101001111001010010111101110001111010010101001011101000010100100010100000001100100101010010011111101010111101101000000011010010011010110000111101001001101100000010111010010100001111011110111100110110100111011010010010110111011011010011000110000011011111000101101000111111001011000111,DECODER_FAILURE,1
K300_M511K385,V0,NONE,1,0,0,0,0,0,0,011110111111111011100100010101001000011001001000010011001101100000101100010011010001100000101100001000111101011010001111000101000111010010100110100010001111001001110010010010001000010001010011010010100101101100001110111010101110110101111010100011111011001001011000010011100001010010111100111011100000,TRUE_SUCCESS,1
K300_M511K385,V1,NONE,1,0,0,0,0,0,0,100010011100101011100111001010010111101001011001100000001010000110011011000111001010101111011100100111000100111110101111011000001011111010011010010111010001100100100001010110111001101010000011111001010000111010100000111001011010011000011100101010010011111010010010011110011011010101011011011001111110,TRUE_SUCCESS,1
K300_M511K385,V2,NONE,1,0,0,0,0,0,0,010100110011011111000001001001101111010110110100000010110101101011010110101110001001100001110100000111111001101011110010101110000010001000011111111001001000011111100100111100110010000011000010100001100111010001100011110100100111101111111111011011010011101011011001010000110100010101000010001011000011,DECODER_FAILURE,1
