caseName,blockIndex,localPosition,globalPosition,payloadBits,originalEncodedBits,receivedBits,status,lookupHit,correctedPosition,correctedCodeword,decodedBlockMessage,recoveredPayload,correctedBlocks,paddedInformationWrongBlocks,originalPayloadWrongBlocks,fillerOnlyInformationMismatchBlocks,payloadRecovered,pass
BCH-S200,1,5,20,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100100101011101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,5,101010101011011,10101010101,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,1,6,21,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100100101010001011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,6,101010101011011,10101010101,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,1,7,22,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100100101010111011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,7,101010101011011,10101010101,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,1,8,23,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100100101010100011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,8,101010101011011,10101010101,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,1,9,24,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100100101010101111011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,9,101010101011011,10101010101,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,1,10,25,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100100101010101001011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,10,101010101011011,10101010101,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,1,11,26,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100100101010101010011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,11,101010101011011,10101010101,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,1,12,27,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100100101010101011111010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,12,101010101011011,10101010101,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,1,13,28,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100100101010101011001010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,13,101010101011011,10101010101,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,1,14,29,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100100101010101011010010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,14,101010101011011,10101010101,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
