filename,caseName,ebn0Db,metric,rawValue,plottedValue,zeroHandlingPolicy
bch13_prescan_300bit_ber.png,BCH-S300,4.5,BER,0.008963333333333334,0.008963333333333334,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,5,BER,0.005441666666666667,0.005441666666666667,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,5.5,BER,0.002861666666666667,0.002861666666666667,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,6,BER,0.0014316666666666666,0.0014316666666666666,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,6.5,BER,0.0006783333333333333,0.0006783333333333333,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,7,BER,0.000265,0.000265,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,7.5,BER,0.00014166666666666668,0.00014166666666666668,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,8,BER,4e-05,4e-05,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,8.5,BER,1e-05,1e-05,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,9,BER,8.333333333333334e-06,8.333333333333334e-06,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,9.5,BER,0.0,5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_ber.png,BCH-S300,10,BER,0.0,5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_ber.png,BCH-B300,0,BER,0.10621833333333333,0.10621833333333333,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-B300,0.5,BER,0.095065,0.095065,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-B300,1,BER,0.08254333333333333,0.08254333333333333,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-B300,1.5,BER,0.07065166666666667,0.07065166666666667,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-B300,2,BER,0.059505,0.059505,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-B300,2.5,BER,0.04831333333333333,0.04831333333333333,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-B300,3,BER,0.037733333333333334,0.037733333333333334,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-B300,3.5,BER,0.024855,0.024855,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-B300,4,BER,0.012071666666666666,0.012071666666666666,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-B300,4.5,BER,0.0036283333333333332,0.0036283333333333332,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-B300,5,BER,0.0005816666666666666,0.0005816666666666666,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-B300,5.5,BER,4.3333333333333334e-05,4.3333333333333334e-05,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-B300,6,BER,0.0,5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_ber.png,BCH-B300,6.5,BER,0.0,5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_ber.png,BCH-B300,7,BER,0.0,5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_ber.png,BCH-B300,7.5,BER,0.0,5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_ber.png,BCH-B300,8,BER,0.0,5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_ber.png,BCH-B300,8.5,BER,0.0,5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_ber.png,BCH-B300,9,BER,0.0,5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_ber.png,BCH-B300,9.5,BER,0.0,5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_ber.png,BCH-B300,10,BER,0.0,5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_fer.png,BCH-S300,0,FER,1.0,1.0,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,0.5,FER,1.0,1.0,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,1,FER,1.0,1.0,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,1.5,FER,1.0,1.0,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,2,FER,1.0,1.0,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,2.5,FER,0.996,0.996,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,3,FER,0.99,0.99,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,3.5,FER,0.9545,0.9545,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,4,FER,0.852,0.852,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,4.5,FER,0.702,0.702,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,5,FER,0.5125,0.5125,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,5.5,FER,0.319,0.319,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,6,FER,0.176,0.176,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,6.5,FER,0.0865,0.0865,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,7,FER,0.034,0.034,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,7.5,FER,0.0175,0.0175,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,8,FER,0.0055,0.0055,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,8.5,FER,0.0015,0.0015,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,9,FER,0.001,0.001,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-S300,9.5,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_fer.png,BCH-S300,10,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_fer.png,BCH-B300,0,FER,1.0,1.0,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-B300,0.5,FER,1.0,1.0,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-B300,1,FER,1.0,1.0,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-B300,1.5,FER,1.0,1.0,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-B300,2,FER,0.9985,0.9985,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-B300,2.5,FER,0.98,0.98,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-B300,3,FER,0.9095,0.9095,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-B300,3.5,FER,0.688,0.688,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-B300,4,FER,0.364,0.364,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-B300,4.5,FER,0.119,0.119,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-B300,5,FER,0.019,0.019,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-B300,5.5,FER,0.0015,0.0015,RAW_POSITIVE
bch13_prescan_300bit_fer.png,BCH-B300,6,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_fer.png,BCH-B300,6.5,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_fer.png,BCH-B300,7,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_fer.png,BCH-B300,7.5,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_fer.png,BCH-B300,8,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_fer.png,BCH-B300,8.5,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_fer.png,BCH-B300,9,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_fer.png,BCH-B300,9.5,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_fer.png,BCH-B300,10,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_miscorrection.png,BCH-S200,0,miscorrectionRate,1.0,1.0,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,0.5,miscorrectionRate,1.0,1.0,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,1,miscorrectionRate,0.9995,0.9995,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,1.5,miscorrectionRate,0.999,0.999,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,2,miscorrectionRate,0.9965,0.9965,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,2.5,miscorrectionRate,0.9865,0.9865,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,3,miscorrectionRate,0.956,0.956,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,3.5,miscorrectionRate,0.875,0.875,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,4,miscorrectionRate,0.7555,0.7555,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,4.5,miscorrectionRate,0.578,0.578,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,5,miscorrectionRate,0.3935,0.3935,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,5.5,miscorrectionRate,0.2445,0.2445,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,6,miscorrectionRate,0.1415,0.1415,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,6.5,miscorrectionRate,0.0685,0.0685,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,7,miscorrectionRate,0.024,0.024,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,7.5,miscorrectionRate,0.009,0.009,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,8,miscorrectionRate,0.0045,0.0045,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,8.5,miscorrectionRate,0.0005,0.0005,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S200,9,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_miscorrection.png,BCH-S200,9.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_miscorrection.png,BCH-S200,10,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_miscorrection.png,BCH-B200,0,miscorrectionRate,0.002,0.002,RAW_POSITIVE
