module,figureId,title,logScale,sourceFiles,pngPath,pngSha256,dataPath,manifestPath,gate
Stage11,ldpc__unknown_burst_5_percent_isr_10db__avgiterations,5%未知突发干扰（ISR=10 dB）下LDPC平均译码迭代次数,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__unknown_burst_5_percent_isr_10db__avgiterations/figure.png,e22ba80b88a2ed219cce2b390d4d5047358c058a2765f887ae05b9d06e1e3c8f,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__unknown_burst_5_percent_isr_10db__avgiterations/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__unknown_burst_5_percent_isr_10db__avgiterations/plot_manifest.json,PASS
Stage11,ldpc__unknown_burst_5_percent_isr_10db__maxiterationrate,5%未知突发干扰（ISR=10 dB）下LDPC最大迭代帧比例,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__unknown_burst_5_percent_isr_10db__maxiterationrate/figure.png,00947a0917341502fe0ee1a744d20b0a46592e0d307b69f53c2d84318633d81d,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__unknown_burst_5_percent_isr_10db__maxiterationrate/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__unknown_burst_5_percent_isr_10db__maxiterationrate/plot_manifest.json,PASS
Stage11,rate_near_1_2__awgn__avgdecodetimeus,AWGN下近1/2码率组平均译码时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__avgdecodetimeus/figure.png,62e22547c55e4fb14f424f6d7e4f21dc6f900f78bbe29eaf6dea6d8447ffe3c8,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__avgdecodetimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__avgdecodetimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__awgn__avgtotalreceiveralgorithmtimeus,AWGN下近1/2码率组平均接收机算法时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__avgtotalreceiveralgorithmtimeus/figure.png,c1c7e464b66ee34853cc5e6b76ff3ab12809b6d449ad9aac24eed423be89f58e,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__avgtotalreceiveralgorithmtimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__avgtotalreceiveralgorithmtimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__awgn__ber,AWGN下近1/2码率组误码率对比,true,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__ber/figure.png,97e31d1fdc4157902f58382dd91b2194c036b41f5227cda5d2589fb13f8b72da,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__ber/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__ber/plot_manifest.json,PASS
Stage11,rate_near_1_2__awgn__fer,AWGN下近1/2码率组误帧率对比,true,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__fer/figure.png,f9a03ed6b469c27ba771d4f03e572a8de4a705eb547a26bbbfe405a13a927e79,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__fer/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__fer/plot_manifest.json,PASS
Stage11,rate_near_1_2__awgn__p95decodetimeus,AWGN下近1/2码率组P95译码时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__p95decodetimeus/figure.png,3ba954e55c290897c416c8fd2858a37aeae1c3b27f55cbe1c9ebfd22fae37c66,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__p95decodetimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__p95decodetimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__awgn__p95totalreceiveralgorithmtimeus,AWGN下近1/2码率组P95接收机算法时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__p95totalreceiveralgorithmtimeus/figure.png,b53f706a7c2c6b9327bd6ae32d8964d15e4d73d31448c38b9efb373bb5aa8bac,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__p95totalreceiveralgorithmtimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__awgn__p95totalreceiveralgorithmtimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__cfo_30_deg__avgdecodetimeus,30°载波频偏下近1/2码率组平均译码时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__avgdecodetimeus/figure.png,c9b809886641db31e42d24869118152bf65e2d789bea10880d722ba31a8f8cb5,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__avgdecodetimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__avgdecodetimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__cfo_30_deg__avgtotalreceiveralgorithmtimeus,30°载波频偏下近1/2码率组平均接收机算法时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__avgtotalreceiveralgorithmtimeus/figure.png,1bda67a8ed18155e45d1e1036329d3457427fefc2936c42ab67958691403caa7,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__avgtotalreceiveralgorithmtimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__avgtotalreceiveralgorithmtimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__cfo_30_deg__ber,30°载波频偏下近1/2码率组误码率对比,true,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__ber/figure.png,671a733b35f9938b217435a1650aec8f587e36d03e7d5bb28664096165a94e62,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__ber/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__ber/plot_manifest.json,PASS
Stage11,rate_near_1_2__cfo_30_deg__fer,30°载波频偏下近1/2码率组误帧率对比,true,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__fer/figure.png,6436a0ad8bc6c8b6dab737a484561be45367c3b2c14059b63cad3582cc39d279,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__fer/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__fer/plot_manifest.json,PASS
Stage11,rate_near_1_2__cfo_30_deg__p95decodetimeus,30°载波频偏下近1/2码率组P95译码时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__p95decodetimeus/figure.png,5b1c08699f1e782cbc15ffba9b7ec95dcdd2fc1f4dac2ad30ae2b852b8369ab7,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__p95decodetimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__p95decodetimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__cfo_30_deg__p95totalreceiveralgorithmtimeus,30°载波频偏下近1/2码率组P95接收机算法时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__p95totalreceiveralgorithmtimeus/figure.png,245bd50ee9edbf00868203e1dad7b2cf1ea7633ec0f11c7e551d67a098da30b0,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__p95totalreceiveralgorithmtimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__cfo_30_deg__p95totalreceiveralgorithmtimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__deltafer,近1/2码率组相对AWGN的误帧率劣化,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__deltafer/figure.png,bf90beaaa46875d1f42a936ab8eea9730d0c7a47fa1dcffaad797bf6d450529b,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__deltafer/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__deltafer/plot_manifest.json,PASS
Stage11,rate_near_1_2__fixed_multipath_real_mmse__avgdecodetimeus,固定多径下近1/2码率组平均译码时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__avgdecodetimeus/figure.png,2904e99ef46ebb9b0491cf2c1e55c763bc01ed3d276778fc24460a11d9df3648,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__avgdecodetimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__avgdecodetimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__fixed_multipath_real_mmse__avgtotalreceiveralgorithmtimeus,固定多径下近1/2码率组平均接收机算法时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__avgtotalreceiveralgorithmtimeus/figure.png,af70a1d05cfd990499f59176270a7ec022e4c9e45976c80219470c01a571a255,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__avgtotalreceiveralgorithmtimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__avgtotalreceiveralgorithmtimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__fixed_multipath_real_mmse__ber,固定多径下近1/2码率组误码率对比,true,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__ber/figure.png,c196951714834ddce107304e4e3c2f6c84419ea45525362232185fa3fa058ca0,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__ber/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__ber/plot_manifest.json,PASS
Stage11,rate_near_1_2__fixed_multipath_real_mmse__fer,固定多径下近1/2码率组误帧率对比,true,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__fer/figure.png,3c37b4602cba8a3a5455d4d469d449cd1f60987bd3c4c9c21366aef74579f44c,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__fer/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__fer/plot_manifest.json,PASS
Stage11,rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,固定多径下近1/2码率组P95译码时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus/figure.png,b530927609edf63d5d039c470f94f1a4f5cdfbbd1ea89fe3712312ec93459974,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,固定多径下近1/2码率组P95接收机算法时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus/figure.png,f669ab0ad44f8ae0fd75f52d3bc4a75bf142a61169129fd0b19a412fad7d7988,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,短时遮挡（5%）下近1/2码率组平均译码时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__avgdecodetimeus/figure.png,003e00e902421c79d138f4b764de073fe50752709ae550249d9a18e77b630cbe,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__avgdecodetimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__avgdecodetimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,短时遮挡（5%）下近1/2码率组平均接收机算法时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus/figure.png,68f4d8a1c6af9150f7c85d12b4fd302067da8c5bbee90eadc0ee4fde98996d90,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__known_blockage_5_percent__ber,短时遮挡（5%）下近1/2码率组误码率对比,true,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__ber/figure.png,8948d2d6f873ca4b7523248856072118d2167a14ceadf3fa3410ec9796a3dbbd,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__ber/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__ber/plot_manifest.json,PASS
Stage11,rate_near_1_2__known_blockage_5_percent__fer,短时遮挡（5%）下近1/2码率组误帧率对比,true,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__fer/figure.png,b371419479a4d8af33761daaf824e6972db6792c210edf640b22fd6551bff2a5,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__fer/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__fer/plot_manifest.json,PASS
Stage11,rate_near_1_2__known_blockage_5_percent__p95decodetimeus,短时遮挡（5%）下近1/2码率组P95译码时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__p95decodetimeus/figure.png,e99394f5d5459e726142864a4f634ae38e5e9c9c72088265162fe1d32eaa96a9,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__p95decodetimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__p95decodetimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__known_blockage_5_percent__p95totalreceiveralgorithmtimeus,短时遮挡（5%）下近1/2码率组P95接收机算法时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__p95totalreceiveralgorithmtimeus/figure.png,5bdbeadba2a585d170b8679340e64c7bea35badcb1b72247fc69cbebd79a6a28,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__p95totalreceiveralgorithmtimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__known_blockage_5_percent__p95totalreceiveralgorithmtimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__linear_time_varying_frequency__avgdecodetimeus,多普勒频移下近1/2码率组平均译码时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__avgdecodetimeus/figure.png,b0473a25d1c4888f1479b46882580b349ebfcfa948e7050869b2bdefe687f9d7,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__avgdecodetimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__avgdecodetimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__linear_time_varying_frequency__avgtotalreceiveralgorithmtimeus,多普勒频移下近1/2码率组平均接收机算法时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__avgtotalreceiveralgorithmtimeus/figure.png,49bc25f5a009d310a681beb6cceb6860318862f5c110ff15bb12e382b3258596,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__avgtotalreceiveralgorithmtimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__avgtotalreceiveralgorithmtimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__linear_time_varying_frequency__ber,多普勒频移下近1/2码率组误码率对比,true,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__ber/figure.png,0f48f6c1c4430c538dbc9bdd547f86898bf821a43ef4e4b70b30ede6fff3c7ca,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__ber/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__ber/plot_manifest.json,PASS
Stage11,rate_near_1_2__linear_time_varying_frequency__fer,多普勒频移下近1/2码率组误帧率对比,true,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__fer/figure.png,b81b76aa9834278b80fc59f138625c1fa871b6be95d4b60f48a417c18d1ea15c,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__fer/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__fer/plot_manifest.json,PASS
Stage11,rate_near_1_2__linear_time_varying_frequency__p95decodetimeus,多普勒频移下近1/2码率组P95译码时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__p95decodetimeus/figure.png,e23cc102a4fbc271850a44c0cdf7a1d7a893614e087367b5d410c7d698cfa0bf,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__p95decodetimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__p95decodetimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,多普勒频移下近1/2码率组P95接收机算法时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus/figure.png,e77174b2119082fca9b20e9c343f696222a08e93dc473202ba01ba611cf2819d,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus/plot_manifest.json,PASS
Stage11,rate_near_1_2__unknown_burst_5_percent_isr_10db__avgdecodetimeus,5%未知突发干扰（ISR=10 dB）下近1/2码率组平均译码时延（μs）对比,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__unknown_burst_5_percent_isr_10db__avgdecodetimeus/figure.png,772f9977acb9446da81234890a6f28a2ed1cd19a9d4d7d7941de18911eb133a0,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__unknown_burst_5_percent_isr_10db__avgdecodetimeus/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/rate_near_1_2__unknown_burst_5_percent_isr_10db__avgdecodetimeus/plot_manifest.json,PASS
