caseId,configurationId,interleaverMode,interleaverDepth,burstLengthIndex,burstLengthBits,snrIndex,targetSnrDb,derivedEbN0Db,permutationSha256
K200_M511K385,NONE_L0,NONE,1,0,0,5,2.5,4.6218760440395776,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_L0,NONE,1,0,0,9,4.5,6.6218760440395776,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_L0,NONE,1,0,0,13,6.5,8.6218760440395776,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_L0,NONE,1,0,0,17,8.5,10.621876044039578,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_L0,NONE,1,0,0,21,10.5,12.621876044039578,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_L0,NONE,1,0,0,25,12.5,14.621876044039578,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_L0,NONE,1,0,0,29,14.5,16.621876044039578,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_L0,NONE,1,0,0,33,16.5,18.621876044039578,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,12,0,0,2.1218760440395781,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,12,4,2,4.1218760440395776,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,12,8,4,6.1218760440395776,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,12,12,6,8.1218760440395776,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,12,16,8,10.121876044039578,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,12,20,10,12.121876044039578,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,12,24,12,14.121876044039578,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,12,28,14,16.121876044039578,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,12,32,16,18.121876044039578,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,NONE_LREP,NONE,1,1,12,36,18,20.121876044039578,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,12,3,1.5,3.6218760440395781,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,12,7,3.5,5.6218760440395776,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,12,11,5.5,7.6218760440395776,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,12,15,7.5,9.6218760440395776,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,12,19,9.5,11.621876044039578,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,12,23,11.5,13.621876044039578,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,12,27,13.5,15.621876044039578,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,12,31,15.5,17.621876044039578,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K200_M511K385,BEST_LREP,ROW_COLUMN,16,1,12,35,17.5,19.621876044039578,97606b25e01ee48903d8bbd38dde9e2efcea34c173c6fcb275d560500fab916f
K300_S15,NONE_L0,NONE,1,0,0,2,1,2.46128035678238,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,NONE_L0,NONE,1,0,0,6,3,4.46128035678238,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,NONE_L0,NONE,1,0,0,10,5,6.46128035678238,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,NONE_L0,NONE,1,0,0,14,7,8.46128035678238,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,NONE_L0,NONE,1,0,0,18,9,10.46128035678238,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,NONE_L0,NONE,1,0,0,22,11,12.46128035678238,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,NONE_L0,NONE,1,0,0,26,13,14.46128035678238,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,NONE_L0,NONE,1,0,0,30,15,16.461280356782382,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,NONE_L0,NONE,1,0,0,34,17,18.461280356782382,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,NONE_LREP,NONE,1,1,8,1,0.5,1.96128035678238,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,NONE_LREP,NONE,1,1,8,5,2.5,3.96128035678238,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,NONE_LREP,NONE,1,1,8,9,4.5,5.96128035678238,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,NONE_LREP,NONE,1,1,8,13,6.5,7.96128035678238,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,NONE_LREP,NONE,1,1,8,17,8.5,9.96128035678238,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,NONE_LREP,NONE,1,1,8,21,10.5,11.96128035678238,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,NONE_LREP,NONE,1,1,8,25,12.5,13.96128035678238,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,NONE_LREP,NONE,1,1,8,29,14.5,15.96128035678238,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,NONE_LREP,NONE,1,1,8,33,16.5,17.961280356782382,9c90ef50a346fb5dbba66466d8e9ffa3c8244e51fd7406cedf20a2d0a714e5af
K300_S15,BEST_LREP,ROW_COLUMN,16,1,8,0,0,1.46128035678238,2573f1519c22bb11e393cc09c4a1c0e3c27746bb99ce8b512a4823ecd6c58f7c
K300_S15,BEST_LREP,ROW_COLUMN,16,1,8,4,2,3.46128035678238,2573f1519c22bb11e393cc09c4a1c0e3c27746bb99ce8b512a4823ecd6c58f7c
K300_S15,BEST_LREP,ROW_COLUMN,16,1,8,8,4,5.46128035678238,2573f1519c22bb11e393cc09c4a1c0e3c27746bb99ce8b512a4823ecd6c58f7c
K300_S15,BEST_LREP,ROW_COLUMN,16,1,8,12,6,7.46128035678238,2573f1519c22bb11e393cc09c4a1c0e3c27746bb99ce8b512a4823ecd6c58f7c
K300_S15,BEST_LREP,ROW_COLUMN,16,1,8,16,8,9.46128035678238,2573f1519c22bb11e393cc09c4a1c0e3c27746bb99ce8b512a4823ecd6c58f7c
K300_S15,BEST_LREP,ROW_COLUMN,16,1,8,20,10,11.46128035678238,2573f1519c22bb11e393cc09c4a1c0e3c27746bb99ce8b512a4823ecd6c58f7c
K300_S15,BEST_LREP,ROW_COLUMN,16,1,8,24,12,13.46128035678238,2573f1519c22bb11e393cc09c4a1c0e3c27746bb99ce8b512a4823ecd6c58f7c
K300_S15,BEST_LREP,ROW_COLUMN,16,1,8,28,14,15.46128035678238,2573f1519c22bb11e393cc09c4a1c0e3c27746bb99ce8b512a4823ecd6c58f7c
K300_S15,BEST_LREP,ROW_COLUMN,16,1,8,32,16,17.461280356782382,2573f1519c22bb11e393cc09c4a1c0e3c27746bb99ce8b512a4823ecd6c58f7c
K300_S15,BEST_LREP,ROW_COLUMN,16,1,8,36,18,19.461280356782382,2573f1519c22bb11e393cc09c4a1c0e3c27746bb99ce8b512a4823ecd6c58f7c
K300_M255K207,NONE_L0,NONE,1,0,0,3,1.5,2.7057393120584985,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,NONE_L0,NONE,1,0,0,7,3.5,4.7057393120584985,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,NONE_L0,NONE,1,0,0,11,5.5,6.7057393120584985,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,NONE_L0,NONE,1,0,0,15,7.5,8.7057393120584994,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,NONE_L0,NONE,1,0,0,19,9.5,10.705739312058499,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,NONE_L0,NONE,1,0,0,23,11.5,12.705739312058499,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,NONE_L0,NONE,1,0,0,27,13.5,14.705739312058499,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,NONE_L0,NONE,1,0,0,31,15.5,16.705739312058498,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,NONE_L0,NONE,1,0,0,35,17.5,18.705739312058498,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,NONE_LREP,NONE,1,1,8,2,1,2.2057393120584985,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,NONE_LREP,NONE,1,1,8,6,3,4.2057393120584985,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,NONE_LREP,NONE,1,1,8,10,5,6.2057393120584985,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,NONE_LREP,NONE,1,1,8,14,7,8.2057393120584994,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,NONE_LREP,NONE,1,1,8,18,9,10.205739312058499,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,NONE_LREP,NONE,1,1,8,22,11,12.205739312058499,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,NONE_LREP,NONE,1,1,8,26,13,14.205739312058499,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,NONE_LREP,NONE,1,1,8,30,15,16.205739312058498,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,NONE_LREP,NONE,1,1,8,34,17,18.205739312058498,2d8c7117e62f421ae96e2527354cd3cc91106fe1a2095a0b6134bb51e4695bdc
K300_M255K207,BEST_LREP,ROW_COLUMN,4,1,8,1,0.5,1.7057393120584987,55133fddbaae10a7021f5a1cb1503e6243b0a961df29e56c83719e139ff81dff
K300_M255K207,BEST_LREP,ROW_COLUMN,4,1,8,5,2.5,3.7057393120584985,55133fddbaae10a7021f5a1cb1503e6243b0a961df29e56c83719e139ff81dff
K300_M255K207,BEST_LREP,ROW_COLUMN,4,1,8,9,4.5,5.7057393120584985,55133fddbaae10a7021f5a1cb1503e6243b0a961df29e56c83719e139ff81dff
K300_M255K207,BEST_LREP,ROW_COLUMN,4,1,8,13,6.5,7.7057393120584985,55133fddbaae10a7021f5a1cb1503e6243b0a961df29e56c83719e139ff81dff
K300_M255K207,BEST_LREP,ROW_COLUMN,4,1,8,17,8.5,9.7057393120584994,55133fddbaae10a7021f5a1cb1503e6243b0a961df29e56c83719e139ff81dff
K300_M255K207,BEST_LREP,ROW_COLUMN,4,1,8,21,10.5,11.705739312058499,55133fddbaae10a7021f5a1cb1503e6243b0a961df29e56c83719e139ff81dff
K300_M255K207,BEST_LREP,ROW_COLUMN,4,1,8,25,12.5,13.705739312058499,55133fddbaae10a7021f5a1cb1503e6243b0a961df29e56c83719e139ff81dff
K300_M255K207,BEST_LREP,ROW_COLUMN,4,1,8,29,14.5,15.705739312058499,55133fddbaae10a7021f5a1cb1503e6243b0a961df29e56c83719e139ff81dff
K300_M255K207,BEST_LREP,ROW_COLUMN,4,1,8,33,16.5,17.705739312058498,55133fddbaae10a7021f5a1cb1503e6243b0a961df29e56c83719e139ff81dff
