caseName,payloadLength,encodedLength,frameRate,sourceEbN0Db,sourceSnrIndex,warmupFrames,timedFramesPerRepetition,repetitions,publishedAvgDecodeTimeUs,minAvgDecodeTimeUs,maxAvgDecodeTimeUs,relativeSpan,snrDb
BCH-B300,300,390,0.76923076923076927,4.5999999999999996,46,500,5000,3,83.368840000000318,82.662440000000046,97.794160000000247,0.18150330507177673,3.460566476931632
BCH-B300,300,390,0.76923076923076927,4.7999999999999998,48,500,5000,3,82.159639999999939,78.066839999999885,90.09937999999984,0.14645317335859753,3.6605664769316322
BCH-B300,300,390,0.76923076923076927,5,50,500,5000,3,77.125619999999984,76.979560000000049,82.418299999999789,0.070517942027561537,3.8605664769316324
BCH-B300,300,390,0.76923076923076927,5.2000000000000002,52,500,5000,3,73.960279999999813,73.464519999999979,76.494939999999872,0.040973614486044412,4.0605664769316325
BCH-B300,300,390,0.76923076923076927,5.4000000000000004,54,500,5000,3,67.988279999999705,65.874560000000002,77.230120000000156,0.16702231619920674,4.2605664769316327
BCH-B300,300,390,0.76923076923076927,5.5,55,500,5000,3,68.15225999999987,65.456520000000083,69.067879999999718,0.052989585378381318,4.3605664769316324
BCH-B300-426,300,426,0.70422535211267601,4,0,500,5000,3,127.74875999999934,123.24710000000016,134.92311999999947,0.091398303983532783,2.4771165561694346
BCH-B300-426,300,426,0.70422535211267601,4.2000000000000002,1,500,5000,3,124.1544599999997,119.57483999999957,126.92237999999956,0.059180636764881528,2.6771165561694348
BCH-B300-426,300,426,0.70422535211267601,4.4000000000000004,2,500,5000,3,120.79249999999998,116.85710000000027,134.56761999999986,0.1466193679243297,2.877116556169435
BCH-B300-426,300,426,0.70422535211267601,4.5999999999999996,3,500,5000,3,118.65647999999992,116.78921999999972,120.71819999999995,0.033112224465113409,3.0771165561694342
BCH-B300-426,300,426,0.70422535211267601,4.7999999999999998,4,500,5000,3,112.02104000000008,109.82745999999995,118.51600000000009,0.077561679484498075,3.2771165561694344
BCH-B300-426,300,426,0.70422535211267601,5,5,500,5000,3,104.70983999999962,102.04152000000008,106.54615999999984,0.043020216629113213,3.4771165561694346
BCH-B300-426,300,426,0.70422535211267601,5.2000000000000002,6,500,5000,3,100.20512000000021,97.887140000000429,102.13284000000021,0.042370090470424837,3.6771165561694348
BCH-B300-426,300,426,0.70422535211267601,5.4000000000000004,7,500,5000,3,97.456679999999864,96.843900000000019,106.92207999999987,0.10341189541855787,3.877116556169435
BCH-B300-426,300,426,0.70422535211267601,5.5,8,500,5000,3,103.97985999999975,96.037760000000176,105.17838000000015,0.087907600568032998,3.9771165561694346
