actualLength,esN0Db,berDifferenceNmsMinusBp,ferDifferenceNmsMinusBp,avgIterationDifferenceNmsMinusBp,avgDelayDifferenceUs,p95DelayDifferenceUs,edgeUpdateDifference,operationDifference,wrongValidRateDifference
560,6.0,-2.667840516493977e-07,8.00352154948173e-05,0.05182280203289458,-47.99339709472167,-76.85999999999986,40.629076793789295,2386.670895193885,-0.0006002641162111324
560,6.5,3.333333333333324e-07,0.00018000000000000004,0.02967999999999993,-49.42712399999999,-75.80499999999958,23.269120000000044,2236.66148,-0.00023999999999999976
560,7.0,2.0000000000000063e-07,5.999999999999994e-05,0.009220000000000006,-50.10405999999999,-76.60000000000001,7.2284799999999905,2120.9807,-7.999999999999999e-05
560,7.5,-6.666666666666652e-08,1.9999999999999998e-05,0.0030799999999999716,-50.22345,-75.60000000000001,2.4147199999999884,2087.88666,-6.000000000000005e-05
560,8.0,0.0,0.0,0.0,-50.454678,-75.69999999999999,0.0,2072.34416,0.0
560,8.5,0.0,0.0,0.0,-49.657121999999994,-75.39999999999999,0.0,2073.07286,0.0
560,9.0,0.0,0.0,0.0,-49.115027999999995,-75.4,0.0,2073.8652599999996,0.0
560,9.5,0.0,0.0,0.0,-51.83829,-78.30499999999955,0.0,2074.4809999999998,0.0
560,10.0,0.0,0.0,0.0,-53.877807999999995,-77.70499999999956,0.0,2074.9322599999996,0.0
640,-5.0,0.020229999999999998,0.0,0.0,-5461.7062,-7813.59,0.0,186117.642,0.0
640,-4.5,0.020343333333333324,0.0,0.0,-5657.162400000001,-8011.024999999997,0.0,186231.61800000002,0.0
640,-4.0,0.02065,0.0,0.0,-5685.8377,-8490.894999999997,0.0,186381.168,0.0
640,-3.5,0.02099999999999999,-0.0010000000000000009,-0.012000000000000455,-5831.9647,-8472.695,-26.880000000004657,186431.10700000002,0.0
640,-3.0,0.020853333333333335,0.0,0.0,-5495.2782,-8120.5799999999945,0.0,186219.44400000002,0.0
640,-2.5,0.019153333333333328,0.02300000000000002,0.5100000000000016,-5208.8463,-8347.86,1142.4000000000087,184222.44100000005,0.0
640,-2.0,0.01335,0.05600000000000005,1.5980000000000025,-3967.3223,-7436.394999999999,3579.520000000004,160473.22400000002,0.0
640,-1.5,0.004823333333333332,0.04000000000000001,1.798,-2041.1326999999997,-5750.705,4027.519999999997,103222.54499999998,0.0
640,-1.0,0.0005280284889789403,0.008288819303739182,0.7406520537852268,-974.1385153803648,-2413.459999999981,1659.0606004789097,49492.184011788544,0.0
640,-0.5,-1.6484532683601506e-05,-4.824741273249181e-05,0.22965768460666336,-680.1581453694546,-1241.7599999999998,514.4332135189252,28563.857187658316,0.0
640,0.0,-1.8600000000000005e-05,-0.00018000000000000004,0.1223399999999999,-528.5209200000002,-966.3950000000004,274.04159999999956,21162.94188,0.0
640,0.5,-1.2666666666666669e-06,-6e-05,0.09196000000000026,-429.89882,-769.9099999999992,205.99039999999968,17236.740899999997,0.0
640,1.0,0.0,0.0,0.060339999999999616,-367.41105799999997,-667.0999999999999,135.16160000000036,14434.424339999998,0.0
640,1.5,0.0,0.0,0.028859999999999886,-331.83910000000003,-555.4000000000001,64.64640000000054,12604.323199999999,0.0
640,2.0,0.0,0.0,0.024580000000000046,-301.151728,-511.6,55.05919999999969,11395.3465,0.0
640,2.5,0.0,0.0,0.03446000000000016,-257.95814799999994,-496.9049999999995,77.19039999999995,9981.455799999998,0.0
640,3.0,0.0,0.0,0.03245999999999993,-211.06144600000002,-427.7049999999997,72.71040000000039,8325.09972,0.0
640,3.5,0.0,0.0,0.01882000000000006,-181.108816,-327.8,42.15679999999975,7028.784079999999,0.0
640,4.0,0.0,0.0,0.008440000000000003,-167.791228,-306.40000000000003,18.905599999999595,6338.8879,0.0
640,4.5,0.0,0.0,0.0021199999999998997,-158.204292,-263.20499999999953,4.7487999999998465,6050.598,0.0
640,5.0,0.0,0.0,0.0008600000000000829,-155.223746,-255.10000000000002,1.9264000000002852,5972.496440000001,0.0
640,5.5,0.0,0.0,0.00029999999999996696,-155.352708,-253.10000000000002,0.6720000000000255,5953.5284999999985,0.0
640,6.0,0.0,0.0,4.0000000000040004e-05,-154.300672,-248.89999999999998,0.08960000000024593,5951.0679,0.0
