actualLength,esN0Db,bpEdgeUpdates,nmsEdgeUpdates,edgeUpdateReduction,bpTheoreticalOperations,nmsTheoreticalOperations,operationReduction
560,-3.5,25088.0,22319.696,0.11034375,100352.0,147271.8,-0.46755221619897946
560,-3.0,25088.0,22081.36,0.11984374999999997,100352.0,145708.08,-0.4519698660714284
560,-2.5,25088.0,21941.024,0.12543749999999995,100352.0,144793.846,-0.4428595942283162
560,-2.0,25088.0,21542.752,0.14131249999999998,100352.0,142174.903,-0.4167620276626275
560,-1.5,25088.0,20961.808,0.16446874999999997,100352.0,138361.419,-0.3787609514508928
560,-1.0,25088.0,20642.72,0.17718749999999994,100352.0,136265.075,-0.35787104392538277
560,-0.5,25088.0,19850.096,0.20878124999999995,100352.0,131044.685,-0.3058502570950255
560,0.0,25088.0,18338.544,0.26903124999999994,100352.0,121086.985,-0.20662253866390307
560,0.5,25040.96,17093.552,0.31737633061991233,100163.84,112866.518,-0.1268189997508083
560,1.0,24527.44,15643.152,0.3622183154866549,98109.76,103314.013,-0.05304521181175055
560,1.5,22728.944,12406.016,0.4541754337553034,90915.776,81946.595,0.09865373639884015
560,2.0,18048.464,10048.528,0.4432474697015768,72193.856,66387.848,0.0804224669755831
560,2.5,11321.744,7081.872,0.3744893012949242,45286.976,46791.41,-0.033220014513665054
560,3.0,6804.336,5782.0,0.15024772439221112,27217.344,38207.221,-0.4037821251037572
560,3.5,3095.232,3183.824,-0.028622087132725463,12380.928,21049.843,-0.7001829749757047
560,4.0,1965.488,2413.936,-0.22816114878340651,7861.952,15962.279,-1.030320078270638
560,4.5,1201.7457627118645,1623.6440677966102,-0.3510711817553559,4806.983050847458,10743.837923728814,-1.2350480145409926
560,5.0,969.4935304990757,1178.7948243992607,-0.21588725176169138,3877.974121996303,7806.200422498019,-1.0129583583914026
560,5.5,844.7227677342388,953.2179498944664,-0.12843880419044376,3378.891070936955,6318.223639533817,-0.8699104253105723
560,6.0,803.953739645444,844.5828164392333,-0.050536585365853696,3215.814958581776,5602.485853775661,-0.7421667371826778
560,6.5,789.77024,813.03936,-0.029463151207115686,3159.08096,5395.74244,-0.7080101802772413
560,7.0,785.4112,792.63968,-0.009203433819125561,3141.6448,5262.6255,-0.6751179191231294
560,7.5,784.392,786.80672,-0.0030784607696151775,3137.568,5225.45466,-0.6654474612183704
560,8.0,784.09408,784.09408,0.0,3136.37632,5208.72048,-0.6607447412432957
560,8.5,784.0,784.0,0.0,3136.0,5209.07286,-0.6610563966836736
560,9.0,784.0,784.0,0.0,3136.0,5209.86526,-0.6613090752551019
560,9.5,784.0,784.0,0.0,3136.0,5210.481,-0.6615054209183673
560,10.0,784.0,784.0,0.0,3136.0,5210.93226,-0.6616493176020407
640,-5.0,71680.0,71680.0,0.0,286720.0,472837.642,-0.6491268205915178
640,-4.5,71680.0,71680.0,0.0,286720.0,472951.618,-0.6495243373325893
640,-4.0,71680.0,71680.0,0.0,286720.0,473101.168,-0.6500459263392857
640,-3.5,71680.0,71653.12,0.00037500000000006495,286720.0,473151.107,-0.650220099748884
640,-3.0,71406.72,71406.72,0.0,285626.88,471846.324,-0.6519675038987928
640,-2.5,67583.04,68725.44,-0.016903649199562623,270332.16,454554.601,-0.6814669812130383
640,-2.0,52194.24,55773.76,-0.0685807476073989,208776.96,369250.184,-0.7686347382393154
640,-1.5,29151.36,33178.88,-0.13815890579376044,116605.44,219827.985,-0.8852292397335835
640,-1.0,14650.5654816725,16309.62608215141,-0.11324208629041344,58602.26192669,108094.44593847854,-0.8445439200572507
640,-0.5,9571.105589462764,10085.53880298169,-0.05374856736355375,38284.42235785106,66848.27954550937,-0.746096073245328
640,0.0,7358.8032,7632.8448,-0.03723996858619613,29435.2128,50598.15468,-0.7189668382489152
640,0.5,6034.2016,6240.192,-0.034137142517744135,24136.8064,41373.5473,-0.7141268241684201
640,1.0,5144.384,5279.5456,-0.026273621875816496,20577.536,35011.96034,-0.7014651482082207
640,1.5,4623.0912,4687.7376,-0.013983371126228387,18492.3648,31096.688,-0.6815960714770238
640,2.0,4184.9024,4239.9616,-0.013156627021934776,16739.6096,28134.9561,-0.6807414732061613
640,2.5,3590.5408,3667.7312,-0.021498265665161068,14362.1632,24343.619,-0.6949827585861159
640,3.0,2971.8976,3044.608,-0.024465984292325684,11887.5904,20212.69012,-0.7003185203958576
640,3.5,2555.168,2597.3248,-0.016498641185237035,10220.672,17249.45608,-0.6877027342233465
640,4.0,2349.5808,2368.4864,-0.008046371505929736,9398.3232,15737.2111,-0.674470090579562
640,4.5,2273.2864,2278.0352,-0.0020889580828882125,9093.1456,15143.7436,-0.6654020804417781
640,5.0,2248.2432,2250.1696,-0.0008568468037622822,8992.9728,14965.46924,-0.6641292676877663
640,5.5,2241.8816,2242.5536,-0.0002997482115023494,8967.5264,14921.0549,-0.6638986309535703
640,6.0,2240.3136,2240.4032,-3.999440078400003e-05,8961.2544,14912.3223,-0.6640887128480585
640,6.5,2240.0896,2240.1344,-1.9999200032053614e-05,8960.3584,14915.5263,-0.6646126900459697
640,7.0,2240.0448,2240.0448,0.0,8960.1792,14919.38566,-0.6650767051623252
640,7.5,2240.0,2240.0,0.0,8960.0,14923.00158,-0.6655135691964286
640,8.0,2240.0,2240.0,0.0,8960.0,14926.4086,-0.6658938169642857
640,8.5,2240.0,2240.0,0.0,8960.0,14929.22378,-0.6662080111607143
640,9.0,2240.0,2240.0,0.0,8960.0,14931.5319,-0.6664656138392857
640,9.5,2240.0,2240.0,0.0,8960.0,14933.31034,-0.6666641004464285
640,10.0,2240.0,2240.0,0.0,8960.0,14934.57902,-0.6668056941964284
