caseId,snrIndex,snrDb,totalFrames,payloadErrorFrames,stopReason,ber,fer,passed
K200_M255K207,14,7,5041,200,TARGET_FRAME_ERRORS_REACHED,0.0012001586986708987,0.039674667724657803,true
K200_M255K207,15,7.5,28585,200,TARGET_FRAME_ERRORS_REACHED,0.00020307853769459508,0.0069966765786251533,true
K200_M255K207,16,8,50000,60,MAX_FRAMES_REACHED,3.5800000000000003e-05,0.0011999999999999999,true
K200_M255K207,17,8.5,50000,3,MAX_FRAMES_REACHED,1.7e-06,6.0000000000000002e-05,true
K200_M255K207,18,9,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,19,9.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,20,10,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,21,10.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,22,11,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,23,11.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,24,12,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,25,12.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,26,13,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,27,13.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,28,14,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,29,14.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,30,15,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,31,15.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,32,16,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,33,16.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,34,17,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,35,17.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,36,18,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,0,0,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.15801000000000001,1,true
K200_M511K421,1,0.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.144815,1,true
K200_M511K421,2,1,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.13081499999999999,1,true
K200_M511K421,3,1.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.11599,1,true
K200_M511K421,4,2,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.104755,1,true
K200_M511K421,5,2.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.091950000000000004,1,true
K200_M511K421,6,3,1000,997,TARGET_FRAME_ERRORS_REACHED,0.079735,0.997,true
K200_M511K421,7,3.5,1000,986,TARGET_FRAME_ERRORS_REACHED,0.067174999999999999,0.98599999999999999,true
K200_M511K421,8,4,1000,950,TARGET_FRAME_ERRORS_REACHED,0.05525,0.94999999999999996,true
K200_M511K421,9,4.5,1000,813,TARGET_FRAME_ERRORS_REACHED,0.040689999999999997,0.81299999999999994,true
K200_M511K421,10,5,1000,562,TARGET_FRAME_ERRORS_REACHED,0.025874999999999999,0.56200000000000006,true
K200_M511K421,11,5.5,1000,243,TARGET_FRAME_ERRORS_REACHED,0.010404999999999999,0.24299999999999999,true
K200_M511K421,12,6,2540,200,TARGET_FRAME_ERRORS_REACHED,0.0031338582677165354,0.07874015748031496,true
K200_M511K421,13,6.5,17578,200,TARGET_FRAME_ERRORS_REACHED,0.00045397656161110477,0.011377858686995108,true
K200_M511K421,14,7,50000,49,MAX_FRAMES_REACHED,3.8099999999999998e-05,0.00097999999999999997,true
K200_M511K421,15,7.5,50000,3,MAX_FRAMES_REACHED,2.7e-06,6.0000000000000002e-05,true
K200_M511K421,16,8,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,17,8.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,18,9,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,19,9.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,20,10,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,21,10.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,22,11,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,23,11.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,24,12,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,25,12.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,26,13,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,27,13.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,28,14,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,29,14.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,30,15,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,31,15.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,32,16,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,33,16.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,34,17,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,35,17.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K421,36,18,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,0,0,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.15898999999999999,1,true
K200_M511K385,1,0.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.14665500000000001,1,true
K200_M511K385,2,1,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.13086,1,true
K200_M511K385,3,1.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.11667,1,true
K200_M511K385,4,2,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.10438,1,true
K200_M511K385,5,2.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.090615000000000001,1,true
K200_M511K385,6,3,1000,989,TARGET_FRAME_ERRORS_REACHED,0.078119999999999995,0.98899999999999999,true
K200_M511K385,7,3.5,1000,962,TARGET_FRAME_ERRORS_REACHED,0.065759999999999999,0.96199999999999997,true
K200_M511K385,8,4,1000,823,TARGET_FRAME_ERRORS_REACHED,0.050200000000000002,0.82299999999999995,true
K200_M511K385,9,4.5,1000,561,TARGET_FRAME_ERRORS_REACHED,0.03091,0.56100000000000005,true
K200_M511K385,10,5,1000,235,TARGET_FRAME_ERRORS_REACHED,0.012189999999999999,0.23499999999999999,true
K200_M511K385,11,5.5,2963,200,TARGET_FRAME_ERRORS_REACHED,0.003324333445831927,0.067499156260546742,true
K200_M511K385,12,6,23451,200,TARGET_FRAME_ERRORS_REACHED,0.0004134152061745768,0.0085284209628587269,true
K200_M511K385,13,6.5,50000,42,MAX_FRAMES_REACHED,3.9700000000000003e-05,0.00084000000000000003,true
K200_M511K385,14,7,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,15,7.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,16,8,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,17,8.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,18,9,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,19,9.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,20,10,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,21,10.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,22,11,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,23,11.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,24,12,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,25,12.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,26,13,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,27,13.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,28,14,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,29,14.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,30,15,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,31,15.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,32,16,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,33,16.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,34,17,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,35,17.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M511K385,36,18,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_S15,0,0,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.18090333333333333,1,true
K300_S15,1,0.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.16345000000000001,1,true
K300_S15,2,1,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.14494000000000001,1,true
K300_S15,3,1.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.12828999999999999,1,true
K300_S15,4,2,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.11000666666666667,1,true
K300_S15,5,2.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.091399999999999995,1,true
K300_S15,6,3,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.073330000000000006,1,true
K300_S15,7,3.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.057279999999999998,1,true
K300_S15,8,4,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.045220000000000003,1,true
K300_S15,9,4.5,1000,990,TARGET_FRAME_ERRORS_REACHED,0.031833333333333332,0.98999999999999999,true
K300_S15,10,5,1000,947,TARGET_FRAME_ERRORS_REACHED,0.022763333333333333,0.94699999999999995,true
K300_S15,11,5.5,1000,872,TARGET_FRAME_ERRORS_REACHED,0.015383333333333334,0.872,true
K300_S15,12,6,1000,717,TARGET_FRAME_ERRORS_REACHED,0.0094000000000000004,0.71699999999999997,true
K300_S15,13,6.5,1000,522,TARGET_FRAME_ERRORS_REACHED,0.0055666666666666668,0.52200000000000002,true
K300_S15,14,7,1000,308,TARGET_FRAME_ERRORS_REACHED,0.0027599999999999999,0.308,true
K300_S15,15,7.5,1089,200,TARGET_FRAME_ERRORS_REACHED,0.0014753596571778389,0.18365472910927455,true
K300_S15,16,8,2353,200,TARGET_FRAME_ERRORS_REACHED,0.00067148321291967696,0.084997875053123673,true
K300_S15,17,8.5,4573,200,TARGET_FRAME_ERRORS_REACHED,0.00031780742036591588,0.043734966105401271,true
K300_S15,18,9,13793,200,TARGET_FRAME_ERRORS_REACHED,0.00010440078300587255,0.014500108750815631,true
K300_S15,19,9.5,36385,200,TARGET_FRAME_ERRORS_REACHED,4.1225779854335581e-05,0.0054967706472447437,true
K300_S15,20,10,50000,86,MAX_FRAMES_REACHED,1.2266666666666667e-05,0.00172,true
K300_S15,21,10.5,50000,27,MAX_FRAMES_REACHED,3.9999999999999998e-06,0.00054000000000000001,true
K300_S15,22,11,50000,5,MAX_FRAMES_REACHED,8.666666666666667e-07,0.0001,true
K300_S15,23,11.5,50000,2,MAX_FRAMES_REACHED,3.9999999999999998e-07,4.0000000000000003e-05,true
K300_S15,24,12,50000,1,MAX_FRAMES_REACHED,1.9999999999999999e-07,2.0000000000000002e-05,true
K300_S15,25,12.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_S15,26,13,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_S15,27,13.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_S15,28,14,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_S15,29,14.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_S15,30,15,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_S15,31,15.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_S15,32,16,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_S15,33,16.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_S15,34,17,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_S15,35,17.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_S15,36,18,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,0,0,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.15968333333333334,1,true
K300_M255K207,1,0.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.14578666666666668,1,true
K300_M255K207,2,1,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.13018666666666667,1,true
K300_M255K207,3,1.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.11811000000000001,1,true
K300_M255K207,4,2,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.10424,1,true
K300_M255K207,5,2.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.091866666666666666,1,true
K300_M255K207,6,3,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.07789666666666667,1,true
K300_M255K207,7,3.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.067400000000000002,1,true
K300_M255K207,8,4,1000,996,TARGET_FRAME_ERRORS_REACHED,0.054453333333333333,0.996,true
K300_M255K207,9,4.5,1000,973,TARGET_FRAME_ERRORS_REACHED,0.041880000000000001,0.97299999999999998,true
K300_M255K207,10,5,1000,875,TARGET_FRAME_ERRORS_REACHED,0.028666666666666667,0.875,true
K300_M255K207,11,5.5,1000,622,TARGET_FRAME_ERRORS_REACHED,0.016196666666666668,0.622,true
K300_M255K207,12,6,1000,306,TARGET_FRAME_ERRORS_REACHED,0.006476666666666667,0.30599999999999999,true
K300_M255K207,13,6.5,1749,200,TARGET_FRAME_ERRORS_REACHED,0.0022832094530207737,0.11435105774728416,true
K300_M255K207,14,7,7334,200,TARGET_FRAME_ERRORS_REACHED,0.00051040814471411695,0.027270248159258249,true
K300_M255K207,15,7.5,44537,200,TARGET_FRAME_ERRORS_REACHED,8.3002148026734332e-05,0.0044906482250712887,true
K300_M255K207,16,8,50000,25,MAX_FRAMES_REACHED,8.5333333333333335e-06,0.00050000000000000001,true
K300_M255K207,17,8.5,50000,1,MAX_FRAMES_REACHED,2.6666666666666667e-07,2.0000000000000002e-05,true
K300_M255K207,18,9,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,19,9.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,20,10,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,21,10.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,22,11,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,23,11.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,24,12,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,25,12.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,26,13,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,27,13.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,28,14,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,29,14.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,30,15,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,31,15.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,32,16,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,33,16.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,34,17,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,35,17.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M255K207,36,18,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,0,0,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.15951333333333334,1,true
K300_M511K421,1,0.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.14503666666666667,1,true
K300_M511K421,2,1,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.13033,1,true
K300_M511K421,3,1.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.11738333333333334,1,true
K300_M511K421,4,2,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.10297333333333333,1,true
K300_M511K421,5,2.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.090770000000000003,1,true
K300_M511K421,6,3,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.078179999999999999,1,true
K300_M511K421,7,3.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.067299999999999999,1,true
K300_M511K421,8,4,1000,994,TARGET_FRAME_ERRORS_REACHED,0.056846666666666663,0.99399999999999999,true
K300_M511K421,9,4.5,1000,974,TARGET_FRAME_ERRORS_REACHED,0.046236666666666669,0.97399999999999998,true
K300_M511K421,10,5,1000,865,TARGET_FRAME_ERRORS_REACHED,0.034520000000000002,0.86499999999999999,true
K300_M511K421,11,5.5,1000,587,TARGET_FRAME_ERRORS_REACHED,0.020406666666666667,0.58699999999999997,true
K300_M511K421,12,6,1000,292,TARGET_FRAME_ERRORS_REACHED,0.0094299999999999991,0.29199999999999998,true
K300_M511K421,13,6.5,2566,200,TARGET_FRAME_ERRORS_REACHED,0.002364250454663549,0.077942322681215898,true
K300_M511K421,14,7,16214,200,TARGET_FRAME_ERRORS_REACHED,0.00036614448419061718,0.012335019119279636,true
K300_M511K421,15,7.5,50000,47,MAX_FRAMES_REACHED,2.7800000000000001e-05,0.00093999999999999997,true
K300_M511K421,16,8,50000,5,MAX_FRAMES_REACHED,2.5333333333333334e-06,0.0001,true
K300_M511K421,17,8.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,18,9,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,19,9.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,20,10,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,21,10.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,22,11,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,23,11.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,24,12,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,25,12.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,26,13,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,27,13.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,28,14,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,29,14.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,30,15,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,31,15.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,32,16,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,33,16.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,34,17,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,35,17.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K421,36,18,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,0,0,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.15662999999999999,1,true
K300_M511K385,1,0.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.14299999999999999,1,true
K300_M511K385,2,1,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.13156333333333334,1,true
K300_M511K385,3,1.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.11779333333333333,1,true
K300_M511K385,4,2,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.10444666666666666,1,true
K300_M511K385,5,2.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.091493333333333329,1,true
K300_M511K385,6,3,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.07922333333333334,1,true
K300_M511K385,7,3.5,1000,997,TARGET_FRAME_ERRORS_REACHED,0.067460000000000006,0.997,true
K300_M511K385,8,4,1000,986,TARGET_FRAME_ERRORS_REACHED,0.055643333333333336,0.98599999999999999,true
K300_M511K385,9,4.5,1000,900,TARGET_FRAME_ERRORS_REACHED,0.044240000000000002,0.90000000000000002,true
K300_M511K385,10,5,1000,611,TARGET_FRAME_ERRORS_REACHED,0.026423333333333333,0.61099999999999999,true
K300_M511K385,11,5.5,1000,298,TARGET_FRAME_ERRORS_REACHED,0.011733333333333333,0.29799999999999999,true
K300_M511K385,12,6,2805,200,TARGET_FRAME_ERRORS_REACHED,0.0027510398098633394,0.07130124777183601,true
K300_M511K385,13,6.5,22773,200,TARGET_FRAME_ERRORS_REACHED,0.00031953043809189246,0.0087823299521363023,true
K300_M511K385,14,7,50000,31,MAX_FRAMES_REACHED,2.1933333333333332e-05,0.00062,true
K300_M511K385,15,7.5,50000,1,MAX_FRAMES_REACHED,7.9999999999999996e-07,2.0000000000000002e-05,true
K300_M511K385,16,8,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,17,8.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,18,9,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,19,9.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,20,10,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,21,10.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,22,11,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,23,11.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,24,12,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,25,12.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,26,13,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,27,13.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,28,14,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,29,14.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,30,15,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,31,15.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,32,16,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,33,16.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,34,17,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,35,17.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K300_M511K385,36,18,50000,0,MAX_FRAMES_REACHED,0,0,true
