caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,targetSnrDb,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue
K200_M255K207,255整块,200,248,0.80645161290322576,4.9342168516223506,3.9999999999999996,3.9999999999999996,ber,0.0035093749999999999,1600,1123,0,0,0.0035093749999999999
K200_M255K207,255整块,200,248,0.80645161290322576,5.4342168516223506,4.5,4.5,ber,0.00086746031746031749,6300,1093,0,0,0.00086746031746031749
K200_M255K207,255整块,200,248,0.80645161290322576,5.9342168516223506,5,5,ber,0.00013875338753387533,36900,1024,0,0,0.00013875338753387533
K200_M255K207,255整块,200,248,0.80645161290322576,6.4342168516223506,5.5,5.5,ber,1.5e-05,50000,150,0,0,1.5e-05
K200_M255K207,255整块,200,248,0.80645161290322576,6.9342168516223506,6,6,ber,8.9999999999999996e-07,50000,9,0,0,8.9999999999999996e-07
K200_M255K207,255整块,200,248,0.80645161290322576,7.4342168516223506,6.5,6.5,ber,0,50000,0,1,1,4.9999999999999998e-08
K200_M255K207,255整块,200,248,0.80645161290322576,7.9342168516223506,7,7,ber,0,50000,0,1,1,4.9999999999999998e-08
K200_M255K207,255整块,200,248,0.80645161290322576,8.4342168516223506,7.5,7.5,ber,0,50000,0,1,1,4.9999999999999998e-08
K200_M255K207,255整块,200,248,0.80645161290322576,8.9342168516223506,8,8,ber,0,50000,0,1,1,4.9999999999999998e-08
K200_M511K421,421整块,200,290,0.68965517241379315,1.6136800223497485,0,0,ber,0.084360000000000004,1000,16872,0,0,0.084360000000000004
K200_M511K421,421整块,200,290,0.68965517241379315,2.1136800223497483,0.49999999999999978,0.49999999999999978,ber,0.071205000000000004,1000,14241,0,0,0.071205000000000004
K200_M511K421,421整块,200,290,0.68965517241379315,2.6136800223497483,0.99999999999999978,0.99999999999999978,ber,0.058439999999999999,1000,11688,0,0,0.058439999999999999
K200_M511K421,421整块,200,290,0.68965517241379315,3.1136800223497483,1.4999999999999998,1.4999999999999998,ber,0.047965000000000001,1000,9593,0,0,0.047965000000000001
K200_M511K421,421整块,200,290,0.68965517241379315,3.6136800223497483,1.9999999999999998,1.9999999999999998,ber,0.034314999999999998,1000,6863,0,0,0.034314999999999998
K200_M511K421,421整块,200,290,0.68965517241379315,4.1136800223497483,2.5,2.5,ber,0.018669999999999999,1000,3734,0,0,0.018669999999999999
K200_M511K421,421整块,200,290,0.68965517241379315,4.6136800223497483,3,3,ber,0.0085450000000000005,1000,1709,0,0,0.0085450000000000005
K200_M511K421,421整块,200,290,0.68965517241379315,5.1136800223497483,3.5,3.5,ber,0.0020708333333333334,3600,1491,0,0,0.0020708333333333334
K200_M511K421,421整块,200,290,0.68965517241379315,5.6136800223497483,4,4,ber,0.00035477386934673367,19900,1412,0,0,0.00035477386934673367
K200_M511K421,421整块,200,290,0.68965517241379315,6.1136800223497483,4.5,4.5,ber,2.09e-05,50000,209,0,0,2.09e-05
K200_M511K421,421整块,200,290,0.68965517241379315,6.6136800223497483,5,5,ber,0,50000,0,1,1,4.9999999999999998e-08
K200_M511K421,421整块,200,290,0.68965517241379315,7.1136800223497483,5.5,5.5,ber,0,50000,0,1,1,4.9999999999999998e-08
