stageId,gitCommit,caseId,legendLabel,payloadLength,encodedLength,actualRate,initialPhaseDeg,targetEndPhaseDeg,deltaPhaseRadPerSymbol,actualEndPhaseDeg,ebn0Index,ebn0Db,snrDb,sigmaDimension2,totalFrames,totalPayloadBits,payloadErrorBits,payloadErrorFrames,decoderFailureFrames,miscorrectionFrames,undetectedErrorFrames,trueSuccessFrames,decodeTimeTotalNs,decodeTimeMeanNs,decodeTimeP50Ns,decodeTimeP95Ns,decodeTimeP99Ns,ber,fer,decoderFailureRate,miscorrectionRate,undetectedErrorRate,trueSuccessRate,noiseChecksum,stopReason,checkpointId,shardId
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M255K207,255整块200,200,248,0.80645161290322576,0,30,0.0021198330995882545,30,12,6.9342168516223506,6,0.12559432157547903,50000,10000000,9,2,2,0,0,49998,729346000,14586,12600,20800,43500,8.9999999999999996e-07,4.0000000000000003e-05,4.0000000000000003e-05,0,0,0.99995999999999996,15325486562963978675,MAX_FRAMES_REACHED,stage10_K200_M255K207_12,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M255K207,255整块200,200,248,0.80645161290322576,0,30,0.0021198330995882545,30,13,7.4342168516223506,6.5,0.11193605692841699,50000,10000000,0,0,0,0,0,50000,733072500,14661,12500,19400,40800,0,0,0,0,0,1,11040303633555555517,MAX_FRAMES_REACHED,stage10_K200_M255K207_13,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M255K207,255整块200,200,248,0.80645161290322576,0,30,0.0021198330995882545,30,14,7.9342168516223506,7,0.099763115748443973,50000,10000000,0,0,0,0,0,50000,759421900,15188,12200,20800,49100,0,0,0,0,0,1,6642605278297287034,MAX_FRAMES_REACHED,stage10_K200_M255K207_14,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M255K207,255整块200,200,248,0.80645161290322576,0,30,0.0021198330995882545,30,15,8.4342168516223506,7.5,0.088913970501946146,50000,10000000,0,0,0,0,0,50000,656127700,13122,11500,17700,38900,0,0,0,0,0,1,10391445039220463460,MAX_FRAMES_REACHED,stage10_K200_M255K207_15,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M255K207,255整块200,200,248,0.80645161290322576,0,30,0.0021198330995882545,30,16,8.9342168516223506,8,0.079244659623055672,50000,10000000,0,0,0,0,0,50000,586145400,11722,10900,16200,31200,0,0,0,0,0,1,11496518056458991136,MAX_FRAMES_REACHED,stage10_K200_M255K207_16,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K421,421整块200,200,290,0.68965517241379315,0,30,0.0018117604691982659,30,0,1.6136800223497485,0,0.5,1000,200000,16872,999,999,0,0,1,53179500,53179,50100,77100,108300,0.084360000000000004,0.999,0.999,0,0,0.001,14185765506763694364,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M511K421_0,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K421,421整块200,200,290,0.68965517241379315,0,30,0.0018117604691982659,30,1,2.1136800223497483,0.49999999999999978,0.44562546906687278,1000,200000,14241,998,998,0,0,2,54537100,54537,54100,73200,94100,0.071205000000000004,0.998,0.998,0,0,0.002,13150435301548235738,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M511K421_1,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K421,421整块200,200,290,0.68965517241379315,0,30,0.0018117604691982659,30,2,2.6136800223497483,0.99999999999999978,0.3971641173621408,1000,200000,11688,981,981,0,0,19,51382400,51382,50000,66700,84400,0.058439999999999999,0.98099999999999998,0.98099999999999998,0,0,0.019,10630566297153265828,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M511K421_2,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K421,421整块200,200,290,0.68965517241379315,0,30,0.0018117604691982659,30,3,3.1136800223497483,1.4999999999999998,0.35397289219206901,1000,200000,9593,924,924,0,0,76,54052500,54052,53100,67400,96300,0.047965000000000001,0.92400000000000004,0.92400000000000004,0,0,0.075999999999999998,13190157599157397366,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M511K421_3,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K421,421整块200,200,290,0.68965517241379315,0,30,0.0018117604691982659,30,4,3.6136800223497483,1.9999999999999998,0.31547867224009662,1000,200000,6863,768,768,0,0,232,54001700,54001,53500,72400,105900,0.034314999999999998,0.76800000000000002,0.76800000000000002,0,0,0.23200000000000001,17272604399303415799,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M511K421_4,0
