caseId,vectorId,payloadBits,encodedBits,burstStart,burstLengthBits,burstBits,cppRecoveredBits,cppStatus
K200_M511K385,V1,01100101010101101000000100100110011101101101010010100000001111110011100111100101011010011000101011110000010111110001001100000110110111001100101100110000101011001011100011000011011010110010001110011001,01100101010101101000000100100110011101101101010010100000001111110011100111100101011010011000101011110000010111110001001100000110110111001100101100110000101011001011100011000011011010110010001110011001100000000000011110100100100100111111110110110011111110110001100110010000001000111000100001001111010110111000111011101010011101,129,14,01100101010101101000000100100110011101101101010010100000001111110011100111100101011010011000101011110000010111110001001100000110101000110011010100110000101011001011100011000011011010110010001110011001100000000000011110100100100100111111110110110011111110110001100110010000001000111000100001001111010110111000111011101010011101,01100101010101101000000100100110011101101101010010100000001111110011100111100101011010011000101011110000010111110001001100000110110111001100101100110000101011001011100011000011011010110010001110011001,TRUE_SUCCESS
K200_M511K385,V2,00001010010001010011100100111011101001101101110011000101000100001011100110001000011111010011111011100100110011111100100101110000110011110100001001011000100100010001100100101001011111110101100000101110,00001010010001010011100100111011101001101101110011000101000100001011100110001000011111010011111011100100110011111100100101110000110011110100001001011000100100010001100100101001011111110101100000101110000000110011101111011110111100100111100100011000111111111101000001101001000110100100000010000101011100110110111011110111110100,221,17,00001010010001010011100100111011101001101101110011000101000100001011100110001000011111010011111011100100110011111100100101110000110011110100001001011000100100010001100100101001011111110101100000101110000000110011101111011001000011011000010100011000111111111101000001101001000110100100000010000101011100110110111011110111110100,00001010010001010011100100111011101001101101110011000101000100001011100110001000011111010011111011100100110011111100100101110000110011110100001001011000100100010001100100101001011111110101100000101110,TRUE_SUCCESS
K300_S15,V0,001000101111100010101001001011110001111110111100111110101011111000001111101001110000001011010101100100111001000000100010110101011010111001110011011110110001110101010001101001110111000010101101110101101000010000110011011001010001000111001011000010011010111010010000000000111000101010001011001110100110,001000101110011110001010100011010010111101110001111110110111110011111011000010111110000000001111101000101111000000101101110101011000111100111001000110000010001011000101010110101001111001110011100101111011000010011101010101011001101001110010011100001010011011011101010101101000010001101011001101100111010100010001000111001011000110001001101011111110100100001111000000111000010010101000101111110011101000000110000000000100,133,0,001000101110011110001010100011010010111101110001111110110111110011111011000010111110000000001111101000101111000000101101110101011000111100111001000110000010001011000101010110101001111001110011100101111011000010011101010101011001101001110010011100001010011011011101010101101000010001101011001101100111010100010001000111001011000110001001101011111110100100001111000000111000010010101000101111110011101000000110000000000100,001000101111100010101001001011110001111110111100111110101011111000001111101001110000001011010101100100111001000000100010110101011010111001110011011110110001110101010001101001110111000010101101110101101000010000110011011001010001000111001011000010011010111010010000000000111000101010001011001110100110,TRUE_SUCCESS
K300_S15,V1,101000110111000110010010110111111100110110011101001111100110100111101011111101000001111110010011110010100000100000001001000100101100100111000111110101110111100000111011001011011001100111011100001010001001000101101011110110110101101000111101111011110001011011001011010011111000000101110100000101100100,101000110111101100011001001000101101111110101100110110011101110100111111101001101001110010101011111101111100000111111110100100111100011010100000100101000000100100011001001011000010100111000111111111010111011101111000001110010011001011011100100110011100001111000010100110001001000100011110101111010001101101011010110000111101111111101111000100011110110010110011010011111000010000010111010110000001011001101100000000001001,164,1,101000110111101100011001001000101101111110101100110110011101110100111111101001101001110010101011111101111100000111111110100100111100011010100000100101000000100100010001001011000010100111000111111111010111011101111000001110010011001011011100100110011100001111000010100110001001000100011110101111010001101101011010110000111101111111101111000100011110110010110011010011111000010000010111010110000001011001101100000000001001,101000110111000110010010110111111100110110011101001111100110100111101011111101000001111110010011110010100000100000001001000100101100100111000111110101110111100000111011001011011001100111011100001010001001000101101011110110110101101000111101111011110001011011001011010011111000000101110100000101100100,TRUE_SUCCESS
K300_S15,V2,010110110101000010001010110001010011000000011100101001110101101110011101110100000011011100100011100101011011111010110111111011000011010101001001110001110010101111100000101011100101000111011001101001111001100110100110010001111100011010000111110101100011110101101100111110001100010101001110110110011110,010110110101100100001000100101101100010100101011000000010001110010100110011101011011101010011101110101110000001101110110001000111001101101011011111001101011011111001110110000111000010101001000101111000111001001101011111001001000101011100101010100011100010110011010010001111001100110001010011001001100011111000110100010000111111010010110001111101101011011001100111110001101000001010100111000101101100110010110000000000100,181,4,010110110101100100001000100101101100010100101011000000010001110010100110011101011011101010011101110101110000001101110110001000111001101101011011111001101011011111001110110000111000001011001000101111000111001001101011111001001000101011100101010100011100010110011010010001111001100110001010011001001100011111000110100010000111111010010110001111101101011011001100111110001101000001010100111000101101100110010110000000000100,010110110101000010001010110001010011000000011100101001110101101110011101110100000011011100100011100101011011111010110111111011000011001011011001110001110010101111100000101011100101000111011001101001111001100110100110010001111100011010000111110101100011110101101100111110001100010101001110110110011110,MISCORRECTION
K300_M255K207,V0,111001101110111101011100011001101110001000111010100001100101001111001101110100110100100001100101011101000010010010101001110101100111000010101000000101000000010110010111110011010000000100101110101001000000101001010111110011110010110110010110111110001111000010000001110110110000010000010101001000000011,111001101110111101011100011001101110001000111010100001100101001111001101110100110100100001100101011101000010010010101001110101100111000010101000000101111111110011100101000110101100000100000001000111000000010110010111110011010000000100101110101001000000101001010111110011110010110110010110111110001111000010000001110110110000010000010101001000000011100101100101101110110001101001111010001001101011,252,0,111001101110111101011100011001101110001000111010100001100101001111001101110100110100100001100101011101000010010010101001110101100111000010101000000101111111110011100101000110101100000100000001000111000000010110010111110011010000000100101110101001000000101001010111110011110010110110010110111110001111000010000001110110110000010000010101001000000011100101100101101110110001101001111010001001101011,111001101110111101011100011001101110001000111010100001100101001111001101110100110100100001100101011101000010010010101001110101100111000010101000000101000000010110010111110011010000000100101110101001000000101001010111110011110010110110010110111110001111000010000001110110110000010000010101001000000011,TRUE_SUCCESS
K300_M255K207,V1,110111000111001000100101010011011000111011010111100101100100000110101111110001100110000010110011010101110000101111011000110111001000000110010101110110111011101100010001000000001100000100110011100111011101000010010000100111100111001110000001010110101000000011000000011100101100010010100000001111001000,110111000111001000100101010011011000111011010111100101100100000110101111110001100110000010110011010101110000101111011000110111001000000110010101110110110111001100100111001100001100100000001101110001111011101100010001000000001100000100110011100111011101000010010000100111100111001110000001010110101000000011000000011100101100010010100000001111001000001101101101101101110100101001010000001000010110,266,6,110111000111001000100101010011011000111011010111100101100100000110101111110001100110000010110011010101110000101111011000110111001000000110010101110110110111001100100111001100001100100000001101110001111011101100010001000000001100000100110011100111011101000010010000101000010111001110000001010110101000000011000000011100101100010010100000001111001000001101101101101101110100101001010000001000010110,110111000111001000100101010011011000111011010111100101100100000110101111110001100110000010110011010101110000101111011000110111001000000110010101110110111011101100010001000000001100000100110011100111011101000010010000100111100111001110000001010110101000000011000000011100101100010010100000001111001000,TRUE_SUCCESS
K300_M255K207,V2,001110101110011000100110000000010011010101101110111001011000010110100001001111100000001011110101110111100100110111110010101011110001010110100110110011000000010010000011011011111110101000000100110100101000001110011101000111101111110011010101111001011011111100011111000000001011111101000001101100000001,001110101110011000100110000000010011010101101110111001011000010110100001001111100000001011110101110111100100110111110010101011110001010110100110110011000101000001100111111000100101100111010110100111000000010010000011011011111110101000000100110100101000001110011101000111101111110011010101111001011011111100011111000000001011111101000001101100000001011101001110001101111110101110111011111101110100,112,9,001110101110011000100110000000010011010101101110111001011000010110100001001111100000001011110101110111100100110100001101001011110001010110100110110011000101000001100111111000100101100111010110100111000000010010000011011011111110101000000100110100101000001110011101000111101111110011010101111001011011111100011111000000001011111101000001101100000001011101001110001101111110101110111011111101110100,001110101110011000100110000000010011010101101110111001011000010110100001001111100000001011110101110111100100110100001101001011110001010110100110110011000000010010000011011011111110101000000100110100101000001110011101000111101111110011010101111001011011111100011111000000001011111101000001101100000001,DECODER_FAILURE
K300_M511K421,V0,110010100101110100010110010110100011100101000000110011111110111010100011011111100010001011010011100010101100111011001110001011000101111110111100000111010100000001011001010101111001000100111111010010001101110011111000110000011100110110100001011000111110011001011101010111110101011110111111110110110001,110010100101110100010110010110100011100101000000110011111110111010100011011111100010001011010011100010101100111011001110001011000101111110111100000111010100000001011001010101111001000100111111010010001101110011111000110000011100110110100001011000111110011001011101010111110101011110111111110110110001011101111011010100101000110000111000001010011000101111111111001010100110000100111000110100,233,0,110010100101110100010110010110100011100101000000110011111110111010100011011111100010001011010011100010101100111011001110001011000101111110111100000111010100000001011001010101111001000100111111010010001101110011111000110000011100110110100001011000111110011001011101010111110101011110111111110110110001011101111011010100101000110000111000001010011000101111111111001010100110000100111000110100,110010100101110100010110010110100011100101000000110011111110111010100011011111100010001011010011100010101100111011001110001011000101111110111100000111010100000001011001010101111001000100111111010010001101110011111000110000011100110110100001011000111110011001011101010111110101011110111111110110110001,TRUE_SUCCESS
K300_M511K421,V1,000000000000000110001100000100101110000111101000110101001001110110010001001101110100000000110000001000010011110001111101100100011001001110001100100010000100000001110010110101011001011110001000110100110100010111101100110101101111011111110011000111010111101100100110100011001000011011101111111100100001,000000000000000110001100000100101110000111101000110101001001110110010001001101110100000000110000001000010011110001111101100100011001001110001100100010000100000001110010110101011001011110001000110100110100010111101100110101101111011111110011000111010111101100100110100011001000011011101111111100100001011111101101011110100001100101110111100110111000110001000101110100110100101010100100110011,180,10,000000000000000110001100000100101110000111101000110101001001110110010001001101110100000000110000001000010011110001111101100100011001001110001100100010000100000001110010110101011001100001110100110100110100010111101100110101101111011111110011000111010111101100100110100011001000011011101111111100100001011111101101011110100001100101110111100110111000110001000101110100110100101010100100110011,000000000000000110001100000100101110000111101000110101001001110110010001001101110100000000110000001000010011110001111101100100011001001110001100100010000100000001110010110101011001011110001000110100110100010111101100110101101111011111110011000111010111101100100110100011001000011011101111111100100001,TRUE_SUCCESS
K300_M511K421,V2,001011101110001001101001111001010010110101110001111010010101001011101000010100100010100000001100100101010010011111101010111101101000000111010010011010110100111101001000101100000010111000000100001111011110111100110110100111010010010010110111011011010011010110000011011111000101101000111111001011000111,001011101110001001101001111001010010110101110001111010010101001011101000010100100010100000001100100101010010011111101010111101101000000111010010011010110100111101001000101100000010111000000100001111011110111100110110100111010010010010110111011011010011010110000011011111000101101000111111001011000111101011101110111001011000111100011110001101100100101110010110101111111100101000000100100011,116,13,001011101110001001101001111001010010110101110001111010010101001011101000010100100010100000001100100101010010011111100101000010010000000111010010011010110100111101001000101100000010111000000100001111011110111100110110100111010010010010110111011011010011010110000011011111000101101000111111001011000111101011101110111001011000111100011110001101100100101110010110101111111100101000000100100011,001011101110001001101001111001010010110101110001111010010101001011101000010100100010100000001100100101010010011111100101000010010000000111010010011010110100111101001000101100000010111000000100001111011110111100110110100111010010010010110111011011010011010110000011011111000101101000111111001011000111,DECODER_FAILURE
K300_M511K385,V0,011110111111111011100100010101001000011001001000010011001101100000101100010011010001100000101100001000111101011010001111000101000111010010100110100010001111001001110010010010001000010001010011010010100101101100001110111010101110110101111010100011111011001001011000010011100001010010111100111011100000,011110111111111011100100010101001000011001001000010011001101100000101100010011010001100000101100001000111101011010001111000101000111010010100110100010001111001001110010010010001000010001010011010010100101101100001110111010101110110101111010100011111011001001011000010011100001010010111100111011100000111111010000001100100101010100001110100010111110010111000100100000100010011000011101011111100101000000010111010011010100110000,300,0,011110111111111011100100010101001000011001001000010011001101100000101100010011010001100000101100001000111101011010001111000101000111010010100110100010001111001001110010010010001000010001010011010010100101101100001110111010101110110101111010100011111011001001011000010011100001010010111100111011100000111111010000001100100101010100001110100010111110010111000100100000100010011000011101011111100101000000010111010011010100110000,011110111111111011100100010101001000011001001000010011001101100000101100010011010001100000101100001000111101011010001111000101000111010010100110100010001111001001110010010010001000010001010011010010100101101100001110111010101110110101111010100011111011001001011000010011100001010010111100111011100000,TRUE_SUCCESS
K300_M511K385,V1,100010011100101011100111001010010111101001011001100000001010000110011011000111001010101111011100100111000100111110101111011000001011111010011010010111010001100100100001010110111001101010000011111001010000111010100000111001011010011000011100101010010011111010010010011110011011010101011011011001111110,100010011100101011100111001010010111101001011001100000001010000110011011000111001010101111011100100111000100111110101111011000001011111010011010010111010001100100100001010110111001101010000011111001010000111010100000111001011010011000011100101010010011111010010010011110011011010101011011011001111110011011101010110001100110100000100011101001111111100000101010011101101100010100100100000110100100100100011001010001000111001101,406,14,100010011100101011100111001010010111101001011001100000001010000110011011000111001010101111011100100111000100111110101111011000001011111010011010010111010001100100100001010110111001101010000011111001010000111010100000111001011010011000011100101010010011111010010010011110011011010101011011011001111110011011101010110001100110100000100011101001111111100000101010011101101100010100100100000110100100100100011010101110111000001101,100010011100101011100111001010010111101001011001100000001010000110011011000111001010101111011100100111000100111110101111011000001011111010011010010111010001100100100001010110111001101010000011111001010000111010100000111001011010011000011100101010010011111010010010011110011011010101011011011001111110,TRUE_SUCCESS
K300_M511K385,V2,010100110011011111000001001001101111010110110100000010110101101011010110101110001001100001110100000111111001101011110010101110011101110111100000111001001000011111100100111100110010000011000010100001100111010001100011110100100111101111111111011011010011101011011001010000110100010101000010001011000011,010100110011011111000001001001101111010110110100000010110101101011010110101110001001100001110100000111111001101011110010101110011101110111100000111001001000011111100100111100110010000011000010100001100111010001100011110100100111101111111111011011010011101011011001010000110100010101000010001011000011100100110011001101011110001111010000100011101010011011101010110111010011101100110001001000101010001101101101010011001001001101,127,17,010100110011011111000001001001101111010110110100000010110101101011010110101110001001100001110100000111111001101011110010101110000010001000011111111001001000011111100100111100110010000011000010100001100111010001100011110100100111101111111111011011010011101011011001010000110100010101000010001011000011100100110011001101011110001111010000100011101010011011101010110111010011101100110001001000101010001101101101010011001001001101,010100110011011111000001001001101111010110110100000010110101101011010110101110001001100001110100000111111001101011110010101110000010001000011111111001001000011111100100111100110010000011000010100001100111010001100011110100100111101111111111011011010011101011011001010000110100010101000010001011000011,DECODER_FAILURE
