caseId,legendLabel,payloadLength,encodedLength,actualRate,burstLengthBits,burstRatio,framesProcessed,payloadErrorBits,payloadErrorFrames,ber,fer,stopReason
K300_S15,分块300,300,420,0.7142857142857143,0,0,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_S15,分块300,300,420,0.7142857142857143,1,0.0023809523809523812,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_S15,分块300,300,420,0.7142857142857143,2,0.0047619047619047623,1000,2086,914,0.0069533333333333331,0.91400000000000003,TARGET_FRAME_ERRORS_REACHED
K300_S15,分块300,300,420,0.7142857142857143,3,0.0071428571428571426,1000,2732,985,0.0091066666666666674,0.98499999999999999,TARGET_FRAME_ERRORS_REACHED
K300_S15,分块300,300,420,0.7142857142857143,4,0.0095238095238095247,1000,3535,988,0.011783333333333333,0.98799999999999999,TARGET_FRAME_ERRORS_REACHED
K300_S15,分块300,300,420,0.7142857142857143,5,0.011904761904761904,1000,4425,994,0.014749999999999999,0.99399999999999999,TARGET_FRAME_ERRORS_REACHED
K300_S15,分块300,300,420,0.7142857142857143,6,0.014285714285714285,1000,5014,990,0.016713333333333334,0.98999999999999999,TARGET_FRAME_ERRORS_REACHED
K300_S15,分块300,300,420,0.7142857142857143,8,0.019047619047619049,1000,6317,995,0.021056666666666668,0.995,TARGET_FRAME_ERRORS_REACHED
K300_S15,分块300,300,420,0.7142857142857143,10,0.023809523809523808,1000,7357,994,0.024523333333333334,0.99399999999999999,TARGET_FRAME_ERRORS_REACHED
K300_S15,分块300,300,420,0.7142857142857143,12,0.028571428571428571,1000,8434,998,0.028113333333333334,0.998,TARGET_FRAME_ERRORS_REACHED
K300_S15,分块300,300,420,0.7142857142857143,15,0.035714285714285712,1000,10845,1000,0.036150000000000002,1,TARGET_FRAME_ERRORS_REACHED
K300_S15,分块300,300,420,0.7142857142857143,20,0.047619047619047616,1000,14450,1000,0.04816666666666667,1,TARGET_FRAME_ERRORS_REACHED
K300_S15,分块300,300,420,0.7142857142857143,25,0.059523809523809521,1000,18202,1000,0.060673333333333336,1,TARGET_FRAME_ERRORS_REACHED
K300_S15,分块300,300,420,0.7142857142857143,30,0.071428571428571425,1000,21812,1000,0.072706666666666669,1,TARGET_FRAME_ERRORS_REACHED
K300_S15,分块300,300,420,0.7142857142857143,40,0.095238095238095233,1000,29165,1000,0.097216666666666673,1,TARGET_FRAME_ERRORS_REACHED
K300_S15,分块300,300,420,0.7142857142857143,50,0.11904761904761904,1000,36518,1000,0.12172666666666666,1,TARGET_FRAME_ERRORS_REACHED
K300_M255K207,255双块300,300,396,0.75757575757575757,0,0,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M255K207,255双块300,300,396,0.75757575757575757,1,0.0025252525252525255,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M255K207,255双块300,300,396,0.75757575757575757,2,0.0050505050505050509,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M255K207,255双块300,300,396,0.75757575757575757,3,0.007575757575757576,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M255K207,255双块300,300,396,0.75757575757575757,4,0.010101010101010102,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M255K207,255双块300,300,396,0.75757575757575757,5,0.012626262626262626,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M255K207,255双块300,300,396,0.75757575757575757,6,0.015151515151515152,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M255K207,255双块300,300,396,0.75757575757575757,8,0.020202020202020204,1000,5822,748,0.019406666666666666,0.748,TARGET_FRAME_ERRORS_REACHED
K300_M255K207,255双块300,300,396,0.75757575757575757,10,0.025252525252525252,1000,7285,751,0.024283333333333334,0.751,TARGET_FRAME_ERRORS_REACHED
K300_M255K207,255双块300,300,396,0.75757575757575757,12,0.030303030303030304,1000,8951,775,0.029836666666666668,0.77500000000000002,TARGET_FRAME_ERRORS_REACHED
K300_M255K207,255双块300,300,396,0.75757575757575757,15,0.03787878787878788,1000,11428,808,0.038093333333333333,0.80800000000000005,TARGET_FRAME_ERRORS_REACHED
K300_M255K207,255双块300,300,396,0.75757575757575757,20,0.050505050505050504,1000,15437,827,0.051456666666666664,0.82699999999999996,TARGET_FRAME_ERRORS_REACHED
K300_M255K207,255双块300,300,396,0.75757575757575757,25,0.063131313131313135,1000,19493,864,0.064976666666666669,0.86399999999999999,TARGET_FRAME_ERRORS_REACHED
K300_M255K207,255双块300,300,396,0.75757575757575757,30,0.07575757575757576,1000,23713,893,0.079043333333333327,0.89300000000000002,TARGET_FRAME_ERRORS_REACHED
K300_M255K207,255双块300,300,396,0.75757575757575757,40,0.10101010101010101,1000,31785,937,0.10595,0.93700000000000006,TARGET_FRAME_ERRORS_REACHED
K300_M255K207,255双块300,300,396,0.75757575757575757,50,0.12626262626262627,1000,39666,989,0.13222,0.98899999999999999,TARGET_FRAME_ERRORS_REACHED
K300_M511K421,421整块300,300,390,0.76923076923076927,0,0,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K421,421整块300,300,390,0.76923076923076927,1,0.0025641025641025641,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K421,421整块300,300,390,0.76923076923076927,2,0.0051282051282051282,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K421,421整块300,300,390,0.76923076923076927,3,0.0076923076923076927,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K421,421整块300,300,390,0.76923076923076927,4,0.010256410256410256,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K421,421整块300,300,390,0.76923076923076927,5,0.01282051282051282,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K421,421整块300,300,390,0.76923076923076927,6,0.015384615384615385,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K421,421整块300,300,390,0.76923076923076927,8,0.020512820512820513,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K421,421整块300,300,390,0.76923076923076927,10,0.02564102564102564,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K421,421整块300,300,390,0.76923076923076927,12,0.030769230769230771,1000,9443,800,0.031476666666666667,0.80000000000000004,TARGET_FRAME_ERRORS_REACHED
K300_M511K421,421整块300,300,390,0.76923076923076927,15,0.038461538461538464,1000,11714,803,0.039046666666666667,0.80300000000000005,TARGET_FRAME_ERRORS_REACHED
K300_M511K421,421整块300,300,390,0.76923076923076927,20,0.05128205128205128,1000,15243,788,0.050810000000000001,0.78800000000000003,TARGET_FRAME_ERRORS_REACHED
K300_M511K421,421整块300,300,390,0.76923076923076927,25,0.064102564102564097,1000,19656,819,0.065519999999999995,0.81899999999999995,TARGET_FRAME_ERRORS_REACHED
K300_M511K421,421整块300,300,390,0.76923076923076927,30,0.076923076923076927,1000,23104,809,0.077013333333333336,0.80900000000000005,TARGET_FRAME_ERRORS_REACHED
K300_M511K421,421整块300,300,390,0.76923076923076927,40,0.10256410256410256,1000,30843,826,0.10281,0.82599999999999996,TARGET_FRAME_ERRORS_REACHED
K300_M511K421,421整块300,300,390,0.76923076923076927,50,0.12820512820512819,1000,40119,873,0.13372999999999999,0.873,TARGET_FRAME_ERRORS_REACHED
K300_M511K385,385整块300,300,426,0.70422535211267601,0,0,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K385,385整块300,300,426,0.70422535211267601,1,0.0023474178403755869,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K385,385整块300,300,426,0.70422535211267601,2,0.0046948356807511738,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K385,385整块300,300,426,0.70422535211267601,3,0.0070422535211267607,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K385,385整块300,300,426,0.70422535211267601,4,0.0093896713615023476,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K385,385整块300,300,426,0.70422535211267601,5,0.011737089201877934,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K385,385整块300,300,426,0.70422535211267601,6,0.014084507042253521,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K385,385整块300,300,426,0.70422535211267601,8,0.018779342723004695,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K385,385整块300,300,426,0.70422535211267601,10,0.023474178403755867,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K385,385整块300,300,426,0.70422535211267601,12,0.028169014084507043,50000,0,0,0,0,MAX_FRAMES_REACHED
K300_M511K385,385整块300,300,426,0.70422535211267601,15,0.035211267605633804,1000,10573,722,0.035243333333333335,0.72199999999999998,TARGET_FRAME_ERRORS_REACHED
K300_M511K385,385整块300,300,426,0.70422535211267601,20,0.046948356807511735,1000,14542,755,0.048473333333333334,0.755,TARGET_FRAME_ERRORS_REACHED
K300_M511K385,385整块300,300,426,0.70422535211267601,25,0.058685446009389672,1000,17131,719,0.057103333333333332,0.71899999999999997,TARGET_FRAME_ERRORS_REACHED
K300_M511K385,385整块300,300,426,0.70422535211267601,30,0.070422535211267609,1000,20864,738,0.069546666666666673,0.73799999999999999,TARGET_FRAME_ERRORS_REACHED
K300_M511K385,385整块300,300,426,0.70422535211267601,40,0.093896713615023469,1000,28260,758,0.094200000000000006,0.75800000000000001,TARGET_FRAME_ERRORS_REACHED
K300_M511K385,385整块300,300,426,0.70422535211267601,50,0.11737089201877934,1000,36131,792,0.12043666666666666,0.79200000000000004,TARGET_FRAME_ERRORS_REACHED
