caseName,sourcePayloadEbN0Db,frameRotationDeg,processedFrames,decodedFrameErrors,FER,aggregation
BCH-B300-426,4.4000000000000004,60,2000,1995,0.9975,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,4.4000000000000004,90,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,4.4000000000000004,120,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,4.4000000000000004,180,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,5,0,2000,1505,0.7525,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,5,10,2000,1506,0.753,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,5,30,2000,1533,0.7665,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,5,60,2000,1960,0.98,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,5,90,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,5,120,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,5,180,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,5.5,0,2000,1494,0.747,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,5.5,10,2000,1501,0.7505,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,5.5,30,2000,1503,0.7515,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,5.5,60,2000,1877,0.9385,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,5.5,90,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,5.5,120,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,5.5,180,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
