caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,targetSnrDb,snrDb,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue
K200_M511K421,421整块,200,290,0.68965517241379315,7.6136800223497483,6,6,fer,0.81559999999999999,5000,4078,0,0,0.81559999999999999
K200_M511K421,421整块,200,290,0.68965517241379315,8.1136800223497492,6.5000000000000009,6.5000000000000009,fer,0.7782,5000,3891,0,0,0.7782
K200_M511K421,421整块,200,290,0.68965517241379315,8.6136800223497492,7.0000000000000009,7.0000000000000009,fer,0.75060000000000004,5000,3753,0,0,0.75060000000000004
K200_M511K421,421整块,200,290,0.68965517241379315,9.1136800223497492,7.5000000000000009,7.5000000000000009,fer,0.72819999999999996,5000,3641,0,0,0.72819999999999996
K200_M511K421,421整块,200,290,0.68965517241379315,9.6136800223497492,8,8,fer,0.70660000000000001,5000,3533,0,0,0.70660000000000001
K200_M511K385,385整块,200,326,0.61349693251533743,2.1218760440395781,0,0,fer,1,5000,5000,0,0,1
K200_M511K385,385整块,200,326,0.61349693251533743,2.6218760440395781,0.5,0.5,fer,1,5000,5000,0,0,1
K200_M511K385,385整块,200,326,0.61349693251533743,3.1218760440395781,1,1,fer,0.99980000000000002,5000,4999,0,0,0.99980000000000002
K200_M511K385,385整块,200,326,0.61349693251533743,3.6218760440395781,1.5,1.5,fer,1,5000,5000,0,0,1
K200_M511K385,385整块,200,326,0.61349693251533743,4.1218760440395776,1.9999999999999996,1.9999999999999996,fer,0.99860000000000004,5000,4993,0,0,0.99860000000000004
K200_M511K385,385整块,200,326,0.61349693251533743,4.6218760440395776,2.4999999999999996,2.4999999999999996,fer,0.995,5000,4975,0,0,0.995
K200_M511K385,385整块,200,326,0.61349693251533743,5.1218760440395776,2.9999999999999996,2.9999999999999996,fer,0.98780000000000001,5000,4939,0,0,0.98780000000000001
K200_M511K385,385整块,200,326,0.61349693251533743,5.6218760440395776,3.4999999999999996,3.4999999999999996,fer,0.96579999999999999,5000,4829,0,0,0.96579999999999999
K200_M511K385,385整块,200,326,0.61349693251533743,6.1218760440395776,3.9999999999999996,3.9999999999999996,fer,0.93579999999999997,5000,4679,0,0,0.93579999999999997
K200_M511K385,385整块,200,326,0.61349693251533743,6.6218760440395776,4.5,4.5,fer,0.87319999999999998,5000,4366,0,0,0.87319999999999998
K200_M511K385,385整块,200,326,0.61349693251533743,7.1218760440395776,5,5,fer,0.80859999999999999,5000,4043,0,0,0.80859999999999999
K200_M511K385,385整块,200,326,0.61349693251533743,7.6218760440395776,5.5,5.5,fer,0.73140000000000005,5000,3657,0,0,0.73140000000000005
K200_M511K385,385整块,200,326,0.61349693251533743,8.1218760440395776,6,6,fer,0.65800000000000003,5000,3290,0,0,0.65800000000000003
K200_M511K385,385整块,200,326,0.61349693251533743,8.6218760440395776,6.5,6.5,fer,0.60240000000000005,5000,3012,0,0,0.60240000000000005
K200_M511K385,385整块,200,326,0.61349693251533743,9.1218760440395776,7,7,fer,0.57179999999999997,5000,2859,0,0,0.57179999999999997
K200_M511K385,385整块,200,326,0.61349693251533743,9.6218760440395776,7.5,7.5,fer,0.53439999999999999,5000,2672,0,0,0.53439999999999999
K200_M511K385,385整块,200,326,0.61349693251533743,10.121876044039578,8,8,fer,0.53059999999999996,5000,2653,0,0,0.53059999999999996
