stageId,gitCommit,experimentType,caseId,legendLabel,payloadLength,encodedLength,actualRate,channelType,ebn0Db,snrDb,blockageAmplitude,requestedBlockageRatio,actualBlockageRatio,blockageLengthSymbols,blockageStartPolicy,meanBlockageStart,minBlockageStart,maxBlockageStart,totalBlockedSymbols,blockedRawErrorBits,nonBlockedRawErrorBits,blockedRawBer,nonBlockedRawBer,affectedCodeBlockCountTotal,meanAffectedCodeBlockCount,maxAffectedCodeBlockCount,totalFrames,totalPayloadBits,payloadErrorBits,payloadErrorFrames,decoderFailureFrames,miscorrectionFrames,undetectedErrorFrames,trueSuccessFrames,decodeTimeTotalNs,decodeTimeMeanNs,decodeTimeP50Ns,decodeTimeP95Ns,decodeTimeP99Ns,ber,fer,decoderFailureRate,miscorrectionRate,undetectedErrorRate,trueSuccessRate,stopReason,checkpointId,shardId,blockageParameterIndex
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_M511K421,421整块200,200,290,0.68965517241379315,BLOCKAGE_AWGN,7.5,5.8863199776502517,0,0.10000000000000001,0.10000000000000001,29,RANDOM_PER_FRAME,130.86699999999999,0,261,145000,72463,3462,0.49974482758620692,0.0026528735632183908,5000,1,1,5000,1000000,51679,4058,4755,0,0,942,231115700,46223,44400,56100,86900,0.051679000000000003,0.81159999999999999,0.95099999999999996,0,0,0.18840000000000001,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_M511K421_4,0,4
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_M511K421,421整块200,200,290,0.68965517241379315,BLOCKAGE_AWGN,7.5,5.8863199776502517,0,0.12,0.1206896551724138,35,RANDOM_PER_FRAME,129.1704,0,255,175000,87681,3400,0.50103428571428577,0.0026666666666666666,5000,1,1,5000,1000000,63844,4292,4974,0,0,708,238364200,47672,44500,66600,91100,0.063843999999999998,0.85840000000000005,0.99480000000000002,0,0,0.1416,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_M511K421_5,0,5
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_M511K421,421整块200,200,290,0.68965517241379315,BLOCKAGE_AWGN,7.5,5.8863199776502517,0,0.14999999999999999,0.15172413793103448,44,RANDOM_PER_FRAME,123.2482,0,246,220000,110623,3261,0.50283181818181821,0.0026512195121951221,5000,1,1,5000,1000000,81642,4399,5000,0,0,601,230697400,46139,44400,56100,76400,0.081642000000000006,0.87980000000000003,1,0,0,0.1202,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_M511K421_6,0,6
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_M511K421,421整块200,200,290,0.68965517241379315,BLOCKAGE_AWGN,7.5,5.8863199776502517,0,0.20000000000000001,0.20000000000000001,58,RANDOM_PER_FRAME,115.25579999999999,0,232,290000,145653,3096,0.50225172413793107,0.0026689655172413792,5000,1,1,5000,1000000,110054,4597,5000,0,0,403,234588900,46917,44500,57700,82200,0.110054,0.9194,1,0,0,0.080600000000000005,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_M511K421_7,0,7
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_M511K385,385整块200,200,326,0.61349693251533743,BLOCKAGE_AWGN,7.5,5.3781239559604224,0,0,0,0,RANDOM_PER_FRAME,163.2441,0,326,0,0,70383,0,0.0043179754601226994,0,0,0,50000,10000000,0,0,0,0,0,50000,1666918300,33338,32100,42200,57600,0,0,0,0,0,1,MAX_FRAMES_REACHED,stage12_RATIO_K200_M511K385_0,0,0
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_M511K385,385整块200,200,326,0.61349693251533743,BLOCKAGE_AWGN,7.5,5.3781239559604224,0,0.02,0.021472392638036811,7,RANDOM_PER_FRAME,160.46024,0,319,350000,174636,68861,0.49896000000000001,0.0043173040752351099,50000,1,1,50000,10000000,0,0,0,0,0,50000,2080850000,41617,39900,54700,75500,0,0,0,0,0,1,MAX_FRAMES_REACHED,stage12_RATIO_K200_M511K385_1,0,1
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_M511K385,385整块200,200,326,0.61349693251533743,BLOCKAGE_AWGN,7.5,5.3781239559604224,0,0.050000000000000003,0.049079754601226995,16,RANDOM_PER_FRAME,154.2211320754717,0,310,254400,126730,21047,0.49815251572327046,0.0042700344897545145,15900,1,1,15900,3180000,2123,200,207,0,0,15700,871613000,54818,53500,72800,99200,0.00066761006289308181,0.012578616352201259,0.013018867924528301,0,0,0.98742138364779874,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_M511K385_2,0,2
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_M511K385,385整块200,200,326,0.61349693251533743,BLOCKAGE_AWGN,7.5,5.3781239559604224,0,0.080000000000000002,0.079754601226993863,26,RANDOM_PER_FRAME,150.48220000000001,0,300,130000,64875,6258,0.49903846153846154,0.0041720000000000004,5000,1,1,5000,1000000,23693,2058,2329,0,0,2942,319963700,63992,62900,78800,105800,0.023692999999999999,0.41160000000000002,0.46579999999999999,0,0,0.58840000000000003,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_M511K385_3,0,3
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_M511K385,385整块200,200,326,0.61349693251533743,BLOCKAGE_AWGN,7.5,5.3781239559604224,0,0.10000000000000001,0.10122699386503067,33,RANDOM_PER_FRAME,148.45419999999999,0,293,165000,82512,6116,0.50007272727272722,0.0041747440273037541,5000,1,1,5000,1000000,48572,3734,4271,0,0,1266,330346400,66069,63300,81500,113000,0.048571999999999997,0.74680000000000002,0.85419999999999996,0,0,0.25319999999999998,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_M511K385_4,0,4
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_M511K385,385整块200,200,326,0.61349693251533743,BLOCKAGE_AWGN,7.5,5.3781239559604224,0,0.12,0.1196319018404908,39,RANDOM_PER_FRAME,142.81479999999999,0,287,195000,97655,5967,0.50079487179487181,0.0041581881533101044,5000,1,1,5000,1000000,64437,4251,4846,0,0,749,327105100,65421,63100,77800,116400,0.064436999999999994,0.85019999999999996,0.96919999999999995,0,0,0.14979999999999999,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_M511K385_5,0,5
