actualLength,esN0Db,frames,bpFrameErrors,nmsFrameErrors,stopReason,status
560,-3.5,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
560,-3.0,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
560,-2.5,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
560,-2.0,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
560,-1.5,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
560,-1.0,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
560,-0.5,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
560,0.0,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
560,0.5,1000,999,999,TARGET_FRAME_ERRORS_REACHED,PASS
560,1.0,1000,998,999,TARGET_FRAME_ERRORS_REACHED,PASS
560,1.5,1000,991,990,TARGET_FRAME_ERRORS_REACHED,PASS
560,2.0,1000,944,944,TARGET_FRAME_ERRORS_REACHED,PASS
560,2.5,1000,831,830,TARGET_FRAME_ERRORS_REACHED,PASS
560,3.0,1000,626,624,TARGET_FRAME_ERRORS_REACHED,PASS
560,3.5,1000,415,419,TARGET_FRAME_ERRORS_REACHED,PASS
560,4.0,1000,242,245,TARGET_FRAME_ERRORS_REACHED,PASS
560,4.5,1888,200,211,TARGET_FRAME_ERRORS_REACHED,PASS
560,5.0,3787,200,206,TARGET_FRAME_ERRORS_REACHED,PASS
560,5.5,10897,200,207,TARGET_FRAME_ERRORS_REACHED,PASS
560,6.0,24989,200,202,TARGET_FRAME_ERRORS_REACHED,PASS
560,6.5,50000,138,147,MAX_FRAMES_REACHED,PASS
560,7.0,50000,44,47,MAX_FRAMES_REACHED,PASS
560,7.5,50000,18,19,MAX_FRAMES_REACHED,PASS
560,8.0,50000,1,1,MAX_FRAMES_REACHED,PASS
560,8.5,50000,0,0,MAX_FRAMES_REACHED,PASS
560,9.0,50000,0,0,MAX_FRAMES_REACHED,PASS
560,9.5,50000,0,0,MAX_FRAMES_REACHED,PASS
560,10.0,50000,0,0,MAX_FRAMES_REACHED,PASS
640,-5.0,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
640,-4.5,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
640,-4.0,1000,1000,1000,TARGET_FRAME_ERRORS_REACHED,PASS
640,-3.5,1000,1000,999,TARGET_FRAME_ERRORS_REACHED,PASS
640,-3.0,1000,993,993,TARGET_FRAME_ERRORS_REACHED,PASS
640,-2.5,1000,900,923,TARGET_FRAME_ERRORS_REACHED,PASS
640,-2.0,1000,597,653,TARGET_FRAME_ERRORS_REACHED,PASS
640,-1.5,1000,215,255,TARGET_FRAME_ERRORS_REACHED,PASS
640,-1.0,5429,200,245,TARGET_FRAME_ERRORS_REACHED,PASS
640,-0.5,41453,202,200,TARGET_FRAME_ERRORS_REACHED,PASS
640,0.0,50000,32,23,MAX_FRAMES_REACHED,PASS
640,0.5,50000,6,3,MAX_FRAMES_REACHED,PASS
640,1.0,50000,0,0,MAX_FRAMES_REACHED,PASS
640,1.5,50000,0,0,MAX_FRAMES_REACHED,PASS
640,2.0,50000,0,0,MAX_FRAMES_REACHED,PASS
640,2.5,50000,0,0,MAX_FRAMES_REACHED,PASS
640,3.0,50000,0,0,MAX_FRAMES_REACHED,PASS
640,3.5,50000,0,0,MAX_FRAMES_REACHED,PASS
640,4.0,50000,0,0,MAX_FRAMES_REACHED,PASS
640,4.5,50000,0,0,MAX_FRAMES_REACHED,PASS
640,5.0,50000,0,0,MAX_FRAMES_REACHED,PASS
640,5.5,50000,0,0,MAX_FRAMES_REACHED,PASS
640,6.0,50000,0,0,MAX_FRAMES_REACHED,PASS
640,6.5,50000,0,0,MAX_FRAMES_REACHED,PASS
640,7.0,50000,0,0,MAX_FRAMES_REACHED,PASS
640,7.5,50000,0,0,MAX_FRAMES_REACHED,PASS
640,8.0,50000,0,0,MAX_FRAMES_REACHED,PASS
640,8.5,50000,0,0,MAX_FRAMES_REACHED,PASS
640,9.0,50000,0,0,MAX_FRAMES_REACHED,PASS
640,9.5,50000,0,0,MAX_FRAMES_REACHED,PASS
640,10.0,50000,0,0,MAX_FRAMES_REACHED,PASS
