actualLength,esN0Db,algorithm,sigmaSquared,expectedSigmaSquared,sigmaMatch,ebN0Db,expectedEbN0Db,ebN0Match,status
560,-5.0,DIRECT_LAYERED_NMS,1.5811388300841895,1.5811388300841895,True,-2.28933227713462,-2.28933227713462,True,PASS
560,-5.0,DIRECT_LAYERED_SPA_BP,1.5811388300841895,1.5811388300841895,True,-2.28933227713462,-2.28933227713462,True,PASS
560,-4.5,DIRECT_LAYERED_NMS,1.4091914656322269,1.4091914656322269,True,-1.78933227713462,-1.78933227713462,True,PASS
560,-4.5,DIRECT_LAYERED_SPA_BP,1.4091914656322269,1.4091914656322269,True,-1.78933227713462,-1.78933227713462,True,PASS
560,-4.0,DIRECT_LAYERED_NMS,1.2559432157547903,1.2559432157547903,True,-1.28933227713462,-1.28933227713462,True,PASS
560,-4.0,DIRECT_LAYERED_SPA_BP,1.2559432157547903,1.2559432157547903,True,-1.28933227713462,-1.28933227713462,True,PASS
560,-3.5,DIRECT_LAYERED_NMS,1.1193605692841697,1.1193605692841697,True,-0.7893322771346201,-0.7893322771346201,True,PASS
560,-3.5,DIRECT_LAYERED_SPA_BP,1.1193605692841697,1.1193605692841697,True,-0.7893322771346201,-0.7893322771346201,True,PASS
560,-3.0,DIRECT_LAYERED_NMS,0.9976311574844399,0.9976311574844399,True,-0.28933227713462006,-0.28933227713462006,True,PASS
560,-3.0,DIRECT_LAYERED_SPA_BP,0.9976311574844399,0.9976311574844399,True,-0.28933227713462006,-0.28933227713462006,True,PASS
560,-2.5,DIRECT_LAYERED_NMS,0.8891397050194614,0.8891397050194614,True,0.21066772286537994,0.21066772286537994,True,PASS
560,-2.5,DIRECT_LAYERED_SPA_BP,0.8891397050194614,0.8891397050194614,True,0.21066772286537994,0.21066772286537994,True,PASS
560,-2.0,DIRECT_LAYERED_NMS,0.7924465962305567,0.7924465962305567,True,0.7106677228653799,0.7106677228653799,True,PASS
560,-2.0,DIRECT_LAYERED_SPA_BP,0.7924465962305567,0.7924465962305567,True,0.7106677228653799,0.7106677228653799,True,PASS
560,-1.5,DIRECT_LAYERED_NMS,0.7062687723113772,0.7062687723113772,True,1.21066772286538,1.21066772286538,True,PASS
560,-1.5,DIRECT_LAYERED_SPA_BP,0.7062687723113772,0.7062687723113772,True,1.21066772286538,1.21066772286538,True,PASS
560,-1.0,DIRECT_LAYERED_NMS,0.6294627058970836,0.6294627058970836,True,1.71066772286538,1.71066772286538,True,PASS
560,-1.0,DIRECT_LAYERED_SPA_BP,0.6294627058970836,0.6294627058970836,True,1.71066772286538,1.71066772286538,True,PASS
560,-0.5,DIRECT_LAYERED_NMS,0.5610092271509817,0.5610092271509817,True,2.21066772286538,2.21066772286538,True,PASS
560,-0.5,DIRECT_LAYERED_SPA_BP,0.5610092271509817,0.5610092271509817,True,2.21066772286538,2.21066772286538,True,PASS
560,0.0,DIRECT_LAYERED_NMS,0.5,0.5,True,2.71066772286538,2.71066772286538,True,PASS
560,0.0,DIRECT_LAYERED_SPA_BP,0.5,0.5,True,2.71066772286538,2.71066772286538,True,PASS
560,0.5,DIRECT_LAYERED_NMS,0.4456254690668728,0.4456254690668728,True,3.21066772286538,3.21066772286538,True,PASS
560,0.5,DIRECT_LAYERED_SPA_BP,0.4456254690668728,0.4456254690668728,True,3.21066772286538,3.21066772286538,True,PASS
560,1.0,DIRECT_LAYERED_NMS,0.39716411736214075,0.39716411736214075,True,3.71066772286538,3.71066772286538,True,PASS
560,1.0,DIRECT_LAYERED_SPA_BP,0.39716411736214075,0.39716411736214075,True,3.71066772286538,3.71066772286538,True,PASS
560,1.5,DIRECT_LAYERED_NMS,0.35397289219206896,0.35397289219206896,True,4.21066772286538,4.21066772286538,True,PASS
560,1.5,DIRECT_LAYERED_SPA_BP,0.35397289219206896,0.35397289219206896,True,4.21066772286538,4.21066772286538,True,PASS
560,2.0,DIRECT_LAYERED_NMS,0.3154786722400966,0.3154786722400966,True,4.71066772286538,4.71066772286538,True,PASS
560,2.0,DIRECT_LAYERED_SPA_BP,0.3154786722400966,0.3154786722400966,True,4.71066772286538,4.71066772286538,True,PASS
560,2.5,DIRECT_LAYERED_NMS,0.28117066259517454,0.28117066259517454,True,5.21066772286538,5.21066772286538,True,PASS
560,2.5,DIRECT_LAYERED_SPA_BP,0.28117066259517454,0.28117066259517454,True,5.21066772286538,5.21066772286538,True,PASS
560,3.0,DIRECT_LAYERED_NMS,0.2505936168136362,0.2505936168136362,True,5.71066772286538,5.71066772286538,True,PASS
