"caseName","snrIndex","esN0Db","staticMemoryBytes","decoderObjectBytes","lookupTableBytes","gfTableBytes","syndromeBufferBytes","locatorPolynomialBytes","temporaryPolynomialBytes","receivedBufferBytes","correctedBufferBytes","payloadBufferBytes","perFrameWorkspaceBytes","peakWorkspaceBytes","totalDecoderMemoryBytes","memoryMeasurementMethod"
"BCH-S200","26","8.000000","64","512","801","0","0","0","0","285","285","209","779","779","1580","EXACT_FROM_TYPE_AND_COUNT"
"BCH-S200","27","8.500000","64","512","801","0","0","0","0","285","285","209","779","779","1580","EXACT_FROM_TYPE_AND_COUNT"
"BCH-S200","28","9.000000","64","512","801","0","0","0","0","285","285","209","779","779","1580","EXACT_FROM_TYPE_AND_COUNT"
"BCH-S200","29","9.500000","64","512","801","0","0","0","0","285","285","209","779","779","1580","EXACT_FROM_TYPE_AND_COUNT"
"BCH-S200","30","10.000000","64","512","801","0","0","0","0","285","285","209","779","779","1580","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","0","-5.000000","128","64","0","1534","48","24","32","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","1","-4.500000","128","64","0","1534","48","24","32","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","2","-4.000000","128","64","0","1534","48","24","32","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","3","-3.500000","128","64","0","1534","48","24","32","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","4","-3.000000","128","64","0","1534","48","24","32","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","5","-2.500000","128","64","0","1534","48","24","32","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","6","-2.000000","128","64","0","1534","48","24","32","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","7","-1.500000","128","64","0","1534","48","24","32","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","8","-1.000000","128","64","0","1534","48","24","32","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","9","-0.500000","128","64","0","1534","48","24","32","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","10","0.000000","128","64","0","1534","48","24","32","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","11","0.500000","128","64","0","1534","48","24","32","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","12","1.000000","128","64","0","1534","48","24","32","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","13","1.500000","128","64","0","1534","48","24","32","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","14","2.000000","128","64","0","1534","48","24","32","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","15","2.500000","128","64","0","1534","48","24","32","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","16","3.000000","128","64","0","1534","48","24","28","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","17","3.500000","128","64","0","1534","48","24","28","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","18","4.000000","128","64","0","1534","48","24","32","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","19","4.500000","128","64","0","1534","48","24","28","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","20","5.000000","128","64","0","1534","48","24","28","255","255","200","810","810","2408","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","21","5.500000","128","64","0","1534","48","16","28","255","255","200","802","802","2400","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","22","6.000000","128","64","0","1534","48","16","28","255","255","200","802","802","2400","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","23","6.500000","128","64","0","1534","48","16","20","255","255","200","794","794","2392","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","24","7.000000","128","64","0","1534","48","16","20","255","255","200","794","794","2392","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","25","7.500000","128","64","0","1534","48","8","16","255","255","200","782","782","2380","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","26","8.000000","128","64","0","1534","48","8","12","255","255","200","778","778","2376","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","27","8.500000","128","64","0","1534","48","8","12","255","255","200","778","778","2376","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","28","9.000000","128","64","0","1534","48","8","12","255","255","200","778","778","2376","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","29","9.500000","128","64","0","1534","48","4","8","255","255","200","770","770","2368","EXACT_FROM_TYPE_AND_COUNT"
"BCH-B200","30","10.000000","128","64","0","1534","48","4","8","255","255","200","770","770","2368","EXACT_FROM_TYPE_AND_COUNT"
