rateCase,targetFerLevel,targetFer,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,mode,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,decodedBitMismatchVsBlock,decodedFrameMismatchVsBlock,relativeBerIncreaseVsBlock,relativeFerIncreaseVsBlock,survivorMemoryBytes,pathMetricMemoryBytes,totalDecoderMemoryBytes,tracebackOperations,ACSCount,firstDecisionDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,sourceStage09RowId,sourceObservedFer,stopReason,timingBatchCount
R12,FER_003,0.029999999999999999,-0.20000000000000001,-0.20000000000000001,2.8963016742589875,0.49019607843137253,0.52356427402544969,CONTINUOUS_TRUNCATED_VITERBI,49,6037,1155,205,0.00063773397382806032,0.033957263541494122,0.00060201094253487832,0.00067557535917431863,0.029676676156986322,0.038830577615815924,44,10,0.012269938650306829,0.025000000000000137,9408,1024,10432,76319754,236457216,48,44.990000000000002,48,343.55179725028967,302.19999999999999,464,1633.3,2026072001,2026072901,0-6036,CC-B-R12-S-FER_003,STAGE10-1003,dense-020,0.032954358213873783,TARGET_ERRORS_REACHED,5
R12,FER_003,0.029999999999999999,-0.20000000000000001,-0.20000000000000001,2.8963016742589875,0.49019607843137253,0.52356427402544969,CONTINUOUS_TRUNCATED_VITERBI,70,6037,1141,200,0.00063000386505438681,0.033129037601457675,0.00059450412455357008,0.00066762199240031955,0.028902937178012136,0.037948918076526006,0,0,0,0,13440,1024,14464,100153830,236457216,69,62.280000000000001,69,353.08903428855405,311.60000000000002,474.69999999999999,1413.7,2026072001,2026072901,0-6036,CC-B-R12-S-FER_003,STAGE10-1003,dense-020,0.032954358213873783,TARGET_ERRORS_REACHED,5
R12,FER_003,0.029999999999999999,-0.20000000000000001,-0.20000000000000001,2.8963016742589875,0.49019607843137253,0.52356427402544969,CONTINUOUS_TRUNCATED_VITERBI,84,6037,1141,200,0.00063000386505438681,0.033129037601457675,0.00059450412455357008,0.00066762199240031955,0.028902937178012136,0.037948918076526006,0,0,0,0,16128,1024,17152,113085084,236457216,83,72.989999999999995,83,360.07288388272337,317.60000000000002,480.89999999999998,8721,2026072001,2026072901,0-6036,CC-B-R12-S-FER_003,STAGE10-1003,dense-020,0.032954358213873783,TARGET_ERRORS_REACHED,5
R12,FER_003,0.029999999999999999,-0.20000000000000001,-0.20000000000000001,2.8963016742589875,0.49019607843137253,0.52356427402544969,CONTINUOUS_TRUNCATED_VITERBI,98,6037,1141,200,0.00063000386505438681,0.033129037601457675,0.00059450412455357008,0.00066762199240031955,0.028902937178012136,0.037948918076526006,0,0,0,0,18816,1024,19840,123649834,236457216,97,83.046666666666667,97,365.03813152227877,322.60000000000002,491.39999999999998,1546.0999999999999,2026072001,2026072901,0-6036,CC-B-R12-S-FER_003,STAGE10-1003,dense-020,0.032954358213873783,TARGET_ERRORS_REACHED,5
R12,FER_003,0.029999999999999999,-0.20000000000000001,-0.20000000000000001,2.8963016742589875,0.49019607843137253,0.52356427402544969,CONTINUOUS_TRUNCATED_VITERBI,112,6037,1141,200,0.00063000386505438681,0.033129037601457675,0.00059450412455357008,0.00066762199240031955,0.028902937178012136,0.037948918076526006,0,0,0,0,21504,1024,22528,131848080,236457216,111,92.450000000000003,111,367.49622328971259,326.69999999999999,491.89999999999998,1490,2026072001,2026072901,0-6036,CC-B-R12-S-FER_003,STAGE10-1003,dense-020,0.032954358213873783,TARGET_ERRORS_REACHED,5
R23,FER_030,0.29999999999999999,0.40000000000000002,0.40000000000000002,2.2469143081759877,0.65359477124183007,0.45600541967795483,CONTINUOUS_TRUNCATED_VITERBI,35,1000,6903,569,0.023009999999999999,0.56899999999999995,0.022479550311081838,0.023552665115453852,0.5381003510964657,0.59937155623252769,5168,524,0.81514593741782804,1.1074074074074072,6720,1024,7744,9520000,39168000,34,32.646666666666668,34,319.03139999999979,281.30000000000001,436.60000000000002,802.29999999999995,2026072001,2026072901,0-999,CC-B-R23-S-FER_030,STAGE10-2030,dense-062,0.28839999999999999,TARGET_ERRORS_REACHED,5
R23,FER_030,0.29999999999999999,0.40000000000000002,0.40000000000000002,2.2469143081759877,0.65359477124183007,0.45600541967795483,CONTINUOUS_TRUNCATED_VITERBI,49,1000,5040,415,0.016799999999999999,0.41499999999999998,0.016346248948686259,0.017266125512208189,0.38484336024640259,0.44580718869614172,2403,289,0.32526952405995269,0.53703703703703687,9408,1024,10432,12642000,39168000,48,44.990000000000002,48,324.39859999999976,284.5,440.30000000000001,1447.3,2026072001,2026072901,0-999,CC-B-R23-S-FER_030,STAGE10-2030,dense-062,0.28839999999999999,TARGET_ERRORS_REACHED,5
R23,FER_030,0.29999999999999999,0.40000000000000002,0.40000000000000002,2.2469143081759877,0.65359477124183007,0.45600541967795483,CONTINUOUS_TRUNCATED_VITERBI,70,1000,4203,316,0.01401,0.316,0.01359560525807698,0.014436840653036631,0.28793562210416745,0.34547262501851683,808,113,0.10518012095713915,0.17037037037037031,13440,1024,14464,16590000,39168000,69,62.280000000000001,69,330.64789999999982,292.69999999999999,447.60000000000002,677.60000000000002,2026072001,2026072901,0-999,CC-B-R23-S-FER_030,STAGE10-2030,dense-062,0.28839999999999999,TARGET_ERRORS_REACHED,5
R23,FER_030,0.29999999999999999,0.40000000000000002,0.40000000000000002,2.2469143081759877,0.65359477124183007,0.45600541967795483,CONTINUOUS_TRUNCATED_VITERBI,84,1000,3942,289,0.013140000000000001,0.28899999999999998,0.012738702806464958,0.013553765384824518,0.26175445197633085,0.31786044010457337,397,51,0.036550092032605945,0.070370370370370222,16128,1024,17152,18732000,39168000,83,72.989999999999995,83,337.45989999999983,297.10000000000002,458.19999999999999,873.60000000000002,2026072001,2026072901,0-999,CC-B-R23-S-FER_030,STAGE10-2030,dense-062,0.28839999999999999,TARGET_ERRORS_REACHED,5
R23,FER_030,0.29999999999999999,0.40000000000000002,0.40000000000000002,2.2469143081759877,0.65359477124183007,0.45600541967795483,CONTINUOUS_TRUNCATED_VITERBI,98,1000,3872,277,0.012906666666666667,0.27700000000000002,0.01250895839839611,0.013316849101752794,0.25015649034831283,0.3055502439362448,149,25,0.018143570865106578,0.025925925925925946,18816,1024,19840,20482000,39168000,97,83.046666666666667,97,350.23930000000024,302.80000000000001,465.30000000000001,9294.6000000000004,2026072001,2026072901,0-999,CC-B-R23-S-FER_030,STAGE10-2030,dense-062,0.28839999999999999,TARGET_ERRORS_REACHED,5
