caseId,bitIndex,receiveTimeInputBit,decisionTimeInputBit,region
CC-C-R23-S,52,52,124,head
CC-C-R23-S,53,53,124,head
CC-C-R23-S,54,54,124,head
CC-C-R23-S,55,55,124,head
CC-C-R23-S,56,56,149,head
CC-C-R23-S,57,57,149,head
CC-C-R23-S,58,58,149,head
CC-C-R23-S,59,59,149,head
CC-C-R23-S,60,60,149,head
CC-C-R23-S,61,61,149,head
CC-C-R23-S,62,62,149,head
CC-C-R23-S,63,63,149,head
CC-C-R23-S,64,64,149,head
CC-C-R23-S,65,65,149,head
CC-C-R23-S,66,66,149,head
CC-C-R23-S,67,67,149,head
CC-C-R23-S,68,68,149,head
CC-C-R23-S,69,69,149,head
CC-C-R23-S,70,70,149,middle
CC-C-R23-S,71,71,149,middle
CC-C-R23-S,72,72,149,middle
CC-C-R23-S,73,73,149,middle
CC-C-R23-S,74,74,149,middle
CC-C-R23-S,75,75,149,middle
CC-C-R23-S,76,76,149,middle
CC-C-R23-S,77,77,149,middle
CC-C-R23-S,78,78,149,middle
CC-C-R23-S,79,79,149,middle
CC-C-R23-S,80,80,149,middle
CC-C-R23-S,81,81,174,middle
CC-C-R23-S,82,82,174,middle
CC-C-R23-S,83,83,174,middle
CC-C-R23-S,84,84,174,middle
CC-C-R23-S,85,85,174,middle
CC-C-R23-S,86,86,174,middle
CC-C-R23-S,87,87,174,middle
CC-C-R23-S,88,88,174,middle
CC-C-R23-S,89,89,174,middle
CC-C-R23-S,90,90,174,middle
CC-C-R23-S,91,91,174,middle
CC-C-R23-S,92,92,174,middle
CC-C-R23-S,93,93,174,middle
CC-C-R23-S,94,94,174,middle
CC-C-R23-S,95,95,174,boundary
CC-C-R23-S,96,96,174,boundary
CC-C-R23-S,97,97,174,boundary
CC-C-R23-S,98,98,174,boundary
CC-C-R23-S,99,99,174,boundary
CC-C-R23-S,100,100,174,boundary
CC-C-R23-S,101,101,174,boundary
CC-C-R23-S,102,102,174,boundary
CC-C-R23-S,103,103,174,boundary
CC-C-R23-S,104,104,174,boundary
CC-C-R23-S,105,105,174,middle
CC-C-R23-S,106,106,199,middle
CC-C-R23-S,107,107,199,middle
CC-C-R23-S,108,108,199,middle
CC-C-R23-S,109,109,199,middle
CC-C-R23-S,110,110,199,middle
CC-C-R23-S,111,111,199,middle
CC-C-R23-S,112,112,199,middle
CC-C-R23-S,113,113,199,middle
CC-C-R23-S,114,114,199,middle
CC-C-R23-S,115,115,199,middle
CC-C-R23-S,116,116,199,middle
CC-C-R23-S,117,117,199,middle
CC-C-R23-S,118,118,199,middle
CC-C-R23-S,119,119,199,middle
CC-C-R23-S,120,120,199,middle
CC-C-R23-S,121,121,199,middle
CC-C-R23-S,122,122,199,middle
CC-C-R23-S,123,123,199,middle
CC-C-R23-S,124,124,199,middle
CC-C-R23-S,125,125,199,middle
CC-C-R23-S,126,126,199,middle
CC-C-R23-S,127,127,199,middle
CC-C-R23-S,128,128,199,middle
CC-C-R23-S,129,129,199,middle
CC-C-R23-S,130,130,199,middle
CC-C-R23-S,131,131,224,middle
CC-C-R23-S,132,132,224,middle
CC-C-R23-S,133,133,224,middle
CC-C-R23-S,134,134,224,middle
CC-C-R23-S,135,135,224,middle
CC-C-R23-S,136,136,224,middle
CC-C-R23-S,137,137,224,middle
CC-C-R23-S,138,138,224,middle
CC-C-R23-S,139,139,224,middle
CC-C-R23-S,140,140,224,middle
CC-C-R23-S,141,141,224,middle
CC-C-R23-S,142,142,224,middle
CC-C-R23-S,143,143,224,middle
CC-C-R23-S,144,144,224,middle
CC-C-R23-S,145,145,224,boundary
CC-C-R23-S,146,146,224,boundary
CC-C-R23-S,147,147,224,boundary
CC-C-R23-S,148,148,224,boundary
CC-C-R23-S,149,149,224,boundary
CC-C-R23-S,150,150,224,boundary
CC-C-R23-S,151,151,224,boundary
CC-C-R23-S,152,152,224,boundary
CC-C-R23-S,153,153,224,boundary
CC-C-R23-S,154,154,224,boundary
CC-C-R23-S,155,155,224,middle
CC-C-R23-S,156,156,249,middle
CC-C-R23-S,157,157,249,middle
CC-C-R23-S,158,158,249,middle
CC-C-R23-S,159,159,249,middle
CC-C-R23-S,160,160,249,middle
CC-C-R23-S,161,161,249,middle
CC-C-R23-S,162,162,249,middle
CC-C-R23-S,163,163,249,middle
CC-C-R23-S,164,164,249,middle
CC-C-R23-S,165,165,249,middle
CC-C-R23-S,166,166,249,middle
CC-C-R23-S,167,167,249,middle
CC-C-R23-S,168,168,249,middle
CC-C-R23-S,169,169,249,middle
CC-C-R23-S,170,170,249,middle
CC-C-R23-S,171,171,249,middle
CC-C-R23-S,172,172,249,middle
CC-C-R23-S,173,173,249,middle
CC-C-R23-S,174,174,249,middle
CC-C-R23-S,175,175,249,middle
CC-C-R23-S,176,176,249,middle
CC-C-R23-S,177,177,249,middle
CC-C-R23-S,178,178,249,middle
CC-C-R23-S,179,179,249,middle
CC-C-R23-S,180,180,249,middle
CC-C-R23-S,181,181,274,middle
CC-C-R23-S,182,182,274,middle
CC-C-R23-S,183,183,274,middle
CC-C-R23-S,184,184,274,middle
CC-C-R23-S,185,185,274,middle
CC-C-R23-S,186,186,274,middle
CC-C-R23-S,187,187,274,middle
CC-C-R23-S,188,188,274,middle
CC-C-R23-S,189,189,274,middle
CC-C-R23-S,190,190,274,middle
CC-C-R23-S,191,191,274,middle
CC-C-R23-S,192,192,274,middle
CC-C-R23-S,193,193,274,middle
CC-C-R23-S,194,194,274,middle
CC-C-R23-S,195,195,274,boundary
CC-C-R23-S,196,196,274,boundary
CC-C-R23-S,197,197,274,boundary
CC-C-R23-S,198,198,274,boundary
CC-C-R23-S,199,199,274,boundary
CC-C-R23-S,200,200,274,boundary
CC-C-R23-S,201,201,274,boundary
CC-C-R23-S,202,202,274,boundary
CC-C-R23-S,203,203,274,boundary
CC-C-R23-S,204,204,274,boundary
CC-C-R23-S,205,205,274,middle
CC-C-R23-S,206,206,299,middle
CC-C-R23-S,207,207,299,middle
CC-C-R23-S,208,208,299,middle
CC-C-R23-S,209,209,299,middle
CC-C-R23-S,210,210,299,middle
CC-C-R23-S,211,211,299,middle
CC-C-R23-S,212,212,299,middle
CC-C-R23-S,213,213,299,middle
CC-C-R23-S,214,214,299,middle
CC-C-R23-S,215,215,299,middle
CC-C-R23-S,216,216,299,middle
CC-C-R23-S,217,217,299,middle
CC-C-R23-S,218,218,299,middle
CC-C-R23-S,219,219,299,middle
CC-C-R23-S,220,220,299,middle
CC-C-R23-S,221,221,299,middle
CC-C-R23-S,222,222,299,middle
CC-C-R23-S,223,223,299,middle
CC-C-R23-S,224,224,299,middle
CC-C-R23-S,225,225,299,middle
CC-C-R23-S,226,226,299,middle
CC-C-R23-S,227,227,299,middle
CC-C-R23-S,228,228,299,middle
CC-C-R23-S,229,229,299,middle
CC-C-R23-S,230,230,299,tail
CC-C-R23-S,231,231,305,tail
CC-C-R23-S,232,232,305,tail
CC-C-R23-S,233,233,305,tail
CC-C-R23-S,234,234,305,tail
CC-C-R23-S,235,235,305,tail
CC-C-R23-S,236,236,305,tail
CC-C-R23-S,237,237,305,tail
CC-C-R23-S,238,238,305,tail
CC-C-R23-S,239,239,305,tail
CC-C-R23-S,240,240,305,tail
CC-C-R23-S,241,241,305,tail
CC-C-R23-S,242,242,305,tail
CC-C-R23-S,243,243,305,tail
CC-C-R23-S,244,244,305,tail
CC-C-R23-S,245,245,305,tail
CC-C-R23-S,246,246,305,tail
CC-C-R23-S,247,247,305,tail
CC-C-R23-S,248,248,305,tail
CC-C-R23-S,249,249,305,tail
CC-C-R23-S,250,250,305,tail
CC-C-R23-S,251,251,305,tail
CC-C-R23-S,252,252,305,tail
CC-C-R23-S,253,253,305,tail
CC-C-R23-S,254,254,305,tail
CC-C-R23-S,255,255,305,tail
CC-C-R23-S,256,256,305,tail
CC-C-R23-S,257,257,305,tail
CC-C-R23-S,258,258,305,tail
CC-C-R23-S,259,259,305,tail
CC-C-R23-S,260,260,305,tail
CC-C-R23-S,261,261,305,tail
CC-C-R23-S,262,262,305,tail
CC-C-R23-S,263,263,305,tail
CC-C-R23-S,264,264,305,tail
CC-C-R23-S,265,265,305,tail
CC-C-R23-S,266,266,305,tail
CC-C-R23-S,267,267,305,tail
CC-C-R23-S,268,268,305,tail
CC-C-R23-S,269,269,305,tail
CC-C-R23-S,270,270,305,tail
CC-C-R23-S,271,271,305,tail
CC-C-R23-S,272,272,305,tail
CC-C-R23-S,273,273,305,tail
CC-C-R23-S,274,274,305,tail
CC-C-R23-S,275,275,305,tail
CC-C-R23-S,276,276,305,tail
CC-C-R23-S,277,277,305,tail
CC-C-R23-S,278,278,305,tail
CC-C-R23-S,279,279,305,tail
CC-C-R23-S,280,280,305,tail
CC-C-R23-S,281,281,305,tail
CC-C-R23-S,282,282,305,tail
CC-C-R23-S,283,283,305,tail
CC-C-R23-S,284,284,305,tail
CC-C-R23-S,285,285,305,tail
CC-C-R23-S,286,286,305,tail
CC-C-R23-S,287,287,305,tail
CC-C-R23-S,288,288,305,tail
CC-C-R23-S,289,289,305,tail
CC-C-R23-S,290,290,305,tail
CC-C-R23-S,291,291,305,tail
CC-C-R23-S,292,292,305,tail
CC-C-R23-S,293,293,305,tail
CC-C-R23-S,294,294,305,tail
CC-C-R23-S,295,295,305,tail
CC-C-R23-S,296,296,305,tail
CC-C-R23-S,297,297,305,tail
CC-C-R23-S,298,298,305,tail
CC-C-R23-S,299,299,305,tail
