runLayer,experimentId,candidateId,rateCase,targetFerLevel,snrDb,windowBits,slideBits,dtb,minFrames,targetFrameErrors,maxFrames,sourceStage09RowId
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,3.5,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,3.5,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,3.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,4.0,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,4.0,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,4.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,4.5,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,4.5,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,4.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,5.0,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,5.0,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,5.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,5.5,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,5.5,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,5.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,6.0,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,6.0,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,6.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,6.5,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,6.5,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,6.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,7.0,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,7.0,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,7.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,7.5,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,7.5,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,7.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,8.0,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,8.0,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,8.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,8.5,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,8.5,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,8.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,9.0,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,9.0,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,9.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,9.5,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,9.5,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,9.5,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D84,R23,GRID,10.0,128,25,84,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R23,GRID,10.0,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S50-D70,R23,GRID,10.0,128,50,70,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W160-S25-D126,R34,GRID,-5.0,160,25,126,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W160-S25-D112,R34,GRID,-5.0,160,25,112,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W192-S50-D112,R34,GRID,-5.0,192,50,112,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W128-S25-D98,R34,GRID,-5.0,128,25,98,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W160-S25-D126,R34,GRID,-4.5,160,25,126,1000,200,50000,COARSE_GRID
formal_coarse,AUTO_SELECTED,W160-S25-D112,R34,GRID,-4.5,160,25,112,1000,200,50000,COARSE_GRID
