plotId,caseId,legendLabel,xSourceColumn,xRaw,xDisplay,ySourceColumn,yRaw,yPlot,yIsZero,ferRaw,ferPlot,ferIsZero,berRaw,berPlot,berIsZero,plotSurrogateUsed,framesProcessed,payloadBitsProcessed
stage14_burst_formal_k200_failure_vs_burst_length,K200_S15,分块200,burstLengthBits,30,30,decoderFailureRate,0,0.00050000000000000001,true,1,1,false,0.10883,0.10883,false,true,1000,200000
stage14_burst_formal_k200_failure_vs_burst_length,K200_S15,分块200,burstLengthBits,40,40,decoderFailureRate,0,0.00050000000000000001,true,1,1,false,0.14529,0.14529,false,true,1000,200000
stage14_burst_formal_k200_failure_vs_burst_length,K200_S15,分块200,burstLengthBits,50,50,decoderFailureRate,0,0.00050000000000000001,true,1,1,false,0.18188499999999999,0.18188499999999999,false,true,1000,200000
stage14_burst_formal_k200_failure_vs_burst_length,K200_M255K207,255整块200,burstLengthBits,0,0,decoderFailureRate,0,1.0000000000000001e-05,true,0,1.0000000000000001e-05,true,0,4.9999999999999998e-08,true,true,50000,10000000
stage14_burst_formal_k200_failure_vs_burst_length,K200_M255K207,255整块200,burstLengthBits,1,1,decoderFailureRate,0,1.0000000000000001e-05,true,0,1.0000000000000001e-05,true,0,4.9999999999999998e-08,true,true,50000,10000000
stage14_burst_formal_k200_failure_vs_burst_length,K200_M255K207,255整块200,burstLengthBits,2,2,decoderFailureRate,0,1.0000000000000001e-05,true,0,1.0000000000000001e-05,true,0,4.9999999999999998e-08,true,true,50000,10000000
stage14_burst_formal_k200_failure_vs_burst_length,K200_M255K207,255整块200,burstLengthBits,3,3,decoderFailureRate,0,1.0000000000000001e-05,true,0,1.0000000000000001e-05,true,0,4.9999999999999998e-08,true,true,50000,10000000
stage14_burst_formal_k200_failure_vs_burst_length,K200_M255K207,255整块200,burstLengthBits,4,4,decoderFailureRate,0,1.0000000000000001e-05,true,0,1.0000000000000001e-05,true,0,4.9999999999999998e-08,true,true,50000,10000000
stage14_burst_formal_k200_failure_vs_burst_length,K200_M255K207,255整块200,burstLengthBits,5,5,decoderFailureRate,0,1.0000000000000001e-05,true,0,1.0000000000000001e-05,true,0,4.9999999999999998e-08,true,true,50000,10000000
stage14_burst_formal_k200_failure_vs_burst_length,K200_M255K207,255整块200,burstLengthBits,6,6,decoderFailureRate,0,1.0000000000000001e-05,true,0,1.0000000000000001e-05,true,0,4.9999999999999998e-08,true,true,50000,10000000
