schemeId,rate,decisionMode,organization,comparisonBasis,targetFer,fixedSnrDb,FER,exclusionReason,snrAtFer01,coveredByData,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,totalMemoryBytes,avgDecodeTimeUs,tracebackOperations,normalizedGoodput,BER
R12_HARD_D_CONT_150x2,R12,Hard,D_CONT_150x2,fixed_target_fer,0.1,,0.1,,1.3669523782519952,True,298.0,285.0,530.0,26112.0,1722.2750747415312,1845998.7485673125,0.4369388164117241,
R12_HARD_D_CONT_150x2,R12,Hard,D_CONT_150x2,fixed_snr,,2.0,0.0284131268646114,,,True,298.0,285.0,530.0,26112.0,1751.1435857366148,6095774.0,0.4762680750663668,0.0004816025003551
R12_SLIDING_BALANCED,R12,Soft Float,Continuous300,fixed_target_fer,0.1,,0.1,,-0.7267731305512473,True,188.0,146.33333333333334,188.0,26112.0,1672.7017126113717,1894418.9782930058,0.43632286221383004,
R12_SLIDING_BALANCED,R12,Soft Float,Continuous300,fixed_snr,,2.0,4e-05,,,True,188.0,146.33333333333334,188.0,26112.0,1720.1086200000104,43300000.0,0.4901764705882352,5.333333333333333e-07
R12_SLIDING_LATENCY_FIRST,R12,Soft Float,Continuous300,fixed_target_fer,0.1,,0.1,,-0.7242227198807087,True,170.0,137.77333333333334,168.0,19968.0,2109.003618178649,2824564.751185461,0.43620344376317277,
R12_SLIDING_LATENCY_FIRST,R12,Soft Float,Continuous300,fixed_snr,,2.0,4e-05,,,True,170.0,137.77333333333334,168.0,19968.0,2159.0418200000145,64300000.0,0.4901764705882352,5.333333333333333e-07
R12_SOFT_FLOAT_A_BLOCK_300,R12,Soft Float,A_BLOCK_300,fixed_target_fer,0.1,,0.1,,-0.7313629195817803,True,610.0,311.0,580.0,59776.0,421.0104335910477,708339.8129595031,0.433013253151488,
R12_SOFT_FLOAT_A_BLOCK_300,R12,Soft Float,A_BLOCK_300,fixed_snr,,2.0,2e-05,,,True,610.0,311.0,580.0,59776.0,476.59843200000455,15300000.0,0.4901862745098039,4.0000000000000003e-07
R12_SOFT_FLOAT_B_CONT_50x6,R12,Soft Float,B_CONT_50x6,fixed_target_fer,0.1,,0.1,,-0.7313629195817803,True,298.0,231.0,342.0,26112.0,1490.5928051398723,2004647.9673951953,0.433013253151488,
R12_SOFT_FLOAT_B_CONT_50x6,R12,Soft Float,B_CONT_50x6,fixed_snr,,2.0,2e-05,,,True,298.0,231.0,342.0,26112.0,1680.211200000011,43300000.0,0.4901862745098039,4.0000000000000003e-07
R12_SOFT_FLOAT_C_CONT_100x3,R12,Soft Float,C_CONT_100x3,fixed_target_fer,0.1,,0.1,,-0.7313629195817803,True,398.0,258.0,430.0,26112.0,1477.3393350708102,2004647.9673951953,0.433013253151488,
R12_SOFT_FLOAT_C_CONT_100x3,R12,Soft Float,C_CONT_100x3,fixed_snr,,2.0,2e-05,,,True,398.0,258.0,430.0,26112.0,1672.9983400000092,43300000.0,0.4901862745098039,4.0000000000000003e-07
R12_SOFT_FLOAT_D_CONT_150x2,R12,Soft Float,D_CONT_150x2,fixed_target_fer,0.1,,0.1,,-0.7313629195817803,True,298.0,285.0,530.0,26112.0,1466.8143825654815,2004647.9673951953,0.433013253151488,
R12_SOFT_FLOAT_D_CONT_150x2,R12,Soft Float,D_CONT_150x2,fixed_snr,,2.0,2e-05,,,True,298.0,285.0,530.0,26112.0,1665.3872979999965,43300000.0,0.4901862745098039,4.0000000000000003e-07
R23_BLOCK_HARD,R23,Hard,A_BLOCK_300,fixed_target_fer,0.1,,0.1,,2.890093963053776,True,,,,,336.60433533581954,,0.5881544768440241,
R23_BLOCK_HARD,R23,Hard,A_BLOCK_300,fixed_snr,,2.0,0.3851999999999999,,,True,,,,,392.3511399999997,,0.4018300653594771,0.018554
R23_BLOCK_SOFT_FLOAT,R23,Soft Float,A_BLOCK_300,fixed_target_fer,0.1,,0.1,,0.9631042204496398,True,,,,,449.74494492440414,,0.5879532203974702,
R23_BLOCK_SOFT_FLOAT,R23,Soft Float,A_BLOCK_300,fixed_snr,,2.0,0.0072904895563737,,,True,,,,,465.36524988153127,,0.6488297453879911,0.0001659801455667
R23_HARD_A_BLOCK_300,R23,Hard,A_BLOCK_300,fixed_target_fer,0.1,,0.1,,2.89541539482801,True,457.0,233.0,435.0,59776.0,340.42765620552217,638260.7019246792,0.5844507559899916,
R23_HARD_A_BLOCK_300,R23,Hard,A_BLOCK_300,fixed_snr,,2.0,0.386,,,True,457.0,233.0,435.0,59776.0,333.5042999999999,306000.0,0.4013071895424836,0.0179766666666666
R23_HARD_B_CONT_50x6,R23,Hard,B_CONT_50x6,fixed_target_fer,0.1,,0.1,,2.89541539482801,True,223.0,173.0,256.0,26112.0,1630.9281179547843,2273543.023195753,0.5844507559899916,
R23_HARD_B_CONT_50x6,R23,Hard,B_CONT_50x6,fixed_snr,,2.0,0.388,,,True,223.0,173.0,256.0,26112.0,1544.5127999999966,1090000.0,0.4,0.0180799999999999
R23_HARD_C_CONT_100x3,R23,Hard,C_CONT_100x3,fixed_target_fer,0.1,,0.1,,2.89541539482801,True,298.0,193.25,322.0,26112.0,1618.8922261370826,2273543.023195753,0.5844507559899916,
R23_HARD_C_CONT_100x3,R23,Hard,C_CONT_100x3,fixed_snr,,2.0,0.388,,,True,298.0,193.25,322.0,26112.0,1541.2626999999986,1090000.0,0.4,0.0180799999999999
R23_HARD_D_CONT_150x2,R23,Hard,D_CONT_150x2,fixed_target_fer,0.1,,0.1,,2.89541539482801,True,223.0,213.5,397.0,26112.0,1633.7734589859872,2273543.023195753,0.5844507559899916,
R23_HARD_D_CONT_150x2,R23,Hard,D_CONT_150x2,fixed_snr,,2.0,0.388,,,True,223.0,213.5,397.0,26112.0,1535.6069000000018,1090000.0,0.4,0.0180799999999999
R23_SLIDING_BALANCED,R23,Soft Float,Continuous300,fixed_target_fer,0.1,,0.1,,0.9674202323625796,True,183.0,137.66666666666666,181.0,26112.0,1118.6459815475662,2260803.546426437,0.5853307055750121,
R23_SLIDING_BALANCED,R23,Soft Float,Continuous300,fixed_snr,,2.0,0.0061606702809265,,,True,183.0,137.66666666666666,181.0,26112.0,1124.3508655741805,35385760.0,0.6495681893588715,0.0001354320683423
R23_SLIDING_LATENCY_FIRST,R23,Soft Float,Continuous300,fixed_target_fer,0.1,,0.1,,0.9723871240528457,True,162.0,123.66666666666669,160.0,26112.0,1140.0702717967517,2039663.6076298237,0.5856989541622989,
R23_SLIDING_LATENCY_FIRST,R23,Soft Float,Continuous300,fixed_snr,,2.0,0.0061606702809265,,,True,162.0,123.66666666666669,160.0,26112.0,1137.2442397732932,31749792.0,0.6495681893588715,0.0001354320683423
R23_SOFT_FLOAT_A_BLOCK_300,R23,Soft Float,A_BLOCK_300,fixed_target_fer,0.1,,0.1,,0.934113587460329,True,457.0,233.0,435.0,59776.0,563.2616539342375,642879.0896866147,0.5838305752408504,
R23_SOFT_FLOAT_A_BLOCK_300,R23,Soft Float,A_BLOCK_300,fixed_snr,,2.0,0.0067037608098143,,,True,457.0,233.0,435.0,59776.0,539.3587685191432,9129204.0,0.6492132282288796,0.0001544099573193
R23_SOFT_FLOAT_B_CONT_50x6,R23,Soft Float,B_CONT_50x6,fixed_target_fer,0.1,,0.1,,0.9389692979038486,True,223.0,173.0,256.0,26112.0,1925.7387423320845,2303416.492037735,0.5841385957406752,
R23_SOFT_FLOAT_B_CONT_50x6,R23,Soft Float,B_CONT_50x6,fixed_snr,,2.0,0.0067037608098143,,,True,223.0,173.0,256.0,26112.0,1853.3823590534464,32519060.0,0.6492132282288796,0.0001544099573193
R23_SOFT_FLOAT_C_CONT_100x3,R23,Soft Float,C_CONT_100x3,fixed_target_fer,0.1,,0.1,,0.9389692979038486,True,298.0,193.25,322.0,26112.0,1877.0506067746828,2303416.492037735,0.5841385957406752,
R23_SOFT_FLOAT_C_CONT_100x3,R23,Soft Float,C_CONT_100x3,fixed_snr,,2.0,0.0067037608098143,,,True,298.0,193.25,322.0,26112.0,1840.649145270499,32519060.0,0.6492132282288796,0.0001544099573193
R23_SOFT_FLOAT_D_CONT_150x2,R23,Soft Float,D_CONT_150x2,fixed_target_fer,0.1,,0.1,,0.9389692979038486,True,223.0,213.5,397.0,26112.0,1891.599510974676,2303416.492037735,0.5841385957406752,
R23_SOFT_FLOAT_D_CONT_150x2,R23,Soft Float,D_CONT_150x2,fixed_snr,,2.0,0.0067037608098143,,,True,223.0,213.5,397.0,26112.0,1834.7175906683613,32519060.0,0.6492132282288796,0.0001544099573193
R34_BLOCK_HARD,R34,Hard,A_BLOCK_300,fixed_target_fer,0.1,,0.1,,3.741967954737574,True,,,,,348.41410515753773,,0.661507806173465,
R34_BLOCK_HARD,R34,Hard,A_BLOCK_300,fixed_snr,,2.0,0.7882,,,True,,,,,384.41174000000063,,0.155735294117647,0.081584
R34_BLOCK_SOFT_FLOAT,R34,Soft Float,A_BLOCK_300,fixed_target_fer,0.1,,0.1,,1.8845268273630937,True,,,,,478.10015233516845,,0.6615113913396093,
R34_BLOCK_SOFT_FLOAT,R34,Soft Float,A_BLOCK_300,fixed_snr,,2.0,0.0762,,,True,,,,,485.22275999999886,,0.6792647058823529,0.0027986666666666
R34_HARD_A_BLOCK_300,R34,Hard,A_BLOCK_300,fixed_target_fer,0.1,,0.1,,3.777890881669024,True,406.0,207.0,386.0,59776.0,688.6598589232008,690918.723409073,0.6515242415247129,
R34_HARD_A_BLOCK_300,R34,Hard,A_BLOCK_300,fixed_snr,,2.0,0.785,,,True,406.0,207.0,386.0,59776.0,662.1405999999993,306000.0,0.1580882352941176,0.0806733333333333
R34_HARD_B_CONT_50x6,R34,Hard,B_CONT_50x6,fixed_target_fer,0.1,,0.1,,3.780015136675748,True,265.0,171.16666666666666,262.0,32256.0,2804.5732280883058,2407067.1215584553,0.6513068781250438,
R34_HARD_B_CONT_50x6,R34,Hard,B_CONT_50x6,fixed_snr,,2.0,0.785,,,True,265.0,171.16666666666666,262.0,32256.0,2350.4666,1062000.0,0.1580882352941176,0.0807133333333333
R34_HARD_C_CONT_100x3,R34,Hard,C_CONT_100x3,fixed_target_fer,0.1,,0.1,,3.780015136675748,True,265.0,183.5,320.0,32256.0,2865.3660149171064,2407067.1215584553,0.6513068781250438,
R34_HARD_C_CONT_100x3,R34,Hard,C_CONT_100x3,fixed_snr,,2.0,0.785,,,True,265.0,183.5,320.0,32256.0,2957.518400000005,1062000.0,0.1580882352941176,0.0807133333333333
R34_HARD_D_CONT_150x2,R34,Hard,D_CONT_150x2,fixed_target_fer,0.1,,0.1,,3.780015136675748,True,406.0,207.0,386.0,32256.0,2725.001250787026,2407067.1215584553,0.6513068781250438,
R34_HARD_D_CONT_150x2,R34,Hard,D_CONT_150x2,fixed_snr,,2.0,0.785,,,True,406.0,207.0,386.0,32256.0,2734.7372000000023,1062000.0,0.1580882352941176,0.0807133333333333
R34_SLIDING_BALANCED,R34,Soft Float,Continuous300,fixed_target_fer,0.1,,0.1,,1.8434035833105928,True,200.0,145.5,199.0,32256.0,1093.5985281392088,2369794.8552363967,0.6512318267521063,
R34_SLIDING_BALANCED,R34,Soft Float,Continuous300,fixed_snr,,2.0,0.0716075904045828,,,True,200.0,145.5,199.0,32256.0,1096.3638023630513,2966166.0,0.6826414776436891,0.0027783745076978
R34_SLIDING_LATENCY_FIRST,R34,Soft Float,Continuous300,fixed_target_fer,0.1,,0.1,,1.8500108555442134,True,162.0,122.33333333333331,161.0,26112.0,1076.6605478086012,2458101.431499889,0.6510856528090295,
R34_SLIDING_LATENCY_FIRST,R34,Soft Float,Continuous300,fixed_snr,,2.0,0.0723236663086287,,,True,162.0,122.33333333333331,161.0,26112.0,1081.4575008950956,3044370.0,0.6821149512436553,0.0028094044635398
R34_SOFT_FLOAT_A_BLOCK_300,R34,Soft Float,A_BLOCK_300,fixed_target_fer,0.1,,0.1,,1.8515204387880617,True,406.0,207.0,386.0,59776.0,527.643391213439,684199.4340103206,0.6510800097365776,
R34_SOFT_FLOAT_A_BLOCK_300,R34,Soft Float,A_BLOCK_300,fixed_snr,,2.0,0.0725163161711385,,,True,406.0,207.0,386.0,59776.0,522.6193255982596,843948.0,0.6819732969329864,0.0029199903311578
R34_SOFT_FLOAT_B_CONT_50x6,R34,Soft Float,B_CONT_50x6,fixed_target_fer,0.1,,0.1,,1.8554112840660086,True,265.0,171.16666666666666,262.0,32256.0,1721.7951420088068,2389102.8914122037,0.6512979086141318,
R34_SOFT_FLOAT_B_CONT_50x6,R34,Soft Float,B_CONT_50x6,fixed_snr,,2.0,0.0732414793328498,,,True,265.0,171.16666666666666,262.0,32256.0,1701.4259245830317,2928996.0,0.6814400887258457,0.0029405366207396
R34_SOFT_FLOAT_C_CONT_100x3,R34,Soft Float,C_CONT_100x3,fixed_target_fer,0.1,,0.1,,1.8554112840660086,True,265.0,183.5,320.0,32256.0,1708.1748431222868,2389102.8914122037,0.6512979086141318,
R34_SOFT_FLOAT_C_CONT_100x3,R34,Soft Float,C_CONT_100x3,fixed_snr,,2.0,0.0732414793328498,,,True,265.0,183.5,320.0,32256.0,1702.80946337926,2928996.0,0.6814400887258457,0.0029405366207396
R34_SOFT_FLOAT_D_CONT_150x2,R34,Soft Float,D_CONT_150x2,fixed_target_fer,0.1,,0.1,,1.8554112840660086,True,406.0,207.0,386.0,32256.0,1704.2212711352329,2389102.8914122037,0.6512979086141318,
R34_SOFT_FLOAT_D_CONT_150x2,R34,Soft Float,D_CONT_150x2,fixed_snr,,2.0,0.0732414793328498,,,True,406.0,207.0,386.0,32256.0,1688.863488034808,2928996.0,0.6814400887258457,0.0029405366207396
