taskIndex,taskKey,shardId,group,channel,esN0Db,schemePointCount,minFrames,targetFrameErrors,maxFrames,checkpointIntervalFrames,configHash
28,RATE_NEAR_2_3_AWGN_9.0,0,RATE_NEAR_2_3,AWGN,9.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
29,RATE_NEAR_2_3_AWGN_9.5,1,RATE_NEAR_2_3,AWGN,9.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
30,RATE_NEAR_2_3_AWGN_10.0,2,RATE_NEAR_2_3,AWGN,10.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
31,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_-5.0,3,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,-5.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
32,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_-4.5,0,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,-4.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
33,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_-4.0,1,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,-4.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
34,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_-3.5,2,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,-3.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
35,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_-3.0,3,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,-3.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
36,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_-2.5,0,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,-2.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
37,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_-2.0,1,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,-2.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
38,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_-1.5,2,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,-1.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
39,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_-1.0,3,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,-1.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
40,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_-0.5,0,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,-0.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
41,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_0.0,1,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,0.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
42,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_0.5,2,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,0.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
43,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_1.0,3,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,1.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
44,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_1.5,0,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,1.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
45,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_2.0,1,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,2.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
46,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_2.5,2,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,2.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
47,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_3.0,3,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,3.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
48,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_3.5,0,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,3.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
49,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_4.0,1,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,4.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
50,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_4.5,2,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,4.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
51,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_5.0,3,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,5.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
52,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_5.5,0,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,5.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
53,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_6.0,1,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,6.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
54,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_6.5,2,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,6.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
55,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_7.0,3,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,7.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
56,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_7.5,0,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,7.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
57,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_8.0,1,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,8.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
58,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_8.5,2,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,8.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
59,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_9.0,3,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,9.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
60,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_9.5,0,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,9.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
61,RATE_NEAR_2_3_FIXED_MULTIPATH_REAL_MMSE_10.0,1,RATE_NEAR_2_3,FIXED_MULTIPATH_REAL_MMSE,10.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
62,RATE_NEAR_2_3_CFO_30_DEG_-5.0,2,RATE_NEAR_2_3,CFO_30_DEG,-5.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
63,RATE_NEAR_2_3_CFO_30_DEG_-4.5,3,RATE_NEAR_2_3,CFO_30_DEG,-4.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
64,RATE_NEAR_2_3_CFO_30_DEG_-4.0,0,RATE_NEAR_2_3,CFO_30_DEG,-4.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
65,RATE_NEAR_2_3_CFO_30_DEG_-3.5,1,RATE_NEAR_2_3,CFO_30_DEG,-3.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
66,RATE_NEAR_2_3_CFO_30_DEG_-3.0,2,RATE_NEAR_2_3,CFO_30_DEG,-3.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
67,RATE_NEAR_2_3_CFO_30_DEG_-2.5,3,RATE_NEAR_2_3,CFO_30_DEG,-2.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
68,RATE_NEAR_2_3_CFO_30_DEG_-2.0,0,RATE_NEAR_2_3,CFO_30_DEG,-2.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
69,RATE_NEAR_2_3_CFO_30_DEG_-1.5,1,RATE_NEAR_2_3,CFO_30_DEG,-1.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
70,RATE_NEAR_2_3_CFO_30_DEG_-1.0,2,RATE_NEAR_2_3,CFO_30_DEG,-1.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
71,RATE_NEAR_2_3_CFO_30_DEG_-0.5,3,RATE_NEAR_2_3,CFO_30_DEG,-0.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
72,RATE_NEAR_2_3_CFO_30_DEG_0.0,0,RATE_NEAR_2_3,CFO_30_DEG,0.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
73,RATE_NEAR_2_3_CFO_30_DEG_0.5,1,RATE_NEAR_2_3,CFO_30_DEG,0.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
74,RATE_NEAR_2_3_CFO_30_DEG_1.0,2,RATE_NEAR_2_3,CFO_30_DEG,1.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
75,RATE_NEAR_2_3_CFO_30_DEG_1.5,3,RATE_NEAR_2_3,CFO_30_DEG,1.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
76,RATE_NEAR_2_3_CFO_30_DEG_2.0,0,RATE_NEAR_2_3,CFO_30_DEG,2.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
77,RATE_NEAR_2_3_CFO_30_DEG_2.5,1,RATE_NEAR_2_3,CFO_30_DEG,2.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
78,RATE_NEAR_2_3_CFO_30_DEG_3.0,2,RATE_NEAR_2_3,CFO_30_DEG,3.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
79,RATE_NEAR_2_3_CFO_30_DEG_3.5,3,RATE_NEAR_2_3,CFO_30_DEG,3.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
80,RATE_NEAR_2_3_CFO_30_DEG_4.0,0,RATE_NEAR_2_3,CFO_30_DEG,4.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
81,RATE_NEAR_2_3_CFO_30_DEG_4.5,1,RATE_NEAR_2_3,CFO_30_DEG,4.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
82,RATE_NEAR_2_3_CFO_30_DEG_5.0,2,RATE_NEAR_2_3,CFO_30_DEG,5.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
83,RATE_NEAR_2_3_CFO_30_DEG_5.5,3,RATE_NEAR_2_3,CFO_30_DEG,5.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
84,RATE_NEAR_2_3_CFO_30_DEG_6.0,0,RATE_NEAR_2_3,CFO_30_DEG,6.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
85,RATE_NEAR_2_3_CFO_30_DEG_6.5,1,RATE_NEAR_2_3,CFO_30_DEG,6.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
86,RATE_NEAR_2_3_CFO_30_DEG_7.0,2,RATE_NEAR_2_3,CFO_30_DEG,7.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
87,RATE_NEAR_2_3_CFO_30_DEG_7.5,3,RATE_NEAR_2_3,CFO_30_DEG,7.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
88,RATE_NEAR_2_3_CFO_30_DEG_8.0,0,RATE_NEAR_2_3,CFO_30_DEG,8.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
89,RATE_NEAR_2_3_CFO_30_DEG_8.5,1,RATE_NEAR_2_3,CFO_30_DEG,8.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
90,RATE_NEAR_2_3_CFO_30_DEG_9.0,2,RATE_NEAR_2_3,CFO_30_DEG,9.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
91,RATE_NEAR_2_3_CFO_30_DEG_9.5,3,RATE_NEAR_2_3,CFO_30_DEG,9.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
92,RATE_NEAR_2_3_CFO_30_DEG_10.0,0,RATE_NEAR_2_3,CFO_30_DEG,10.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
93,RATE_NEAR_2_3_LINEAR_TIME_VARYING_FREQUENCY_-5.0,1,RATE_NEAR_2_3,LINEAR_TIME_VARYING_FREQUENCY,-5.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
94,RATE_NEAR_2_3_LINEAR_TIME_VARYING_FREQUENCY_-4.5,2,RATE_NEAR_2_3,LINEAR_TIME_VARYING_FREQUENCY,-4.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
95,RATE_NEAR_2_3_LINEAR_TIME_VARYING_FREQUENCY_-4.0,3,RATE_NEAR_2_3,LINEAR_TIME_VARYING_FREQUENCY,-4.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
96,RATE_NEAR_2_3_LINEAR_TIME_VARYING_FREQUENCY_-3.5,0,RATE_NEAR_2_3,LINEAR_TIME_VARYING_FREQUENCY,-3.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
97,RATE_NEAR_2_3_LINEAR_TIME_VARYING_FREQUENCY_-3.0,1,RATE_NEAR_2_3,LINEAR_TIME_VARYING_FREQUENCY,-3.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
98,RATE_NEAR_2_3_LINEAR_TIME_VARYING_FREQUENCY_-2.5,2,RATE_NEAR_2_3,LINEAR_TIME_VARYING_FREQUENCY,-2.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
99,RATE_NEAR_2_3_LINEAR_TIME_VARYING_FREQUENCY_-2.0,3,RATE_NEAR_2_3,LINEAR_TIME_VARYING_FREQUENCY,-2.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
100,RATE_NEAR_2_3_LINEAR_TIME_VARYING_FREQUENCY_-1.5,0,RATE_NEAR_2_3,LINEAR_TIME_VARYING_FREQUENCY,-1.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
101,RATE_NEAR_2_3_LINEAR_TIME_VARYING_FREQUENCY_-1.0,1,RATE_NEAR_2_3,LINEAR_TIME_VARYING_FREQUENCY,-1.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
102,RATE_NEAR_2_3_LINEAR_TIME_VARYING_FREQUENCY_-0.5,2,RATE_NEAR_2_3,LINEAR_TIME_VARYING_FREQUENCY,-0.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
103,RATE_NEAR_2_3_LINEAR_TIME_VARYING_FREQUENCY_0.0,3,RATE_NEAR_2_3,LINEAR_TIME_VARYING_FREQUENCY,0.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
104,RATE_NEAR_2_3_LINEAR_TIME_VARYING_FREQUENCY_0.5,0,RATE_NEAR_2_3,LINEAR_TIME_VARYING_FREQUENCY,0.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
105,RATE_NEAR_2_3_LINEAR_TIME_VARYING_FREQUENCY_1.0,1,RATE_NEAR_2_3,LINEAR_TIME_VARYING_FREQUENCY,1.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
106,RATE_NEAR_2_3_LINEAR_TIME_VARYING_FREQUENCY_1.5,2,RATE_NEAR_2_3,LINEAR_TIME_VARYING_FREQUENCY,1.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
107,RATE_NEAR_2_3_LINEAR_TIME_VARYING_FREQUENCY_2.0,3,RATE_NEAR_2_3,LINEAR_TIME_VARYING_FREQUENCY,2.0,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
108,RATE_NEAR_2_3_LINEAR_TIME_VARYING_FREQUENCY_2.5,0,RATE_NEAR_2_3,LINEAR_TIME_VARYING_FREQUENCY,2.5,2,1000,200,50000,1000,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
