caseId,targetLength,actualLength,actualRate,Zc,fillerLength,rankHp,algorithm,alpha,snrDb,esN0Db,ebN0Db,sigmaSquared,frames,bitErrors,frameErrors,BER,FER,avgIterations,medianIterations,p95Iterations,maxUsedIterations,earlyStopRate,maxIterationRate,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,avgFinalSyndromeWeight,validCodewordRate,nanInfCount,edgeCount,checkNodeUpdates,variableNodeUpdates,messageUpdates,tanhOperations,atanhOperations,absOperations,comparisonOperations,min1Min2Updates,signOperations,alphaMultiplications,decoderMemoryBytes,payloadSeed,noiseSeed,noiseGroupId,frameStart,frameEnd,runId,alphaCalibrationFrameRange,smokeEvaluationFrameRange,stopReason,status
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.69999999999999996,-1,-1,1.0411998265592479,0.62946270589708364,300,8169,300,0.090766666666666662,1,32,32,32,32,0,1,222.76533333333339,199.25,342.39000000000004,589.39999999999998,10.113333333333333,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3865128,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.75,-1,-1,1.0411998265592479,0.62946270589708364,300,8187,300,0.090966666666666668,1,32,32,32,32,0,1,225.85266666666664,201,356.39500000000004,543.70000000000005,8.4666666666666668,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3866161,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.80000000000000004,-1,-1,1.0411998265592479,0.62946270589708364,300,8163,300,0.090700000000000003,1,32,32,32,32,0,1,226.74799999999993,201.44999999999999,341.31,850.29999999999995,6.8366666666666669,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3867823,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.84999999999999998,-1,-1,1.0411998265592479,0.62946270589708364,300,8215,300,0.091277777777777777,1,31.803333333333335,32,32,32,0.0066666666666666671,0.99333333333333329,230.59266666666667,201.30000000000001,358.38000000000011,617.70000000000005,5.1566666666666663,0.0066666666666666671,0,672,915936,6411552,6411552,0,0,6411552,12823104,3847978,6411552,6411552,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.90000000000000002,-1,-1,1.0411998265592479,0.62946270589708364,300,8277,300,0.091966666666666669,1,31.420000000000002,32,32,32,0.02,0.97999999999999998,234.52933333333348,202.90000000000001,360.53000000000014,1132.2,3.6633333333333336,0.02,0,672,904896,6334272,6334272,0,0,6334272,12668544,3804501,6334272,6334272,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.94999999999999996,-1,-1,1.0411998265592479,0.62946270589708364,300,8343,300,0.092700000000000005,1,25.59,32,32,32,0.22,0.78000000000000003,190.47500000000002,199.44999999999999,352.26499999999999,1037.0999999999999,1.9266666666666667,0.22,0,672,736992,5158944,5158944,0,0,5158944,10317888,3099999,5158944,5158944,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,1,-1,-1,1.0411998265592479,0.62946270589708364,300,8492,300,0.094355555555555554,1,3.0966666666666667,3,5,8,1,0,27.474000000000004,23.5,47.305,182.40000000000001,0,1,0,672,89184,624288,624288,0,0,624288,1248576,375892,624288,624288,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0,-0.5,-0.5,1.5411998265592479,0.56100922715098167,300,6595,300,0.073277777777777775,1,32,32,32,32,0,1,1164.7360000000008,1045.8000000000002,1726.75,2558.5999999999999,10.786666666666667,0,0,672,921600,6451200,6451200,12902400,6451200,0,0,0,0,0,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.59999999999999998,-0.5,-0.5,1.5411998265592479,0.56100922715098167,300,6735,300,0.074833333333333335,1,32,32,32,32,0,1,263.62733333333341,220.84999999999999,394.49500000000006,2128,11.993333333333334,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3866999,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.65000000000000002,-0.5,-0.5,1.5411998265592479,0.56100922715098167,300,6733,300,0.074811111111111106,1,32,32,32,32,0,1,242.64566666666676,207.59999999999999,359.55500000000001,556.89999999999998,10.353333333333333,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3868799,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.69999999999999996,-0.5,-0.5,1.5411998265592479,0.56100922715098167,300,6692,300,0.07435555555555555,1,32,32,32,32,0,1,242.41733333333337,207.94999999999999,360.08500000000004,723.60000000000002,8.6333333333333329,0,0,672,921600,6451200,6451200,0,0,6451200,12902400,3871035,6451200,6451200,9696,2026072001,2026968361,480,40000,40299,1212001,,40000:40299,MAX_FRAMES_REACHED,PASS
