channelType,profileId,caseName,snrDb,avgDecodeTimeUs,avgTotalReceiverTimeUs,avgPreprocessingTimeUs,medianPreprocessingTimeUs,p95PreprocessingTimeUs,p99PreprocessingTimeUs,medianReceiverTimeUs,p95ReceiverTimeUs,p99ReceiverTimeUs,timingSemantics
AWGN,AWGN,BCH-S300,5.93871964321762,28.94747999999991,28.94747999999991,0.0,0.0,0.0,0.0,24,40,154.10600000000011,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-S300,6.13871964321762,28.94747999999991,28.94747999999991,0.0,0.0,0.0,0.0,24,40,154.10600000000011,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-S300,6.33871964321762,28.94747999999991,28.94747999999991,0.0,0.0,0.0,0.0,24,40,154.10600000000011,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-S300,6.53871964321762,28.94747999999991,28.94747999999991,0.0,0.0,0.0,0.0,24,40,154.10600000000011,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-S300,6.738719643217619,28.94747999999991,28.94747999999991,0.0,0.0,0.0,0.0,24,40,154.10600000000011,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-S300,6.93871964321762,28.94747999999991,28.94747999999991,0.0,0.0,0.0,0.0,24,40,154.10600000000011,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-S300,7.13871964321762,28.94747999999991,28.94747999999991,0.0,0.0,0.0,0.0,24,40,154.10600000000011,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-S300,7.338719643217621,28.94747999999991,28.94747999999991,0.0,0.0,0.0,0.0,24,40,154.10600000000011,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
AWGN,AWGN,BCH-S300,7.53871964321762,28.94747999999991,28.94747999999991,0.0,0.0,0.0,0.0,24,40,154.10600000000011,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,6.4618513565547095,15.779380000000002,30.536640000000094,8.4771199999998892,7.7999999999999998,9.4000000000000004,13.5,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,6.661851356554709,16.932439999999957,32.618019999999866,8.8177799999999067,7.9000000000000004,9.8000000000000007,14.730000000000654,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,6.86185135655471,23.332440000000013,42.239359999999941,10.254980000000021,8.8000000000000007,12.699999999999999,38.417000000000364,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,7.061851356554709,22.428720000000087,41.379000000000005,10.12489999999992,8.9000000000000004,12.300000000000001,27.412000000000262,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,7.26185135655471,16.64447999999997,31.858459999999894,8.6405399999999428,7.7999999999999998,9.5,19.103000000000065,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,7.4618513565547095,19.654659999999982,36.970659999999995,9.338679999999945,8.5999999999999996,12.1,22.701000000000018,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,7.661851356554709,17.522679999999983,33.791620000000044,9.1958599999999073,8,10,24.706000000000127,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,7.86185135655471,22.885420000000011,41.065320000000028,9.8812199999998818,8.8000000000000007,12.4,38.912000000000255,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,8.061851356554708,16.507180000000009,31.980420000000077,8.8934599999999442,7.7999999999999998,9.5,13.501000000000023,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,8.261851356554711,16.327759999999941,31.331359999999997,8.6404399999999484,7.7999999999999998,9.4000000000000004,14.907000000000155,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,8.46185135655471,15.19540000000003,30.145660000000039,8.7173799999997765,7.7999999999999998,9.4000000000000004,13.10100000000002,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,8.66185135655471,16.771739999999973,32.340119999999899,8.99963999999982,7.7999999999999998,9.5999999999999996,24.307000000000155,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,8.861851356554709,20.050620000000027,37.735679999999945,9.8442999999999348,8.5999999999999996,12.005000000000019,31.101000000000024,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,9.061851356554708,14.620860000000018,29.201999999999995,8.6151799999998921,7.7999999999999998,9.3000000000000007,15.714000000000306,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,9.261851356554711,16.044099999999982,31.174519999999962,8.5836199999998861,7.7999999999999998,9.5999999999999996,13.302000000000044,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,9.46185135655471,14.219100000000006,28.443600000000018,8.427759999999914,7.7999999999999998,9.3000000000000007,13.4,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,9.66185135655471,19.492759999999983,36.849739999999912,9.3924599999999732,8.5,12.199999999999999,31.217000000000368,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,9.861851356554709,15.252600000000072,30.12748000000007,8.5706399999998979,7.7999999999999998,9.5,13.502000000000043,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,10.061851356554708,13.428619999999992,27.28840000000001,8.1738199999999068,7.7000000000000002,9.1999999999999993,12.802000000000044,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,10.261851356554711,16.220140000000008,32.031160000000021,8.993699999999885,7.9000000000000004,9.5999999999999996,13.6,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,10.46185135655471,14.551039999999961,28.559379999999976,8.2218799999998495,7.7999999999999998,9.1999999999999993,11.5,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,10.66185135655471,14.664856388247008,29.266573126444481,8.5626114229117007,7.7999999999999998,9.3000000000000007,13.543000000000028,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,10.861851356554709,17.30984002414737,33.546257168729142,9.0795955327495435,7.9000000000000004,9.8000000000000007,26.049999999999997,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,11.061851356554708,13.952040429564113,28.105281111813049,8.3191661402396271,7.7000000000000002,9.1999999999999993,15.5579999999999,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,11.261851356554711,13.04754896880508,26.707327184164154,8.156513628354805,7.7000000000000002,9.0999999999999996,11.756000000000132,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
MULTIPATH_MMSE,MULTIPATH_MMSE,BCH-S200,11.46185135655471,14.280162908512954,28.547998410648582,8.4030297010028452,7.7000000000000002,9.3000000000000007,13.334000000000014,,,,LEGACY_AVERAGE_ONLY_QUANTILES_UNAVAILABLE
