caseName,burstMode,sourcePayloadEbN0Db,burstStartPolicy,targetFER,parameter,maximumToleratedParameter,lowerBound,upperBound,numberOfCrossings,firstCrossing,lastCrossing,method,status
BCH-B200,PURE,0,FRAME_END,0.1,burstLength,,48.0,64.0,1,48.0..64.0,48.0..64.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,PURE,0,FRAME_END,0.01,burstLength,,48.0,64.0,1,48.0..64.0,48.0..64.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,PURE,0,FRAME_START,0.5,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,PURE,0,FRAME_START,0.1,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,PURE,0,FRAME_START,0.01,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,PURE,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.5,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,PURE,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.1,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,PURE,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.01,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,PURE,0,ON_SEGMENT_BOUNDARY,0.5,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,PURE,0,ON_SEGMENT_BOUNDARY,0.1,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,PURE,0,ON_SEGMENT_BOUNDARY,0.01,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,PURE,0,SEGMENT_INTERIOR,0.5,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,PURE,0,SEGMENT_INTERIOR,0.1,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,PURE,0,SEGMENT_INTERIOR,0.01,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,PURE,0,UNIFORM_RANDOM,0.5,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,PURE,0,UNIFORM_RANDOM,0.1,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,PURE,0,UNIFORM_RANDOM,0.01,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.2000000000000002,FRAME_END,0.5,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.2000000000000002,FRAME_END,0.1,burstLength,,3.0,4.0,1,3.0..4.0,3.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.2000000000000002,FRAME_END,0.01,burstLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B300,AWGN,5.2000000000000002,FRAME_START,0.5,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.2000000000000002,FRAME_START,0.1,burstLength,,3.0,4.0,1,3.0..4.0,3.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.2000000000000002,FRAME_START,0.01,burstLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B300,AWGN,5.2000000000000002,ONE_BEFORE_SEGMENT_BOUNDARY,0.5,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.2000000000000002,ONE_BEFORE_SEGMENT_BOUNDARY,0.1,burstLength,,3.0,4.0,1,3.0..4.0,3.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.2000000000000002,ONE_BEFORE_SEGMENT_BOUNDARY,0.01,burstLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B300,AWGN,5.2000000000000002,ON_SEGMENT_BOUNDARY,0.5,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.2000000000000002,ON_SEGMENT_BOUNDARY,0.1,burstLength,,3.0,4.0,1,3.0..4.0,3.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.2000000000000002,ON_SEGMENT_BOUNDARY,0.01,burstLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B300,AWGN,5.2000000000000002,SEGMENT_INTERIOR,0.5,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.2000000000000002,SEGMENT_INTERIOR,0.1,burstLength,,3.0,4.0,1,3.0..4.0,3.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.2000000000000002,SEGMENT_INTERIOR,0.01,burstLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B300,AWGN,5.2000000000000002,UNIFORM_RANDOM,0.5,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.2000000000000002,UNIFORM_RANDOM,0.1,burstLength,,3.0,4.0,1,3.0..4.0,3.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.2000000000000002,UNIFORM_RANDOM,0.01,burstLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B300,AWGN,5.5,FRAME_END,0.5,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.5,FRAME_END,0.1,burstLength,,4.0,5.0,1,4.0..5.0,4.0..5.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.5,FRAME_END,0.01,burstLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.5,FRAME_START,0.5,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.5,FRAME_START,0.1,burstLength,,4.0,5.0,1,4.0..5.0,4.0..5.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.5,FRAME_START,0.01,burstLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.5,ONE_BEFORE_SEGMENT_BOUNDARY,0.5,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.5,ONE_BEFORE_SEGMENT_BOUNDARY,0.1,burstLength,,4.0,5.0,1,4.0..5.0,4.0..5.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.5,ONE_BEFORE_SEGMENT_BOUNDARY,0.01,burstLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.5,ON_SEGMENT_BOUNDARY,0.5,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.5,ON_SEGMENT_BOUNDARY,0.1,burstLength,,4.0,5.0,1,4.0..5.0,4.0..5.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.5,ON_SEGMENT_BOUNDARY,0.01,burstLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.5,SEGMENT_INTERIOR,0.5,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.5,SEGMENT_INTERIOR,0.1,burstLength,,4.0,5.0,1,4.0..5.0,4.0..5.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.5,SEGMENT_INTERIOR,0.01,burstLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.5,UNIFORM_RANDOM,0.5,burstLength,,6.0,7.0,1,6.0..7.0,6.0..7.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.5,UNIFORM_RANDOM,0.1,burstLength,,4.0,5.0,1,4.0..5.0,4.0..5.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,AWGN,5.5,UNIFORM_RANDOM,0.01,burstLength,,1.0,2.0,1,1.0..2.0,1.0..2.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,PURE,0,FRAME_END,0.5,burstLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-B300,PURE,0,FRAME_END,0.1,burstLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
BCH-B300,PURE,0,FRAME_END,0.01,burstLength,,64.0,,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,LOWER_BOUND_AT_TEST_LIMIT
