figureName,caseId,seriesLabel,payloadGroup,codeType,configuration,configurationId,snrIndex,snr,derivedEbN0Db,actualRate,ber,fer,payloadErrorBits,payloadBitsProcessed,payloadErrorFrames,framesProcessed,sourceBer,sourceFer,plotMetric,plotValue,zeroRemovedForPublication
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,24,12,13.53814864344529,0.70175438596491224,0.042174999999999997,0.99299999999999999,8435,200000,993,1000,0.042174999999999997,0.99299999999999999,FER,0.99299999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,25,12.5,14.03814864344529,0.70175438596491224,0.041869999999999997,0.99099999999999999,8374,200000,991,1000,0.041869999999999997,0.99099999999999999,FER,0.99099999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,26,13,14.53814864344529,0.70175438596491224,0.042009999999999999,0.99099999999999999,8402,200000,991,1000,0.042009999999999999,0.99099999999999999,FER,0.99099999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,27,13.5,15.03814864344529,0.70175438596491224,0.04172,0.99099999999999999,8344,200000,991,1000,0.04172,0.99099999999999999,FER,0.99099999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,28,14,15.53814864344529,0.70175438596491224,0.041614999999999999,0.99099999999999999,8323,200000,991,1000,0.041614999999999999,0.99099999999999999,FER,0.99099999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,29,14.5,16.03814864344529,0.70175438596491224,0.041880000000000001,0.98899999999999999,8376,200000,989,1000,0.041880000000000001,0.98899999999999999,FER,0.98899999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,30,15,16.53814864344529,0.70175438596491224,0.041669999999999999,0.996,8334,200000,996,1000,0.041669999999999999,0.996,FER,0.996,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,31,15.5,17.03814864344529,0.70175438596491224,0.041880000000000001,0.99099999999999999,8376,200000,991,1000,0.041880000000000001,0.99099999999999999,FER,0.99099999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,32,16,17.53814864344529,0.70175438596491224,0.042235000000000002,0.98999999999999999,8447,200000,990,1000,0.042235000000000002,0.98999999999999999,FER,0.98999999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,33,16.5,18.03814864344529,0.70175438596491224,0.042099999999999999,0.99399999999999999,8420,200000,994,1000,0.042099999999999999,0.99399999999999999,FER,0.99399999999999999,false
