phase,caseId,snrDb,ebN0Db,actualRate,sigmaSquared,N_transmitted,framesProcessed,payloadBitErrors,payloadErrorFrames,BER,FER,payloadSuccessRate,avgEncodeTime_us,maxEncodeTime_us,avgDecodeTime_us,p95DecodeTime_us,maxDecodeTime_us,rawDecodeThroughput_Mbps,successfulDecodeThroughput_Mbps,normalizedGoodput,stopReason
smoke,CC-B-R12-H,3,6.0963016742589877,0.49019607843137253,0.25059361681363618,612,60,0,0,0,0,1,6.7816666666666654,45.100000000000001,352.23499999999984,648.5,765.70000000000005,0.85170411798941081,0.85170411798941081,0.49019607843137253,TARGET_ERRORS_REACHED
smoke,CC-B-R12-S,3,6.0963016742589877,0.49019607843137253,0.25059361681363618,612,60,0,0,0,0,1,6.7816666666666654,45.100000000000001,411.46666666666658,577.89999999999998,996.39999999999998,0.7290991574854182,0.7290991574854182,0.49019607843137253,TARGET_ERRORS_REACHED
smoke,CC-B-R12-H,4,7.0963016742589877,0.49019607843137253,0.19905358527674863,612,60,0,0,0,0,1,10.283333333333335,256.89999999999998,322.73333333333329,735.70000000000005,884.89999999999998,0.92956000826275575,0.92956000826275575,0.49019607843137253,TARGET_ERRORS_REACHED
smoke,CC-B-R12-S,4,7.0963016742589877,0.49019607843137253,0.19905358527674863,612,60,0,0,0,0,1,10.283333333333335,256.89999999999998,409.06333333333339,804.10000000000002,1090.5999999999999,0.73338276876441288,0.73338276876441288,0.49019607843137253,TARGET_ERRORS_REACHED
smoke,CC-B-R23-H,-2,-0.15308569182401222,0.65359477124183007,0.79244659623055669,459,60,7567,60,0.42038888888888887,1,0,5.3849999999999989,6.2000000000000002,327.98166666666663,465.10000000000002,1220.8,0.91468527204264483,0,0,TARGET_ERRORS_REACHED
smoke,CC-B-R23-S,-2,-0.15308569182401222,0.65359477124183007,0.79244659623055669,459,60,5693,60,0.31627777777777777,1,0,5.3849999999999989,6.2000000000000002,411.11833333333328,659.10000000000002,836.10000000000002,0.72971691037860154,0,0,TARGET_ERRORS_REACHED
smoke,CC-B-R23-H,-1,0.84691430817598778,0.65359477124183007,0.62946270589708364,459,60,6306,60,0.35033333333333333,1,0,6.7666666666666657,86.700000000000003,327.55833333333328,557.89999999999998,923.20000000000005,0.91586740275269052,0,0,TARGET_ERRORS_REACHED
smoke,CC-B-R23-S,-1,0.84691430817598778,0.65359477124183007,0.62946270589708364,459,60,3058,59,0.16988888888888889,0.98333333333333328,0.016666666666666718,6.7666666666666657,86.700000000000003,429.5866666666667,671.39999999999998,1051,0.69834569663862933,0.011639094943977192,0.010893246187363868,TARGET_ERRORS_REACHED
smoke,CC-B-R23-H,0,1.8469143081759878,0.65359477124183007,0.5,459,60,3597,60,0.19983333333333334,1,0,5.8599999999999985,28.199999999999999,324.15833333333325,437,633.70000000000005,0.92547366256201979,0,0,TARGET_ERRORS_REACHED
smoke,CC-B-R23-S,0,1.8469143081759878,0.65359477124183007,0.5,459,60,755,32,0.041944444444444444,0.53333333333333333,0.46666666666666667,5.8599999999999985,28.199999999999999,435.80666666666673,820.79999999999995,973.79999999999995,0.68837863884597139,0.32124336479478666,0.30501089324618735,TARGET_ERRORS_REACHED
