organization,rateCase,snrDb,relativeOffset,bitErrors,bits,BER,berCiLow,berCiHigh,gridLayer,decisionMode
B_CONT_50x6,R12,-1.5,9,74,5000,0.0148,0.0118061,0.0185389,coarse,Soft Float
C_CONT_100x3,R12,-1.5,-10,44,2000,0.022,0.0164289,0.0294038,coarse,Soft Float
C_CONT_100x3,R12,-1.5,-9,27,2000,0.0135,0.00929449,0.0195708,coarse,Soft Float
C_CONT_100x3,R12,-1.5,-8,25,2000,0.0125,0.00848108,0.018388,coarse,Soft Float
C_CONT_100x3,R12,-1.5,-7,33,2000,0.0165,0.0117728,0.023081,coarse,Soft Float
C_CONT_100x3,R12,-1.5,-6,42,2000,0.021,0.0155735,0.028263,coarse,Soft Float
C_CONT_100x3,R12,-1.5,-5,38,2000,0.019,0.0138738,0.0259704,coarse,Soft Float
C_CONT_100x3,R12,-1.5,-4,29,2000,0.0145,0.0101147,0.0207468,coarse,Soft Float
C_CONT_100x3,R12,-1.5,-3,33,2000,0.0165,0.0117728,0.023081,coarse,Soft Float
C_CONT_100x3,R12,-1.5,-2,35,2000,0.0175,0.0126098,0.0242402,coarse,Soft Float
C_CONT_100x3,R12,-1.5,-1,44,2000,0.022,0.0164289,0.0294038,coarse,Soft Float
C_CONT_100x3,R12,-1.5,0,32,2000,0.016,0.0113562,0.0224995,coarse,Soft Float
C_CONT_100x3,R12,-1.5,1,35,2000,0.0175,0.0126098,0.0242402,coarse,Soft Float
C_CONT_100x3,R12,-1.5,2,37,2000,0.0185,0.0134513,0.0253948,coarse,Soft Float
C_CONT_100x3,R12,-1.5,3,34,2000,0.017,0.0121907,0.0236612,coarse,Soft Float
C_CONT_100x3,R12,-1.5,4,31,2000,0.0155,0.010941,0.0219166,coarse,Soft Float
C_CONT_100x3,R12,-1.5,5,33,2000,0.0165,0.0117728,0.023081,coarse,Soft Float
C_CONT_100x3,R12,-1.5,6,30,2000,0.015,0.0105271,0.0213324,coarse,Soft Float
C_CONT_100x3,R12,-1.5,7,22,2000,0.011,0.00727543,0.0165994,coarse,Soft Float
C_CONT_100x3,R12,-1.5,8,36,2000,0.018,0.01303,0.024818,coarse,Soft Float
C_CONT_100x3,R12,-1.5,9,32,2000,0.016,0.0113562,0.0224995,coarse,Soft Float
D_CONT_150x2,R12,-1.5,-10,13,1000,0.013,0.00761282,0.0221144,coarse,Soft Float
D_CONT_150x2,R12,-1.5,-9,16,1000,0.016,0.00987224,0.0258321,coarse,Soft Float
D_CONT_150x2,R12,-1.5,-8,14,1000,0.014,0.00835758,0.023362,coarse,Soft Float
D_CONT_150x2,R12,-1.5,-7,16,1000,0.016,0.00987224,0.0258321,coarse,Soft Float
D_CONT_150x2,R12,-1.5,-6,21,1000,0.021,0.0137757,0.0318903,coarse,Soft Float
D_CONT_150x2,R12,-1.5,-5,12,1000,0.012,0.00687765,0.0208573,coarse,Soft Float
D_CONT_150x2,R12,-1.5,-4,17,1000,0.017,0.0106407,0.027056,coarse,Soft Float
D_CONT_150x2,R12,-1.5,-3,18,1000,0.018,0.0114157,0.0282733,coarse,Soft Float
D_CONT_150x2,R12,-1.5,-2,16,1000,0.016,0.00987224,0.0258321,coarse,Soft Float
