organization,rateCase,decisionMode,windowBits,slideBits,dtb,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,slotBits,slotCount,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,boundaryBER,nonBoundaryBER,boundaryToNonBoundaryRatio,firstOutputDelaySymbols,avgDecisionDelaySymbols,medianDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameLastDecisionSymbol,steadyOutputIntervalMean,steadyOutputIntervalP95,outputBatchCount,slotTriggerCount,windowTriggerCount,peakRxBufferSymbols,avgRxBufferSymbols,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,timingBatchCount,normalizedGoodput,transmittedBits,totalMemoryBytes,ACSCount,tracebackOperations,schemeExecutionDigest,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,boundaryStatus,gridLayer,stopReason
A_BLOCK_300,R12,Hard,306,300,306,-2.5,-2.5,0.5963016742589877,0.4901960784313725,0.8891397050194613,300,1,1000,91637,1000,0.3054566666666666,1.0,0.303810958695774,0.3071073567751226,0.9961732415144448,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,303.9782999999999,303.0,408.3,992.4,5,0.0,612,59776,39168000,306000,9450510713562636091,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
B_CONT_50x6,R12,Hard,128,25,70,-2.5,-2.5,0.5963016742589877,0.4901960784313725,0.8891397050194613,50,6,1000,91631,1000,0.3054366666666666,1.0,0.3037909891810784,0.3070873268020062,0.9961732415144448,1.0,0.32625999999999999,0.29502499999999998,1.1058723836962969,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1370.2880999999986,1393.6,1733.8,2666.8,5,0.0,612,26112,143998000,866000,5485007781413027035,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
C_CONT_100x3,R12,Hard,128,25,70,-2.5,-2.5,0.5963016742589877,0.4901960784313725,0.8891397050194613,100,3,1000,91631,1000,0.3054366666666666,1.0,0.3037909891810784,0.3070873268020062,0.9961732415144448,1.0,0.32492500000000002,0.30243846153846154,1.0743507897347204,398,258.0,280,430,460,611,212.0,212,9,2,9,462,354.0,1368.024299999999,1381.4,1758.0,9170.1,5,0.0,612,26112,143998000,866000,4706013249362863171,2026072001,2026072904,0-999,CC-O-R12-C_CONT_100x3,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
D_CONT_150x2,R12,Hard,128,25,70,-2.5,-2.5,0.5963016742589877,0.4901960784313725,0.8891397050194613,150,2,1000,91631,1000,0.3054366666666666,1.0,0.3037909891810784,0.3070873268020062,0.9961732415144448,1.0,0.33050000000000002,0.30364642857142859,1.0884369743945612,298,285.0,280,530,560,611,312.0,312,9,2,9,562,431.0,1366.6330000000007,1381.8,1759.7,3141.8,5,0.0,612,26112,143998000,866000,152492224671326351,2026072001,2026072904,0-999,CC-O-R12-D_CONT_150x2,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
A_BLOCK_300,R12,Hard,306,300,306,-2.0,-2.0,1.0963016742589875,0.4901960784313725,0.7924465962305566,300,1,1000,71343,999,0.2378099999999999,0.999,0.236289892487916,0.2393368220400265,0.994357441402042,0.9998234536293737,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,308.83729999999963,303.7,428.3,1659.0,5,0.0004901960784313,612,59776,39168000,306000,9450510713562636091,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
B_CONT_50x6,R12,Hard,128,25,70,-2.0,-2.0,1.0963016742589875,0.4901960784313725,0.7924465962305566,50,6,1000,71393,999,0.2379766666666666,0.999,0.2364561899022955,0.2395038536907475,0.994357441402042,0.9998234536293737,0.25479000000000002,0.22957,1.1098575597856863,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1386.3848000000005,1402.6,1754.5,4657.2,5,0.0004901960784313,612,26112,143998000,866000,5485007781413027035,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
C_CONT_100x3,R12,Hard,128,25,70,-2.0,-2.0,1.0963016742589875,0.4901960784313725,0.7924465962305566,100,3,1000,71393,999,0.2379766666666666,0.999,0.2364561899022955,0.2395038536907475,0.994357441402042,0.9998234536293737,0.25322499999999998,0.23563076923076923,1.0746686471663618,398,258.0,280,430,460,611,212.0,212,9,2,9,462,354.0,1374.5176000000004,1392.5,1821.1,3091.7,5,0.0004901960784313,612,26112,143998000,866000,4706013249362863171,2026072001,2026072904,0-999,CC-O-R12-C_CONT_100x3,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
D_CONT_150x2,R12,Hard,128,25,70,-2.0,-2.0,1.0963016742589875,0.4901960784313725,0.7924465962305566,150,2,1000,71393,999,0.2379766666666666,0.999,0.2364561899022955,0.2395038536907475,0.994357441402042,0.9998234536293737,0.25840000000000002,0.23651785714285714,1.0925179312948283,298,285.0,280,530,560,611,312.0,312,9,2,9,562,431.0,1362.7497000000008,1390.2,1693.9,3049.3,5,0.0004901960784313,612,26112,143998000,866000,152492224671326351,2026072001,2026072904,0-999,CC-O-R12-D_CONT_150x2,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
A_BLOCK_300,R12,Hard,306,300,306,-1.5,-1.5,1.5963016742589875,0.4901960784313725,0.7062687723113771,300,1,1000,50083,989,0.1669433333333333,0.989,0.1656131283356291,0.1682820677116196,0.9804106042992136,0.9938468259019134,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,306.3205000000001,304.5,398.4,1639.4,5,0.0053921568627451,612,59776,39168000,306000,9450510713562636091,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
B_CONT_50x6,R12,Hard,128,25,70,-1.5,-1.5,1.5963016742589875,0.4901960784313725,0.7062687723113771,50,6,1000,50097,990,0.16699,0.99,0.1656596452883765,0.1683288828971003,0.9816905311296852,0.9945592455544708,0.18034,0.16031500000000001,1.1249103327823347,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1407.9878000000008,1410.4,1840.8,5111.4,5,0.0049019607843137,612,26112,143998000,866000,5485007781413027035,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
