stage,mode,caseName,payloadLength,encodedLength,organization,correctionCapabilityT,burstLength,relativeStartInSubblock,interleaverMode,payloadCount,legalStartCountPerPayload,totalPatterns,processedFrames,processedBits,bitErrors,frameErrors,BER,FER,trueSuccessRate,reportedSuccessRate,decoderFailureRate,miscorrectionRate,explicitFailureWithWrongPayloadPatterns,averageTouchedSubblocks,averageMaximumSubblockErrorWeight,fractionAllSubblocksWithinGuaranteedRegion,averageSubblocksWithOneError,averageSubblocksWithMoreThanOneError,minimumFailingStart,maximumSuccessfulStart,allStartsGuaranteedCorrect,theoreticalGuaranteedRegion,ferWilson95Low,ferWilson95High,masterSeed,caseSeed,lengthSeed,randomStartSeed,stopReason,runtimeSeconds,configHash,permutationHash,inversePermutationHash,errorWeightConserved,pairedFrameCount,overCapabilityFrameFraction,plotStatus
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,20,,NONE,5000,266,5000,5000,1000000,71695,5000,0.071694999999999995,1,0,1,0,1,0,2.2423999999999999,13.297599999999999,0,0.12,2.1223999999999998,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,4505438467468810773,4505438467468810773,PAIRED_TARGET_FRAME_ERRORS,0.053128149999999999,b06607f9a9f0404e,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,1.0,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,21,,NONE,5000,265,5000,5000,1000000,75394,5000,0.075394000000000003,1,0,1,0,1,0,2.3201999999999998,13.657,0,0.13400000000000001,2.1861999999999999,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,16685222875482826997,16685222875482826997,PAIRED_TARGET_FRAME_ERRORS,0.052231050000000001,c6c4ff50e29fded7,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,1.0,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,22,,NONE,5000,264,5000,5000,1000000,79180,5000,0.07918,1,0,1,0,1,0,2.3866000000000001,13.919,0,0.13159999999999999,2.2549999999999999,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,12788309044484753256,12788309044484753256,PAIRED_TARGET_FRAME_ERRORS,0.05281665,2be90e66446f5564,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,1.0,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,23,,NONE,5000,263,5000,5000,1000000,83015,5000,0.083015000000000005,1,0,1,0,1,0,2.4554,14.1816,0,0.12520000000000001,2.3302,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,13740447012808603300,13740447012808603300,PAIRED_TARGET_FRAME_ERRORS,0.053234450000000003,ec01134e055bb335,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,1.0,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,24,,NONE,5000,262,5000,5000,1000000,86617,5000,0.086617,1,0,1,0,1,0,2.5102000000000002,14.3454,0,0.12920000000000001,2.3809999999999998,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,13570371751912539011,13570371751912539011,PAIRED_TARGET_FRAME_ERRORS,0.054622499999999997,7bd595607fbbc23b,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,1.0,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,25,,NONE,5000,261,5000,5000,1000000,90190,5000,0.090190000000000006,1,0,1,0,1,0,2.5817999999999999,14.579800000000001,0,0.1202,2.4615999999999998,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,6210781106370100180,6210781106370100180,PAIRED_TARGET_FRAME_ERRORS,0.054611350000000003,022f9f961e69d706,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,1.0,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,26,,NONE,5000,260,5000,5000,1000000,93885,5000,0.093884999999999996,1,0,1,0,1,0,2.6522000000000001,14.715999999999999,0,0.1298,2.5224000000000002,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,4458853196323289160,4458853196323289160,PAIRED_TARGET_FRAME_ERRORS,0.057160599999999999,538a12882af7d354,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,1.0,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,27,,NONE,5000,259,5000,5000,1000000,97736,5000,0.097736000000000003,1,0,1,0,1,0,2.7307999999999999,14.863799999999999,0,0.1356,2.5952000000000002,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,17364629354612930581,17364629354612930581,PAIRED_TARGET_FRAME_ERRORS,0.055748350000000002,408f14e566e3abd7,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,1.0,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,28,,NONE,5000,258,5000,5000,1000000,101197,5000,0.101197,1,0,1,0,1,0,2.7869999999999999,14.937799999999999,0,0.12759999999999999,2.6594000000000002,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,2441686258686618187,2441686258686618187,PAIRED_TARGET_FRAME_ERRORS,0.055265000000000002,28722973e08797c9,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,1.0,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,29,,NONE,5000,257,5000,5000,1000000,104756,5000,0.104756,1,0,1,0,1,0,2.867,15,0,0.1366,2.7303999999999999,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,18067399469375152267,18067399469375152267,PAIRED_TARGET_FRAME_ERRORS,0.054815000000000003,4700495e1b32f21c,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,1.0,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,30,,NONE,5000,256,5000,5000,1000000,108626,5000,0.108626,1,0,1,0,1,0,2.9256000000000002,15,0,0.1338,2.7917999999999998,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,7734322170232722805,7734322170232722805,PAIRED_TARGET_FRAME_ERRORS,0.057555450000000001,ae8db48a17d9caeb,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,1.0,PLOTTED
