channelType,profileId,caseName,payloadGroup,payloadLength,encodedLength,frameRate,sourcePayloadEbN0Db,snrDb,processedFrames,decodedBitErrors,decodedFrameErrors,BER,FER,trueSuccessRate,miscorrectionRate,decoderFailureRate,channelHardBER,avgDecodeTimeUs,avgPreprocessingTimeUs,medianPreprocessingTimeUs,p95PreprocessingTimeUs,p99PreprocessingTimeUs,avgTotalReceiverTimeUs,medianReceiverTimeUs,p95ReceiverTimeUs,p99ReceiverTimeUs,timingSemantics,xSemantic,bandwidthConvention,plotStatus
BLOCKAGE_H,BLOCKAGE_H,BCH-S300,300,300,420,0.7142857142857143,7.8,6.33871964321762,5000,47497,5000,0.031664666666666667,1,0,1,0,0.030755714285714286,21.174840000000028,34.1961599999999,31.700000000000003,39.105000000000025,69.813000000000272,55.371000000000073,49.299999999999997,70.305000000000007,128.60700000000014,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_H,BLOCKAGE_H,BCH-S300,300,300,420,0.7142857142857143,8.0,6.53871964321762,5000,47410,5000,0.031606666666666665,1,0,1,0,0.030397619047619048,21.174840000000028,34.1961599999999,31.700000000000003,39.105000000000025,69.813000000000272,55.371000000000073,49.299999999999997,70.305000000000007,128.60700000000014,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_H,BLOCKAGE_H,BCH-S300,300,300,420,0.7142857142857143,8.2,6.738719643217619,5000,47262,5000,0.031508000000000001,1,0,1,0,0.030013809523809522,21.174840000000028,34.1961599999999,31.700000000000003,39.105000000000025,69.813000000000272,55.371000000000073,49.299999999999997,70.305000000000007,128.60700000000014,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_H,BLOCKAGE_H,BCH-S300,300,300,420,0.7142857142857143,8.4,6.93871964321762,5000,46514,5000,0.031009333333333333,1,0,1,0,0.029342380952380953,21.174840000000028,34.1961599999999,31.700000000000003,39.105000000000025,69.813000000000272,55.371000000000073,49.299999999999997,70.305000000000007,128.60700000000014,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_H,BLOCKAGE_H,BCH-S300,300,300,420,0.7142857142857143,8.6,7.13871964321762,5000,46706,5000,0.031137333333333333,1,0,1,0,0.02920952380952381,21.174840000000028,34.1961599999999,31.700000000000003,39.105000000000025,69.813000000000272,55.371000000000073,49.299999999999997,70.305000000000007,128.60700000000014,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_H,BLOCKAGE_H,BCH-S300,300,300,420,0.7142857142857143,8.8,7.338719643217621,5000,45915,4997,0.030609999999999998,0.99939999999999996,0.00059999999999999995,0.99939999999999996,0,0.028677142857142856,21.174840000000028,34.1961599999999,31.700000000000003,39.105000000000025,69.813000000000272,55.371000000000073,49.299999999999997,70.305000000000007,128.60700000000014,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_M,BLOCKAGE_M,BCH-B300,300,300,390,0.76923076923076927,3.6,2.460566476931633,5000,61289,4754,0.040859333333333331,0.95079999999999998,0.049200000000000001,0,0.95079999999999998,0.042059487179487182,87.684140000000227,32.637980000000056,29.899999999999984,37.699999999999989,78.315000000000339,120.32212000000011,114.40000000000001,162.69999999999999,274.4130000000003,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_M,BLOCKAGE_M,BCH-B300,300,300,390,0.76923076923076927,3.8,2.660566476931632,5000,55036,4516,0.03669066666666667,0.9032,0.096799999999999997,0,0.9032,0.039004102564102562,87.684140000000227,32.637980000000056,29.899999999999984,37.699999999999989,78.315000000000339,120.32212000000011,114.40000000000001,162.69999999999999,274.4130000000003,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_M,BLOCKAGE_M,BCH-B300,300,300,390,0.76923076923076927,4.0,2.8605664769316324,5000,49137,4239,0.032758000000000002,0.8478,0.1522,0,0.8478,0.036261025641025638,87.684140000000227,32.637980000000056,29.899999999999984,37.699999999999989,78.315000000000339,120.32212000000011,114.40000000000001,162.69999999999999,274.4130000000003,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
BLOCKAGE_M,BLOCKAGE_M,BCH-B300,300,300,390,0.76923076923076927,4.2,3.0605664769316325,5000,43352,3898,0.028901333333333334,0.77959999999999996,0.22040000000000001,0,0.77959999999999996,0.033766666666666667,87.684140000000227,32.637980000000056,29.899999999999984,37.699999999999989,78.315000000000339,120.32212000000011,114.40000000000001,162.69999999999999,274.4130000000003,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,PLOTTED
