stage,mode,caseName,payloadLength,encodedLength,organization,correctionCapabilityT,burstLength,relativeStartInSubblock,interleaverMode,payloadCount,legalStartCountPerPayload,totalPatterns,processedFrames,processedBits,bitErrors,frameErrors,BER,FER,trueSuccessRate,reportedSuccessRate,decoderFailureRate,miscorrectionRate,explicitFailureWithWrongPayloadPatterns,averageTouchedSubblocks,averageMaximumSubblockErrorWeight,fractionAllSubblocksWithinGuaranteedRegion,averageSubblocksWithOneError,averageSubblocksWithMoreThanOneError,minimumFailingStart,maximumSuccessfulStart,allStartsGuaranteedCorrect,theoreticalGuaranteedRegion,ferWilson95Low,ferWilson95High,masterSeed,caseSeed,lengthSeed,randomStartSeed,stopReason,runtimeSeconds,configHash,permutationHash,inversePermutationHash,errorWeightConserved,pairedFrameCount,plotStatus
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,32,,NONE,5000,389,5000,5000,1500000,116588,5000,0.077725333333333327,1,0,1,0,1,0,3.0642,15,0,0.12839999999999999,2.9358,0,0,false,false,0.99923229805494307,1,2026072607,10005808911069659570,18303092197681472753,18303092197681472753,TARGET_FRAME_ERRORS,0.076536400000000004,305eb7f3e9b19c72,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,0,,NONE,100000,1,100000,100000,30000000,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,0,true,true,0,3.8413112583039631e-05,2026072607,16952284447138302587,9283658908215209779,9283658908215209779,MAXIMUM_FRAMES,3.2074376999999998,2f58df597280e5b4,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,1,,NONE,100000,390,100000,100000,30000000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,389,true,true,0,3.8413112583039631e-05,2026072607,16952284447138302587,17537140417558812087,17537140417558812087,MAXIMUM_FRAMES,3.5292705999999998,e0f5b71a5869d9f2,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,2,,NONE,100000,389,100000,100000,30000000,0,0,0,0,1,1,0,0,0,1,2,1,0,1,,388,true,true,0,3.8413112583039631e-05,2026072607,16952284447138302587,3276565547809796431,3276565547809796431,MAXIMUM_FRAMES,3.6704349000000001,8f91433b755fc1a0,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,3,,NONE,100000,388,100000,100000,30000000,0,0,0,0,1,1,0,0,0,1,3,1,0,1,,387,true,true,0,3.8413112583039631e-05,2026072607,16952284447138302587,1620067162763893191,1620067162763893191,MAXIMUM_FRAMES,3.8941688999999999,f02c48a910aa97ab,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,4,,NONE,100000,387,100000,100000,30000000,0,0,0,0,1,1,0,0,0,1,4,1,0,1,,386,true,true,0,3.8413112583039631e-05,2026072607,16952284447138302587,18202572081130162372,18202572081130162372,MAXIMUM_FRAMES,4.1367856999999999,9fd7bc507c03e337,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,5,,NONE,100000,386,100000,100000,30000000,0,0,0,0,1,1,0,0,0,1,5,1,0,1,,385,true,true,0,3.8413112583039631e-05,2026072607,16952284447138302587,15562383142359888273,15562383142359888273,MAXIMUM_FRAMES,4.3809576000000003,4be680936380ea21,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,6,,NONE,100000,385,100000,100000,30000000,0,0,0,0,1,1,0,0,0,1,6,1,0,1,,384,true,true,0,3.8413112583039631e-05,2026072607,16952284447138302587,2670513084709447748,2670513084709447748,MAXIMUM_FRAMES,4.5841424000000002,eb429ce33b0eca7b,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,7,,NONE,100000,384,100000,100000,30000000,0,0,0,0,1,1,0,0,0,1,7,1,0,1,,383,true,true,0,3.8413112583039631e-05,2026072607,16952284447138302587,10502330708316180716,10502330708316180716,MAXIMUM_FRAMES,4.9064285999999999,cc1ab8a52bff98f3,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,8,,NONE,100000,383,100000,100000,30000000,0,0,0,0,1,1,0,0,0,1,8,1,0,1,,382,true,true,0,3.8413112583039631e-05,2026072607,16952284447138302587,6042575356317848957,6042575356317848957,MAXIMUM_FRAMES,5.1874943,43af46d1314b8f84,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,9,,NONE,100000,382,100000,100000,30000000,0,0,0,0,1,1,0,0,0,1,9,1,0,1,,381,true,true,0,3.8413112583039631e-05,2026072607,16952284447138302587,7854607056820044166,7854607056820044166,MAXIMUM_FRAMES,5.5562817999999998,0a0c2a413e58ab6d,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,10,,NONE,100000,381,100000,100000,30000000,0,0,0,0,1,1,0,0,0,1,10,1,0,1,,380,true,true,0,3.8413112583039631e-05,2026072607,16952284447138302587,11688912896537032140,11688912896537032140,MAXIMUM_FRAMES,5.9295489000000003,ecbe291b4157b0ad,,,true,0,PLOTTED
