scheme,configurationId,workpointRole,EsN0Db,burstRatioRequested,meanFerAcrossStarts,worstFer,bestFer,worstStart,bestStart,failureStartRatio,boundaryStartFer,tailRemainderFer,startCount
BCH,BCH_ROW_COLUMN_R15,HIGH,10,0.050000000000000003,0.0,0.0,0.0,0,0,0.0,0.0,0.0,272
BCH,BCH_ROW_COLUMN_R15,HIGH,10,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,257
BCH,BCH_ROW_COLUMN_R15,LOW,-5,0.050000000000000003,1.0,1.0,1.0,0,0,1.0,1.0,1.0,272
BCH,BCH_ROW_COLUMN_R15,LOW,-5,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,257
BCH,BCH_ROW_COLUMN_R15,WATERFALL,5.5,0.050000000000000003,0.5092279411764702,0.565,0.46,7,214,1.0,0.555,0.53,272
BCH,BCH_ROW_COLUMN_R15,WATERFALL,5.5,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,257
CC,CC_NONE,HIGH,10,0.050000000000000003,1.0,1.0,1.0,0,0,1.0,1.0,1.0,582
CC,CC_NONE,HIGH,10,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,552
CC,CC_NONE,LOW,-5,0.050000000000000003,1.0,1.0,1.0,0,0,1.0,1.0,1.0,582
CC,CC_NONE,LOW,-5,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,552
CC,CC_NONE,WATERFALL,-3,0.050000000000000003,1.0,1.0,1.0,0,0,1.0,1.0,1.0,582
CC,CC_NONE,WATERFALL,-3,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,552
CC,CC_PSEUDO_128_RECOMMENDED,HIGH,10,0.050000000000000003,0.994896907216495,1.0,0.625,0,241,1.0,1.0,1.0,582
CC,CC_PSEUDO_128_RECOMMENDED,HIGH,10,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,552
CC,CC_PSEUDO_128_RECOMMENDED,LOW,-5,0.050000000000000003,1.0,1.0,1.0,0,0,1.0,1.0,1.0,582
CC,CC_PSEUDO_128_RECOMMENDED,LOW,-5,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,552
CC,CC_PSEUDO_128_RECOMMENDED,WATERFALL,-3,0.050000000000000003,1.0,1.0,1.0,0,0,1.0,1.0,1.0,582
CC,CC_PSEUDO_128_RECOMMENDED,WATERFALL,-3,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,552
CC,CC_SHORT_D16_CONTROL_128,HIGH,10,0.050000000000000003,0.9940034364261203,1.0,0.965,0,42,1.0,1.0,1.0,582
CC,CC_SHORT_D16_CONTROL_128,HIGH,10,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,552
CC,CC_SHORT_D16_CONTROL_128,LOW,-5,0.050000000000000003,1.0,1.0,1.0,0,0,1.0,1.0,1.0,582
CC,CC_SHORT_D16_CONTROL_128,LOW,-5,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,552
CC,CC_SHORT_D16_CONTROL_128,WATERFALL,-3,0.050000000000000003,1.0,1.0,1.0,0,0,1.0,1.0,1.0,582
CC,CC_SHORT_D16_CONTROL_128,WATERFALL,-3,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,552
CC,CC_SHORT_D8_RECOMMENDED,HIGH,10,0.050000000000000003,1.0,1.0,1.0,0,0,1.0,1.0,1.0,582
CC,CC_SHORT_D8_RECOMMENDED,HIGH,10,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,552
CC,CC_SHORT_D8_RECOMMENDED,LOW,-5,0.050000000000000003,1.0,1.0,1.0,0,0,1.0,1.0,1.0,582
CC,CC_SHORT_D8_RECOMMENDED,LOW,-5,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,552
CC,CC_SHORT_D8_RECOMMENDED,WATERFALL,-3,0.050000000000000003,1.0,1.0,1.0,0,0,1.0,1.0,1.0,582
CC,CC_SHORT_D8_RECOMMENDED,WATERFALL,-3,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,552
