organization,rateCase,snrDb,normalizedGoodput,FER
A_BLOCK_300,R34,1.5,0.5779411764705882,0.214
B_CONT_50x6,R34,1.5,0.5772058823529412,0.215
C_CONT_100x3,R34,1.5,0.5772058823529412,0.215
D_CONT_150x2,R34,1.5,0.5772058823529412,0.215
A_BLOCK_300,R34,2.0,0.6819732969329864,0.0725163161711385
B_CONT_50x6,R34,2.0,0.6814400887258457,0.0732414793328498
C_CONT_100x3,R34,2.0,0.6814400887258457,0.0732414793328498
D_CONT_150x2,R34,2.0,0.6814400887258457,0.0732414793328498
A_BLOCK_300,R34,2.5,0.7184276394351754,0.0229384103681614
B_CONT_50x6,R34,2.5,0.7182589746530565,0.0231677944718431
C_CONT_100x3,R34,2.5,0.7182589746530565,0.0231677944718431
D_CONT_150x2,R34,2.5,0.7182589746530565,0.0231677944718431
A_BLOCK_300,R34,3.0,0.7308820440960279,0.006000420029402
B_CONT_50x6,R34,3.0,0.7308820440960279,0.006000420029402
C_CONT_100x3,R34,3.0,0.7308820440960279,0.006000420029402
D_CONT_150x2,R34,3.0,0.7308820440960279,0.006000420029402
A_BLOCK_300,R34,3.5,0.7342205882352941,0.0014599999999999
B_CONT_50x6,R34,3.5,0.7342205882352941,0.0014599999999999
C_CONT_100x3,R34,3.5,0.7342205882352941,0.0014599999999999
D_CONT_150x2,R34,3.5,0.7342205882352941,0.0014599999999999
A_BLOCK_300,R34,4.0,0.7351617647058823,0.00018
B_CONT_50x6,R34,4.0,0.7351617647058823,0.00018
C_CONT_100x3,R34,4.0,0.7351617647058823,0.00018
D_CONT_150x2,R34,4.0,0.7351617647058823,0.00018
A_BLOCK_300,R34,4.5,0.7352647058823529,4e-05
B_CONT_50x6,R34,4.5,0.7352647058823529,4e-05
C_CONT_100x3,R34,4.5,0.7352647058823529,4e-05
D_CONT_150x2,R34,4.5,0.7352647058823529,4e-05
A_BLOCK_300,R34,5.0,0.7352941176470588,0.0
B_CONT_50x6,R34,5.0,0.7352941176470588,0.0
C_CONT_100x3,R34,5.0,0.7352941176470588,0.0
D_CONT_150x2,R34,5.0,0.7352941176470588,0.0
A_BLOCK_300,R34,5.5,0.7352941176470588,0.0
B_CONT_50x6,R34,5.5,0.7352941176470588,0.0
C_CONT_100x3,R34,5.5,0.7352941176470588,0.0
D_CONT_150x2,R34,5.5,0.7352941176470588,0.0
A_BLOCK_300,R34,6.0,0.7352941176470588,0.0
B_CONT_50x6,R34,6.0,0.7352941176470588,0.0
C_CONT_100x3,R34,6.0,0.7352941176470588,0.0
D_CONT_150x2,R34,6.0,0.7352941176470588,0.0
A_BLOCK_300,R34,6.5,0.7352941176470588,0.0
B_CONT_50x6,R34,6.5,0.7352941176470588,0.0
C_CONT_100x3,R34,6.5,0.7352941176470588,0.0
D_CONT_150x2,R34,6.5,0.7352941176470588,0.0
A_BLOCK_300,R34,7.0,0.7352941176470588,0.0
B_CONT_50x6,R34,7.0,0.7352941176470588,0.0
C_CONT_100x3,R34,7.0,0.7352941176470588,0.0
D_CONT_150x2,R34,7.0,0.7352941176470588,0.0
A_BLOCK_300,R34,7.5,0.7352941176470588,0.0
B_CONT_50x6,R34,7.5,0.7352941176470588,0.0
C_CONT_100x3,R34,7.5,0.7352941176470588,0.0
D_CONT_150x2,R34,7.5,0.7352941176470588,0.0
A_BLOCK_300,R34,8.0,0.7352941176470588,0.0
B_CONT_50x6,R34,8.0,0.7352941176470588,0.0
C_CONT_100x3,R34,8.0,0.7352941176470588,0.0
D_CONT_150x2,R34,8.0,0.7352941176470588,0.0
A_BLOCK_300,R34,8.5,0.7352941176470588,0.0
B_CONT_50x6,R34,8.5,0.7352941176470588,0.0
C_CONT_100x3,R34,8.5,0.7352941176470588,0.0
D_CONT_150x2,R34,8.5,0.7352941176470588,0.0
A_BLOCK_300,R34,9.0,0.7352941176470588,0.0
B_CONT_50x6,R34,9.0,0.7352941176470588,0.0
C_CONT_100x3,R34,9.0,0.7352941176470588,0.0
D_CONT_150x2,R34,9.0,0.7352941176470588,0.0
A_BLOCK_300,R34,9.5,0.7352941176470588,0.0
B_CONT_50x6,R34,9.5,0.7352941176470588,0.0
C_CONT_100x3,R34,9.5,0.7352941176470588,0.0
D_CONT_150x2,R34,9.5,0.7352941176470588,0.0
A_BLOCK_300,R34,10.0,0.7352941176470588,0.0
B_CONT_50x6,R34,10.0,0.7352941176470588,0.0
C_CONT_100x3,R34,10.0,0.7352941176470588,0.0
D_CONT_150x2,R34,10.0,0.7352941176470588,0.0
