organization,rateCase,snrDb,BER,berCiHigh,frames
B_CONT_50x6,R23,0.5,0.0108266666666666,0.0112032957640616,1000
C_CONT_100x3,R23,0.5,0.0108266666666666,0.0112032957640616,1000
D_CONT_150x2,R23,0.5,0.0108266666666666,0.0112032957640616,1000
A_BLOCK_300,R23,1.0,0.0030981775426219,0.0032330644924385,2268
B_CONT_50x6,R23,1.0,0.0031407995296884,0.0032765884120279,2268
C_CONT_100x3,R23,1.0,0.0031407995296884,0.0032765884120279,2268
D_CONT_150x2,R23,1.0,0.0031407995296884,0.0032765884120279,2268
A_BLOCK_300,R23,1.5,0.0007536394701118,0.0007913470409239,7121
B_CONT_50x6,R23,1.5,0.0007536394701118,0.0007913470409239,7121
C_CONT_100x3,R23,1.5,0.0007536394701118,0.0007913470409239,7121
D_CONT_150x2,R23,1.5,0.0007536394701118,0.0007913470409239,7121
A_BLOCK_300,R23,2.0,0.0001544099573193,0.0001627675319366,29834
B_CONT_50x6,R23,2.0,0.0001544099573193,0.0001627675319366,29834
C_CONT_100x3,R23,2.0,0.0001544099573193,0.0001627675319366,29834
D_CONT_150x2,R23,2.0,0.0001544099573193,0.0001627675319366,29834
A_BLOCK_300,R23,2.5,2.8266666666666668e-05,3.10882565822513e-05,50000
B_CONT_50x6,R23,2.5,2.8266666666666668e-05,3.10882565822513e-05,50000
C_CONT_100x3,R23,2.5,2.8266666666666668e-05,3.10882565822513e-05,50000
D_CONT_150x2,R23,2.5,2.8266666666666668e-05,3.10882565822513e-05,50000
A_BLOCK_300,R23,3.0,3.533333333333333e-06,4.6212090016282975e-06,50000
B_CONT_50x6,R23,3.0,3.533333333333333e-06,4.6212090016282975e-06,50000
C_CONT_100x3,R23,3.0,3.533333333333333e-06,4.6212090016282975e-06,50000
D_CONT_150x2,R23,3.0,3.533333333333333e-06,4.6212090016282975e-06,50000
A_BLOCK_300,R23,3.5,5.333333333333333e-07,1.0525102897361208e-06,50000
B_CONT_50x6,R23,3.5,5.333333333333333e-07,1.0525102897361208e-06,50000
C_CONT_100x3,R23,3.5,5.333333333333333e-07,1.0525102897361208e-06,50000
D_CONT_150x2,R23,3.5,5.333333333333333e-07,1.0525102897361208e-06,50000
A_BLOCK_300,R23,4.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R23,4.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R23,4.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R23,4.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R23,4.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R23,4.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R23,4.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R23,4.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R23,5.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R23,5.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R23,5.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R23,5.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R23,5.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R23,5.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R23,5.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R23,5.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R23,6.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R23,6.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R23,6.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R23,6.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R23,6.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R23,6.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R23,6.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R23,6.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R23,7.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R23,7.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R23,7.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R23,7.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R23,7.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R23,7.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R23,7.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R23,7.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R23,8.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R23,8.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R23,8.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R23,8.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R23,8.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R23,8.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R23,8.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R23,8.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R23,9.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R23,9.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R23,9.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R23,9.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R23,9.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R23,9.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R23,9.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R23,9.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R23,10.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R23,10.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R23,10.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R23,10.0,0.0,2.5609718912715457e-07,50000
