organization,rateCase,snrDb,FER,ferCiHigh,frames
D_CONT_150x2,R12,-0.5,0.0593824228028503,0.0678773782050709,3368
A_BLOCK_300,R12,0.0,0.0175932441942294,0.0201779948638502,11368
B_CONT_50x6,R12,0.0,0.0175932441942294,0.0201779948638502,11368
C_CONT_100x3,R12,0.0,0.0175932441942294,0.0201779948638502,11368
D_CONT_150x2,R12,0.0,0.0175932441942294,0.0201779948638502,11368
A_BLOCK_300,R12,0.5,0.0051203277009728,0.0058784385459461,39060
B_CONT_50x6,R12,0.5,0.0051203277009728,0.0058784385459461,39060
C_CONT_100x3,R12,0.5,0.0051203277009728,0.0058784385459461,39060
D_CONT_150x2,R12,0.5,0.0051203277009728,0.0058784385459461,39060
A_BLOCK_300,R12,1.0,0.0012199999999999,0.0015666656273244,50000
B_CONT_50x6,R12,1.0,0.0012199999999999,0.0015666656273244,50000
C_CONT_100x3,R12,1.0,0.0012199999999999,0.0015666656273244,50000
D_CONT_150x2,R12,1.0,0.0012199999999999,0.0015666656273244,50000
A_BLOCK_300,R12,1.5,0.00024,0.0004194860715286,50000
B_CONT_50x6,R12,1.5,0.00024,0.0004194860715286,50000
C_CONT_100x3,R12,1.5,0.00024,0.0004194860715286,50000
D_CONT_150x2,R12,1.5,0.00024,0.0004194860715286,50000
A_BLOCK_300,R12,2.0,2e-05,0.0001132897013912,50000
B_CONT_50x6,R12,2.0,2e-05,0.0001132897013912,50000
C_CONT_100x3,R12,2.0,2e-05,0.0001132897013912,50000
D_CONT_150x2,R12,2.0,2e-05,0.0001132897013912,50000
A_BLOCK_300,R12,2.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R12,2.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R12,2.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R12,2.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R12,3.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R12,3.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R12,3.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R12,3.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R12,3.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R12,3.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R12,3.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R12,3.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R12,4.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R12,4.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R12,4.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R12,4.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R12,4.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R12,4.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R12,4.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R12,4.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R12,5.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R12,5.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R12,5.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R12,5.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R12,5.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R12,5.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R12,5.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R12,5.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R12,6.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R12,6.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R12,6.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R12,6.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R12,6.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R12,6.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R12,6.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R12,6.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R12,7.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R12,7.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R12,7.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R12,7.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R12,7.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R12,7.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R12,7.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R12,7.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R12,8.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R12,8.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R12,8.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R12,8.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R12,8.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R12,8.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R12,8.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R12,8.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R12,9.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R12,9.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R12,9.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R12,9.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R12,9.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R12,9.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R12,9.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R12,9.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R12,10.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R12,10.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R12,10.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R12,10.0,0.0,7.682327414500052e-05,50000
